Train/Steps,Loss/Actual_critic,Loss/Abstract_critic,Loss/Lax_bisimulation,Loss/Homomorphism_consistency,Loss/Actor,Q/Actual_Q1_mean,Q/Actual_Q2_mean,Q/Abstract_Q_mean,Norm/actor,Norm/critic,Norm/abstract_critic,Norm/state_encoder_f,Norm/action_encoder_g,Eval/Return
641000,0.0054885088466107845,0.0012640005443245173,5.794440221507102e-05,5.007196159567684e-05,-0.34393343329429626,0.28409910202026367,0.2847861051559448,-0.01232975535094738,39.319317,56.744522,63.530045,8.508144,18.005695,5.8609126e-05
642000,0.010867316275835037,0.0015895920805633068,1.9492410501698032e-05,5.1414910558378324e-05,-1.3306077718734741,1.2498648166656494,1.2470672130584717,0.004124406725168228,47.450523,70.60427,90.53613,9.584176,18.056143,0.47207543
643000,0.05665041506290436,0.0012247059494256973,2.2353839085553773e-05,5.3747764468425885e-05,-2.316279172897339,2.218496084213257,2.2186596393585205,0.015068704262375832,53.262108,81.89396,111.32022,11.170989,18.079132,0.043044694
644000,0.0225581806153059,0.0014869333244860172,8.881328540155664e-06,5.0483777158660814e-05,-2.9618067741394043,2.8669073581695557,2.8580918312072754,0.008555957116186619,57.982353,91.65243,124.738335,12.080831,18.094322,0.045156363
645000,0.11235702037811279,0.0021033938974142075,0.00013456394663080573,5.24441093148198e-05,-3.647942066192627,3.5477747917175293,3.548483371734619,0.01750190742313862,61.923492,99.92913,130.70377,12.814588,18.086464,0.8122212
646000,0.05978357419371605,0.0014818490017205477,1.9483981304802e-05,5.246547516435385e-05,-4.126392364501953,4.010493755340576,4.016994476318359,0.030913367867469788,65.1694,107.18656,137.67607,13.226371,18.054056,5.065896
647000,0.09968450665473938,0.0037644323892891407,2.449724343023263e-05,5.2468403737293556e-05,-4.550260543823242,4.402318477630615,4.400479316711426,0.05806266516447067,68.626205,114.46414,142.4177,13.680084,18.000917,7.202263
648000,0.3696250319480896,0.0033301650546491146,1.363701721857069e-05,5.2372510253917426e-05,-5.264494895935059,5.099120140075684,5.0982208251953125,0.055606432259082794,71.6247,120.9405,145.04478,14.066538,17.895983,1.3284338
649000,0.10154373943805695,0.0038170148618519306,5.0411850679665804e-05,5.586504266830161e-05,-6.007750988006592,5.823601722717285,5.832190990447998,0.09631141275167465,74.036285,126.47331,145.84451,14.338789,17.759241,6.7859087
650000,0.19399996101856232,0.0017038893420249224,1.721992521197535e-05,5.383673487813212e-05,-6.621265411376953,6.11060905456543,6.11076545715332,0.4202890396118164,76.14348,131.4707,146.3227,14.970269,17.68732,3.0845513
651000,0.4502701759338379,0.010035517625510693,0.0002446139696985483,9.002245496958494e-05,-6.55548095703125,6.151159286499023,6.149754524230957,0.32556217908859253,77.75153,136.42726,149.09206,15.34317,17.62902,3.0525537
652000,0.051594171673059464,0.1043374240398407,0.00018020853167399764,7.042495417408645e-05,-9.092004776000977,6.065583229064941,6.076152801513672,3.0025265216827393,76.56942,141.47203,157.06743,15.6871805,17.501348,0.015218501
653000,0.5362934470176697,0.27364829182624817,6.768947059754282e-05,5.676048749592155e-05,-7.074987411499023,5.952441215515137,5.959541320800781,0.7610902190208435,76.27683,146.72609,159.1992,15.967537,17.412802,0.0005556433
654000,0.048891279846429825,0.1094052642583847,0.0001590485335327685,9.784141730051488e-05,-12.103178024291992,5.286808967590332,5.285497665405273,6.406515598297119,76.53543,151.64255,160.16695,16.263374,17.40351,0.0001709878
655000,0.17888745665550232,0.15676143765449524,0.00017609898350201547,6.12170624663122e-05,-11.863693237304688,5.540426254272461,5.543608665466309,6.213811874389648,80.11944,156.14932,159.99004,16.510979,17.293932,6.3131447
656000,0.05045764520764351,0.010544849559664726,0.00014238258881960064,7.323984755203128e-05,-12.692216873168945,5.032484531402588,5.037493705749512,7.5109758377075195,83.82691,160.8362,160.62326,16.75349,17.228212,3.0688303
657000,0.12287384271621704,0.32273566722869873,8.865253766998649e-05,6.758230301784351e-05,-13.381959915161133,4.942988395690918,4.935922622680664,8.19549560546875,87.272995,165.72304,162.88594,16.963318,17.170027,0.042333134
658000,0.04458842799067497,0.10467544943094254,0.00017407236737199128,8.920927939470857e-05,-13.478438377380371,4.521335601806641,4.514278411865234,8.81644058227539,88.658104,170.22511,165.2483,17.141123,17.194994,1.8291848e-08
659000,0.06672514975070953,0.30670344829559326,0.00013025070074945688,6.992214184720069e-05,-13.434196472167969,4.491902828216553,4.4921040534973145,8.84411334991455,90.30863,174.83914,167.17575,17.405205,17.217056,17.97049
660000,0.089297816157341,0.48149240016937256,0.00013175790081731975,6.943161861272529e-05,-14.034530639648438,4.74393367767334,4.74722957611084,8.935464859008789,91.838745,179.08847,169.61208,17.575302,17.236826,2.2048945e-10
661000,0.06652848422527313,0.01719120517373085,0.00022028485545888543,7.701144932070747e-05,-14.286184310913086,4.2637529373168945,4.286050796508789,9.839143753051758,92.29177,183.32603,171.16109,17.772886,17.275154,9.629913
662000,0.05707009881734848,0.03972657024860382,7.751755765639246e-05,6.152672722237185e-05,-14.329423904418945,4.884488582611084,4.8879194259643555,9.259724617004395,93.53829,187.19092,171.89249,17.887264,17.278032,13.87034
663000,0.06416790187358856,0.011132852174341679,0.00010638926323736086,7.528621063102037e-05,-15.111478805541992,4.656672954559326,4.653100490570068,10.295062065124512,94.861305,191.1642,173.05724,18.008345,17.293179,2.0277332e-11
664000,0.06278373301029205,0.9285662174224854,0.00015631646965630352,8.39899803395383e-05,-15.836755752563477,4.9432268142700195,4.933365345001221,10.85175895690918,95.838715,194.73589,174.66934,18.11437,17.332264,2.5946123e-09
665000,0.07062235474586487,0.018988728523254395,0.0001899734779726714,7.856797310523689e-05,-15.504983901977539,4.2384161949157715,4.2386627197265625,11.10366439819336,96.64204,198.8189,177.54979,18.262863,17.34449,0.04776421
666000,0.06243500858545303,7.0562334060668945,6.427444168366492e-05,6.898751598782837e-05,-14.064041137695312,4.577596664428711,4.570786952972412,7.817360877990723,97.56835,202.38152,180.42474,18.401556,17.376902,0.0009785829
