Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.02625751867890358,-0.31477564573287964,0.0012021027505397797,0.04683886095881462,0.013606907799839973,0.0007938271155580878,0.052485570311546326,0.001832605223171413,-0.13352550566196442,0.33448368310928345,0.33698442578315735,31.339815,68.50953,30.23598,31.693209,31.002584,0.0044941892847418785,1.0058892965316772,0.007845725864171982,1.0211372375488281,0.0,0.01036728173494339,0.0,0.011750103905797005,0.005521864630281925,1.013265609741211,0.004776572342962027,0.020088713616132736,8.564224243164062
264192,0.022890113294124603,-0.03935873508453369,0.00022952017025090754,0.05062227323651314,0.022851789370179176,0.0003849330823868513,0.040978334844112396,0.0012903602328151464,0.42528727650642395,0.06290771067142487,0.06996092200279236,45.58409,95.87871,31.790178,33.150707,32.68599,0.002596372738480568,1.040969967842102,0.013082332909107208,1.0139833688735962,0.0,0.012025639414787292,0.0,0.007767085917294025,0.0024613295681774616,1.0161688327789307,0.010785507038235664,0.010401193983852863,21.47393798828125
392192,0.02854779362678528,-0.03472571820020676,0.00012415784294717014,0.09588521718978882,0.04401494190096855,0.0005973409861326218,0.04637701436877251,0.0020010529551655054,0.40157008171081543,0.08531184494495392,0.0656290352344513,54.147465,116.89065,34.359444,35.76977,35.03868,0.004668537527322769,1.0407028198242188,0.003280704841017723,1.0465755462646484,0.0,0.011219002306461334,0.0,0.009306032210588455,0.004184427671134472,1.0450639724731445,0.003534593153744936,0.012226404622197151,18.640975952148438
520192,0.058655597269535065,-0.7045176029205322,-0.00012890454672742635,0.21752753853797913,0.11770178377628326,0.0004298704443499446,0.03652641177177429,0.0020985358860343695,0.5801188945770264,0.7517227530479431,0.7472822666168213,60.921844,133.52553,37.126408,38.49097,37.749893,0.0009276609634980559,1.1405855417251587,0.006843232084065676,1.2178690433502197,0.0,0.010052094236016273,0.0,0.011712472885847092,0.0023440581280738115,1.2130167484283447,0.004730623215436935,0.011907469481229782,25.103992462158203
648192,0.0703207403421402,-0.9594855308532715,-4.0810598875395954e-05,0.2663014829158783,0.1416613757610321,0.0009808054892346263,0.04137358069419861,0.002710841130465269,0.5598258376121521,1.0275647640228271,1.024315357208252,67.08873,146.61067,39.92463,41.68995,40.20328,0.003205722663551569,1.1604491472244263,0.001505388179793954,1.2568169832229614,0.0,0.010801684111356735,0.0,0.011424791067838669,0.001069737714715302,1.2453384399414062,0.001839067554101348,0.016633370891213417,24.936176300048828
776192,0.07513032108545303,-0.24252980947494507,8.634964615339413e-05,0.09728851169347763,0.05055925250053406,0.00024319197109434754,0.036058153957128525,0.00268086651340127,0.4627252221107483,0.2880764901638031,0.3287495970726013,73.15462,159.21225,42.76906,44.789787,42.80394,0.002023078501224518,1.063352346420288,0.00243123690597713,1.0807247161865234,0.0,0.008089213632047176,0.0,0.008491933345794678,0.00643210019916296,1.0750763416290283,0.006251032464206219,0.012377945706248283,32.69652557373047
904192,0.11644808202981949,-1.0233945846557617,-9.557507291901857e-05,0.2138386070728302,0.09994976222515106,0.0010818244190886617,0.04001307114958763,0.003045730758458376,0.6073467135429382,1.1256812810897827,1.0854403972625732,78.57629,171.10147,44.952286,47.60802,45.139236,0.000652762595564127,1.1205235719680786,0.008487347513437271,1.177612543106079,0.0,0.009193568490445614,0.0,0.008847443386912346,0.0013251662021502852,1.1765739917755127,0.007240932900458574,0.014214089140295982,46.53919982910156
1032192,0.06482262909412384,-1.1444984674453735,-4.023262590635568e-05,0.2018783688545227,0.09608108550310135,0.00032220626599155366,0.04600498825311661,0.0038645591121166945,0.5053261518478394,1.2098078727722168,1.2059154510498047,83.477974,181.94165,47.732746,50.40154,47.86656,0.004252258688211441,1.1242272853851318,0.005530291236937046,1.2026002407073975,0.0,0.007830321788787842,0.0,0.010492676869034767,0.0033898295368999243,1.2029423713684082,0.005753723904490471,0.012464160099625587,48.758811950683594
1160192,0.11556828767061234,-1.827179193496704,-0.0005484138382598758,0.4478569030761719,0.21273590624332428,0.0003844279854092747,0.03962399810552597,0.003677327884361148,0.7010362148284912,1.9109582901000977,1.878264307975769,88.13283,192.28568,50.10046,52.95341,50.34231,0.0017028760630637407,1.252044677734375,0.00408651027828455,1.4313856363296509,0.0,0.008606495335698128,0.0,0.00926230475306511,0.0006771659245714545,1.4254918098449707,0.003616806585341692,0.011667739599943161,61.510108947753906
1288192,0.10263153165578842,-0.845598578453064,-0.0005876380600966513,0.2142551839351654,0.10644698888063431,0.00025478433235548437,0.04263262450695038,0.003607705235481262,0.6157506704330444,0.9165192246437073,0.9428398609161377,92.82895,201.60791,52.255974,55.77287,52.85786,0.004421394784003496,1.1281194686889648,0.0018219505436718464,1.2126507759094238,0.0,0.008299849927425385,0.0,0.00835130363702774,0.0008527368772774935,1.2116591930389404,0.0018545471830293536,0.010174188762903214,39.065826416015625
