Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,8.61124717630446e-05,-0.11551643908023834,0.0017357153119519353,0.0029255119152367115,0.0021748999133706093,0.0006262655952014029,0.1021064817905426,0.001596887712366879,-0.5779925584793091,0.11772944778203964,0.11551572382450104,25.238466,56.356018,30.573252,31.50296,32.602215,0.006881436333060265,0.9533048272132874,0.013108938932418823,0.9326983690261841,0.0,0.006991769652813673,0.0,0.012053100392222404,0.010824416764080524,0.9301538467407227,0.015571661293506622,0.017043624073266983,0.1796875
264192,0.00018921129230875522,-0.03899247199296951,7.770849333610386e-05,0.002576683182269335,0.001938505214639008,0.00020634908287320286,0.13627785444259644,7.200579420896247e-05,-0.5716943144798279,0.03941752761602402,0.03938924893736839,33.958145,65.61468,32.37398,33.0627,34.958492,0.0010232868371531367,0.9331434965133667,0.0017859319923445582,0.9171079397201538,0.0,0.00713995099067688,0.0,0.013321658596396446,0.0037107765674591064,0.9153286218643188,0.0031524323858320713,0.010300327092409134,0.0
392192,5.653608923239517e-07,-0.013040816411376,2.1830221612617606e-06,0.0017817175248637795,0.001180222607217729,0.0002679973258636892,0.13031962513923645,2.6440397959959228e-06,-0.27525100111961365,0.013559636659920216,0.013045728206634521,39.512585,73.499176,35.078648,34.88846,37.00254,0.001696809777058661,0.9356404542922974,0.0026977770030498505,0.9214785695075989,0.0,0.007367156445980072,0.0,0.00913924165070057,0.00033665733644738793,0.9236053228378296,0.0027246454264968634,0.010096831247210503,0.140625
520192,2.2859526893626025e-07,-0.004062814638018608,2.1525377746911545e-07,0.0018993545090779662,0.0012836859095841646,0.00011115302913822234,0.1262294501066208,1.1174032579219784e-06,0.33510124683380127,0.00406317925080657,0.005099049769341946,42.194992,77.07041,38.100063,36.33362,38.41778,0.0008864574483595788,0.9405308961868286,0.003129478543996811,0.9211993217468262,0.0,0.0046759797260165215,0.0,0.009442492388188839,0.0003227528359275311,0.9175772666931152,0.0028449695091694593,0.008212467655539513,0.5234375
648192,2.691315899028268e-07,-0.0005393909523263574,7.538931754424993e-07,0.005416195373982191,0.0019426514627411962,0.00010167087020818144,0.12147294729948044,1.7274212495976826e-06,0.05784882605075836,0.0010699033737182617,0.0005396496271714568,44.551228,79.858734,40.857662,37.60842,40.041332,0.0033961995504796505,0.9405027627944946,0.002340021077543497,0.9160051345825195,0.0,0.005359740927815437,0.0,0.0054329815320670605,0.00126434036064893,0.9206668138504028,0.002377142198383808,0.007163314148783684,1.0078125
776192,2.17263966817427e-08,-0.00017248223593924195,-9.67290134212817e-07,0.0019708408508449793,0.0015140941832214594,4.579540836857632e-05,0.1277264654636383,1.2163330893599777e-06,1.1748708486557007,0.0005240993923507631,0.00017390974971931428,47.960884,81.92614,43.410553,39.03089,41.423912,0.0006861634901724756,0.9392662048339844,0.00113465148024261,0.9157596826553345,0.0,0.003860898781567812,0.0,0.004828592296689749,0.0008977309917099774,0.9182605743408203,0.0014935075305402279,0.004981227684766054,1.5078125
904192,0.0009320692042820156,-0.025647571310400963,4.900222847936675e-06,0.029909802600741386,0.008228743448853493,0.0012798372190445662,0.12095458060503006,1.1955088666582014e-05,0.19450202584266663,0.02126399241387844,0.02456686832010746,52.095703,85.31042,46.008377,40.736942,42.863533,0.0011441597016528249,0.9515210390090942,0.006454089656472206,0.9478211402893066,0.0,0.005990608595311642,0.0,0.010084660723805428,0.0015603622887283564,0.9245994091033936,0.006803598254919052,0.023665651679039,0.46875
1032192,2.0301290248880832e-07,-0.0020579053089022636,1.1409140370233217e-06,0.002465634373947978,0.001883217366412282,0.00010550859587965533,0.13258467614650726,3.835772076854482e-06,0.13373062014579773,0.0023507759906351566,0.0020584187004715204,55.364365,87.81288,48.592354,42.558224,44.438435,0.00022091116989031434,0.9344959259033203,0.0003147718380205333,0.9161790013313293,0.0,0.002469063736498356,0.0,0.0053967977873981,0.0010320579167455435,0.9181183576583862,0.0010870646219700575,0.005188590846955776,0.0
1160192,1.934244231449611e-08,-0.0010723501909524202,1.0331946214137133e-06,0.0029998153913766146,0.0016804230399429798,0.0004916552570648491,0.12286855280399323,1.8294340407010168e-06,-0.006705790758132935,0.001360299182124436,0.0010723379673436284,58.251865,89.16798,51.019413,44.32035,45.997204,0.0003193518496118486,0.9428491592407227,0.005756910890340805,0.9269042611122131,0.0,0.00367222772911191,0.0,0.005081091076135635,0.002375819254666567,0.9225333333015442,0.005312732420861721,0.0059128995053470135,0.796875
1288192,3.226250919396989e-05,-0.0011023544939234853,-8.26631776362774e-08,0.001927102217450738,0.0014521317789331079,2.3988122848095372e-05,0.1320858746767044,3.0717062600160716e-06,0.4646274745464325,0.0017230340745300055,0.0022993602324277163,60.79193,91.02848,53.382984,46.103718,47.131214,0.0003245029947720468,0.9369222521781921,0.0017160282004624605,0.9177558422088623,0.0,0.0019170641899108887,0.0,0.004318775609135628,0.0009703413816168904,0.9187591075897217,0.001984973903745413,0.0033595175482332706,0.6875
1416192,1.1271972653048579e-06,0.0008122154395096004,-4.035960898818303e-09,0.0015740077942609787,0.0011214424157515168,9.982940537156537e-05,0.13211879134178162,1.4930379848010489e-06,0.47142356634140015,-0.0008115116506814957,0.0007415729924105108,62.220425,92.71229,55.910984,47.866417,48.60158,0.0004569188167806715,0.9415204524993896,0.00024928528000600636,0.9191442728042603,0.0,0.0030546411871910095,0.0,0.004026968497782946,0.0004353679541964084,0.9282084107398987,0.0005668223602697253,0.010093561373651028,0.0
1544192,4.160633082506138e-08,-0.0004940195940434933,9.467278232477838e-07,0.0021321577951312065,0.0011552339419722557,9.135808068094775e-05,0.13043318688869476,2.344201220694231e-06,0.1529693752527237,0.000610646209679544,0.0004943785024806857,65.338905,94.09229,57.72593,49.92993,50.094917,0.0004005414084531367,0.941565752029419,0.0028834412805736065,0.922184407711029,0.0,0.002251007128506899,0.0,0.005034112371504307,0.00026403527590446174,0.9196246862411499,0.0029425392858684063,0.004908920265734196,1.4921875
1672192,0.005064765922725201,-0.17378026247024536,-1.8062503386317985e-06,0.06528759002685547,0.03226150944828987,0.004767476115375757,0.1362781673669815,1.2331239531704341e-06,1.9971554279327393,0.1726294755935669,0.1763998121023178,67.08577,95.44244,60.1547,51.572887,51.72245,0.0008723674691282213,0.9591264724731445,0.001097515458241105,0.9671540260314941,0.0,0.003143768757581711,0.0,0.005158456042408943,0.0007885820232331753,0.9723777770996094,0.001261989469639957,0.011338758282363415,3.203125
1800192,4.2588986559621844e-08,-0.0008893385529518127,-6.081988885853207e-07,0.0015723962569609284,0.0011109531624242663,4.086593253305182e-05,0.13425666093826294,4.388730303617194e-06,0.635284423828125,0.001273988513275981,0.0008921268745325506,69.12117,96.330635,61.855083,53.29083,53.179737,0.0010410479735583067,0.9374489188194275,0.00021825166186317801,0.9203097224235535,0.0,0.0015261201187968254,0.0,0.003758228849619627,0.0009527858346700668,0.9228397607803345,0.0009468533098697662,0.004843937698751688,1.0546875
1928192,2.5746840037754737e-07,-0.0008984641171991825,2.803749765689645e-08,0.001839525531977415,0.0015938504366204143,2.2945521777728572e-05,0.12032704055309296,1.1873388530148077e-06,0.45216819643974304,0.001981274923309684,0.0008990010828711092,70.81011,97.38822,63.76168,54.858345,54.727497,0.0006749689346179366,0.9434685707092285,0.0007885537343099713,0.9198188781738281,0.0,0.0019208298763260245,0.0,0.0032885423861443996,0.0003119765897281468,0.9204118251800537,0.000841151166241616,0.003302325727418065,0.1640625
2056192,6.421945499823778e-07,0.0009540955070406199,3.83616338694992e-07,0.001485391752794385,0.0010520120849832892,3.414478123886511e-05,0.1328381896018982,8.54890117807372e-07,0.03989671170711517,0.0011011299211531878,-0.0009540615137666464,73.073746,98.32137,65.900536,56.269306,56.407986,0.0006793614011257887,0.9369902014732361,0.0005042467964813113,0.9208248853683472,0.0,0.001649041660130024,0.0,0.003736441023647785,0.0018434966914355755,0.9185502529144287,0.0016349139623343945,0.0033813216723501682,1.890625
