Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.017373597249388695,-7.914957523345947,-0.004984114319086075,0.678033173084259,0.2755063474178314,0.0025607775896787643,0.006879414897412062,0.015046225860714912,0.8131621479988098,7.897220611572266,7.901471138000488,36.10285,58.442696,31.073908,32.20641,30.9903,0.017102859914302826,1.5740947723388672,0.061368219554424286,2.0039548873901367,0.0,0.02199140377342701,0.0,0.03586530685424805,0.024539047852158546,1.9988961219787598,0.04023062810301781,0.05605781823396683,239.1121063232422
264192,0.06029275804758072,-20.07056427001953,0.0009553435957059264,0.6408094763755798,0.25424924492836,0.0018382577691227198,0.00577256316319108,0.038452401757240295,0.4844021499156952,20.022193908691406,20.03341293334961,58.89197,109.10702,33.659912,39.167618,32.71789,0.013137761503458023,1.630500078201294,0.031009778380393982,2.086360454559326,0.0,0.05691748484969139,0.0,0.030600156635046005,0.014912765473127365,2.1095099449157715,0.01719857007265091,0.05279288440942764,608.5433349609375
392192,0.12516260147094727,-36.212650299072266,-0.009819019585847855,1.4409970045089722,0.7615495324134827,0.0016258102841675282,0.007116294000297785,0.058706752955913544,0.64541095495224,36.04927062988281,36.0274658203125,72.0143,133.33165,37.23742,54.344585,35.1197,0.015412803739309311,2.1950764656066895,0.04470476508140564,2.931506633758545,0.0,0.04933689534664154,0.0,0.032926205545663834,0.011290355585515499,2.8434557914733887,0.033414408564567566,0.09569235146045685,750.1468505859375
520192,0.1057015210390091,-49.61956787109375,-0.0015014976961538196,2.1773502826690674,1.1202982664108276,0.0011930110631510615,0.004592215642333031,0.04522181674838066,0.5497399568557739,49.52622985839844,49.531028747558594,80.99641,145.59282,40.382687,68.22847,37.508312,0.01093151606619358,2.5016160011291504,0.029743894934654236,3.371638774871826,0.0,0.03681085631251335,0.0,0.032173387706279755,0.01039830967783928,3.335622549057007,0.01970183290541172,0.0619213804602623,835.131591796875
648192,0.0977305918931961,-60.29808044433594,-0.0004148264415562153,2.6707770824432373,1.0941752195358276,0.007092719431966543,0.01333380676805973,0.03920860216021538,0.4410097599029541,60.167327880859375,60.25334167480469,88.33208,154.71277,43.6213,78.90538,39.85012,0.029609885066747665,2.3519251346588135,0.026591047644615173,3.5420289039611816,0.0,0.0623554103076458,0.0,0.038835782557725906,0.017429867759346962,3.498457431793213,0.011458116583526134,0.06458114087581635,836.3225708007812
776192,0.08031055331230164,-63.05906677246094,0.0015421294374391437,2.5699148178100586,1.1072502136230469,0.001567359548062086,0.013143269345164299,0.034960534423589706,0.4861626625061035,62.93452072143555,63.00341796875,95.07701,162.3145,46.586205,86.55481,42.53044,0.045103780925273895,2.3806138038635254,0.03169458359479904,3.4947335720062256,0.0,0.039482876658439636,0.0,0.034530725330114365,0.010743237100541592,3.469330310821533,0.021798625588417053,0.06476090103387833,828.3237915039062
904192,0.07610033452510834,-68.06806182861328,-0.00081609096378088,2.809098243713379,1.3355945348739624,0.001143613364547491,0.007386806420981884,0.031039206311106682,0.4806307256221771,68.0550308227539,68.02039337158203,100.76403,167.91655,49.57222,92.56908,45.032864,0.005344836972653866,2.577731132507324,0.02600257098674774,3.558004379272461,0.0,0.015431169420480728,0.0,0.03812011331319809,0.009374091401696205,3.5613369941711426,0.017225712537765503,0.037492863833904266,853.9563598632812
1032192,0.07445884495973587,-71.91769409179688,-0.004843402188271284,2.523158550262451,1.0648244619369507,0.0009106803336180747,0.02099129930138588,0.027936739847064018,0.5571699142456055,71.87712097167969,71.81864166259766,106.11832,173.35542,52.354694,98.00209,47.72519,0.06539583206176758,2.314427137374878,0.019572405144572258,3.1338770389556885,0.0,0.06939893960952759,0.0,0.031342409551143646,0.008450394496321678,3.1285464763641357,0.011744161136448383,0.0572369210422039,846.4113159179688
1160192,0.1036766767501831,-73.01092529296875,0.0014012762112542987,2.2877025604248047,1.1770880222320557,0.001209570444189012,0.004776031710207462,0.02629801072180271,0.43719351291656494,73.05709838867188,72.97111511230469,111.086174,178.42055,54.998287,101.93436,50.5287,0.003762640058994293,2.390489101409912,0.017711982131004333,3.2404956817626953,0.0,0.023497574031352997,0.0,0.023388497531414032,0.006578217260539532,3.222353458404541,0.01164364442229271,0.038860149681568146,854.1018676757812
1288192,0.09951554238796234,-73.43437957763672,0.0009386257152073085,2.5052666664123535,1.3001596927642822,0.0015741977840662003,0.006631321273744106,0.022892463952302933,0.4915524423122406,73.3765640258789,73.43882751464844,115.55686,183.07935,57.673462,105.611336,53.108936,0.004626947920769453,2.51594877243042,0.019076593220233917,3.492023468017578,0.0,0.01656511425971985,0.0,0.03695937246084213,0.010068085975944996,3.438660144805908,0.010707668960094452,0.066993847489357,859.9411010742188
