Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,4.4108350039095967e-07,-0.16096541285514832,0.001787827000953257,0.0027752339374274015,0.002226247452199459,1.067346238414757e-05,0.15051187574863434,0.0015338895609602332,-0.6371526718139648,0.16018110513687134,0.16019998490810394,19.231558,23.25028,30.369814,30.959866,30.083263,0.004299230873584747,0.9175445437431335,0.008549826219677925,0.9072856307029724,0.0,0.0020454598125070333,0.0,0.003372801933437586,0.0023842407390475273,0.9034342765808105,0.006258922163397074,0.004531160928308964,0.0
264192,1.1693519930133789e-08,-0.0512915700674057,4.841599729843438e-05,0.0027074217796325684,0.0023500060196965933,2.531276913941838e-05,0.17008709907531738,8.081227133516222e-05,-0.030112143605947495,0.05126763880252838,0.05130833387374878,24.40852,23.20445,32.287144,32.024574,32.402157,0.00341721810400486,0.9114221334457397,0.002554727951064706,0.89794921875,0.0,0.0033115032128989697,0.0,0.001870425185188651,0.005611788481473923,0.8988804221153259,0.004275520797818899,0.0032864382956176996,0.0
392192,0.0001957542699528858,-0.0311037078499794,3.953525811084546e-05,0.0032173970248550177,0.002345167100429535,0.00013110798317939043,0.1476697325706482,0.00010905989620368928,0.13739681243896484,0.03165585175156593,0.031614065170288086,30.38097,29.34283,35.252644,34.808804,36.07603,0.00524574238806963,0.9244520664215088,0.0038494011387228966,0.908450722694397,0.0,0.004982019308954477,0.0,0.0054685319773852825,0.005371414124965668,0.9046281576156616,0.004116465803235769,0.008353633806109428,3.484375
520192,0.008666960522532463,-0.20419347286224365,7.541839295299724e-05,0.03222587704658508,0.008500294759869576,0.0007882241043262184,0.10323915630578995,0.0006436145049519837,0.36068323254585266,0.1928403079509735,0.19655492901802063,39.77265,47.1106,39.981495,39.149323,39.513393,0.008296605199575424,0.9750813841819763,0.00944877415895462,0.9540405869483948,0.0,0.010053222998976707,0.0,0.01949232444167137,0.01043873094022274,0.9539220929145813,0.008517508395016193,0.016135763376951218,0.0
648192,0.03429532051086426,-1.9849166870117188,0.00010885521624004468,0.20108366012573242,0.0446452721953392,0.002453011693432927,0.03669130802154541,0.0014615108957514167,0.4619925916194916,1.9761629104614258,1.9944648742675781,48.35048,65.438255,42.798096,43.393593,45.137363,0.015690984204411507,1.0634528398513794,0.026064801961183548,1.127867341041565,0.0,0.018693432211875916,0.0,0.05202915146946907,0.019041195511817932,1.109565019607544,0.017458869144320488,0.048162154853343964,0.0
776192,0.09513512253761292,-3.9513726234436035,-9.214656165568158e-05,0.4023071229457855,0.08957286924123764,0.0035255379043519497,0.01932467892765999,0.004093030001968145,0.6489194631576538,3.9590678215026855,3.9158287048339844,57.254032,84.83187,47.821617,50.880527,51.54066,0.011111483909189701,1.1259503364562988,0.05687370523810387,1.2134275436401367,0.0,0.022660356014966965,0.0,0.05662408843636513,0.015061118640005589,1.1947104930877686,0.04401487857103348,0.049704574048519135,735.7734375
904192,0.12970848381519318,-14.377487182617188,-4.6222208766266704e-05,1.2812895774841309,0.4391179084777832,0.011752382852137089,0.041944000869989395,0.007432307116687298,0.4615898132324219,14.407791137695312,14.347784042358398,63.700123,99.6429,53.768734,57.321697,55.017822,0.020534001290798187,1.5465227365493774,0.04716312885284424,2.057283401489258,0.0,0.04850778728723526,0.0,0.0968804582953453,0.02123948000371456,2.0361132621765137,0.030398892238736153,0.08171413838863373,249.6875
1032192,0.21808382868766785,-20.533279418945312,-0.0004643765278160572,2.0905137062072754,0.7810255289077759,0.0050425054505467415,0.025835340842604637,0.021343078464269638,0.5190316438674927,20.465408325195312,20.4688663482666,70.19101,110.90288,58.84825,63.318718,59.127113,0.024360738694667816,1.8902409076690674,0.05597315728664398,2.571166515350342,0.0,0.0588662289083004,0.0,0.11070554703474045,0.027243126183748245,2.573944091796875,0.034245096147060394,0.08812905848026276,782.1484375
1160192,0.22459378838539124,-27.9034423828125,0.0017880902159959078,2.4559178352355957,1.0988080501556396,0.008513820357620716,0.04537642374634743,0.022790128365159035,0.3800329566001892,27.91366195678711,27.816585540771484,76.095215,119.22868,62.417744,68.13744,63.105953,0.02666950784623623,2.176159381866455,0.04767150059342384,3.0278570652008057,0.0,0.04626692086458206,0.0,0.09959930926561356,0.04049144312739372,2.999788761138916,0.0390409454703331,0.08323880285024643,735.34375
1288192,0.1692650318145752,-30.2491455078125,-0.0014615119434893131,2.4792468547821045,1.0940990447998047,0.008432967588305473,0.043523866683244705,0.024082504212856293,0.6021331548690796,30.23394012451172,30.21470832824707,81.73137,126.56702,65.19454,72.32253,66.759155,0.036062680184841156,2.17130708694458,0.06913505494594574,3.059004545211792,0.0,0.048370711505413055,0.0,0.08362634479999542,0.037308819591999054,3.0342822074890137,0.037954434752464294,0.07885830104351044,795.5390625
1416192,0.20127038657665253,-39.123985290527344,-0.0013753813691437244,2.84558367729187,1.2676293849945068,0.010384165681898594,0.04138505831360817,0.02431066893041134,0.6296072006225586,39.083683013916016,39.170413970947266,86.44704,133.14632,67.77706,75.994286,71.3937,0.023474186658859253,2.385066270828247,0.06339806318283081,3.4121294021606445,0.0,0.0458960086107254,0.0,0.11983616650104523,0.03181781619787216,3.348776340484619,0.036443717777729034,0.1083521768450737,739.25
