Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.019565826281905174,-5.509047985076904,0.003233326366171241,0.030500682070851326,0.016879592090845108,0.0006733188638463616,0.0010774703696370125,0.0027621970511972904,1.3435413837432861,5.5228142738342285,5.499978542327881,43.625317,50.40963,31.314564,31.444073,32.120804,0.004415369126945734,1.1289265155792236,0.004559462424367666,1.204383373260498,0.0,0.011338409036397934,0.0,0.022880882024765015,0.0025611547753214836,1.1948046684265137,0.003900849958881736,0.021912910044193268,86.57820129394531
264192,0.09605076909065247,-8.74898910522461,0.0006987919332459569,0.11357706785202026,0.04518046975135803,0.002804994350299239,0.0005878480151295662,0.0029112594202160835,2.147078514099121,8.768977165222168,8.75580883026123,61.361336,69.03986,34.6761,34.689823,36.04601,0.0021342276595532894,1.126272201538086,0.0048661986365914345,1.2732187509536743,0.0,0.01503322646021843,0.0,0.03136664628982544,0.0016416115686297417,1.2608551979064941,0.0037681488320231438,0.029900867491960526,90.28457641601562
392192,0.08472287654876709,-11.243075370788574,-0.0004233713843859732,0.20327803492546082,0.0868416428565979,0.002695126924663782,0.0024762125685811043,0.00311289238743484,2.6697750091552734,11.268939018249512,11.272823333740234,73.18538,82.34397,38.043613,39.119717,39.576454,0.0020390015561133623,1.1883759498596191,0.0046696714125573635,1.3678796291351318,0.0,0.015787113457918167,0.0,0.027011383324861526,0.000923847546800971,1.3474664688110352,0.004082506522536278,0.033880844712257385,132.489501953125
520192,0.07167865335941315,-14.03662395477295,-0.0005484819994308054,0.37435972690582275,0.16753676533699036,0.0014486962463706732,0.0018090112134814262,0.003725918009877205,2.617685556411743,14.046592712402344,14.066511154174805,82.07462,94.22257,41.276394,43.686287,42.341297,0.0020615519024431705,1.2825394868850708,0.004881082568317652,1.5814738273620605,0.0,0.015984902158379555,0.0,0.028893370181322098,0.0018823632271960378,1.5615469217300415,0.0037265289574861526,0.03612148016691208,168.60916137695312
648192,0.10376941412687302,-18.86904525756836,-0.0013620774261653423,0.8400923013687134,0.41544586420059204,0.0022940565831959248,0.003051414154469967,0.0038924110122025013,2.698132038116455,18.843868255615234,18.912277221679688,89.19171,103.487625,44.594147,47.84903,44.962326,0.001231995178386569,1.5648643970489502,0.006416894495487213,1.92564058303833,0.0,0.016370665282011032,0.0,0.027443040162324905,0.0015578222228214145,1.9292593002319336,0.005093914456665516,0.03477192297577858,173.00204467773438
776192,0.06689055263996124,-21.90280532836914,-0.0006926223868504167,1.1059157848358154,0.5140568614006042,0.0016616896027699113,0.0015011675423011184,0.0038750343956053257,2.958482503890991,21.91730308532715,21.93433952331543,95.64538,111.205894,47.84837,52.639835,47.930046,0.0018990880344063044,1.6575902700424194,0.0030306896660476923,2.1754167079925537,0.0,0.017219461500644684,0.0,0.026913102716207504,0.0008821199298836291,2.1741135120391846,0.002324532251805067,0.035933975130319595,310.1997985839844
904192,0.054958440363407135,-23.261425018310547,0.00022378901485353708,1.5380213260650635,0.6618882417678833,0.0011276908917352557,0.001485480461269617,0.003923551179468632,2.406338930130005,23.287023544311523,23.2922420501709,101.502014,117.591705,51.19021,57.528217,50.618996,0.002067586872726679,1.8502063751220703,0.00493896659463644,2.4276692867279053,0.0,0.016993558034300804,0.0,0.023184631019830704,0.001016339985653758,2.447406053543091,0.004199683666229248,0.03391987457871437,273.40948486328125
1032192,0.08940409868955612,-26.073028564453125,0.0002351934090256691,1.556383728981018,0.8315693736076355,0.0009785444708541036,0.0023677258286625147,0.0043597109615802765,2.5697808265686035,26.137218475341797,26.06223487854004,107.02818,123.32074,54.609818,63.04827,53.294964,0.0006015670369379222,1.9835562705993652,0.006618487183004618,2.538998603820801,0.0,0.015110999345779419,0.0,0.02420913614332676,0.0011888595763593912,2.5221261978149414,0.007366817444562912,0.04497866332530975,307.25341796875
1160192,0.09010111540555954,-26.60784912109375,-0.0012297106441110373,1.3931610584259033,0.7023903131484985,0.0008541601710021496,0.0009130592225119472,0.0044069960713386536,2.776486396789551,26.653011322021484,26.57763671875,112.23458,129.21036,57.98158,68.63698,56.05618,0.0012853823136538267,1.8474465608596802,0.004495688714087009,2.4216980934143066,0.0,0.013480797410011292,0.0,0.021536394953727722,0.0009796314407140017,2.3998427391052246,0.0037852772511541843,0.03305242583155632,451.03497314453125
1288192,0.055481694638729095,-30.13495445251465,-0.002367704175412655,1.667038917541504,0.8017785549163818,0.0010567570570856333,0.005278999917209148,0.004303309600800276,3.113593816757202,30.128387451171875,30.119550704956055,117.33193,134.9701,61.245056,74.35754,58.53621,0.0017278017476201057,1.9657831192016602,0.0029308288358151913,2.648512363433838,0.0,0.01541396789252758,0.0,0.02562517672777176,0.00036203343188390136,2.6817522048950195,0.002624334767460823,0.049766819924116135,371.09112548828125
