Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0025039820466190577,-0.2646631598472595,0.0013866079971194267,0.05534831061959267,0.019653722643852234,0.0036349778529256582,0.09516770392656326,0.0017851790180429816,-0.2744700610637665,0.27644795179367065,0.2731553912162781,30.57857,61.88785,30.244963,31.920092,31.833183,0.004950125701725483,0.9988215565681458,0.010680550709366798,1.0088694095611572,0.0,0.01216869242489338,0.0,0.012789766304194927,0.004056035540997982,1.0295571088790894,0.008616549894213676,0.03314431011676788,16.686695098876953
264192,0.06322063505649567,-0.8323183655738831,-0.00010526488040341064,0.23161479830741882,0.10871013253927231,0.0024608212988823652,0.03579647094011307,0.0016906870296224952,0.65327388048172,0.8632416725158691,0.8828885555267334,43.632885,93.382545,32.282196,34.662674,34.42282,0.008379396051168442,1.1229329109191895,0.006802007090300322,1.203709602355957,0.0,0.012840659357607365,0.0,0.014934366568922997,0.004334155470132828,1.1990629434585571,0.00511536281555891,0.02194531448185444,30.889272689819336
392192,0.04611865431070328,-0.3793495297431946,0.0004728127387352288,0.07006252557039261,0.03537852689623833,0.0005567215266637504,0.03564143180847168,0.0021382886916399,0.28655797243118286,0.41283708810806274,0.4319304823875427,52.083138,117.6286,35.362854,38.645397,37.421383,0.0018766903085634112,1.0544097423553467,0.007976091466844082,1.0713791847229004,0.0,0.011980741284787655,0.0,0.013191438280045986,0.011204621754586697,1.073053002357483,0.009009422734379768,0.015058908611536026,21.037128448486328
520192,0.0478246808052063,-0.5718375444412231,0.00016954926832113415,0.24518045783042908,0.052012424916028976,0.0005685709766112268,0.04593649506568909,0.002471460960805416,0.4650140702724457,0.6141884326934814,0.5930492877960205,58.163307,135.89201,38.705936,42.644115,40.385887,0.004132000729441643,1.0694884061813354,0.010560918599367142,1.145627498626709,0.0,0.012841233983635902,0.0,0.009851081296801567,0.003686639480292797,1.1434071063995361,0.008251842111349106,0.014646857976913452,16.932754516601562
648192,0.06396512687206268,-0.6675553321838379,5.756060272688046e-05,0.09741667658090591,0.043312374502420425,0.0003077847068198025,0.03064858913421631,0.002220823662355542,0.47053003311157227,0.737409234046936,0.6896209120750427,63.511555,149.1567,41.645157,46.47851,43.24492,0.003536162432283163,1.0892932415008545,0.003065001918002963,1.1260616779327393,0.0,0.015780959278345108,0.0,0.011424165219068527,0.0016051084967330098,1.1253998279571533,0.002778490073978901,0.013356461189687252,23.929656982421875
776192,0.06995120644569397,-0.49966639280319214,0.00013419482274912298,0.09531811624765396,0.0430167056620121,0.00039349013241007924,0.043024901300668716,0.0016933430451899767,0.4150157868862152,0.5402080416679382,0.5626612901687622,68.40307,160.46893,44.490883,50.08407,45.928646,0.0022672952618449926,1.045386552810669,0.004093357361853123,1.0886247158050537,0.0,0.007978606037795544,0.0,0.007459978573024273,0.0005281856283545494,1.090087652206421,0.00407796585932374,0.009923823177814484,26.292062759399414
904192,0.05162745714187622,-0.7677683234214783,-0.0002568798663560301,0.17708612978458405,0.08112787455320358,0.0004135661874897778,0.04217486083507538,0.0018265035469084978,0.5585275888442993,0.7993603944778442,0.8359907865524292,72.89603,169.8547,47.150116,53.49357,48.38877,0.0021695338655263186,1.1012604236602783,0.00857720896601677,1.1790437698364258,0.0,0.009016190655529499,0.0,0.011510303243994713,0.0017401415389031172,1.1732245683670044,0.008507661521434784,0.018700510263442993,21.458412170410156
1032192,0.0601421594619751,-0.8869598507881165,0.00030941824661567807,0.34046971797943115,0.14527861773967743,0.00041063627577386796,0.03793052211403847,0.001942467293702066,0.33083438873291016,0.9371588230133057,0.90355384349823,77.46918,178.29947,49.791466,56.855434,50.91583,0.0014006351120769978,1.156313419342041,0.004272808320820332,1.2293493747711182,0.0,0.011023368686437607,0.0,0.007173214573413134,0.0027365772984921932,1.2271876335144043,0.004226939287036657,0.01059369370341301,22.399688720703125
1160192,0.06956753134727478,-0.8905785083770752,0.00020690952078439295,0.2612396776676178,0.12973442673683167,0.0002890593314077705,0.0437207892537117,0.0022256674710661173,0.3777182698249817,0.9579409956932068,0.9231022596359253,81.65417,186.17072,52.358364,60.29869,53.22234,0.0011832898017019033,1.1418380737304688,0.002314427401870489,1.2194695472717285,0.0,0.008875980973243713,0.0,0.00822210032492876,0.0007322704186663032,1.214402437210083,0.0020029759034514427,0.012637919746339321,40.17648696899414
1288192,0.043404001742601395,-0.9745497703552246,0.0004885135567747056,0.19037605822086334,0.0968126580119133,0.00024094400578178465,0.04219816252589226,0.002358707133680582,0.3293309211730957,0.9837261438369751,1.0317778587341309,85.467964,194.30595,54.566196,63.546288,55.54498,0.0012291488237679005,1.1101536750793457,0.004458130337297916,1.1816866397857666,0.0,0.007851446978747845,0.0,0.008295871317386627,0.0010632023913785815,1.1795010566711426,0.004144423641264439,0.009984008967876434,39.46017074584961
1416192,0.09376755356788635,-1.4647889137268066,0.00010325179027859122,0.23634885251522064,0.11341605335474014,0.0007893640431575477,0.030405208468437195,0.0027609686367213726,0.46652287244796753,1.5106755495071411,1.4951695203781128,89.32534,201.9339,57.143566,66.61495,57.729145,0.0009393448708578944,1.145335078239441,0.0016876505687832832,1.214475393295288,0.0,0.008895043283700943,0.0,0.007642410229891539,0.0016084732487797737,1.212620735168457,0.0013090651482343674,0.010781148448586464,37.040382385253906
1544192,0.10641160607337952,-1.7326884269714355,5.6537784985266626e-05,0.24012607336044312,0.1184723898768425,0.00032657760311849415,0.046270254999399185,0.0029598884284496307,0.5270400047302246,1.7891371250152588,1.8070955276489258,92.829865,209.81105,59.405365,69.641525,59.880817,0.0009005878819152713,1.1470444202423096,0.010757505893707275,1.2661508321762085,0.0,0.008868653327226639,0.0,0.008508232422173023,0.0005134728271514177,1.2637921571731567,0.010752860456705093,0.009803692810237408,44.775569915771484
1672192,0.06898273527622223,-1.6845974922180176,0.0003241782251279801,0.33474722504615784,0.17122167348861694,0.0002355552278459072,0.040354229509830475,0.003355007153004408,0.43055078387260437,1.7343981266021729,1.731334924697876,96.53919,217.38623,61.439873,72.46026,62.00278,0.0002132007502950728,1.2054426670074463,0.0030813999474048615,1.3320523500442505,0.0,0.00888591818511486,0.0,0.008321329951286316,0.0030261275824159384,1.329711675643921,0.0038768607191741467,0.009205608628690243,38.14570236206055
1800192,0.056307241320610046,-1.5979760885238647,1.3110693544149399e-05,0.3999105393886566,0.1865309774875641,0.000256534869549796,0.03042154759168625,0.0033107190392911434,0.5054812431335449,1.6518175601959229,1.6848227977752686,99.79772,224.548,63.37512,75.251724,64.02741,0.0006182084907777607,1.2414836883544922,0.002967996057122946,1.3697044849395752,0.0,0.010246304795145988,0.0,0.007868136279284954,0.0016149251023307443,1.3618215322494507,0.0030700701754540205,0.012443233281373978,51.90764617919922
1928192,0.102017343044281,-2.747062921524048,-0.0007678552647121251,0.5342814922332764,0.2577778100967407,0.00047733448445796967,0.030842043459415436,0.003261202247813344,0.6940831542015076,2.7949657440185547,2.8302741050720215,103.139824,231.25839,65.7378,78.04088,65.974884,0.0032220864668488503,1.320753574371338,0.005502576008439064,1.5427987575531006,0.0,0.008657930418848991,0.0,0.009201831184327602,0.001120714470744133,1.5349931716918945,0.005157991778105497,0.013781997375190258,51.99323654174805
2056192,0.06994332373142242,-2.3069372177124023,6.787115125916898e-05,0.42773786187171936,0.20551365613937378,0.0003961158508900553,0.033623091876506805,0.003330268431454897,0.5454504489898682,2.344923496246338,2.412813186645508,106.49061,237.28796,67.71349,80.89221,68.00246,0.0009347251034341753,1.2583736181259155,0.0008749347762204707,1.4345464706420898,0.0,0.01116576511412859,0.0,0.010345722548663616,0.0006151057314127684,1.4337670803070068,0.000930484791751951,0.01323635596781969,42.27214813232422
2184192,0.09004108607769012,-2.6149020195007324,-0.00035822633071802557,0.48964935541152954,0.23985052108764648,0.00047898106276988983,0.04266440123319626,0.0036637322045862675,0.6938244104385376,2.6505537033081055,2.694927215576172,109.89299,243.28352,69.91519,83.46824,69.965614,0.00013378688890952617,1.2667183876037598,0.0030544924084097147,1.45354163646698,0.0,0.010069603100419044,0.0,0.011003702878952026,0.0005493228090927005,1.4442541599273682,0.0031030799727886915,0.02180459164083004,75.0614013671875
2312192,0.08603616058826447,-1.7111992835998535,1.8532991816755384e-05,0.21217218041419983,0.10707636922597885,0.0001723982859402895,0.03993939608335495,0.0035567949526011944,0.4918519854545593,1.777132511138916,1.770755410194397,113.38269,249.04553,71.662445,86.22431,71.85448,0.0006166899111121893,1.124565601348877,0.002005414105951786,1.2052209377288818,0.0,0.0070602623745799065,0.0,0.006435247138142586,0.0010769539512693882,1.2084970474243164,0.002038267906755209,0.010647265240550041,59.78565216064453
2440192,0.043236564844846725,-2.4204254150390625,0.00012047929340042174,0.5372159481048584,0.25604429841041565,0.0004347369249444455,0.033176012337207794,0.003423587651923299,0.4809238314628601,2.459061622619629,2.4829206466674805,116.8645,254.78793,73.96584,88.77038,73.71883,0.000873749959282577,1.3057775497436523,0.0012594202999025583,1.5231908559799194,0.0,0.009940549731254578,0.0,0.007543839979916811,0.0007092712912708521,1.5111935138702393,0.0015985643258318305,0.015978818759322166,60.835426330566406
2568192,0.150284543633461,-2.55749773979187,0.00032428227132186294,0.5223389267921448,0.195066437125206,0.00020754417346324772,0.03640144318342209,0.003532807808369398,0.4341157078742981,2.6237502098083496,2.643657684326172,120.18782,259.9347,75.931946,91.30304,75.53833,0.001078018918633461,1.2198200225830078,0.001406799303367734,1.3518933057785034,0.0,0.007040761411190033,0.0,0.007562831975519657,0.0021774647757411003,1.3548383712768555,0.0031863246113061905,0.009868631139397621,43.599761962890625
2696192,0.1302420198917389,-3.4686107635498047,0.00011533805081853643,0.4750852584838867,0.22799052298069,0.0004338696307968348,0.03926283121109009,0.0030716757755726576,0.4711019694805145,3.5051779747009277,3.5468673706054688,123.3859,265.18298,77.812164,93.65043,77.3325,0.0006059166043996811,1.2753907442092896,0.0017980284756049514,1.4777772426605225,0.0,0.013080287724733353,0.0,0.008813103660941124,0.002683906815946102,1.4881913661956787,0.0025858916342258453,0.016610248014330864,88.28617858886719
2824192,0.07324091345071793,-2.985379219055176,-0.00019641011022031307,0.5444450974464417,0.2674962878227234,0.0004531953891273588,0.04010753706097603,0.0030390401370823383,0.5682864189147949,3.0358633995056152,3.054560661315918,126.56012,270.4617,79.697334,96.14451,79.04566,0.0012811946216970682,1.3024647235870361,0.0002888287999667227,1.4849438667297363,0.0,0.007622036151587963,0.0,0.007661379873752594,0.0007785987691022456,1.4877870082855225,0.0009156601154245436,0.0113817248493433,51.74464797973633
2952192,0.08889426290988922,-3.045828342437744,-0.00035498756915330887,0.5615218281745911,0.27958381175994873,0.00032308141817338765,0.03964943811297417,0.0034005362540483475,0.6065582633018494,3.139141082763672,3.0738320350646973,129.66037,275.55087,81.62051,98.461235,80.689026,0.0017473814077675343,1.3151137828826904,0.008210870437324047,1.4890836477279663,0.0,0.009203055873513222,0.0,0.00895233079791069,0.00018084724433720112,1.5015172958374023,0.008166009560227394,0.016263898462057114,70.46238708496094
3080192,0.09460526704788208,-3.149207830429077,0.0002595180121716112,0.3211153745651245,0.15561255812644958,0.0002526185126043856,0.03120332956314087,0.003915070090442896,0.4247438609600067,3.2153284549713135,3.2216544151306152,132.83685,280.77228,83.408646,100.78182,82.354004,0.00023013183090370148,1.2050609588623047,0.0007587445434182882,1.3438100814819336,0.0,0.01084243506193161,0.0,0.0072466470301151276,0.0012192684225738049,1.3408204317092896,0.0019351922674104571,0.011894527822732925,47.33226776123047
3208192,0.10545824468135834,-3.5240864753723145,-0.00038125651190057397,0.5888606309890747,0.300829142332077,0.0003918041184078902,0.03790505230426788,0.0038118355441838503,0.5174826383590698,3.5973024368286133,3.5740933418273926,135.92386,285.7844,85.18755,103.18598,83.98041,0.000601943233050406,1.333174467086792,0.0006742721889168024,1.5193477869033813,0.0,0.00969238393008709,0.0,0.008012959733605385,0.00025985229876823723,1.518391489982605,0.0008599980501458049,0.010029768571257591,71.69537353515625
3336192,0.12405107170343399,-4.166571617126465,-7.358037692029029e-06,0.670825719833374,0.3096952438354492,0.00020702315669041127,0.03775651007890701,0.003891583299264312,0.521801769733429,4.232996940612793,4.273102760314941,138.89606,290.5751,87.02768,105.48662,85.64697,0.0005934595828875899,1.3160924911499023,0.0011149647179991007,1.5025274753570557,0.0,0.007567217107862234,0.0,0.007437196560204029,0.0002793296880554408,1.5088963508605957,0.0012811673805117607,0.014711675234138966,63.364540100097656
