Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.005449878983199596,-0.23205095529556274,0.0016477217432111502,0.035353757441043854,0.010152912698686123,0.0008075759396888316,0.05797768011689186,0.10620027780532837,0.0016852917615324259,-0.4694459140300751,0.24704456329345703,0.23829209804534912,27.693476,61.499252,30.285822,31.739624,31.014395,0.004593634512275457,1.0069365501403809,0.008927620016038418,0.9984224438667297,0.0,0.010354290716350079,0.0,0.0107671357691288,0.003216913202777505,0.9849547147750854,0.007007361389696598,0.016713207587599754,8.50266170501709
264192,0.005597230046987534,-0.08349163085222244,-1.1735340194718447e-05,0.01830071583390236,0.009935029782354832,0.000590197741985321,0.06575073301792145,0.09852500259876251,0.00026802608044818044,0.562248706817627,0.09181561321020126,0.09360715746879578,35.519924,82.4866,31.371317,32.95447,32.405163,0.0019998042844235897,0.9944013357162476,0.00284164072945714,0.9759875535964966,0.0,0.007429674733430147,0.0,0.007041726727038622,0.006267066113650799,0.9820189476013184,0.004726903513073921,0.014476105570793152,7.386811256408691
392192,0.0021984039340168238,-0.054797131568193436,2.4942757590906695e-05,0.03162673860788345,0.014711614698171616,0.0003621842770371586,0.07182367891073227,0.0975031703710556,0.00028070551343262196,0.48660987615585327,0.059491898864507675,0.059454429894685745,40.856937,98.65568,33.070797,34.575592,34.25856,0.0032855987083166838,0.9881088137626648,0.003969804849475622,0.9758890867233276,0.0,0.008066665381193161,0.0,0.00534494873136282,0.0028364656027406454,0.9741215705871582,0.003304306883364916,0.005726933479309082,3.6137518882751465
520192,0.012355518527328968,-0.4055597484111786,1.1025013009202667e-05,0.042466018348932266,0.023039568215608597,0.00032466059201397,0.040081389248371124,0.7258557677268982,0.00026306742802262306,0.392276793718338,0.4165605306625366,0.4217427372932434,45.67294,113.0193,34.90962,36.311474,36.194485,0.0004704716557171196,1.026301622390747,0.0013977824710309505,1.0253287553787231,0.0,0.005903801415115595,0.0,0.007714347448199987,0.0006346598966047168,1.01665198802948,0.0014411899028345942,0.011878404766321182,3.7291834354400635
648192,0.006547550205141306,-0.07105572521686554,2.017231599893421e-05,0.02538546547293663,0.012454725801944733,0.00022477871971204877,0.03862326964735985,0.08609746396541595,0.0003426388429943472,0.415994793176651,0.07492941617965698,0.08885636180639267,49.690037,123.90821,36.907845,37.912872,38.41641,0.0004946037661284208,1.0108253955841064,0.00235649268142879,0.9831922054290771,0.0,0.004627492278814316,0.0,0.0048108575865626335,0.001621511299163103,0.9822601675987244,0.002022254280745983,0.006246688775718212,7.753817081451416
776192,0.004205247387290001,-0.061389535665512085,2.894006684073247e-06,0.008108865469694138,0.0056817615404725075,0.0003191254800185561,0.059815213084220886,0.031250014901161194,0.000193628337001428,0.46515098214149475,0.06701406836509705,0.06794095039367676,53.38434,131.80699,38.859737,40.356026,40.224102,0.0035650664940476418,0.9935808181762695,0.002676474628970027,0.9773726463317871,0.0,0.0037656063213944435,0.0,0.004191946238279343,0.0019990867003798485,0.9789541959762573,0.0024659237824380398,0.006100209429860115,18.530437469482422
904192,0.024437449872493744,-0.22560518980026245,6.475246664194856e-06,0.015840943902730942,0.010546627454459667,0.00013663893332704902,0.0659700334072113,0.31879183650016785,0.00025987718254327774,0.5374740362167358,0.24860797822475433,0.23682650923728943,56.66923,139.10414,40.85219,42.491203,42.025555,0.0028249456081539392,0.9919363260269165,0.0020718176383525133,0.9872958660125732,0.0,0.007722967304289341,0.0,0.00460949819535017,0.0004593360936269164,0.9896201491355896,0.001749895978718996,0.006205845158547163,21.87923812866211
1032192,0.015765288844704628,-0.3189001977443695,1.6241727280430496e-05,0.026734666898846626,0.013554705306887627,8.57011618791148e-05,0.057702988386154175,0.41121572256088257,0.0002227037912234664,0.5029308795928955,0.332391619682312,0.3233180344104767,60.163612,146.65578,42.71873,45.201725,44.08881,0.003710340242832899,1.0053997039794922,0.0004435321898199618,0.997353196144104,0.0,0.0038720015436410904,0.0,0.004707484506070614,0.002387064043432474,1.0038026571273804,0.0022462178021669388,0.009452123194932938,22.65727424621582
1160192,0.10400243103504181,-0.9774179458618164,-1.1466347132227384e-05,0.22591660916805267,0.12677189707756042,0.0002105026796925813,0.04260518029332161,1.4380054473876953,0.0002441618125885725,0.5979182720184326,1.012657880783081,0.9957679510116577,63.62428,154.55124,44.847713,47.987915,46.158123,0.0035080646630376577,1.1330437660217285,0.0014638942666351795,1.1832389831542969,0.0,0.005862519145011902,0.0,0.0058662607334554195,0.0012718169018626213,1.1753522157669067,0.000715450500138104,0.009585835970938206,18.958240509033203
1288192,0.05287919193506241,-0.8878986239433289,-2.130360371666029e-06,0.13012871146202087,0.062354810535907745,0.00022662933042738587,0.03424050658941269,1.2670009136199951,0.0003610019339248538,0.5149704217910767,0.9192875623703003,0.9163469076156616,66.57609,162.47052,46.6914,51.421764,48.12342,0.000582214561291039,1.0962650775909424,0.0015017150435596704,1.134097933769226,0.0,0.0062636625953018665,0.0,0.006978439167141914,0.0011009357403963804,1.1371078491210938,0.0017215961124747992,0.007254221476614475,40.21803665161133
