Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,3.5341518014320172e-06,-0.13934659957885742,0.001582971541211009,0.009512828662991524,0.003359317546710372,0.0013827849179506302,0.15385088324546814,0.0016157684149220586,-0.5166904330253601,0.14000211656093597,0.13888780772686005,22.94469,43.09622,31.516438,31.760279,32.025105,0.005039968527853489,0.923919141292572,0.018564512953162193,0.89870285987854,0.0,0.009972915053367615,0.0,0.018274251371622086,0.004389019683003426,0.9030786752700806,0.015514520928263664,0.019975032657384872,0.8671875
264192,0.017859961837530136,-0.1127505898475647,-6.1688492678513285e-06,0.21111713349819183,0.025349272415041924,0.0009547703084535897,0.1909274309873581,0.0001727195776766166,0.5238288640975952,0.12070366740226746,0.11544803529977798,33.92321,52.91578,33.223873,33.72713,33.792988,0.003972047008574009,0.9245537519454956,0.0036115094553679228,0.9128885269165039,0.0,0.010539278388023376,0.0,0.020504962652921677,0.002140241675078869,0.9046742916107178,0.003363615833222866,0.023537863045930862,0.2265625
392192,7.134239012884791e-07,-0.013857793062925339,3.9071783248800784e-05,0.008417520672082901,0.0036330432631075382,0.0002117770491167903,0.1905529648065567,0.00010634035425027832,0.24079960584640503,0.014167945832014084,0.013883634470403194,39.77298,58.285336,35.010406,36.31002,35.54401,0.004315108060836792,0.8964482545852661,0.008884215727448463,0.8838049173355103,0.0,0.006596195977181196,0.0,0.010460929945111275,0.001671751495450735,0.8854460716247559,0.007937613874673843,0.008912160992622375,0.5078125
520192,0.01039904449135065,-0.027484599500894547,-1.6373718608519994e-05,0.1115185022354126,0.025677328929305077,0.0005374810425564647,0.17761296033859253,0.00012023584713460878,0.733150839805603,0.028348900377750397,0.028719386085867882,45.19523,62.520718,37.084522,38.487694,37.113987,0.01213391125202179,0.9332031011581421,0.003516812575981021,0.9147652387619019,0.0,0.005665529984980822,0.0,0.009860561229288578,0.001922574476338923,0.9206081628799438,0.0027444297447800636,0.01117129996418953,0.4140625
648192,0.002828925382345915,-0.012790052220225334,2.337673504371196e-05,0.05696143954992294,0.00513065978884697,0.0007439362234435976,0.154509499669075,0.00011724288924597204,0.3169634938240051,0.015870708972215652,0.013336049392819405,48.723217,66.35553,39.649685,40.651787,38.60022,0.0020360019989311695,0.9188662767410278,0.003088959027081728,0.9215099811553955,0.0,0.0051492201164364815,0.0,0.011452881619334221,0.007727093994617462,0.9014835357666016,0.007249915506690741,0.02153736725449562,1.53125
776192,4.9199435636637645e-08,-0.0016639020759612322,1.3070975001028273e-05,0.007716614753007889,0.003134562633931637,0.0002157013223040849,0.16315850615501404,0.00012098926526959985,0.3594377636909485,0.002202505012974143,0.0017074086936190724,52.072395,69.48438,41.531082,42.56712,40.33192,0.00416948739439249,0.908521294593811,0.011783378198742867,0.9010863304138184,0.0,0.005139097571372986,0.0,0.008856302127242088,0.003080029971897602,0.8961827754974365,0.009330278262495995,0.009480578824877739,0.0
904192,0.0003844855818897486,-0.009197072125971317,-1.72591935552191e-05,0.006830491125583649,0.0025472594425082207,0.0004624539287760854,0.16043180227279663,6.740068056387827e-05,0.7637580037117004,0.00969284400343895,0.00991987157613039,54.95065,71.959045,43.98592,44.68191,42.635544,0.006349224131554365,0.9210068583488464,0.007826492190361023,0.9001113772392273,0.0,0.006362487096339464,0.0,0.009346225298941135,0.0055561307817697525,0.9009296894073486,0.00726768933236599,0.008995593525469303,0.34375
1032192,0.0036997818388044834,-0.03986639156937599,1.5430638086399995e-05,0.07754334807395935,0.026551665738224983,0.0002450965694151819,0.15705057978630066,9.083515033125877e-05,0.28322964906692505,0.025037802755832672,0.028587620705366135,58.356125,74.11314,46.260426,46.75379,44.43934,0.004631154239177704,0.9429343342781067,0.001164366491138935,0.9321813583374023,0.0,0.008419237099587917,0.0,0.008572030812501907,0.006772690452635288,0.9253097176551819,0.00587454903870821,0.010443171486258507,1.109375
1160192,0.013135378248989582,-0.06050999462604523,-9.012433110910933e-07,0.19737251102924347,0.04834242910146713,0.004683850333094597,0.16308224201202393,0.00010639199172146618,0.4662192761898041,0.05303186550736427,0.06334884464740753,61.2734,75.81345,48.28344,49.19853,46.587753,0.0032113101333379745,0.9633246660232544,0.006347483955323696,0.9613101482391357,0.0,0.011384978890419006,0.0,0.017201535403728485,0.001726748188957572,0.9645302295684814,0.005273559130728245,0.01647631637752056,1.8671875
1288192,0.00017768658290151507,-0.007555775810033083,6.390709586412413e-06,0.008136862888932228,0.0035040872171521187,0.00011500609252834693,0.1659287065267563,0.00013985189434606582,0.4851114749908447,0.007610578089952469,0.008876253850758076,64.03045,77.56293,50.690186,51.524544,48.42083,0.0030165635980665684,0.9079955816268921,0.0013846501242369413,0.8937313556671143,0.0,0.00433982303366065,0.0,0.006193423643708229,0.0021373869385570288,0.8938361406326294,0.0011433137115091085,0.00572198024019599,3.640625
