Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,2.825576848408673e-05,0.015220027416944504,0.47054150700569153,1.3672174215316772,5.082569987280294e-05,-0.7038063406944275,0.022409433498978615,0.6970464587211609,0.9400469064712524,27.282804,29.8264,21.972115,55.16128,26.531443,0.0
264192,3.025301793968538e-06,0.002545140450820327,0.3594208061695099,0.2952921986579895,4.917917522107018e-06,0.34448927640914917,0.016189802438020706,-0.3584786057472229,0.37471261620521545,38.111767,34.224552,24.087845,70.240036,35.873573,0.5234375
392192,2.36201176448958e-05,0.00014337019820231944,0.2559509873390198,0.786594808101654,6.237391971808393e-07,0.08173124492168427,0.011539075523614883,-0.09065775573253632,0.10231693089008331,42.155052,37.342083,25.272604,81.09084,40.846615,0.25
520192,0.0013516772305592895,6.339217361528426e-05,0.5484233498573303,0.8067721128463745,6.692749252579233e-07,0.0339595228433609,0.012958815321326256,-0.04089375585317612,0.05333337187767029,43.872406,40.3498,26.157959,90.60116,44.59588,0.40625
648192,3.2747400837251917e-05,2.9828084734617732e-05,0.3393666744232178,0.580249547958374,8.71393785928376e-06,0.006892044097185135,0.006184663623571396,-0.03812161087989807,0.044822514057159424,46.26495,44.264126,27.046356,101.75084,48.266438,0.5
776192,0.0007048327825032175,1.891515239549335e-05,0.5102294683456421,0.8403801918029785,2.5205963538610376e-06,-0.005190825089812279,0.0061874836683273315,-0.003737891558557749,0.009609904140233994,49.272633,47.75234,27.476776,111.32464,51.81545,0.3515625
904192,0.007817339152097702,0.0076009538024663925,0.43281257152557373,0.7375848293304443,0.007573179434984922,-0.018236961215734482,0.005710650235414505,0.014390714466571808,0.011989166960120201,52.652332,50.74037,28.378103,120.12303,55.18302,0.6953125
1032192,0.00530625507235527,3.7019366573076695e-05,0.4437883198261261,0.6893991231918335,1.183141421279288e-06,-0.020452678203582764,0.04285886138677597,0.01214856281876564,0.04913274198770523,54.3903,52.682926,29.718122,128.26385,58.21469,0.1015625
1160192,0.0005591807421296835,3.8479207432828844e-05,0.6559901833534241,0.4918346405029297,1.6978284520519082e-06,-0.03191544860601425,0.016279632225632668,0.005713620688766241,0.024684937670826912,57.79294,55.175495,31.760609,137.67903,61.4006,0.640625
1288192,0.00594185059890151,4.984979022992775e-05,0.47580453753471375,0.5460216999053955,1.2110126590414438e-06,-0.048691753298044205,0.02286163903772831,0.013306835666298866,0.023068467155098915,60.733433,57.660942,33.282238,146.20653,64.398125,2.078125
