Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,MICo/Grad_ratio,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,1.7815842511481605e-05,-0.09021854400634766,0.0017548600444570184,0.006393040530383587,0.0016145184636116028,-0.6074739098548889,0.08913416415452957,0.09402821958065033,4.839959144592285,4.813607692718506,4.77531623840332,0.06464295834302902,4.77531623840332,5.203732013702393,22.628695,34.479782,19.725813,13.335955,0.1796875
264192,1.4007871413923567e-06,-0.024579403921961784,2.9711303795920685e-05,0.0009612340945750475,0.00010468321124790236,0.17452199757099152,0.024647606536746025,0.02637122943997383,1.5525894165039062,1.5408778190612793,1.4884034395217896,0.06418605893850327,1.4884034395217896,10.05260181427002,31.255209,38.503384,29.636156,21.935123,0.1953125
392192,2.3266569115776292e-08,-0.008725147694349289,7.777326572977472e-06,0.002460476476699114,9.159844921668991e-06,-0.3403951823711395,0.008722028695046902,0.008723394945263863,1.2704681158065796,1.2202081680297852,1.225541114807129,0.044927194714546204,1.2255408763885498,295342944.0,35.129276,41.254566,41.210674,26.093994,0.25
520192,4.3272009975225956e-08,-0.006430306006222963,1.3210307088229456e-06,0.005027356091886759,2.9211723813205026e-06,-0.021347112953662872,0.006430244073271751,0.00661859568208456,0.8111200928688049,0.7461531162261963,0.7427986860275269,0.06832139194011688,0.7427987456321716,250755.65625,37.048714,44.557667,50.504333,30.0962,0.6015625
648192,1.4504848877550103e-06,-0.014366966672241688,1.252164838660974e-05,0.0033437982201576233,1.7641774320509285e-05,-0.226155087351799,0.014651443809270859,0.01436297595500946,0.8934822082519531,0.8439606428146362,0.8264589905738831,0.06702327728271484,0.8264589905738831,5.616487979888916,39.01902,49.691277,62.06587,35.594803,0.1015625
776192,0.002191165927797556,-0.016927534714341164,1.3163472431187984e-05,0.005247313529253006,1.6703834262443706e-05,-0.3242841362953186,0.014609044417738914,0.014491611160337925,0.7529350519180298,0.719810962677002,0.6772090196609497,0.07572605460882187,0.6772090196609497,0.003994056023657322,41.890976,53.47532,69.46452,40.339466,0.2109375
904192,1.8296583448318415e-07,-0.010357627645134926,2.0694199065474095e-07,0.0030933090019971132,1.4672700672235806e-06,0.3334836959838867,0.010358115658164024,0.011227414011955261,0.7792973518371582,0.7567647695541382,0.6990745663642883,0.08022281527519226,0.6990745663642883,452047936.0,43.112877,55.694313,78.236015,42.436905,3.125
1032192,0.00010668164759408683,-0.0335615910589695,-4.264807103027124e-06,0.0015433002263307571,8.557110959372949e-06,0.9821957349777222,0.0343891941010952,0.03376925736665726,0.7414921522140503,0.7400584816932678,0.6561887264251709,0.08530344069004059,0.6561886668205261,0.007384533528238535,45.7108,58.26153,85.65758,46.21952,2.671875
1160192,0.0002019752428168431,-0.012319378554821014,8.077033271547407e-06,0.004384815692901611,1.8577144146547653e-05,0.11977510899305344,0.013278848491609097,0.012364399619400501,0.7678300738334656,0.7469772100448608,0.6732147932052612,0.09461528062820435,0.6732147932052612,0.02064008079469204,47.736904,63.36638,98.65846,50.54046,2.2578125
1288192,0.008250598795711994,-0.1264464110136032,2.8915312213939615e-05,0.0065764389000833035,4.682379585574381e-05,-0.06167349964380264,0.12731386721134186,0.13021141290664673,1.1640589237213135,1.1163947582244873,1.0563074350357056,0.10775162279605865,1.0563074350357056,0.00043579452903941274,50.905014,66.13309,103.43448,55.139477,1.6484375
