Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,1.6404564462391136e-07,-0.35745927691459656,0.003660190850496292,0.003295194823294878,0.002781730378046632,4.521092705545016e-06,0.15778833627700806,0.0015410023042932153,-1.3742495775222778,0.35547590255737305,0.3555702567100525,17.93156,22.807981,30.170315,30.301023,30.715471,0.0034711025655269623,0.9158238172531128,0.0002806088887155056,0.8981989622116089,0.0,0.002179327653720975,0.0,0.001501063583418727,0.00048634305130690336,0.8989764451980591,0.00036051447386853397,0.0014730824623256922,0.0
264192,1.2703958773840895e-08,-0.11467213183641434,0.00012256481568329036,0.002583991037681699,0.002040289808064699,2.460714085827931e-06,0.16538086533546448,6.223907985258847e-05,-1.0156055688858032,0.11484093964099884,0.11459849774837494,25.080408,22.751299,31.202291,30.473223,32.595306,0.001318218419328332,0.9153125882148743,0.0014391524018719792,0.8989753127098083,0.0,0.0007045490201562643,0.0,0.000825430965051055,0.0002537397958803922,0.8990163803100586,0.001217363402247429,0.0007990082376636565,0.0
392192,1.2211621713831278e-09,-0.03439002484083176,-1.4380371794686653e-05,0.0022118338383734226,0.0016639039386063814,4.79403411191015e-07,0.16573038697242737,8.380317012779415e-06,2.9382200241088867,0.034405000507831573,0.034441687166690826,30.306614,22.766703,32.622948,31.797022,34.102757,0.0009954717243090272,0.9164848327636719,0.001358452602289617,0.8996139168739319,0.0,0.0005458926316350698,0.0,0.0005617414135485888,0.00020649851649068296,0.8999425172805786,0.001164677320048213,0.0005802204832434654,0.0
520192,0.017834225669503212,-0.38415291905403137,-0.0044157360680401325,0.07791928201913834,0.01795913837850094,0.00048733039875514805,0.06995031237602234,0.004255231004208326,2.0272324085235596,0.34619569778442383,0.33192387223243713,38.90965,37.72638,38.922295,36.03492,36.89039,0.003782037179917097,1.0041589736938477,0.01272057369351387,0.9924899339675903,0.0,0.007238021120429039,0.0,0.016515394672751427,0.004657171666622162,0.9809291362762451,0.008782865479588509,0.02420535683631897,0.0
648192,0.41542860865592957,-2.7078278064727783,-0.0064943828620016575,0.15603980422019958,0.07976903021335602,0.0011106145102530718,0.028922107070684433,0.031617362052202225,1.22056245803833,2.630568027496338,2.6621956825256348,46.227226,63.80658,44.359837,40.89277,41.17702,0.002939795143902302,1.0846232175827026,0.014758214354515076,1.103743553161621,0.0,0.009432051330804825,0.0,0.019179465249180794,0.005287555977702141,1.0922846794128418,0.012294447049498558,0.01979679800570011,960.0
776192,0.676673412322998,-14.750617980957031,-0.0017634471878409386,1.6417429447174072,0.7061977386474609,0.002272107871249318,0.0401730090379715,0.09764093160629272,1.132466435432434,14.725774765014648,14.8003511428833,54.189182,90.38369,48.629128,47.866844,46.35432,0.01053214818239212,1.729110598564148,0.03807136043906212,2.288139820098877,0.0,0.01965264417231083,0.0,0.04012897610664368,0.01563328504562378,2.2884745597839355,0.023788217455148697,0.032484713941812515,905.0
904192,0.9367406964302063,-22.70989418029785,0.0021759974770247936,2.681777000427246,1.085893988609314,0.001982008572667837,0.030324650928378105,0.1533665806055069,1.0565630197525024,22.77459144592285,22.703683853149414,60.528893,104.365135,52.00886,54.13025,49.9214,0.004321423824876547,2.1456339359283447,0.014060460031032562,2.9426333904266357,0.0,0.056904613971710205,0.0,0.02976047247648239,0.006232872139662504,2.946384906768799,0.009966811165213585,0.03313041478395462,960.0
1032192,0.5248477458953857,-32.2519416809082,-0.020785333588719368,3.7690017223358154,1.7041560411453247,0.0008994828094728291,0.0211184099316597,0.2171310931444168,1.095120906829834,32.46178436279297,32.36419677734375,65.66694,113.49338,54.881702,59.27667,53.02748,0.004691620357334614,2.6648154258728027,0.03511057049036026,3.6602466106414795,0.0,0.017446283251047134,0.0,0.034336015582084656,0.010405962355434895,3.6499180793762207,0.02508893422782421,0.033280231058597565,960.0
1160192,0.9023736715316772,-38.26197814941406,0.06674940139055252,3.432403802871704,1.5291134119033813,0.0017964703729376197,0.020829401910305023,0.21859365701675415,0.7875937819480896,38.294830322265625,38.278175354003906,71.022736,120.58937,57.610683,64.99074,56.013054,0.008284876123070717,2.5390138626098633,0.009027366526424885,3.7008376121520996,0.0,0.033736452460289,0.0,0.02628488838672638,0.0035503292456269264,3.704843521118164,0.006488390266895294,0.024902813136577606,961.0
1288192,1.4591658115386963,-45.506507873535156,0.053778089582920074,3.6554946899414062,1.7172038555145264,0.0019037607125937939,0.019002437591552734,0.20560933649539948,0.7799518704414368,45.403038024902344,45.490264892578125,76.82663,127.26847,60.77869,69.82755,58.793034,0.0037344228476285934,2.704155445098877,0.01967325434088707,3.8548808097839355,0.0,0.025258777663111687,0.0,0.02713174745440483,0.0037286472506821156,3.849790096282959,0.016155946999788284,0.030728723853826523,960.0
1416192,2.911144495010376,-57.575408935546875,0.019809536635875702,3.3823931217193604,1.5403863191604614,0.0014816412003710866,0.017500344663858414,0.1820552498102188,0.9882498383522034,57.34082794189453,57.346954345703125,82.25257,134.06801,63.577972,75.20138,61.5122,0.005220070481300354,2.591525077819824,0.015231582336127758,3.712989330291748,0.0,0.033030834048986435,0.0,0.03348644822835922,0.001335697015747428,3.683870792388916,0.013976311311125755,0.04796890541911125,960.0
1544192,1.3740034103393555,-62.018882751464844,0.02114182710647583,3.7895259857177734,1.752408742904663,0.0006620416534133255,0.011303659528493881,0.22525128722190857,1.0507020950317383,61.93163299560547,61.896209716796875,87.39587,139.03369,66.12967,80.51641,64.39699,0.0033767512068152428,2.760261297225952,0.014767148531973362,3.773988962173462,0.0,0.01783330738544464,0.0,0.026687471196055412,0.0026395106688141823,3.7870283126831055,0.012407553382217884,0.03264429792761803,960.0
1672192,1.2421704530715942,-64.5192642211914,-0.010159172117710114,3.7932372093200684,1.835181713104248,0.000782129995059222,0.009611204266548157,0.16890071332454681,1.2309801578521729,64.30372619628906,64.34919738769531,92.17802,143.53162,68.73827,86.09704,66.95101,0.0008237113943323493,2.791332721710205,0.0073095569387078285,3.8323330879211426,0.0,0.015223337337374687,0.0,0.028862617909908295,0.0014570655766874552,3.8032474517822266,0.006535134743899107,0.04593411833047867,960.0
1800192,0.705872654914856,-68.05232238769531,0.009079962968826294,3.744246482849121,1.7131075859069824,0.0008760697674006224,0.009458571672439575,0.1341930329799652,0.9294682741165161,67.7977066040039,67.86317443847656,96.880066,147.57397,71.47167,91.24422,69.8298,0.002676823176443577,2.684375762939453,0.00635730754584074,3.7564756870269775,0.0,0.026464980095624924,0.0,0.023462971672415733,0.002884207759052515,3.764683246612549,0.006048939656466246,0.02745690941810608,960.0
1928192,0.8529523611068726,-74.21116638183594,-0.0034440411254763603,3.38700270652771,1.3541007041931152,0.0010998756624758244,0.00771680474281311,0.11998028308153152,1.0633504390716553,73.99131774902344,74.048828125,100.97286,151.02129,74.11423,96.782074,72.73567,0.004651854746043682,2.587022304534912,0.010647298768162727,3.568112850189209,0.0,0.022358406335115433,0.0,0.024658653885126114,0.002929156646132469,3.564168930053711,0.008015364408493042,0.028972705826163292,960.0
2056192,1.2862210273742676,-75.41661071777344,-0.012182467617094517,3.9092767238616943,1.820548176765442,0.0005297816824167967,0.018509091809391975,0.10403697937726974,1.0428848266601562,75.04527282714844,75.12822723388672,105.02584,154.14781,76.90822,102.08887,75.516174,0.0013091366272419691,2.804185152053833,0.009694148786365986,3.871074914932251,0.0,0.035358600318431854,0.0,0.025071628391742706,0.001827560132369399,3.854645252227783,0.007885808125138283,0.04185643047094345,960.0
