Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,MICo/Grad_ratio,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,0.35459965467453003,-7.9051995277404785,0.00026761856861412525,0.5322412252426147,0.030591651797294617,0.4773866534233093,7.734676361083984,7.748749732971191,18.120704650878906,18.218360900878906,17.98668670654297,0.1340157389640808,17.98668670654297,0.0008176648407243192,34.35581,52.466427,16.703243,21.060751,205.3515625
264192,0.9023385643959045,-31.847164154052734,0.010375868529081345,0.8771767020225525,0.04859915375709534,0.3080921471118927,31.611692428588867,31.61724853515625,21.948928833007812,22.48931312561035,21.833120346069336,0.11580965667963028,21.83312225341797,0.0008979890262708068,44.998604,66.34922,19.818918,26.273836,1000.0
392192,1.7700364589691162,-53.432098388671875,-0.004394213669002056,1.0027679204940796,0.035713113844394684,0.6734715104103088,53.11579895019531,53.11138916015625,25.926231384277344,26.70832061767578,25.82453155517578,0.10170279443264008,25.82452964782715,0.00031287421006709337,51.427315,75.59435,23.747463,29.893955,1000.0
520192,0.2436188906431198,-64.32133483886719,0.0026190460193902254,0.950148344039917,0.016376538202166557,0.31800878047943115,64.21903991699219,64.19624328613281,26.920778274536133,27.4378662109375,26.82843017578125,0.09234766662120819,26.82843017578125,0.000662544509395957,57.694633,83.54594,27.660835,33.215347,1000.0
648192,0.32401004433631897,-73.89000701904297,0.0004348101210780442,0.8336400389671326,0.011097915470600128,0.538162887096405,73.77074432373047,73.77200317382812,25.774700164794922,26.194629669189453,25.6947021484375,0.07999756932258606,25.6947021484375,0.0022073944564908743,62.511074,90.26466,30.921967,35.959595,1000.0
776192,0.18713948130607605,-78.48316955566406,0.001806821208447218,0.7820519804954529,0.01156461238861084,0.3133459687232971,78.33807373046875,78.33746337890625,24.502113342285156,24.76371192932129,24.430072784423828,0.07204285264015198,24.430072784423828,0.002385112689808011,66.62707,95.45852,33.82267,38.404083,1000.0
904192,0.460896372795105,-81.75920104980469,0.0011027390137314796,0.7141897678375244,0.0076154558919370174,0.38226261734962463,81.63261413574219,81.65699768066406,23.52518081665039,23.699981689453125,23.458457946777344,0.06672242283821106,23.458457946777344,0.003510313341394067,70.41307,100.471115,36.528236,40.55662,1000.0
1032192,0.09806808829307556,-82.2884521484375,0.00036703061778098345,0.6420230865478516,0.004906357266008854,0.3694247305393219,82.22931671142578,82.22808837890625,22.231075286865234,22.502952575683594,22.165802001953125,0.06527248024940491,22.165802001953125,0.0029422363732010126,74.00842,104.93334,38.696262,42.649273,1000.0
1160192,0.07580767571926117,-83.68895721435547,-0.0005193445831537247,0.6165778040885925,0.00470720836892724,0.5306574106216431,83.63821411132812,83.6611557006836,21.312419891357422,21.672229766845703,21.24802589416504,0.06439308077096939,21.24802589416504,0.002286533359438181,77.54739,109.48723,40.87492,44.742443,1000.0
1288192,0.13559886813163757,-85.90625762939453,0.000297429331112653,0.5825937986373901,0.004824950359761715,0.48154330253601074,85.82550048828125,85.8457260131836,20.06344985961914,20.347150802612305,20.003976821899414,0.05947129800915718,20.003976821899414,0.0012132014380767941,80.96275,113.516136,42.791725,46.542374,1000.0
