Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.042587362229824066,0.1584201157093048,2.61726713180542,2.3828582763671875,0.09369943290948868,-4.573575973510742,7.48387336730957,-3.447003126144409,10.87098503112793,37.85989,41.182587,21.905005,95.621155,33.787785,333.8856201171875
264192,0.2763510048389435,1.017467975616455,2.606654644012451,2.388758659362793,0.0697493776679039,-46.15467834472656,21.178096771240234,24.172374725341797,13.234189987182617,48.791622,69.53334,26.233082,99.88063,45.51409,434.58721923828125
392192,0.46921542286872864,0.14531832933425903,2.261432647705078,2.3333137035369873,0.06368180364370346,-50.920738220214844,32.63977813720703,19.245075225830078,14.922101974487305,56.309513,86.69122,30.66585,106.37424,55.9226,732.7099609375
520192,0.4818216860294342,0.18122267723083496,1.9680657386779785,2.3449208736419678,0.09910791367292404,-70.37841796875,45.50514221191406,25.623340606689453,20.791568756103516,61.377693,98.79087,32.291164,119.20622,61.84417,669.447265625
648192,0.3487247824668884,0.08911594748497009,1.424835443496704,2.3339715003967285,0.08495672047138214,-86.93394470214844,54.49955749511719,32.17987060546875,22.759998321533203,65.338776,106.08684,33.498566,127.3409,66.85642,643.1602783203125
776192,0.4389355182647705,0.2132640928030014,0.8878144025802612,2.3346669673919678,0.03346167877316475,-99.17436218261719,64.45407104492188,36.257598876953125,28.151918411254883,69.11666,111.627235,34.923172,135.55629,72.22006,826.4318237304688
904192,0.27771860361099243,0.15094062685966492,1.2563135623931885,2.319988489151001,0.048573676496744156,-105.02140808105469,69.71520233154297,37.50286865234375,33.04989242553711,72.57989,116.491264,36.556107,141.93573,76.60181,835.8793334960938
1032192,0.3069729804992676,0.10285778343677521,1.379475474357605,2.3211541175842285,0.055976949632167816,-111.47341918945312,69.8651123046875,39.605106353759766,31.63111114501953,75.384094,120.99937,37.740917,149.0759,80.68938,856.094482421875
1160192,0.3012705147266388,0.08483139425516129,1.2824188470840454,2.3374202251434326,0.03926067054271698,-113.17845153808594,73.52554321289062,39.07098388671875,34.849857330322266,78.204865,124.99034,38.824596,155.48643,84.39288,790.612060546875
1288192,0.47727108001708984,0.08888940513134003,1.1212141513824463,2.331099510192871,0.03441139683127403,-112.41090393066406,74.5010986328125,36.70170974731445,38.22615051269531,80.601776,128.83289,39.87349,161.9323,87.15731,826.4527587890625
1416192,0.377393901348114,0.13621342182159424,1.0405964851379395,2.3353569507598877,0.03786081820726395,-120.91382598876953,78.6653060913086,44.43642807006836,34.0323486328125,83.23882,132.62654,41.29703,167.20082,89.770966,827.8961181640625
1544192,0.28167834877967834,0.3934193253517151,0.6955482959747314,2.333503484725952,0.08188433200120926,-133.62017822265625,78.68675231933594,52.166038513183594,27.404022216796875,85.52108,136.38547,42.95038,174.01877,92.423874,706.9656982421875
1672192,0.2042262852191925,0.3438139259815216,0.5972908735275269,2.3253815174102783,0.03410074859857559,-134.29617309570312,80.87091064453125,56.54433822631836,25.03986930847168,87.644035,140.17273,44.01942,179.03358,95.31417,810.9737548828125
1800192,0.3252798318862915,0.46600791811943054,1.3559118509292603,2.3242299556732178,0.04455554485321045,-141.12387084960938,79.37457275390625,60.35523986816406,19.933204650878906,89.97072,143.84146,45.415653,185.18784,98.016136,593.7648315429688
1928192,0.19477875530719757,0.1615990847349167,0.6143184900283813,2.321850538253784,0.031043054535984993,-129.66531372070312,80.42855072021484,47.549644470214844,34.54541778564453,91.965485,147.64449,46.456066,190.54265,100.15015,826.590576171875
2056192,0.09587655961513519,0.20626792311668396,1.2546346187591553,2.335578203201294,0.044214025139808655,-137.0985565185547,80.82659912109375,54.69865417480469,26.79973602294922,93.40853,150.82889,47.139503,195.86484,102.790924,852.1258544921875
2184192,0.22058239579200745,0.18915393948554993,1.9100842475891113,2.308025360107422,0.028097454458475113,-133.88897705078125,81.8837890625,51.15419006347656,33.033653259277344,95.375496,154.22177,47.926235,200.22647,105.06873,744.7890625
2312192,0.19568319618701935,0.3491406738758087,0.5228019952774048,2.322496175765991,0.04527983069419861,-132.50448608398438,81.78120422363281,49.90983581542969,32.202144622802734,97.29492,157.45195,48.572952,204.94072,106.94938,858.7803955078125
2440192,0.23925241827964783,0.23822256922721863,0.4216758608818054,2.3201420307159424,0.039525553584098816,-141.0365753173828,86.17233276367188,58.600128173828125,28.424243927001953,99.26451,160.53918,49.967854,210.07368,109.53815,776.8291015625
2568192,0.18577265739440918,0.399669349193573,0.597473680973053,2.311354398727417,0.028767792508006096,-150.95880126953125,85.50928497314453,67.38272094726562,20.27496910095215,101.0787,163.94469,51.2433,213.3967,111.72731,703.765380859375
2696192,0.13725963234901428,0.22582758963108063,0.34840449690818787,2.3136203289031982,0.025976231321692467,-144.500244140625,85.00534057617188,59.51579284667969,25.805057525634766,102.87264,166.95262,51.86114,218.2121,113.28117,586.306640625
2824192,0.23761075735092163,0.2031315267086029,0.4743022322654724,2.32253360748291,0.028653498739004135,-134.2328643798828,85.42886352539062,51.00765609741211,34.98509979248047,104.58612,170.14088,52.496544,221.57565,115.00698,594.0855712890625
