Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,2.815611424011877e-07,-0.1589481681585312,0.0017473010811954737,0.0028514484874904156,0.0022521396167576313,1.5530655218753964e-05,0.15375666320323944,0.0,0.001523912069387734,-0.6520395278930664,0.15817134082317352,0.15810656547546387,19.779764,23.21569,30.397177,30.98191,30.222513,0.007970648817718029,0.921071469783783,0.004715623799711466,0.9030807018280029,0.0,0.0017750653205439448,0.0,0.0036819973029196262,0.003684835974127054,0.9041775465011597,0.0018177188467234373,0.0036090812645852566,0.0
264192,2.0647412668495235e-08,-0.05014193803071976,4.5371169107966125e-05,0.002585591981187463,0.002021114807575941,4.369113412394654e-06,0.16344484686851501,0.0,0.0001020329145831056,0.11044539511203766,0.05016449838876724,0.050104811787605286,24.660715,23.164183,32.10184,31.981295,32.11957,0.002632666379213333,0.9164621233940125,0.001980425789952278,0.8990524411201477,0.0,0.0014079749817028642,0.0,0.0014896601205691695,0.0021010967902839184,0.8979711532592773,0.0020129068288952112,0.001743566244840622,0.0
392192,5.446439743650444e-09,-0.014779679477214813,9.411004612047691e-06,0.0028116609901189804,0.0022630866151303053,8.572395017836243e-06,0.15789347887039185,0.0,1.667024116613902e-05,-0.014843730255961418,0.014811176806688309,0.014826993457973003,26.65024,23.155136,32.9324,32.908997,35.80937,0.004035277757793665,0.9177675843238831,0.0010506849503144622,0.9010539054870605,0.0,0.001175444689579308,0.0,0.0019099030178040266,0.003093432169407606,0.9004181623458862,0.0026383656077086926,0.0014928465243428946,1.796875
520192,0.0017741922056302428,0.033295873552560806,-9.046041668625548e-05,0.010307027958333492,0.0026066142600029707,0.00044356955913826823,0.11816848814487457,0.00025265372823923826,0.00022672121122013777,0.8292935490608215,-0.023828735575079918,-0.031065190210938454,30.697626,32.50221,37.83641,37.594124,40.485752,0.005975561216473579,0.9568668603897095,0.004830265883356333,0.9363081455230713,0.0,0.0046906303614377975,0.0,0.00882950983941555,0.005098320543766022,0.9303383827209473,0.004449266009032726,0.012123076245188713,0.0
648192,0.0076389373280107975,-0.128495454788208,-3.23476706398651e-06,0.07640475779771805,0.01644076779484749,0.0024512549862265587,0.07386994361877441,0.38212090730667114,0.0005118536646477878,0.48675811290740967,0.13541759550571442,0.14591670036315918,36.461037,42.602757,42.89526,41.140045,44.53412,0.004795969929546118,1.0054380893707275,0.015276671387255192,0.9884639978408813,0.0,0.022517802193760872,0.0,0.019687138497829437,0.005820977967232466,0.9824768304824829,0.012794815935194492,0.02083674445748329,36.2109375
776192,0.0344182550907135,-1.2946817874908447,8.83467509993352e-05,0.2166462391614914,0.06707834452390671,0.002422446385025978,0.04207669571042061,2.4957773685455322,0.0019126557745039463,0.5435486435890198,1.3074100017547607,1.3031110763549805,41.953766,54.836937,46.365284,44.546974,48.57553,0.014798912219703197,1.076850175857544,0.02206702157855034,1.1274645328521729,0.0,0.02081775665283203,0.0,0.028568971902132034,0.01597566157579422,1.1193866729736328,0.013650479726493359,0.03624112904071808,0.0
904192,0.03969322517514229,-1.5825220346450806,-0.00030482816509902477,0.23539243638515472,0.07412967830896378,0.005579603835940361,0.03721258044242859,3.2022485733032227,0.0024757247883826494,0.5321725606918335,1.5988914966583252,1.6048312187194824,47.878933,65.80436,50.503956,50.01925,52.529873,0.012540856376290321,1.108807921409607,0.04122203588485718,1.1492434740066528,0.0,0.017847968265414238,0.0,0.03521530330181122,0.016673505306243896,1.1483283042907715,0.02861546352505684,0.04505764693021774,0.0
1032192,0.03162195533514023,-1.496703863143921,0.0003663123934529722,0.19798457622528076,0.060913413763046265,0.0033232015557587147,0.029652055352926254,3.1914772987365723,0.0026445130351930857,0.3820733428001404,1.5137205123901367,1.5301682949066162,52.43239,71.316734,54.126118,54.84413,56.90876,0.009070784784853458,1.0856395959854126,0.016310464590787888,1.135435938835144,0.0,0.01873772405087948,0.0,0.023591432720422745,0.012221238575875759,1.1336042881011963,0.010706445202231407,0.02781525067985058,0.0
1160192,0.019934147596359253,-0.6808562874794006,0.00018234830349683762,0.03449242562055588,0.009580121375620365,0.0023253511171787977,0.0383036844432354,1.877485990524292,0.002369653433561325,0.46493765711784363,0.6882447600364685,0.712710440158844,56.85857,74.99468,57.45374,58.995464,61.38532,0.00915293488651514,1.0189471244812012,0.011366612277925014,0.9949705600738525,0.0,0.031658150255680084,0.0,0.0195164792239666,0.016117554157972336,0.9891807436943054,0.010312557220458984,0.020678918808698654,0.0
1288192,0.03360399231314659,-1.5970219373703003,-0.00046472687972709537,0.2230781465768814,0.08261029422283173,0.002955484203994274,0.03821133077144623,3.241617441177368,0.0021521523594856262,0.7666329145431519,1.5982160568237305,1.6359144449234009,61.424824,78.27372,60.588493,62.328003,66.24739,0.008413532748818398,1.091538429260254,0.012504694983363152,1.1474127769470215,0.0,0.022445660084486008,0.0,0.022582225501537323,0.012711456045508385,1.1374386548995972,0.010471612215042114,0.026870058849453926,0.0
1416192,0.021872851997613907,-0.9702707529067993,-1.723684363241773e-05,0.15034575760364532,0.05279088392853737,0.0027929963544011116,0.03345222771167755,2.44191837310791,0.0014490721514448524,0.5564621686935425,0.9716627597808838,1.00991690158844,65.34679,81.4485,63.33657,65.93737,69.89973,0.0050907619297504425,1.069199800491333,0.007081352639943361,1.077994465827942,0.0,0.016468670219182968,0.0,0.021147198975086212,0.007911667227745056,1.0815799236297607,0.00920120719820261,0.02200521156191826,3.390625
1544192,0.1308133900165558,-3.0111773014068604,-0.0001618661917746067,0.3664821684360504,0.151742622256279,0.0014084503054618835,0.029151352122426033,5.9247307777404785,0.003285882296040654,0.5245720148086548,3.056290864944458,3.0409669876098633,68.32434,84.49245,65.30234,69.11485,72.70887,0.006818104535341263,1.1680870056152344,0.017798002809286118,1.2751002311706543,0.0,0.01848418265581131,0.0,0.029769202694296837,0.009158006869256496,1.2546544075012207,0.015055139549076557,0.02745523676276207,629.59375
1672192,0.037546899169683456,-6.4909138679504395,-0.00019916625751648098,0.8475109934806824,0.34544119238853455,0.0032935715280473232,0.04192052036523819,11.909147262573242,0.0024884799495339394,0.5981285572052002,6.506678104400635,6.534987449645996,70.98562,88.05652,67.60031,72.63068,74.86793,0.020001545548439026,1.3980718851089478,0.007125635165721178,1.6190788745880127,0.0,0.0321405865252018,0.0,0.05547873675823212,0.018992526456713676,1.645693302154541,0.014053615741431713,0.049194373190402985,169.109375
1800192,0.06990741193294525,-8.249770164489746,-0.0007824957137927413,0.8740681409835815,0.3785116374492645,0.0027225427329540253,0.03478045016527176,13.406083106994629,0.0032537090592086315,0.7047469019889832,8.302531242370605,8.239765167236328,74.134865,92.188835,70.18138,75.833824,76.969475,0.011663805693387985,1.409755825996399,0.01886647567152977,1.721517562866211,0.0,0.03240399807691574,0.0,0.046076904982328415,0.011461801826953888,1.7005250453948975,0.01532637607306242,0.058267220854759216,183.734375
1928192,0.08184460550546646,-7.699279308319092,0.00033610736136324704,0.8744003176689148,0.4101719856262207,0.0025819435250014067,0.03332973271608353,13.411775588989258,0.0028698607347905636,0.4257168471813202,7.731046676635742,7.7373552322387695,77.4004,96.31528,72.78569,79.0865,79.34595,0.011715071275830269,1.4327651262283325,0.0070261177606880665,1.703268051147461,0.0,0.027722513303160667,0.0,0.03710349276661873,0.010431690141558647,1.6937549114227295,0.008025911636650562,0.03156166896224022,2.796875
2056192,0.06814713031053543,-7.989019393920898,-0.00044351574615575373,1.003447413444519,0.3574088513851166,0.0021891342476010323,0.03485943004488945,14.366679191589355,0.003272971836850047,0.697406530380249,8.02119255065918,8.05994701385498,81.23678,100.00238,75.41959,81.69132,81.668076,0.011257368139922619,1.3916513919830322,0.00779084162786603,1.649749755859375,0.0,0.02463378943502903,0.0,0.03214725852012634,0.008647815324366093,1.663163661956787,0.00968189351260662,0.04288390278816223,398.5859375
2184192,0.05958586931228638,-7.598502159118652,0.00042130867950618267,1.012717604637146,0.4143226444721222,0.0023356128949671984,0.0438234806060791,13.173066139221191,0.003239406505599618,0.35995763540267944,7.712051868438721,7.615313529968262,84.594894,103.178375,78.1463,84.71359,83.890434,0.010052950121462345,1.4407920837402344,0.012742668390274048,1.7497116327285767,0.0,0.024468304589390755,0.0,0.03821332007646561,0.009661977179348469,1.7274844646453857,0.010222288779914379,0.039795394986867905,36.0234375
2312192,0.07577373832464218,-7.454808712005615,-0.00030463680741377175,0.9918495416641235,0.3831179440021515,0.0027546887286007404,0.031153300777077675,13.890918731689453,0.004233103711158037,0.5216261148452759,7.493429183959961,7.507901191711426,87.97685,106.64651,80.472885,87.37437,86.00696,0.010191923938691616,1.4104726314544678,0.017969129607081413,1.6616747379302979,0.0,0.025579335168004036,0.0,0.041165247559547424,0.011684284545481205,1.6648849248886108,0.01626626029610634,0.03787306696176529,0.0
