Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,6.087931865295104e-07,-0.16056892275810242,0.0017990852938964963,0.008221878670156002,0.0033979834988713264,7.125717820599675e-05,0.19744768738746643,0.0015353510389104486,-0.6450583934783936,0.1595926284790039,0.1600734442472458,19.883251,23.224747,30.395206,30.905725,30.2082,0.005128554999828339,0.8911598920822144,0.007231574505567551,0.8735663294792175,0.0,0.0017902381950989366,0.0,0.00295426812954247,0.004573793150484562,0.8776346445083618,0.0032668747007846832,0.0049048918299376965,0.0
264192,1.2850398967145793e-08,-0.05051247403025627,6.117457814980298e-05,0.008986800909042358,0.0041851261630654335,9.254759061150253e-05,0.22741618752479553,7.988166180439293e-05,-0.24948669970035553,0.05054943263530731,0.050460703670978546,26.35728,23.161451,32.16159,32.2411,32.559006,0.0031928960233926773,0.8697808980941772,0.004431816749274731,0.8646492958068848,0.0,0.005591921042650938,0.0,0.0023884756956249475,0.006541651673614979,0.8641695976257324,0.004105919040739536,0.005106775555759668,0.0
392192,8.758096470273813e-09,-0.014483475126326084,-2.5206368263752665e-06,0.01345193013548851,0.0039363401010632515,0.0005763862864114344,0.21715691685676575,3.449081486905925e-05,0.4549238085746765,0.014506565406918526,0.01450057327747345,31.475462,23.163301,33.134014,33.45578,35.28442,0.0049912212416529655,0.8820518255233765,0.0014136211248114705,0.8661630153656006,0.0,0.0015749884769320488,0.0,0.0021059010177850723,0.0022440156899392605,0.8652453422546387,0.0011815759353339672,0.003280229866504669,0.0
520192,8.59957144712098e-05,-0.004416250623762608,-7.396560249617323e-05,0.006328674964606762,0.0015571772819384933,0.00011622795136645436,0.15957973897457123,5.4298008762998506e-05,1.7970736026763916,0.005519982427358627,0.004858965519815683,34.961235,25.346382,35.095882,34.632553,38.691628,0.003848226275295019,0.9177639484405518,0.0011911352630704641,0.9071829319000244,0.0,0.0015124424826353788,0.0,0.0039207227528095245,0.002284579211845994,0.9072215557098389,0.00209093582816422,0.005933758802711964,0.0
648192,0.0026663311291486025,-0.03133882209658623,2.441079413983971e-05,0.06592612713575363,0.0036223228089511395,0.0019104768289253116,0.16975456476211548,0.0007370577077381313,0.5316834449768066,0.03296978399157524,0.031314946711063385,39.009087,34.91379,38.66145,38.17872,43.26589,0.005154862068593502,0.9075905084609985,0.01123771071434021,0.9044389724731445,0.0,0.006270602345466614,0.0,0.01216220110654831,0.003998922184109688,0.8968222141265869,0.008551531471312046,0.013885324820876122,9.625
776192,0.01233032625168562,-0.284853458404541,7.411485057673417e-06,0.40692681074142456,0.0518614798784256,0.010079586878418922,0.08329625427722931,0.0006566461524926126,0.5461186170578003,0.295121967792511,0.2909865379333496,44.51619,45.060963,46.37168,42.332523,47.747498,0.0077245645225048065,1.0310810804367065,0.02918981947004795,1.0538346767425537,0.0,0.01670711673796177,0.0,0.030856270343065262,0.01138644851744175,1.0331714153289795,0.023006727918982506,0.04787496477365494,51.125
904192,0.1598111391067505,-0.826839804649353,-0.0002542060101404786,0.3369307518005371,0.06459151953458786,0.018119746819138527,0.05221206322312355,0.001638052868656814,0.655974805355072,0.8718279600143433,0.8474687337875366,50.120266,57.009182,55.040886,45.69758,52.539917,0.010279340669512749,1.0794427394866943,0.033531952649354935,1.0786199569702148,0.0,0.04216461628675461,0.0,0.04017576947808266,0.014513086527585983,1.074336290359497,0.024621659889817238,0.05112721771001816,78.6640625
1032192,0.11084122955799103,-6.823288917541504,-0.0003476483980193734,2.8612656593322754,0.5541399717330933,0.020190920680761337,0.02829781174659729,0.0054078432731330395,0.5095078349113464,6.895097255706787,6.800971508026123,55.41223,68.97558,62.8624,50.02886,58.276752,0.024621792137622833,1.527132511138916,0.05435501039028168,1.8992313146591187,0.0,0.07055693119764328,0.0,0.05306291580200195,0.026563487946987152,1.8597159385681152,0.03365297615528107,0.07300414144992828,0.0
1160192,0.11088769137859344,-5.771190643310547,-0.0005517922691069543,1.9927902221679688,0.42407897114753723,0.015253315679728985,0.03012867458164692,0.009054619818925858,0.5365893840789795,5.781980037689209,5.781383037567139,60.106983,77.20118,69.52607,54.423073,65.02805,0.019859537482261658,1.4287203550338745,0.05706246197223663,1.691725254058838,0.0,0.06433196365833282,0.0,0.04115884751081467,0.01962643302977085,1.6704955101013184,0.04092870280146599,0.051977258175611496,0.0
1288192,0.12297605723142624,-5.976829528808594,-0.001355737796984613,1.6919896602630615,0.385522723197937,0.006047320552170277,0.05213885009288788,0.010836319997906685,0.6965294480323792,6.0197553634643555,5.978726387023926,65.121574,84.1002,76.09166,58.516293,71.340576,0.01704787276685238,1.3697247505187988,0.030899252742528915,1.5770418643951416,0.0,0.0479704812169075,0.0,0.044330351054668427,0.016155263409018517,1.5731945037841797,0.019151246175169945,0.043436065316200256,617.9375
