Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.0019586451817303896,0.020214758813381195,0.10052786767482758,2.3098108768463135,0.017248334363102913,0.6285136342048645,0.007786502130329609,-0.6362939476966858,0.6439206004142761,25.741268,23.238749,18.922186,58.563377,17.982624,0.0
264192,0.003391931764781475,0.00014470232417806983,0.2288433313369751,2.3214118480682373,3.5868656595994253e-06,0.19620142877101898,0.03206472471356392,-0.21557599306106567,0.2474328726530075,31.187551,30.196136,21.849226,71.641075,18.061811,0.015625
392192,0.03108670376241207,1.1403321877878625e-05,0.9052801132202148,2.17634916305542,3.971990514273216e-10,0.07624281197786331,0.04657178744673729,-0.0984722226858139,0.1437458097934723,40.001266,34.94286,23.101173,85.69403,18.072056,0.0
520192,0.0009574474534019828,0.0019552072044461966,1.234567642211914,2.1810662746429443,0.0019511383725330234,-0.046467870473861694,0.07348045706748962,-0.023938341066241264,0.09791505336761475,46.80744,40.289814,23.691746,93.29214,18.0729,8.4765625
648192,0.02067355439066887,0.043667394667863846,2.2854881286621094,1.6949771642684937,0.04391109570860863,-0.7752395868301392,0.49189579486846924,0.2540794909000397,0.4562009871006012,53.136593,46.931007,25.525723,106.2495,18.090149,0.0
776192,0.04761703312397003,0.04471910372376442,1.0110931396484375,1.5926393270492554,0.07015655934810638,-2.3300271034240723,1.5383491516113281,0.6954045295715332,1.3244189023971558,59.15211,58.876038,27.59995,116.811165,18.095816,178.453125
904192,0.1267240345478058,0.13653749227523804,0.4412912428379059,1.523208498954773,0.038118716329336166,-5.532652854919434,3.409189224243164,1.2899713516235352,2.639099359512329,67.07982,68.42141,29.07123,126.06558,18.096178,51.1640625
1032192,0.16300064325332642,0.04979939013719559,0.48260703682899475,2.264953136444092,0.40399348735809326,-10.297919273376465,8.283147811889648,2.1062402725219727,6.426904678344727,73.04404,75.62341,30.968433,133.5118,18.101072,3.96875
1160192,0.24002502858638763,0.21524746716022491,0.6156332492828369,1.5724314451217651,0.5690253973007202,-18.100099563598633,12.908037185668945,4.742565631866455,8.249391555786133,79.200485,82.744125,32.61831,142.3383,18.104374,303.078125
1288192,0.5449565649032593,2.7539589405059814,0.7327414155006409,1.6802326440811157,0.825820803642273,-31.866525650024414,16.775447845458984,12.66931438446045,7.231872081756592,84.44678,91.09685,33.619244,149.79013,18.106808,648.7109375
1416192,0.6433614492416382,0.6610025763511658,0.4421979784965515,1.53014075756073,0.9419857263565063,-37.02885055541992,21.629806518554688,9.134529113769531,13.133848190307617,88.46095,97.29114,34.099384,156.42767,18.381224,539.3984375
1544192,0.4719236195087433,3.2678451538085938,1.3492804765701294,2.0080623626708984,1.1615333557128906,-53.34121322631836,27.344146728515625,19.827001571655273,11.42728042602539,92.442154,102.92544,35.019085,162.49307,18.381224,766.484375
1672192,0.5304697751998901,10.631011962890625,1.6185872554779053,1.8859357833862305,1.307248830795288,-60.44611358642578,32.58298110961914,29.19278335571289,9.477275848388672,95.74635,108.32055,36.28933,168.86868,18.381224,721.9296875
1800192,0.7561705708503723,4.205743789672852,1.232893466949463,2.0190560817718506,1.6284565925598145,-71.00867462158203,41.64695739746094,38.189842224121094,10.73298454284668,98.92983,112.75986,37.346966,173.18927,18.381224,718.5859375
1928192,0.602148175239563,1.1368017196655273,1.8154113292694092,2.3055953979492188,1.6949007511138916,-69.78196716308594,43.640380859375,21.61610221862793,23.99344253540039,102.28092,115.86563,37.64476,179.66774,18.381224,506.859375
