Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0941435843706131,-11.260663032531738,0.0016908737597987056,0.5948801040649414,0.35826724767684937,0.001713351346552372,0.002211715327575803,0.011885824613273144,3.033374309539795,11.109745979309082,11.113570213317871,43.390697,52.708477,30.69808,30.390844,30.5261,0.007644790690392256,1.8629860877990723,0.015474023297429085,2.189332962036133,0.0,0.01977592334151268,0.0,0.03040950745344162,0.011194411665201187,2.215395927429199,0.010432180017232895,0.053018487989902496,526.3328857421875
264192,0.1711263358592987,-32.27104949951172,-0.013282286003232002,1.5911085605621338,0.8524479269981384,0.0013529672287404537,0.001416193787008524,0.021499358117580414,3.564436912536621,32.26384735107422,32.169639587402344,57.905697,70.44951,32.375786,33.14031,32.029816,0.005334029905498028,2.2890944480895996,0.010920804925262928,2.969913959503174,0.0,0.022853020578622818,0.0,0.025457629933953285,0.0031471317633986473,3.0269927978515625,0.009392651729285717,0.06672176718711853,800.2684326171875
392192,0.1940692663192749,-47.7188720703125,-0.010195059701800346,1.8049488067626953,0.9356875419616699,0.000902745989151299,0.000320439285133034,0.027314113453030586,3.253779888153076,47.69820785522461,47.62742614746094,66.56462,82.66692,34.73526,38.645645,33.894753,0.0030396906659007072,2.327877998352051,0.01118356641381979,3.0645570755004883,0.0,0.017273545265197754,0.0,0.022980470210313797,0.0019057629397138953,3.0519909858703613,0.009484179317951202,0.03910447284579277,839.554931640625
520192,0.16352999210357666,-58.17652130126953,0.005594063084572554,2.039614677429199,0.9300139546394348,0.0007711508078500628,0.0001291079679504037,0.02470318041741848,2.90061616897583,58.210201263427734,58.173927307128906,73.24001,91.16649,37.355206,43.763615,36.016,0.0027128104120492935,2.2431087493896484,0.007616264745593071,3.1408371925354004,0.0,0.013932077214121819,0.0,0.023143567144870758,0.0015089490916579962,3.1666269302368164,0.006482542492449284,0.043330900371074677,827.27783203125
648192,0.3147353529930115,-64.84051513671875,-0.003505426226183772,1.3599426746368408,0.6702817678451538,0.000746533100027591,0.00040745901060290635,0.024640334770083427,2.9903788566589355,64.87062072753906,64.82722473144531,78.73206,98.05497,39.861088,48.2918,38.247166,0.002132240915670991,1.9669017791748047,0.0050436402671039104,2.7196898460388184,0.0,0.02905287593603134,0.0,0.018445737659931183,0.0008023910340853035,2.703371047973633,0.004826742224395275,0.04014119878411293,878.6759643554688
776192,0.13758979737758636,-70.52511596679688,0.006177453324198723,1.3974817991256714,0.6469904780387878,0.0004758366849273443,6.57206037431024e-05,0.02293439209461212,2.7803874015808105,70.45220947265625,70.62848663330078,83.633125,103.79776,42.34383,51.997852,40.414078,0.002062922576442361,1.9688143730163574,0.0023126823361963034,2.5797204971313477,0.0,0.01719968020915985,0.0,0.016956940293312073,0.00209073256701231,2.5787312984466553,0.00177498918492347,0.025151977315545082,859.9552612304688
904192,0.11826231330633163,-74.94178771972656,-0.011275941506028175,1.1516263484954834,0.5188080072402954,0.0004888816620223224,4.160555818089051e-06,0.022395355626940727,3.079392194747925,74.94438171386719,74.89203643798828,87.89549,108.81013,44.493065,55.84279,42.509468,0.0034254794009029865,1.832334280014038,0.0013229656033217907,2.4241161346435547,0.0,0.01439938135445118,0.0,0.015090463683009148,0.0008897613734006882,2.416003704071045,0.0012206416577100754,0.02583957090973854,883.7015991210938
1032192,0.09933824837207794,-74.90721130371094,0.0005840447265654802,1.4879249334335327,0.5821827054023743,0.0005697064334526658,4.8459944082424045e-05,0.02071201428771019,3.17037034034729,74.89030456542969,74.96662139892578,91.85264,113.640434,46.70101,59.238987,44.55362,0.0002959337434731424,1.8980735540390015,0.0029651722870767117,2.494567632675171,0.0,0.015260813757777214,0.0,0.014576120302081108,0.0005229726666584611,2.4972915649414062,0.0027256507892161608,0.03044487163424492,891.8680419921875
1160192,0.11951819807291031,-76.57090759277344,-0.0009859604761004448,1.223129391670227,0.6088093519210815,0.0003598113253246993,0.0,0.020537935197353363,3.0334410667419434,76.57440948486328,76.58447265625,95.43244,118.083885,48.757065,62.77161,46.51755,0.002321374136954546,1.8766307830810547,0.002340592909604311,2.53322172164917,0.0,0.01190955564379692,0.0,0.014511155895888805,0.0006661729421466589,2.5242743492126465,0.0020211730152368546,0.024667901918292046,889.7737426757812
1288192,0.1708727777004242,-75.55703735351562,-0.004972877912223339,1.4980202913284302,0.5735803842544556,0.0016814757836982608,0.0004367237270344049,0.02057226002216339,3.124051809310913,75.54058837890625,75.47320556640625,98.835785,122.323616,50.735485,66.60301,48.4186,0.001072234706953168,1.8395435810089111,0.002415089402347803,2.6171529293060303,0.0,0.015087267383933067,0.0,0.015331176109611988,0.00019729194173123688,2.5879664421081543,0.0023544442374259233,0.04329242557287216,905.1026611328125
1416192,0.1480409801006317,-78.98883056640625,0.0015548402443528175,1.0168858766555786,0.5065410137176514,0.00046014462714083493,1.0929960808425676e-05,0.01998578943312168,2.994558334350586,78.98432159423828,79.08770751953125,101.91295,126.319214,52.70612,69.64495,50.229847,0.0007046657847240567,1.795049786567688,0.0015192764112725854,2.4232730865478516,0.0,0.011700564995408058,0.0,0.01633686199784279,0.0007850747788324952,2.3822946548461914,0.001266677980311215,0.04464457929134369,901.3658447265625
1544192,0.11339960992336273,-79.6588363647461,-0.008242691867053509,1.0850567817687988,0.47061291337013245,0.00034762712311930954,4.2851911530306097e-07,0.020047662779688835,3.6101574897766113,79.690673828125,79.64102172851562,104.82998,130.34708,54.637207,73.131096,52.06854,0.0005684706848114729,1.7219908237457275,0.002478767652064562,2.3509702682495117,0.0,0.011538920924067497,0.0,0.016667377203702927,0.001756147714331746,2.3622751235961914,0.003311549313366413,0.02699463628232479,907.7322998046875
1672192,0.0978950783610344,-82.76210021972656,-0.006179025396704674,0.9566138386726379,0.4622676968574524,0.00040240774978883564,0.0,0.01965225301682949,3.2212367057800293,82.81224060058594,82.7979736328125,107.65005,134.18758,56.51846,76.30171,53.867207,0.000879533588886261,1.7477223873138428,0.007592720445245504,2.2469711303710938,0.0,0.011226583272218704,0.0,0.01412719115614891,0.001822863006964326,2.2518558502197266,0.007724573370069265,0.020549431443214417,908.1475830078125
1800192,0.1255904883146286,-81.62217712402344,-0.0004909155541099608,1.0869479179382324,0.47831660509109497,0.0005470085889101028,0.0017524872673675418,0.020252596586942673,2.9859402179718018,81.60836029052734,81.69280242919922,110.08742,137.95184,58.36285,79.375374,55.532143,0.001987066585570574,1.7379926443099976,0.002020870568230748,2.374237537384033,0.0,0.010185159742832184,0.0,0.01549125649034977,0.002402266953140497,2.371246337890625,0.0023086112923920155,0.027076546102762222,912.4457397460938
