Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.00424189493060112,-0.26899850368499756,0.0021539528388530016,0.03453368321061134,0.003082255134359002,0.0010734964162111282,0.1604347825050354,0.0017942001577466726,-0.11042554676532745,0.2744545638561249,0.26932746171951294,25.605604,39.49198,30.329754,30.947546,31.112612,0.006824845913797617,0.9187532663345337,0.012313256040215492,0.9043277502059937,0.0,0.005690070800483227,0.0,0.011074623093008995,0.0038887006230652332,0.9042333364486694,0.010426409542560577,0.01585579663515091,0.5546875
264192,0.06036221981048584,-2.9124956130981445,-0.0026807417161762714,1.1644693613052368,0.2494014948606491,0.014051169157028198,0.042433612048625946,0.03835190832614899,1.1687555313110352,2.8318779468536377,2.8423807621002197,42.605927,61.62662,36.598907,34.783707,35.427963,0.008235936984419823,1.4609216451644897,0.05031718313694,1.6663458347320557,0.0,0.04308221489191055,0.0,0.061604369431734085,0.00424844678491354,1.6705262660980225,0.04617111757397652,0.09474597871303558,395.5625
392192,0.31466203927993774,-17.74738311767578,-0.011800641193985939,5.925396919250488,1.5682274103164673,0.015667671337723732,0.016971377655863762,0.15191973745822906,1.0116335153579712,17.480430603027344,17.546131134033203,52.204327,80.05524,44.69009,43.358738,43.134632,0.015340856276452541,2.7083184719085693,0.08441492915153503,3.5273847579956055,0.0,0.057975128293037415,0.0,0.08912212401628494,0.018193915486335754,3.4278273582458496,0.06707452982664108,0.14987805485725403,834.515625
520192,0.6578114032745361,-35.213077545166016,-0.01753843203186989,8.621435165405273,2.07706880569458,0.02177657000720501,0.008601740002632141,0.22472572326660156,1.0807433128356934,34.99032211303711,35.01068878173828,59.095787,93.39297,50.44863,49.986782,49.00207,0.011817151680588722,3.1434824466705322,0.025213230401277542,4.182835578918457,0.0,0.06318877637386322,0.0,0.09621979296207428,0.016103900969028473,4.153243064880371,0.02023438736796379,0.11842731386423111,840.1796875
648192,0.5660615563392639,-45.68287658691406,0.007652193773537874,7.877652168273926,2.2499303817749023,0.018424328416585922,0.006594897247850895,0.2359030544757843,1.042840600013733,45.61908721923828,45.59917449951172,65.41736,102.16555,55.642826,55.78694,53.998474,0.016498105600476265,3.318394899368286,0.04140789806842804,4.315682411193848,0.0,0.06268484890460968,0.0,0.08152978867292404,0.010054104030132294,4.286029815673828,0.03605804592370987,0.1076907068490982,867.2890625
776192,0.4739172160625458,-52.38754653930664,0.02231704257428646,8.053613662719727,2.2887158393859863,0.01385123934596777,0.002488497644662857,0.22857913374900818,1.0358150005340576,52.303680419921875,52.331626892089844,70.89509,108.85822,60.416805,61.488945,58.81024,0.018469685688614845,3.5927734375,0.031597331166267395,4.339844703674316,0.0,0.0705338716506958,0.0,0.08159337937831879,0.01425857562571764,4.394550323486328,0.025920718908309937,0.10225959122180939,888.4140625
904192,0.4577511250972748,-56.40229797363281,-0.013018391095101833,7.455541610717773,2.0728909969329834,0.01129491813480854,0.0011701197363436222,0.22173982858657837,0.9937200546264648,56.42304229736328,56.406856536865234,75.799545,114.49368,64.92515,67.10787,63.436867,0.009119340218603611,3.343350648880005,0.028544317930936813,4.197407245635986,0.0,0.06344715505838394,0.0,0.07775476574897766,0.00779249332845211,4.202509880065918,0.02687082812190056,0.09023631364107132,931.9140625
1032192,0.5771711468696594,-58.235984802246094,0.03846271336078644,8.159250259399414,1.9473592042922974,0.011682882905006409,0.003592756111174822,0.2213817834854126,0.8920209407806396,58.14548873901367,58.184322357177734,80.326584,119.54975,69.18661,72.67457,67.83759,0.008178053423762321,3.2474007606506348,0.04482177272439003,4.313469886779785,0.0,0.06175447255373001,0.0,0.07949264347553253,0.009964761324226856,4.266526222229004,0.04014032334089279,0.11804992705583572,873.359375
1160192,0.3807014226913452,-60.720035552978516,0.03297357261180878,8.434286117553711,2.378491163253784,0.011459393426775932,0.0009396183304488659,0.2164553701877594,0.9851734638214111,60.710121154785156,60.7430419921875,84.60056,124.05152,73.31638,77.891716,72.04871,0.013771511614322662,3.571516513824463,0.030784200876951218,4.529979228973389,0.0,0.04998692870140076,0.0,0.06703382730484009,0.009610164910554886,4.528318881988525,0.03136596083641052,0.0830974131822586,886.5859375
1288192,0.45072513818740845,-61.61239242553711,0.007063767407089472,8.162713050842285,2.278939723968506,0.011193696409463882,0.001579093630425632,0.2063218653202057,0.9829192757606506,61.496002197265625,61.547584533691406,88.51569,128.15431,77.20383,83.11769,76.105316,0.0057815071195364,3.359483242034912,0.014059762470424175,4.410971641540527,0.0,0.05494755133986473,0.0,0.06328164041042328,0.005062838084995747,4.343864917755127,0.010154342278838158,0.0963616818189621,889.09375
1416192,0.5391521453857422,-64.39823913574219,-0.009494204074144363,7.073558807373047,1.9728325605392456,0.011662311851978302,0.0029162990394979715,0.2018563151359558,1.1685820817947388,64.43365478515625,64.41697692871094,92.34276,132.10825,81.03166,87.80433,79.95243,0.005096641834825277,3.229262351989746,0.015167366713285446,4.11152458190918,0.0,0.05428166687488556,0.0,0.06322021037340164,0.003843486774712801,4.16123104095459,0.011847471818327904,0.10310038179159164,889.3203125
1544192,0.3124377727508545,-65.30661010742188,0.026842039078474045,6.966063499450684,1.8334392309188843,0.014214595779776573,0.0003695641062222421,0.20441646873950958,0.8893532752990723,65.35501098632812,65.37571716308594,96.00465,135.94496,84.69099,92.360535,83.78091,0.006445297505706549,3.1888065338134766,0.00395633839070797,4.045427322387695,0.0,0.051657192409038544,0.0,0.06785781681537628,0.003426964860409498,3.996579885482788,0.005577592644840479,0.09733150899410248,892.78125
1672192,0.44487178325653076,-66.75495910644531,0.002248421311378479,6.625277519226074,1.877840518951416,0.006778273731470108,0.0002921138075180352,0.19296711683273315,1.0006850957870483,66.76126861572266,66.76106262207031,99.46476,139.48071,88.18176,96.66649,87.40845,0.007564464583992958,3.1725873947143555,0.010876413434743881,3.9508697986602783,0.0,0.04895223677158356,0.0,0.057175904512405396,0.0034098175819963217,3.956106662750244,0.011081031523644924,0.07436148077249527,936.1484375
1800192,0.27947843074798584,-67.45875549316406,-0.006559401750564575,7.241340637207031,1.789322018623352,0.014179810881614685,9.316520299762487e-05,0.19740208983421326,1.0854524374008179,67.506103515625,67.53471374511719,102.92959,142.94133,91.55626,100.8122,90.95539,0.003897329792380333,3.273594379425049,0.009034741669893265,4.182554244995117,0.0,0.05924975872039795,0.0,0.06939931958913803,0.011295739561319351,4.132558345794678,0.01476702094078064,0.09426935762166977,916.7578125
1928192,0.33385559916496277,-68.30821228027344,-0.009397381916642189,6.764315128326416,1.885941982269287,0.012741217389702797,0.0003195313911419362,0.1958533227443695,0.9977063536643982,68.43896484375,68.38438415527344,106.24701,146.142,94.87525,104.64222,94.394394,0.0035042394883930683,3.186535358428955,0.005571733228862286,3.96626353263855,0.0,0.046609409153461456,0.0,0.057483136653900146,0.002970627974718809,3.975987434387207,0.004676359705626965,0.08545241504907608,924.6875
2056192,0.2718881368637085,-69.01171112060547,-0.00019312091171741486,6.369771957397461,1.6778545379638672,0.010836820118129253,0.00438354117795825,0.19855311512947083,0.9966477155685425,69.02352905273438,68.99838256835938,109.30886,149.19164,98.09586,108.44217,97.74309,0.004839112050831318,2.997790813446045,0.011992269195616245,3.847353458404541,0.0,0.04726001247763634,0.0,0.07023600488901138,0.004077224526554346,3.8292901515960693,0.009463025256991386,0.09627414494752884,923.9296875
2184192,0.2662159502506256,-70.021240234375,0.02006807178258896,6.510043144226074,1.6701221466064453,0.010731931775808334,0.00012435195094440132,0.19063489139080048,0.9011574983596802,70.09886169433594,70.12178039550781,112.20759,152.3769,101.24683,112.03206,100.99221,0.010031822137534618,3.0916874408721924,0.02079908922314644,3.8780224323272705,0.0,0.041743405163288116,0.0,0.06603804975748062,0.003913412801921368,3.9013805389404297,0.018266212195158005,0.07649386674165726,953.9921875
2312192,0.24987520277500153,-69.38337707519531,-0.002082237508147955,7.604935646057129,1.9540170431137085,0.012455725111067295,0.0004800118622370064,0.19401617348194122,1.0408647060394287,69.51750183105469,69.41935729980469,114.91862,155.5101,104.38587,115.625854,104.177055,0.010434011928737164,3.2633776664733887,0.018228663131594658,4.064450263977051,0.0,0.047294341027736664,0.0,0.0568268708884716,0.010251175612211227,4.021971702575684,0.015073554590344429,0.08231624215841293,932.6015625
2440192,0.574396550655365,-71.61262512207031,-0.0034145768731832504,5.597591400146484,1.3940744400024414,0.007477428298443556,0.0004456074384506792,0.1906629502773285,1.008777379989624,71.73727416992188,71.76277160644531,117.62292,158.63564,107.34654,118.96776,107.3276,0.0023964992724359035,2.8559834957122803,0.004900449886918068,3.6347720623016357,0.0,0.043468594551086426,0.0,0.06134134531021118,0.0006144066574051976,3.5877628326416016,0.00448791217058897,0.09012012183666229,927.1484375
2568192,0.2723052203655243,-71.467041015625,-0.00535452738404274,6.022018909454346,1.4716804027557373,0.011394709348678589,0.00021607568487524986,0.1960715353488922,0.9731301069259644,71.53019714355469,71.50353240966797,120.29169,161.49751,110.26766,122.256195,110.40134,0.0013427319936454296,2.7691755294799805,0.013970858417451382,3.5448033809661865,0.0,0.04310190677642822,0.0,0.05138947814702988,0.001729023875668645,3.5312209129333496,0.013944998383522034,0.06854916363954544,932.8046875
2696192,0.2695842385292053,-71.87338256835938,-0.0008635604754090309,5.569934368133545,1.386321783065796,0.010300915688276291,1.792335206118878e-05,0.19276681542396545,0.9598705768585205,71.98348999023438,71.98329162597656,122.893936,164.30351,113.06983,125.579445,113.436035,0.002743417862802744,2.8902759552001953,0.008953608572483063,3.672820568084717,0.0,0.04453592002391815,0.0,0.0682808980345726,0.0023938354570418596,3.6508092880249023,0.0068290336057543755,0.0830523818731308,927.9609375
2824192,0.31870037317276,-72.14082336425781,0.009031448513269424,5.640925884246826,1.3619297742843628,0.010729730129241943,0.0004912446602247655,0.18733380734920502,1.0143027305603027,72.1993179321289,72.28166198730469,125.38303,167.0546,115.93766,128.76262,116.330376,0.002227107062935829,2.8318686485290527,0.024660304188728333,3.633359909057617,0.0,0.044656265527009964,0.0,0.06568469107151031,0.0015927201602607965,3.5607471466064453,0.02457776665687561,0.10462228953838348,936.71875
2952192,0.30662044882774353,-72.05689239501953,0.005537908989936113,6.070815086364746,1.486998200416565,0.015787765383720398,0.0007520946674048901,0.19496457278728485,0.8993489742279053,72.13932037353516,72.13404083251953,127.77974,169.70052,118.655235,131.88196,119.290405,0.0011921609984710813,2.8715109825134277,0.010811176151037216,3.6836180686950684,0.0,0.05230676382780075,0.0,0.06776592880487442,0.0022611164022237062,3.647693157196045,0.00965034682303667,0.08492149412631989,936.71875
3080192,0.21211916208267212,-72.35264587402344,-0.004280452616512775,5.638422012329102,1.4191267490386963,0.014715700410306454,0.0002766051620710641,0.19295962154865265,1.1593852043151855,72.40887451171875,72.5042724609375,130.21953,172.30768,121.3385,135.01154,121.99789,0.0031865767668932676,2.844180107116699,0.0060337018221616745,3.5534441471099854,0.0,0.045728981494903564,0.0,0.062481239438056946,0.0021160370670259,3.5235793590545654,0.004472280386835337,0.07884727418422699,927.9375
3208192,0.300493448972702,-72.22273254394531,0.012802310287952423,5.135953903198242,1.2253754138946533,0.012213723734021187,0.0013176973443478346,0.1967257261276245,0.8799272179603577,72.33999633789062,72.3515625,132.63953,175.00195,123.948814,138.0174,124.760765,0.000847556279040873,2.7475523948669434,0.007816120982170105,3.489006519317627,0.0,0.04031882435083389,0.0,0.06399655342102051,0.0014454660704359412,3.5424795150756836,0.006626199930906296,0.08876056224107742,935.9375
3336192,0.2265523076057434,-72.59332275390625,0.02469179779291153,5.442817687988281,1.401845097541809,0.008945873007178307,0.001599215785972774,0.19399863481521606,0.963657021522522,72.65351867675781,72.71028900146484,134.90442,177.47284,126.565636,141.1131,127.48123,0.003580395132303238,2.733271360397339,0.004457586444914341,3.4825496673583984,0.0,0.03855433315038681,0.0,0.06337989866733551,0.0012981181498616934,3.491293430328369,0.0038244787137955427,0.08240554481744766,935.25
3464192,0.22643108665943146,-72.97470092773438,0.02819225564599037,5.050651550292969,1.4281632900238037,0.012192623689770699,0.000471443694550544,0.19767074286937714,0.9535671472549438,73.06707763671875,73.0975341796875,137.04218,179.96455,129.12291,144.13744,130.13776,0.003213002346456051,2.851630210876465,0.011265181005001068,3.5109925270080566,0.0,0.039745692163705826,0.0,0.06594909727573395,0.002435455098748207,3.5246739387512207,0.009715483523905277,0.07655484229326248,916.25
3592192,0.2838085889816284,-72.77058410644531,-0.021186640486121178,5.912067413330078,1.491843581199646,0.014552431181073189,0.0003424519090913236,0.19496610760688782,1.0239369869232178,72.88455963134766,72.92094421386719,139.2059,182.46344,131.66565,146.98659,132.82607,0.0064504677429795265,2.91945219039917,0.010913797654211521,3.718961000442505,0.0,0.04384022578597069,0.0,0.06810760498046875,0.001535911113023758,3.6438283920288086,0.01225363090634346,0.10018554329872131,940.28125
3720192,0.2877620458602905,-73.44746398925781,0.004031859338283539,5.655089378356934,1.1160273551940918,0.01346730999648571,0.0,0.192984476685524,0.8840881586074829,73.66222381591797,73.579345703125,141.27077,184.92603,134.06802,149.68578,135.54591,0.0034230160526931286,2.5614013671875,0.008787623606622219,3.291712760925293,0.0,0.03865629807114601,0.0,0.06621189415454865,0.0017395580653101206,3.2342329025268555,0.008688148111104965,0.09645630419254303,940.4375
3848192,0.215553879737854,-73.69355773925781,-0.04699850082397461,4.738094329833984,1.2630399465560913,0.009500253945589066,7.78893991082441e-06,0.19799329340457916,1.203262448310852,73.7833251953125,73.82440948486328,143.34172,187.31323,136.41888,152.45634,138.17302,0.002949940040707588,2.6464407444000244,0.010527243837714195,3.3095412254333496,0.0,0.038962673395872116,0.0,0.06634791195392609,0.0032626779284328222,3.3011786937713623,0.01191581878811121,0.0749492421746254,935.046875
3976192,0.24911031126976013,-73.97867584228516,0.012029167264699936,5.454233169555664,1.3050169944763184,0.015610309317708015,0.0001241455611307174,0.19534775614738464,0.8598631620407104,74.12071228027344,74.11456298828125,145.41882,189.70497,138.7561,155.19838,140.78773,0.0010456006275489926,2.6499853134155273,0.014220505021512508,3.46760892868042,0.0,0.03979232907295227,0.0,0.07184447348117828,0.0036658761091530323,3.422760486602783,0.014392711222171783,0.08900073170661926,936.0
4104192,0.23797723650932312,-74.90325927734375,-0.01416464801877737,4.751955986022949,1.056357502937317,0.011972623877227306,2.8540112907649018e-05,0.1876283586025238,1.0035494565963745,75.12153625488281,75.07144165039062,147.31735,191.97098,141.04639,158.21086,143.43352,0.0026284733321517706,2.442997694015503,0.00753115676343441,3.1454691886901855,0.0,0.03875916078686714,0.0,0.0685468316078186,0.002590869553387165,3.063610315322876,0.005864171776920557,0.10084828734397888,942.0703125
4232192,0.24991437792778015,-75.55636596679688,-0.015435420908033848,3.524360179901123,0.7827216386795044,0.02023140899837017,2.8602957172552124e-05,0.18797248601913452,0.9730908274650574,75.80895233154297,75.76454162597656,149.094,193.7217,143.33786,161.17004,146.03435,0.003203759901225567,2.48104190826416,0.004889238625764847,2.981717348098755,0.0,0.038824662566185,0.0,0.07424397021532059,0.001310653518885374,2.950836658477783,0.00502605177462101,0.0844215601682663,946.8984375
4360192,0.16965636610984802,-76.39510345458984,0.030925262719392776,3.1690642833709717,0.7075674533843994,0.013182263821363449,1.0810880667122547e-05,0.18777821958065033,0.897701621055603,76.61062622070312,76.6453857421875,150.56647,194.63751,145.44661,163.98164,148.47098,0.0011816686019301414,2.315463066101074,0.004291290417313576,2.924482583999634,0.0,0.03758321329951286,0.0,0.07312402129173279,0.006122439168393612,2.9116737842559814,0.005221916362643242,0.0817195475101471,944.7890625
4488192,0.14671070873737335,-76.88072204589844,-0.0007385499775409698,2.6545612812042236,0.6840633749961853,0.011158378794789314,0.0,0.18269126117229462,1.0157313346862793,77.09878540039062,77.13345336914062,151.91225,195.73073,147.48763,166.56416,150.86499,0.0037574516609311104,2.2309694290161133,0.004721691831946373,2.759930372238159,0.0,0.03155456855893135,0.0,0.0591338574886322,0.00012894553947262466,2.7962450981140137,0.0045927464962005615,0.08092474192380905,942.359375
