Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.15243622660636902,0.2331928163766861,0.36708685755729675,0.9600923657417297,0.06050565838813782,-1.2340075969696045,0.5751312971115112,0.6013162136077881,0.34464967250823975,31.585712,40.545532,21.341791,50.30016,40.88032,332.53125
264192,0.8442610502243042,1.0018155574798584,2.214463233947754,1.6170018911361694,0.11870361864566803,-14.040672302246094,7.861576080322266,6.021905422210693,1.9169070720672607,45.378933,59.70646,29.600935,75.32183,54.710773,545.828125
392192,1.1197526454925537,1.4489696025848389,4.635915756225586,2.0242533683776855,0.1841745376586914,-37.16252517700195,19.264163970947266,17.622211456298828,1.8661997318267822,53.934258,70.41172,35.812134,96.216415,65.25463,591.6015625
520192,1.1553875207901,1.4389411211013794,5.106330394744873,1.9886006116867065,0.12961573898792267,-60.506385803222656,30.389083862304688,28.655864715576172,1.8845288753509521,60.26407,78.73529,40.00193,112.70388,73.93459,612.828125
648192,1.2824472188949585,1.6117870807647705,6.479283809661865,2.17391037940979,0.14649266004562378,-79.31239318847656,39.74155044555664,38.30110168457031,1.615919828414917,66.299065,86.11604,43.6967,127.11391,82.160545,632.0703125
776192,1.2593897581100464,1.508958101272583,6.448206901550293,2.221266508102417,0.16003379225730896,-93.46199035644531,47.276580810546875,45.79764938354492,1.5823423862457275,71.72379,92.68435,47.139183,140.99774,89.70718,642.2578125
904192,1.471250057220459,1.6373050212860107,6.6672163009643555,2.251234769821167,0.18844440579414368,-103.33683776855469,52.492008209228516,50.85069274902344,1.9215872287750244,76.855095,98.71041,50.515152,152.5748,96.62961,705.6484375
1032192,1.623679280281067,1.8243331909179688,5.799385070800781,2.2551233768463135,0.14784783124923706,-111.87547302246094,56.25375747680664,54.523475646972656,1.8190512657165527,81.55884,104.60781,53.63319,163.41394,102.77627,692.65625
1160192,1.5752358436584473,1.8114752769470215,5.371439456939697,2.169987201690674,0.15985125303268433,-117.38578796386719,59.67848587036133,58.239479064941406,1.6869711875915527,85.903915,110.200424,56.434372,172.77286,108.586105,714.421875
1288192,1.6860613822937012,1.9689936637878418,6.400139808654785,2.2591776847839355,0.14404749870300293,-123.07810974121094,61.66846466064453,60.420082092285156,1.4995014667510986,90.208916,115.45513,59.27849,181.3972,114.215805,729.5703125
1416192,1.5788623094558716,1.953882098197937,5.282061576843262,2.2588086128234863,0.17823919653892517,-128.1530303955078,64.61111450195312,63.565345764160156,1.2562472820281982,94.590515,120.49309,61.831333,189.61992,119.47138,745.9453125
1544192,1.6500444412231445,2.0784919261932373,5.5471954345703125,2.239053249359131,0.157517209649086,-132.5524139404297,66.21847534179688,65.18190002441406,1.1929540634155273,98.72081,125.26832,64.39586,197.55852,124.33472,759.3046875
1672192,1.68020761013031,1.8835721015930176,6.558430194854736,2.1964187622070312,0.17790378630161285,-133.51504516601562,67.02186584472656,65.8885498046875,1.2077081203460693,102.395325,129.70995,66.67396,205.1746,129.05582,756.796875
1800192,1.6371136903762817,2.064758777618408,5.714559555053711,2.206477642059326,0.14075201749801636,-136.16876220703125,68.33365631103516,67.34496307373047,1.1521449089050293,106.074265,134.08044,68.99152,212.51955,133.54614,780.765625
1928192,1.7270121574401855,1.8774455785751343,4.841222286224365,2.1938483715057373,0.1466682255268097,-137.74844360351562,69.02143859863281,68.13166046142578,1.0007715225219727,109.608955,138.3526,71.259705,219.26326,137.89725,781.34375
2056192,1.9752908945083618,2.171644687652588,5.886532783508301,2.2419216632843018,0.13366283476352692,-140.07049560546875,69.94976806640625,69.06721496582031,1.0955531597137451,112.92798,142.48555,73.555084,225.70438,142.08836,793.7109375
2184192,1.5473501682281494,2.0047671794891357,5.066636562347412,2.138366222381592,0.1839158684015274,-140.77142333984375,70.18917083740234,69.6188735961914,0.905230700969696,116.36247,146.48543,75.73935,231.89758,146.07085,784.9375
2312192,1.3723676204681396,1.720238208770752,6.775269508361816,2.2712514400482178,0.16089370846748352,-141.86080932617188,71.01006317138672,70.0186767578125,1.043358325958252,119.57843,150.58105,77.85139,237.85184,149.85236,809.7734375
2440192,1.8817095756530762,2.1460049152374268,5.662911415100098,2.2922890186309814,0.16635218262672424,-142.93576049804688,71.7925796508789,71.09588623046875,0.8635700345039368,122.74419,154.5244,80.01127,243.45993,153.4388,822.265625
2568192,1.8047744035720825,1.8936573266983032,5.206398963928223,2.178281545639038,0.17062313854694366,-144.22071838378906,71.94473266601562,71.37454223632812,0.7935189008712769,125.729744,158.41237,82.109085,248.66899,156.79791,826.5390625
2696192,1.6695442199707031,1.64280104637146,4.424985408782959,2.100198745727539,0.1502666473388672,-145.46688842773438,72.8453598022461,72.27454376220703,0.7303472757339478,128.71623,162.20657,84.11484,253.80074,160.21773,827.2265625
2824192,1.5243102312088013,1.7175047397613525,5.154568672180176,2.1122188568115234,0.1346054971218109,-146.19900512695312,73.55865478515625,73.15092468261719,0.7065068483352661,131.72745,166.02965,85.92726,258.95212,163.4561,848.234375
2952192,1.5851776599884033,1.853257179260254,4.461124420166016,2.0803892612457275,0.16718080639839172,-147.5706787109375,73.78260803222656,73.20474243164062,0.7832322120666504,134.61339,169.70201,87.63297,264.1565,166.80322,829.71875
