Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,2.1509580612182617,7.071449279785156,0.6369913816452026,1.543541669845581,0.03967614471912384,-17.13592529296875,7.913835525512695,9.987357139587402,3.293417453765869,40.60849,62.838394,24.165482,89.52129,37.618774,262.53125
264192,2.1905200481414795,2.996720552444458,1.3856080770492554,1.5926870107650757,0.023735200986266136,-50.32390594482422,22.5229434967041,26.80263900756836,5.178943634033203,51.787975,81.57579,31.74594,140.59438,48.20132,447.4296875
392192,3.088108539581299,6.085244178771973,2.653592586517334,1.6008317470550537,0.03374943882226944,-77.37538146972656,34.875370025634766,39.55685806274414,6.389736175537109,59.22557,93.48659,38.151707,167.21225,57.388027,547.921875
520192,6.174661636352539,7.0085649490356445,1.5901720523834229,2.0619912147521973,0.05494369566440582,-85.68504333496094,47.708099365234375,40.78417205810547,7.982755661010742,65.520256,103.421326,41.442436,186.52791,63.046036,578.765625
648192,8.453313827514648,4.055042266845703,1.7060385942459106,2.363938331604004,0.011553934775292873,-77.71804809570312,50.368377685546875,27.30805015563965,23.120563507080078,70.845245,112.61392,45.059387,215.13284,69.159325,504.5703125
776192,1.456025242805481,2.867624282836914,1.1379823684692383,2.314563274383545,0.0018690535798668861,-99.04945373535156,57.148292541503906,42.68782424926758,14.795270919799805,75.92457,122.23068,47.365685,223.09715,72.66397,511.0234375
904192,3.56583833694458,4.160878658294678,2.0188815593719482,2.357523202896118,0.02153891883790493,-106.74807739257812,58.129493713378906,46.57961654663086,13.238176345825195,80.6304,131.325,49.889473,231.56494,77.462326,614.2421875
1032192,5.427803039550781,10.212329864501953,2.489238739013672,2.362853765487671,0.058581218123435974,-109.92449188232422,60.817291259765625,48.66007614135742,14.075355529785156,84.90206,138.46748,52.130558,236.8496,81.90112,620.8671875
1160192,2.483539581298828,5.047682762145996,2.6778388023376465,2.376924514770508,0.01963256299495697,-112.8451156616211,63.07094192504883,48.29949188232422,15.239843368530273,89.12584,144.89984,54.42479,243.55815,86.19356,640.0234375
1288192,2.6974034309387207,4.604985237121582,1.6167776584625244,2.3345232009887695,0.0028067852836102247,-124.6647720336914,64.87080383300781,49.1961555480957,16.331314086914062,93.26505,151.26178,56.871983,250.11447,90.31196,623.0546875
1416192,4.94727897644043,7.9083333015441895,2.117785930633545,2.363818645477295,0.02336912602186203,-122.10784149169922,68.85104370117188,51.986167907714844,17.956531524658203,97.25248,157.51299,58.59458,255.54034,94.052155,760.375
1544192,1.697056770324707,3.5348777770996094,2.6867077350616455,2.3379719257354736,0.018098553642630577,-128.53173828125,69.90867614746094,53.42778778076172,17.088214874267578,101.07588,162.94827,60.498962,261.94485,97.62775,806.6171875
1672192,2.872596263885498,8.116573333740234,2.22489595413208,2.349240779876709,0.01684119924902916,-135.56304931640625,73.1605224609375,58.483802795410156,23.796443939208984,104.56419,169.02258,62.403748,267.98883,101.027145,691.796875
1800192,2.1185169219970703,5.965947151184082,1.895794153213501,2.351343870162964,0.0038162488490343094,-130.47671508789062,73.52529907226562,56.65214920043945,19.063289642333984,107.55545,174.65695,64.148705,274.4573,103.98375,685.1953125
1928192,1.2743568420410156,1.4826951026916504,2.993821382522583,2.3220300674438477,0.001832554000429809,-136.20999145507812,77.85968780517578,59.05377197265625,18.966060638427734,110.658226,179.93463,66.13498,280.667,107.155495,797.640625
2056192,2.2495646476745605,3.427250862121582,1.6234428882598877,2.348966121673584,0.004837085958570242,-136.94818115234375,74.70651245117188,58.06379699707031,16.620853424072266,113.56061,185.13419,67.92337,287.42343,110.105934,750.9609375
2184192,0.9677520990371704,2.263202667236328,1.07363760471344,2.322756290435791,0.008949383161962032,-137.49945068359375,73.75668334960938,59.36720275878906,15.118090629577637,116.2996,190.83246,69.40227,293.937,112.872665,753.921875
2312192,3.2696590423583984,2.881605863571167,1.95621919631958,2.336613416671753,0.004100312944501638,-140.51937866210938,81.30740356445312,65.9249267578125,16.233665466308594,119.11712,196.11028,71.148735,300.10974,115.516014,715.3515625
2440192,0.9849669933319092,1.6441528797149658,4.4224534034729,2.3448410034179688,0.006085490807890892,-145.0115966796875,77.84439086914062,62.61012268066406,15.759146690368652,121.733574,201.37541,72.59317,306.0117,118.0305,783.890625
2568192,2.967895984649658,10.191915512084961,4.037059783935547,2.3939502239227295,0.00897921621799469,-142.77464294433594,81.11848449707031,65.23966217041016,16.161815643310547,124.40285,205.9179,74.049095,311.07816,120.51872,897.875
2696192,10.897346496582031,3.2924420833587646,5.0704145431518555,2.404649496078491,0.0064641074277460575,-158.45489501953125,80.37277221679688,73.02915954589844,20.07291030883789,126.829735,210.36227,75.31333,316.48288,123.00122,807.078125
2824192,3.7606823444366455,2.4519641399383545,4.759366035461426,2.3449325561523438,0.016424598172307014,-152.516357421875,82.9822998046875,70.37823486328125,16.401891708374023,129.35535,213.2243,76.154434,321.66644,125.43844,850.34375
2952192,2.514113187789917,3.3526179790496826,1.5950815677642822,2.35465407371521,0.0024361300747841597,-150.29376220703125,83.30345153808594,68.95468139648438,15.941155433654785,131.6365,215.66371,77.35276,326.71008,127.89327,875.7890625
3080192,2.15913987159729,2.612602949142456,2.9846138954162598,2.3445680141448975,0.0047876546159386635,-156.4467010498047,85.85382080078125,70.02513885498047,16.568016052246094,133.82973,217.6561,78.69126,331.52917,130.25899,861.4921875
3208192,1.6284208297729492,3.2492501735687256,1.677767038345337,2.3544533252716064,0.021218478679656982,-159.5589599609375,88.84700775146484,73.40967559814453,16.57462501525879,136.01694,219.60487,79.92015,335.5592,132.56546,872.078125
3336192,1.2601218223571777,2.006910800933838,1.7029168605804443,2.3356130123138428,0.00047108385479077697,-162.3437042236328,88.82821655273438,72.84415435791016,16.70893096923828,138.20406,221.62094,80.89648,338.66867,134.62262,915.5390625
3464192,1.2572951316833496,3.6500244140625,1.637224793434143,2.3485665321350098,0.007736862637102604,-162.9239959716797,90.83706665039062,74.18331909179688,16.646717071533203,140.65749,224.32187,81.98741,342.45322,136.92706,924.484375
3592192,1.6377742290496826,2.4292044639587402,0.9565085768699646,2.329472780227661,0.015528754331171513,-162.7947235107422,91.18817138671875,73.98899841308594,17.34031867980957,142.75157,226.47643,83.1483,345.4127,139.13515,941.0
