Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,1.1158075332641602,-8.046184539794922,0.0006337068043649197,0.999045193195343,0.4650416076183319,0.005843630526214838,0.030883334577083588,10.686245918273926,0.01577506959438324,0.9621970057487488,8.006092071533203,7.990860462188721,50.993866,80.81424,29.500431,29.936852,29.629156,0.009891468100249767,1.5536845922470093,0.037540584802627563,1.8827236890792847,0.0,0.02505440078675747,0.0,0.04129078611731529,0.015631932765245438,1.8668931722640991,0.024203766137361526,0.06688648462295532,108.671875
264192,1.2450759410858154,-15.555834770202637,-0.001089405850507319,1.6880875825881958,0.7292630076408386,0.003808318404480815,0.03277662768959999,21.168012619018555,0.022762248292565346,1.0824626684188843,15.514331817626953,15.472892761230469,65.77974,102.923416,31.524546,35.31167,31.384134,0.007006531115621328,1.8658884763717651,0.026764830574393272,2.4392287731170654,0.0,0.04138590767979622,0.0,0.04705027490854263,0.013753065839409828,2.481691360473633,0.01766306906938553,0.0895550549030304,153.3046875
392192,0.7953917980194092,-25.83913803100586,-0.0011411826126277447,2.1664516925811768,0.7379029393196106,0.005809930618852377,0.04381180554628372,31.068431854248047,0.03415067493915558,1.079882264137268,25.69070053100586,25.66452980041504,75.65844,119.36582,33.982933,43.05119,33.999924,0.007644396275281906,1.903764009475708,0.026300491765141487,2.8710999488830566,0.0,0.08442254364490509,0.0,0.05836273729801178,0.011398367583751678,2.8880395889282227,0.017830342054367065,0.0758197233080864,222.921875
520192,0.720039963722229,-32.152278900146484,0.0043047890067100525,2.1536295413970947,0.6475448608398438,0.009263450279831886,0.035593703389167786,35.24177932739258,0.03437873721122742,0.9423102140426636,31.995101928710938,32.103858947753906,83.82408,134.36867,36.601486,57.412933,36.50452,0.004895368125289679,1.9425894021987915,0.03280109912157059,2.962536334991455,0.0,0.09613628685474396,0.0,0.06053995341062546,0.006221200805157423,2.9993174076080322,0.02741197869181633,0.09194135665893555,358.734375
648192,2.922029972076416,-36.10082244873047,0.002892897929996252,2.8322770595550537,1.0988643169403076,0.004424799233675003,0.032327231019735336,40.21099853515625,0.03145511448383331,0.8270992040634155,35.982810974121094,36.0720329284668,91.20042,151.48764,39.294918,67.55901,38.884,0.01189443189650774,2.2255518436431885,0.02543335035443306,3.2592759132385254,0.0,0.03134302794933319,0.0,0.05863707885146141,0.004554770886898041,3.2292041778564453,0.021478280425071716,0.07142654061317444,442.265625
776192,0.43195754289627075,-40.3520393371582,0.005147345829755068,2.6253843307495117,0.8999229669570923,0.002419943455606699,0.03432093560695648,42.35902786254883,0.03021134063601494,0.942368745803833,40.22837829589844,40.272884368896484,98.13284,168.40475,41.99678,74.02501,41.400703,0.004394577816128731,2.0596776008605957,0.01435032207518816,3.281473159790039,0.0,0.037117891013622284,0.0,0.046991899609565735,0.005043503828346729,3.2582969665527344,0.010821202769875526,0.05480871722102165,374.9453125
904192,0.38170379400253296,-44.65761184692383,0.004338099621236324,2.4275715351104736,1.0033310651779175,0.003457173705101013,0.0558982715010643,39.95661544799805,0.027771156281232834,0.8234953880310059,44.530723571777344,44.64907455444336,104.226006,183.59384,44.848072,79.02765,44.04118,0.011857450008392334,2.2890939712524414,0.03225162625312805,3.1709160804748535,0.0,0.03338426351547241,0.0,0.04645415022969246,0.00586097314953804,3.1324398517608643,0.02640227973461151,0.07648288458585739,379.25
1032192,1.0872132778167725,-46.953163146972656,-0.0017503368435427547,3.074331045150757,1.0616275072097778,0.002753499196842313,0.033549219369888306,42.505592346191406,0.0320136621594429,1.0628955364227295,46.93600082397461,46.79407501220703,109.94755,194.03395,47.51486,85.091995,46.73744,0.009002655744552612,2.297652244567871,0.02072421833872795,3.3488545417785645,0.0,0.03323531895875931,0.0,0.05928480625152588,0.0026459202636033297,3.3047475814819336,0.018270226195454597,0.07907062023878098,464.53125
1160192,1.3698173761367798,-48.41436767578125,0.003987058065831661,2.917938470840454,1.2265489101409912,0.005351271480321884,0.015411164611577988,42.512908935546875,0.03051360882818699,0.9226703643798828,48.333152770996094,48.314048767089844,115.38967,202.0862,50.342987,88.09004,49.552795,0.005485869012773037,2.343613624572754,0.007125912234187126,3.428403377532959,0.0,0.03297371417284012,0.0,0.05080459639430046,0.0055401017889380455,3.4027209281921387,0.00692878570407629,0.06013869494199753,497.0625
1288192,1.0444893836975098,-49.572025299072266,-0.0026260872837156057,2.9005424976348877,1.336090326309204,0.004700190387666225,0.022860992699861526,44.031768798828125,0.026015596464276314,1.1529150009155273,49.356563568115234,49.48625183105469,120.37597,209.64427,52.95029,92.16368,51.946983,0.00579428905621171,2.4821128845214844,0.017591964453458786,3.5861904621124268,0.0,0.04559284821152687,0.0,0.048212386667728424,0.0021693427115678787,3.6272177696228027,0.016292870044708252,0.08062514662742615,511.5390625
