Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.02023530937731266,-5.531359672546387,0.002342784544453025,0.021807832643389702,0.014509276486933231,0.0007708780467510223,0.001193733187392354,0.002902733162045479,1.6386218070983887,5.546270847320557,5.552297592163086,43.194153,49.990353,31.047981,31.34695,31.746967,0.0031642531976103783,1.1131643056869507,0.006103857886046171,1.2082229852676392,0.0,0.011031169444322586,0.0,0.01619192585349083,0.0014649832155555487,1.2070904970169067,0.004737900570034981,0.01924813538789749,81.1156005859375
264192,0.14590859413146973,-8.920900344848633,0.000613938900642097,0.1137201115489006,0.039766304194927216,0.00258932588621974,0.002130854409188032,0.0034581096842885017,2.2254600524902344,8.906303405761719,8.997966766357422,60.010628,72.02641,34.983093,34.804485,36.225784,0.0007157836807891726,1.1157711744308472,0.0026332319248467684,1.2509628534317017,0.0,0.019475547596812248,0.0,0.028383735567331314,0.0027791555039584637,1.266090989112854,0.0026219442952424288,0.037005677819252014,93.52743530273438
392192,0.08963441103696823,-11.031341552734375,-0.0001607443846296519,0.16325819492340088,0.07254006713628769,0.0018374716164544225,0.002407692838460207,0.0036423762794584036,2.436443328857422,11.084498405456543,11.017763137817383,70.33432,87.22996,37.755863,39.10901,39.2874,0.001662270282395184,1.1591274738311768,0.006275624968111515,1.3238301277160645,0.0,0.014983279630541801,0.0,0.024110212922096252,0.002377969678491354,1.3134379386901855,0.004768958315253258,0.02799880877137184,165.38389587402344
520192,0.1195191964507103,-15.094385147094727,-0.0015093141701072454,0.5816076397895813,0.2665211260318756,0.0024465546011924744,0.0018588349921628833,0.003970656543970108,2.883100986480713,15.171112060546875,15.044368743896484,78.32875,97.804695,40.71833,42.533142,42.015057,0.003899222705513239,1.400874376296997,0.005464331246912479,1.718862533569336,0.0,0.018206635490059853,0.0,0.036576610058546066,0.0031741908751428127,1.6809413433074951,0.0049637616612017155,0.04820394143462181,180.40780639648438
648192,0.07230415940284729,-18.224720001220703,0.0012057411950081587,0.8663597106933594,0.3828828036785126,0.0018377196975052357,0.003543657483533025,0.004680834710597992,2.2487637996673584,18.19530487060547,18.33575439453125,85.59422,107.32733,43.707973,46.94805,44.980305,0.0033646798692643642,1.5035438537597656,0.00638420507311821,1.947169542312622,0.0,0.01956631802022457,0.0,0.03056294471025467,0.0017759844195097685,1.942838191986084,0.005247403867542744,0.03119599260389805,194.08155822753906
776192,0.07754548639059067,-21.29932403564453,-0.0019198179943487048,1.1289305686950684,0.5265316367149353,0.002355301985517144,0.0015935879200696945,0.0043890466913580894,2.947176218032837,21.298568725585938,21.33309555053711,91.83142,115.705315,46.632133,51.566986,47.868843,0.0016697063110768795,1.650673270225525,0.004964790306985378,2.1631743907928467,0.0,0.022070642560720444,0.0,0.03937814384698868,0.0012803844874724746,2.1500136852264404,0.004141851793974638,0.03893695026636124,284.1025085449219
904192,0.09137201309204102,-24.717416763305664,-0.002267077099531889,1.6271653175354004,0.7819287180900574,0.0018683383241295815,0.0016554149333387613,0.004328342154622078,3.030364751815796,24.716941833496094,24.733627319335938,97.43827,123.363335,49.550232,56.432465,50.770485,0.0010255917441099882,1.9357495307922363,0.004652476403862238,2.4583919048309326,0.0,0.021551989018917084,0.0,0.03480207920074463,0.001482382183894515,2.4529075622558594,0.00340239517390728,0.030407531186938286,283.43206787109375
1032192,0.0835704579949379,-26.407567977905273,-0.0010883394861593843,1.6156609058380127,0.7890416979789734,0.0015597834717482328,0.0024692504666745663,0.004513534251600504,2.7297146320343018,26.469112396240234,26.39724349975586,102.84486,130.11383,52.54141,61.93728,53.154243,0.0022252951748669147,1.9320762157440186,0.00711454451084137,2.5829217433929443,0.0,0.021929794922471046,0.0,0.03370007872581482,0.0016327217454090714,2.5619330406188965,0.005667268298566341,0.03622465953230858,284.541259765625
1160192,0.06868818402290344,-26.872753143310547,-0.0001490403083153069,1.3942538499832153,0.752012312412262,0.0013716953108087182,0.0024628005921840668,0.003997290041297674,2.591235637664795,26.852916717529297,26.874408721923828,107.711784,136.37653,55.272713,66.571724,55.580776,0.001903472701087594,1.9075695276260376,0.004334611818194389,2.3944921493530273,0.0,0.02193385735154152,0.0,0.030321422964334488,0.0022336947731673717,2.3954057693481445,0.0029310728423297405,0.03675771504640579,397.49884033203125
1288192,0.05990578979253769,-30.32550811767578,6.287737051025033e-06,1.776886224746704,0.8408913016319275,0.0016442909836769104,0.004147484432905912,0.004130727611482143,2.597933769226074,30.35332679748535,30.29132652282715,112.325455,141.89636,58.149315,72.2972,57.69677,0.0024702781811356544,1.9899914264678955,0.008249720558524132,2.6628918647766113,0.0,0.025168057531118393,0.0,0.028732873499393463,0.0021413397043943405,2.6829752922058105,0.006418460980057716,0.03750328719615936,327.0889587402344
