Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.028868529945611954,-5.703486442565918,0.003552328795194626,0.07533594965934753,0.033213138580322266,0.002040131716057658,0.0012420823331922293,1.4946563243865967,0.0025906292721629143,1.0881896018981934,5.70697021484375,5.712080001831055,41.460976,49.35197,31.29827,31.508394,32.270363,0.0022419937886297703,1.1415549516677856,0.008808446116745472,1.2386066913604736,0.0,0.014955193735659122,0.0,0.024183377623558044,0.00439784862101078,1.2549262046813965,0.006073417607694864,0.033289454877376556,84.528564453125
264192,0.06740215420722961,-8.331738471984863,0.00035621365532279015,0.07307600229978561,0.03394298627972603,0.0016127123963087797,0.0011313763679936528,3.4439191818237305,0.0024296140763908625,2.1264724731445312,8.402345657348633,8.288087844848633,57.882793,69.710434,35.214954,35.013134,36.706944,0.001831534318625927,1.1291556358337402,0.004551852121949196,1.2251346111297607,0.0,0.016233623027801514,0.0,0.024918733164668083,0.0021263340022414923,1.219966173171997,0.0029577307868748903,0.02649308554828167,110.68894958496094
392192,0.13709470629692078,-11.467086791992188,0.0003913992550224066,0.23077593743801117,0.10932057350873947,0.0017430803272873163,0.003452139440923929,7.697873592376709,0.0029465232510119677,2.2832469940185547,11.431994438171387,11.566008567810059,68.22654,84.37987,38.598164,39.409355,40.19694,0.0026375032030045986,1.213468074798584,0.006422265432775021,1.3833403587341309,0.0,0.017037559300661087,0.0,0.02730625309050083,0.0006428105989471078,1.4075721502304077,0.005886793602257967,0.035255949944257736,156.51071166992188
520192,0.06664088368415833,-13.224319458007812,-0.0005532673094421625,0.401323139667511,0.18466509878635406,0.0016023413045331836,0.0008515145746059716,9.456936836242676,0.002936058910563588,2.691599130630493,13.279807090759277,13.182511329650879,76.42848,95.70492,41.249146,43.216263,43.024384,0.003552940906956792,1.3023173809051514,0.00925365649163723,1.559800148010254,0.0,0.01505965180695057,0.0,0.025384025648236275,0.002803289797157049,1.5471546649932861,0.006959485821425915,0.03061220981180668,146.94166564941406
648192,0.09369740635156631,-15.546727180480957,0.00022944528609514236,0.6491474509239197,0.309417724609375,0.0015345815336331725,0.002538419794291258,12.598249435424805,0.003450749907642603,2.4749977588653564,15.578544616699219,15.554530143737793,83.12908,104.49543,44.11106,46.85751,45.64613,0.001983154332265258,1.4275224208831787,0.007716220337897539,1.7725234031677246,0.0,0.01769436150789261,0.0,0.030517343431711197,0.0022654011845588684,1.777977705001831,0.005793159361928701,0.031853143125772476,144.47674560546875
776192,0.10926026105880737,-18.915180206298828,0.0005874799098819494,0.9450749158859253,0.48911935091018677,0.0020821643993258476,0.0007825730135664344,17.371246337890625,0.003151162061840296,2.3060050010681152,18.95456314086914,18.94438362121582,89.06391,112.02288,47.16704,50.56376,48.433144,0.001477580750361085,1.645658016204834,0.00626799464225769,2.057995319366455,0.0,0.0191948302090168,0.0,0.03473290801048279,0.0011168895289301872,2.0480480194091797,0.005203167907893658,0.03375696390867233,267.48455810546875
904192,0.07616035640239716,-19.680957794189453,-0.0014759458135813475,1.1544386148452759,0.5267007946968079,0.0015363938873633742,0.0013586969580501318,18.99045753479004,0.0030880477279424667,2.8923873901367188,19.680233001708984,19.68899154663086,94.321556,118.80745,50.30025,54.55231,51.511475,0.0038410318084061146,1.680342674255371,0.01065935380756855,2.1105971336364746,0.0,0.018365081399679184,0.0,0.02807912416756153,0.003428956028074026,2.1146841049194336,0.008621027693152428,0.02945026569068432,227.11444091796875
1032192,0.04990271106362343,-19.59964942932129,-0.002118146512657404,1.184041976928711,0.5847938060760498,0.0011028663720935583,0.0013176333159208298,19.56235122680664,0.003513371106237173,2.7703208923339844,19.638887405395508,19.59170150756836,99.361374,124.42208,53.482662,58.87793,54.139874,0.002292006043717265,1.7217333316802979,0.006085974629968405,2.208026170730591,0.0,0.013193496502935886,0.0,0.023642735555768013,0.0006927935755811632,2.1949820518493652,0.006112773437052965,0.025669537484645844,218.96234130859375
1160192,0.06648345291614532,-20.043657302856445,-0.001496215583756566,1.0144944190979004,0.5224496722221375,0.0009905147599056363,0.0015170779079198837,19.15714454650879,0.003211882198229432,3.08478045463562,20.04962730407715,20.061079025268555,104.216896,129.89214,56.446064,63.303375,56.398956,0.0018656043102964759,1.6777974367141724,0.007840381003916264,2.1130175590515137,0.0,0.015306713990867138,0.0,0.028148304671049118,0.002378599951043725,2.0883541107177734,0.0064116353169083595,0.03525378182530403,304.296875
1288192,0.07688914984464645,-22.69493865966797,0.0001737727434374392,1.3061691522598267,0.6635515689849854,0.0016256762901321054,0.001632094383239746,22.101390838623047,0.003401220543310046,2.5783395767211914,22.671186447143555,22.70232391357422,108.74126,135.20999,59.36501,67.6588,58.487,0.0007723263697698712,1.8397412300109863,0.006319455336779356,2.3228847980499268,0.0,0.018579058349132538,0.0,0.034550756216049194,0.00025238277157768607,2.332484483718872,0.006067758426070213,0.036385826766490936,289.94598388671875
