Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.021821415051817894,0.05966948717832565,0.08259040117263794,0.6642143130302429,0.002012131502851844,-9.882309913635254,3.716754913330078,5.670407295227051,2.4515843391418457,34.154934,34.835445,23.280329,51.966087,34.48396,73.77226257324219
264192,0.08385537564754486,0.2556622624397278,0.1336142122745514,0.6554169654846191,0.002107566222548485,-12.451061248779297,6.092294216156006,6.143513202667236,1.026870608329773,48.604023,48.965485,29.680206,64.03742,45.697674,85.49140930175781
392192,0.10973350703716278,0.40007466077804565,0.04654764011502266,0.5973238348960876,0.0013644951395690441,-14.787196159362793,8.268457412719727,6.819921016693115,1.9236016273498535,58.91473,59.410633,35.281334,73.61287,53.01625,93.07039642333984
520192,0.14091166853904724,0.15286026895046234,0.038296520709991455,0.6042066812515259,0.0015201836358755827,-15.471854209899902,9.595979690551758,7.419984817504883,2.4091453552246094,66.45282,67.35431,39.778008,80.81674,59.461235,119.14315032958984
648192,0.11727480590343475,0.456096887588501,0.11818139255046844,0.6644843816757202,0.0020905830897390842,-19.779525756835938,11.013275146484375,8.774831771850586,2.419527769088745,72.50755,74.11074,43.079235,87.326485,65.26508,104.15584564208984
776192,0.14253102242946625,0.8087491989135742,0.03349004685878754,0.6970576643943787,0.0020852740854024887,-22.387042999267578,11.779545783996582,9.348567962646484,2.568387031555176,77.63671,80.2319,46.40765,93.139145,70.53611,110.1168212890625
904192,0.15901167690753937,0.5037862062454224,0.05189254507422447,0.7036897540092468,0.0011599264107644558,-23.70277976989746,13.030044555664062,10.476608276367188,2.599148750305176,82.35333,85.591675,49.050293,98.15785,75.44751,179.1329345703125
1032192,0.12987534701824188,0.45779183506965637,0.1056855320930481,0.7151626348495483,0.0020823534578084946,-29.984596252441406,16.00864028930664,13.985221862792969,2.220306873321533,86.465256,90.43726,52.19713,102.53453,80.15727,318.4557189941406
1160192,0.2283046543598175,0.8787371516227722,0.10241395235061646,0.8139170408248901,0.002865246497094631,-34.847259521484375,19.082130432128906,17.736011505126953,2.2137956619262695,89.77674,94.93241,55.05311,106.71033,84.81368,334.194580078125
1288192,0.24600094556808472,0.7066296935081482,0.09190705418586731,0.7932637929916382,0.0029462522361427546,-43.329402923583984,21.247024536132812,18.182071685791016,3.4701426029205322,92.83124,98.832275,57.58133,111.68716,89.17922,320.044189453125
1416192,0.19644702970981598,3.692897081375122,0.2067951112985611,1.2183783054351807,0.0066715627908706665,-49.110076904296875,26.44853973388672,22.21710968017578,4.631647109985352,95.76408,102.48303,60.1438,115.90046,93.228546,427.5946044921875
1544192,0.185949444770813,0.65766841173172,0.10351526737213135,1.1353731155395508,0.0019927378743886948,-59.72417449951172,28.444061279296875,25.897863388061523,3.150279998779297,98.64837,106.0987,62.749912,120.29716,97.637085,507.9130554199219
1672192,0.18588250875473022,1.106114387512207,0.17061515152454376,1.1902573108673096,0.002910526469349861,-59.57692337036133,28.847766876220703,25.70874786376953,3.599213123321533,101.387344,109.32159,65.08478,125.37406,101.92046,459.50506591796875
1800192,0.2218422293663025,0.9462947845458984,0.13616055250167847,1.3268635272979736,0.003688449040055275,-59.20690155029297,33.200660705566406,31.318729400634766,2.9084534645080566,103.87055,112.21413,67.122574,130.25792,106.17331,448.94012451171875
1928192,0.36030277609825134,0.7714153528213501,0.08420808613300323,1.5011632442474365,0.002939106896519661,-70.71903228759766,33.94677734375,31.45903778076172,3.3394551277160645,106.455315,114.99015,68.79158,134.4935,109.7538,480.6490478515625
2056192,0.2033461332321167,0.8894215822219849,0.17091482877731323,1.4286041259765625,0.0023708431981503963,-72.79002380371094,37.24028015136719,34.84210968017578,3.1050381660461426,108.60072,117.46465,70.41959,139.95903,113.68922,422.34088134765625
2184192,0.20631666481494904,1.7563832998275757,0.10802842676639557,2.272115707397461,0.010253975167870522,-70.8321304321289,39.94221496582031,37.427825927734375,4.50974702835083,110.62077,119.796165,72.05597,145.08273,116.911026,460.99322509765625
2312192,0.22663907706737518,1.9095306396484375,0.09571831673383713,2.31890869140625,0.007671445142477751,-77.74592590332031,41.44377136230469,37.4929313659668,4.894481658935547,112.7556,122.103874,73.34556,146.39394,118.40014,528.3656005859375
2440192,0.2519600987434387,1.5615520477294922,0.13403061032295227,2.332608938217163,0.010187583975493908,-81.79563903808594,43.257423400878906,40.16815185546875,4.425313949584961,114.9607,124.377075,74.278046,148.56508,119.65638,474.9006042480469
2568192,0.19625744223594666,1.0040178298950195,0.12154040485620499,2.3291852474212646,0.0047878990881145,-83.29949188232422,42.485328674316406,36.47840118408203,6.304168224334717,117.460724,126.691734,74.90396,150.52655,119.874214,489.5393371582031
2696192,0.14443355798721313,0.6284980773925781,0.050976283848285675,2.323838949203491,0.005859301425516605,-84.77942657470703,44.489654541015625,36.58440399169922,7.8829145431518555,119.7876,129.13222,76.22607,152.93965,121.647865,514.7730712890625
2824192,0.1378815770149231,0.9529008865356445,0.08489957451820374,2.328568935394287,0.004586302675306797,-80.0538558959961,43.8922233581543,35.68675231933594,8.402376174926758,121.88496,131.35287,77.6015,155.59186,123.98853,507.7154846191406
2952192,0.13131311535835266,1.1711511611938477,0.030158156529068947,2.322685718536377,0.0071568237617611885,-82.1446762084961,46.39671325683594,34.52526092529297,11.941919326782227,123.839226,133.57402,79.11215,158.21437,126.534325,486.84228515625
3080192,0.15422019362449646,1.3818929195404053,0.07943299412727356,2.3191747665405273,0.008190346881747246,-90.74664306640625,48.2257080078125,39.80055236816406,8.645734786987305,125.79678,135.79802,79.49635,159.4011,127.302376,538.7781982421875
3208192,0.14681799709796906,2.159940719604492,0.2747085690498352,2.334341049194336,0.00711565837264061,-90.19503784179688,48.710166931152344,40.068511962890625,8.730944633483887,127.8698,138.00235,80.23228,163.02641,129.08908,493.658203125
3336192,0.11568699777126312,1.5628223419189453,0.12377531826496124,2.3238894939422607,0.006098278798162937,-95.471435546875,49.34363555908203,43.03300094604492,6.478914260864258,129.72528,140.05621,81.251755,165.40375,130.87846,503.1363830566406
3464192,0.15265995264053345,1.0693378448486328,0.12281189858913422,2.317354679107666,0.00605428870767355,-86.68462371826172,46.38271713256836,36.15648651123047,10.279796600341797,131.53622,142.22882,81.9657,167.88448,132.47786,505.0597229003906
3592192,0.14164431393146515,1.3295860290527344,0.16520768404006958,2.322269916534424,0.006518110632896423,-92.00637817382812,49.734718322753906,41.22001266479492,8.87854290008545,133.05655,144.26628,82.674614,170.52563,134.22523,534.8585815429688
3720192,0.16600242257118225,1.156484842300415,0.11463961750268936,2.3200626373291016,0.006191479042172432,-88.56327819824219,48.46466064453125,38.010765075683594,10.693948745727539,134.65802,146.2585,83.66891,172.66737,136.15027,586.9696655273438
3848192,0.16904550790786743,1.303436040878296,0.1747061312198639,2.327045440673828,0.007058786228299141,-95.4480972290039,52.870487213134766,42.81349563598633,10.129440307617188,136.49013,148.17441,84.62059,175.47784,138.18752,560.500244140625
3976192,0.1488301157951355,1.2232683897018433,0.07640206813812256,2.3237624168395996,0.006218496710062027,-93.3392333984375,50.333377838134766,40.37190628051758,10.203393936157227,138.14142,150.16718,85.50232,178.00859,139.90431,581.5108032226562
4104192,0.14650192856788635,1.337647557258606,0.0959489643573761,2.325298309326172,0.007987786084413528,-94.71115112304688,53.252113342285156,44.26261901855469,9.551629066467285,139.70473,152.13356,86.190605,179.45544,141.21127,556.4537353515625
4232192,0.139246866106987,1.1690099239349365,0.07771855592727661,2.3295440673828125,0.006413607392460108,-96.72247314453125,54.86669158935547,42.205177307128906,13.522503852844238,141.34554,153.75209,86.76573,181.83755,142.8267,509.0828552246094
4360192,0.12541553378105164,1.2669204473495483,0.10097430646419525,2.3309950828552246,0.008174664340913296,-106.82792663574219,59.00472640991211,51.786903381347656,7.364555835723877,142.94818,155.47426,87.82467,183.8102,144.44307,508.4407653808594
4488192,0.0972696840763092,0.7622904181480408,0.08664778620004654,2.3234200477600098,0.005071417894214392,-103.72244262695312,55.60501480102539,44.55941390991211,11.107105255126953,144.25793,157.17067,88.55163,186.38834,146.14168,486.1195068359375
4616192,0.0855686217546463,0.8386929035186768,0.11322677880525589,2.3122503757476807,0.007393072824925184,-107.318603515625,60.8035888671875,46.823577880859375,14.181341171264648,145.64143,158.70705,89.36964,187.97823,147.589,562.3893432617188
4744192,0.1149100735783577,0.7346352934837341,0.11693468689918518,2.310037612915039,0.008429084904491901,-116.37741088867188,60.5298957824707,48.378910064697266,12.468694686889648,147.01172,160.38133,90.11085,190.97119,149.15631,415.8331298828125
4872192,0.10257869958877563,0.7542128562927246,0.1638098806142807,2.323953628540039,0.0059687355533242226,-112.09642028808594,65.8870620727539,54.20560073852539,11.948081970214844,148.40645,162.02802,91.10609,193.32983,150.76018,496.30712890625
5000192,0.16620923578739166,0.7394021153450012,0.05187245458364487,2.317307949066162,0.006505426485091448,-113.53582000732422,65.09697723388672,48.69623565673828,16.596294403076172,149.64944,163.56068,91.83583,194.10335,151.81862,472.7732238769531
