Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,7.242735591717064e-05,-0.695455014705658,0.006853468716144562,0.0023089353926479816,0.00150892767123878,3.601780190365389e-05,0.1400957703590393,0.0015687007689848542,-2.3639721870422363,0.6923352479934692,0.6935364007949829,20.463663,24.963694,32.09942,31.442646,31.428032,0.00165404356084764,0.9342035055160522,0.0022481773048639297,0.9146127700805664,0.0,0.001847750972956419,0.0,0.006062241271138191,7.19563031452708e-05,0.9055352210998535,0.0022049807012081146,0.010236729867756367,0.005515535362064838
264192,0.000660233199596405,-0.20742452144622803,6.741717515978962e-05,0.0135650634765625,0.006217712536454201,0.00044844666263088584,0.13854962587356567,9.058531577466056e-05,1.2508560419082642,0.20801064372062683,0.20744279026985168,34.757023,37.061108,33.426136,32.83599,32.54707,0.0015571009134873748,0.9472359418869019,0.0016743384767323732,0.9226191639900208,0.0,0.0028674015775322914,0.0,0.005481250584125519,0.0008692877599969506,0.9282690286636353,0.0017522815614938736,0.00849329773336649,1.3618297576904297
392192,0.0033688994590193033,-0.06632649153470993,5.1441940740915015e-05,0.006450068671256304,0.0035143294371664524,0.00015099691518116742,0.1309083104133606,8.058246748987585e-05,1.3310738801956177,0.06545861065387726,0.06517188251018524,41.097614,48.429226,36.58073,35.59371,35.00475,0.0011515113292261958,0.940775990486145,0.0014459033263847232,0.9334707260131836,0.0,0.0037514916621148586,0.0,0.005163863301277161,0.0008354040910489857,0.9264841675758362,0.001103319344110787,0.00772341713309288,1.129067301750183
520192,0.00021599343745037913,-0.02916647307574749,1.2832761967729311e-05,0.012402694672346115,0.0080140121281147,0.00012703589163720608,0.1195235401391983,9.681402298156172e-05,1.9006410837173462,0.02962650917470455,0.02781151980161667,46.132008,55.744087,39.94939,38.654633,38.142258,0.0018358862726017833,0.9514526724815369,0.001786369364708662,0.9357506036758423,0.0,0.0034543026704341173,0.0,0.004719854798167944,0.001371878432109952,0.9310743808746338,0.001609381870366633,0.00572286918759346,0.6206446290016174
648192,0.0010105276014655828,-0.007922309450805187,2.0295381546020508e-05,0.004768896382302046,0.0013627769658342004,0.0001762204192345962,0.12586653232574463,5.574512397288345e-05,1.657914161682129,0.006926475092768669,0.006834903731942177,49.909073,61.33709,43.153687,41.5477,41.595783,0.00024718334316276014,0.9462709426879883,0.00335738155990839,0.9266694188117981,0.0,0.002958080731332302,0.0,0.0038086790591478348,0.0008927106391638517,0.9273247718811035,0.003545961808413267,0.005241401959210634,0.9406582713127136
776192,0.0010257945396006107,-0.07037512958049774,-1.0815065252245404e-06,0.030248861759901047,0.017178630456328392,0.00040931603871285915,0.11952918767929077,0.00010900468623731285,1.9142253398895264,0.0695066824555397,0.07410598546266556,53.892105,65.885445,46.59537,44.604637,44.881172,0.0009849137859418988,0.9796010255813599,0.001864595920778811,0.9753168821334839,0.0,0.004361986182630062,0.0,0.0045752860605716705,0.00314492080360651,0.9728211760520935,0.003792061936110258,0.005395994056016207,0.8183197975158691
904192,0.001412276760675013,-0.09022139012813568,4.622732740244828e-05,0.018451182171702385,0.008010171353816986,0.0005166961927898228,0.1141107976436615,0.00025087184621952474,1.807536005973816,0.08701009303331375,0.0911359041929245,58.12011,70.286705,50.67923,48.04278,48.208588,0.0015663513913750648,0.9736814498901367,0.0015102869365364313,0.9549400210380554,0.0,0.005468402989208698,0.0,0.008195018395781517,0.0014292742125689983,0.9555715322494507,0.0011720830807462335,0.007450399920344353,1.3610198497772217
1032192,0.003440201748162508,-0.13535356521606445,3.357430250616744e-05,0.014432892203330994,0.007955988869071007,0.0011963691795244813,0.11112791299819946,0.00028399701113812625,2.1283605098724365,0.13180755078792572,0.13731470704078674,62.46345,74.36268,54.42092,50.862766,51.64969,0.0012395982630550861,0.973631739616394,0.005785665940493345,0.9583728313446045,0.0,0.007817832753062248,0.0,0.007797920145094395,0.0007333966204896569,0.9552520513534546,0.005226803012192249,0.013278835453093052,4.91855525970459
1160192,0.0023640773724764585,-0.14156892895698547,0.0002224964409833774,0.007704399526119232,0.004390374757349491,0.0005063991411589086,0.10297344624996185,0.00028906279476359487,1.3605637550354004,0.13683931529521942,0.1351720243692398,66.185265,78.28707,58.044117,54.24492,55.497242,0.000435139168985188,0.965553879737854,0.0028419573791325092,0.947656512260437,0.0,0.005837032571434975,0.0,0.005454701837152243,0.0010463163489475846,0.9465157389640808,0.0024029803462326527,0.007095622830092907,7.205263614654541
1288192,0.003556220792233944,-0.4461295008659363,-0.00011910994362551719,0.028408102691173553,0.010360358282923698,0.0007297690026462078,0.10164761543273926,0.00033466823515482247,2.401333808898926,0.44840139150619507,0.43519890308380127,69.91399,81.983116,61.54369,57.405537,59.173218,0.0009440274443477392,0.9954307675361633,0.0023914796765893698,0.9946069717407227,0.0,0.006437106989324093,0.0,0.010990343987941742,0.0008211638196371496,0.9922999143600464,0.002108525950461626,0.012882070615887642,8.026256561279297
