Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.009218170307576656,-0.7547575235366821,0.00593197625130415,0.09017258137464523,0.018463734537363052,0.0030080468859523535,0.07985047996044159,0.17930859327316284,0.0017963848076760769,-1.348416805267334,0.7560994625091553,0.7525957226753235,33.27459,49.515984,31.08777,31.505703,31.002335,0.0035246270708739758,1.0151355266571045,0.00781535916030407,1.007807731628418,0.0,0.019575519487261772,0.0,0.03362589702010155,0.00779879093170166,1.0472618341445923,0.006455269642174244,0.06848987191915512,5.61297607421875
264192,0.013765733689069748,-0.3411518335342407,5.50637450942304e-05,0.02553730085492134,0.013472180813550949,0.0006012580124661326,0.027879884466528893,0.23841777443885803,0.0002455692447256297,1.907576560974121,0.3478194773197174,0.34071189165115356,42.894363,66.06041,33.716324,34.256973,34.095863,0.0021033883094787598,1.019773006439209,0.00756364781409502,1.0011647939682007,0.0,0.011984085664153099,0.0,0.016331367194652557,0.0036520827561616898,0.9884188771247864,0.004929092712700367,0.018875133246183395,5.4617018699646
392192,0.0033162408508360386,-0.11706758290529251,3.88159642170649e-05,0.011358427815139294,0.005829395726323128,0.0010745117906481028,0.052545808255672455,0.05508667975664139,0.00020566956663969904,1.7520819902420044,0.10866905748844147,0.11203502118587494,49.307903,75.21868,37.417862,37.68585,37.942677,0.0025918178725987673,0.9917009472846985,0.004950454458594322,0.969509482383728,0.0,0.008696814067661762,0.0,0.014650444500148296,0.0025784254539757967,0.9700474739074707,0.004438773728907108,0.013141047209501266,7.26517391204834
520192,0.02171933650970459,-0.2624162435531616,-0.0004410775436554104,0.06449003517627716,0.028460504487156868,0.0009376562666147947,0.04219241440296173,0.2476092278957367,0.0013651865301653743,2.419588088989258,0.2256183624267578,0.23766517639160156,54.3762,83.84821,40.86874,41.13398,41.629433,0.0027169473469257355,1.0199329853057861,0.0046071819961071014,1.0392978191375732,0.0,0.007279171608388424,0.0,0.012929899618029594,0.0009187536779791117,1.0350704193115234,0.0038048289716243744,0.014680182561278343,41.48206329345703
648192,0.14821648597717285,-6.977725982666016,-0.006469070445746183,0.2525853216648102,0.11593811959028244,0.0018015233799815178,0.04106348752975464,5.7893500328063965,0.013851083815097809,2.5007097721099854,6.641965866088867,6.6028828620910645,60.949474,97.11157,44.746185,44.80235,46.071014,0.0014218873111531138,1.1452386379241943,0.005034242756664753,1.2155832052230835,0.0,0.018111877143383026,0.0,0.024029551073908806,0.0015598224708810449,1.2190284729003906,0.003918268717825413,0.029233410954475403,38.741004943847656
776192,0.13277745246887207,-9.806721687316895,-0.0013921266654506326,0.2356237769126892,0.1217646449804306,0.0019133496098220348,0.051026955246925354,8.861197471618652,0.010244013741612434,2.1648874282836914,9.545320510864258,9.487515449523926,67.995346,107.54481,48.329067,48.49423,50.08503,0.0024113720282912254,1.1207222938537598,0.004370910115540028,1.182195782661438,0.0,0.01618172414600849,0.0,0.019787754863500595,0.003968854434788227,1.1858763694763184,0.004053289070725441,0.023001862689852715,89.16064453125
904192,0.19667646288871765,-12.355424880981445,0.000425481703132391,0.5671679973602295,0.2863844335079193,0.0018658365588635206,0.0422515831887722,13.538494110107422,0.01122787781059742,1.9364192485809326,12.047685623168945,12.011345863342285,73.46145,120.10803,51.60054,51.789227,53.675495,0.001582907629199326,1.3031476736068726,0.0074550393037498,1.466770887374878,0.0,0.013830238953232765,0.0,0.018101204186677933,0.003760987427085638,1.474622130393982,0.007485324516892433,0.024792222306132317,215.0607452392578
1032192,0.43306565284729004,-16.37208366394043,0.0019119225908070803,0.8882582783699036,0.42970550060272217,0.0022339560091495514,0.03073873370885849,16.59201431274414,0.012537696398794651,1.8053699731826782,16.02896499633789,16.113431930541992,78.5911,131.11354,54.683754,55.193306,56.96072,0.005358032416552305,1.4805505275726318,0.013359359465539455,1.7729295492172241,0.0,0.014540450647473335,0.0,0.02649182453751564,0.004124495200812817,1.765676498413086,0.013653932139277458,0.028296735137701035,476.6987609863281
1160192,0.3265003561973572,-23.219892501831055,-0.009932998567819595,1.787375807762146,0.9671356678009033,0.0031039866153150797,0.027220718562602997,24.818321228027344,0.014829917810857296,2.4709415435791016,22.90512466430664,22.87436866760254,82.759186,140.69469,57.574608,59.055187,60.134895,0.00676845433190465,2.037660837173462,0.02073444426059723,2.5552334785461426,0.0,0.016913272440433502,0.0,0.024679411202669144,0.0027053370140492916,2.5504651069641113,0.02169537916779518,0.027961116284132004,502.88494873046875
1288192,0.39256152510643005,-21.842647552490234,0.007330661173909903,1.5031381845474243,0.7752175331115723,0.0016958853229880333,0.03600674867630005,22.772876739501953,0.01570611633360386,1.5497140884399414,21.649036407470703,21.59714126586914,86.69155,148.86632,60.236187,63.775417,63.20663,0.00121378677431494,1.8362231254577637,0.03396907076239586,2.271421194076538,0.0,0.014652002602815628,0.0,0.028001295402646065,0.003794647753238678,2.2843661308288574,0.030191579833626747,0.03346627950668335,202.0105438232422
