Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,1.53342866897583,-54.613277435302734,0.004114794544875622,3.154820203781128,1.1134599447250366,0.007238293532282114,0.019890163093805313,19.101573944091797,0.0614156499505043,0.8945565819740295,54.17047882080078,54.43477249145508,57.258717,86.52205,30.847282,29.742594,29.966866,0.020193614065647125,2.2577977180480957,0.04318588599562645,3.332304000854492,0.0,0.03984181955456734,0.0,0.09318310022354126,0.011932790279388428,3.386317014694214,0.03377129137516022,0.132610023021698,911.65625
264192,0.7017086744308472,-81.12924194335938,-0.006251071114093065,2.29687762260437,0.971526026725769,0.00467117503285408,0.012351037003099918,11.662009239196777,0.03397137671709061,1.0409950017929077,81.01582336425781,80.89610290527344,71.88081,101.55005,33.882374,32.75747,32.720592,0.0010229273466393352,2.0652103424072266,0.031585242599248886,2.7718119621276855,0.0,0.029379401355981827,0.0,0.06515443325042725,0.003331853076815605,2.7672927379608154,0.02839006297290325,0.08233759552240372,947.171875
392192,0.4460131525993347,-90.49349212646484,0.0010679573751986027,1.6636255979537964,0.5667378902435303,0.005576733499765396,0.0276198647916317,6.7283453941345215,0.02196185290813446,0.9846402406692505,90.35334777832031,90.43089294433594,83.669655,109.05096,37.340614,36.265377,35.992645,0.00227047479711473,1.6536993980407715,0.018527738749980927,2.150381565093994,0.0,0.02215660735964775,0.0,0.04825823754072189,0.007448174059391022,2.1728358268737793,0.013492805883288383,0.06520172208547592,923.3515625
520192,0.2278459370136261,-93.87078857421875,0.000534041493665427,1.566819667816162,0.5141316652297974,0.003709985874593258,0.028888309374451637,5.981708526611328,0.01748037151992321,1.0332361459732056,93.79520416259766,93.85086822509766,93.052864,115.38081,40.904213,39.881947,39.248363,0.002203945070505142,1.5832929611206055,0.015950175002217293,2.082584857940674,0.0,0.020067919045686722,0.0,0.041388168931007385,0.005456963088363409,2.0836174488067627,0.013926506973803043,0.05469366908073425,959.15625
648192,0.3864496350288391,-95.4475326538086,0.0003500640159472823,1.1537325382232666,0.455905020236969,0.005867443047463894,0.013268304988741875,4.294190883636475,0.014464640989899635,0.9537323713302612,95.42266845703125,95.3745346069336,101.41253,120.7829,44.36503,43.759415,42.539513,0.0014018696965649724,1.53241765499115,0.01444886066019535,1.8972313404083252,0.0,0.02286583185195923,0.0,0.04876517876982689,0.0019046177621930838,1.9013292789459229,0.012883810326457024,0.060223303735256195,977.5859375
776192,0.15234968066215515,-97.12528991699219,0.0031585111282765865,0.8958280682563782,0.2841024100780487,0.0018353222403675318,0.021510321646928787,2.4591660499572754,0.012159192003309727,0.8653237223625183,97.10737609863281,97.13951110839844,108.89218,125.74937,47.64861,48.125168,45.75816,0.0069411261938512325,1.3256726264953613,0.00730975903570652,1.5795834064483643,0.0,0.019880373030900955,0.0,0.0337582528591156,0.018695496022701263,1.5953264236450195,0.015836060047149658,0.0423194020986557,980.859375
904192,0.16331464052200317,-97.42398071289062,-0.00038301231688819826,1.1675249338150024,0.28656476736068726,0.0025288339238613844,0.018350966274738312,2.206928253173828,0.010625611990690231,0.9009063839912415,97.5954360961914,97.29026794433594,115.46172,130.72401,50.70601,52.337364,48.88735,0.0009140177280642092,1.352442741394043,0.009643150493502617,1.63699471950531,0.0,0.025266073644161224,0.0,0.040292613208293915,0.005976255517452955,1.6246436834335327,0.008935925550758839,0.0354299396276474,979.0390625
1032192,0.08782011270523071,-97.7286605834961,0.002388556022197008,1.1873788833618164,0.30907103419303894,0.001877272967249155,0.003033466637134552,2.190290927886963,0.00967404805123806,0.8053646087646484,97.78097534179688,97.71144104003906,121.622444,135.29301,53.83944,56.325886,52.010605,0.001984394621104002,1.3431326150894165,0.022013172507286072,1.6183438301086426,0.0,0.018535522744059563,0.0,0.041424669325351715,0.0022847242653369904,1.5894532203674316,0.019870614632964134,0.03955937176942825,979.140625
1160192,0.1308206468820572,-98.09683227539062,0.001134142279624939,0.6381376385688782,0.2851555049419403,0.001716378377750516,0.003990841563791037,1.8431031703948975,0.00949699617922306,0.9656122326850891,98.06732940673828,98.07554626464844,127.54918,140.0122,56.73242,60.57608,55.102047,0.0014940816909074783,1.3174481391906738,0.012585250660777092,1.5698655843734741,0.0,0.01460604090243578,0.0,0.028234675526618958,0.0007451787241734564,1.5354082584381104,0.012046605348587036,0.0397280715405941,965.2578125
1288192,0.14332950115203857,-97.54712677001953,0.0001175623619928956,1.1374905109405518,0.3430357873439789,0.0021407236345112324,0.024755971506237984,2.562069892883301,0.008693396113812923,1.0306049585342407,97.57637023925781,97.47886657714844,132.98259,144.49004,59.551025,64.65215,58.066525,5.391586455516517e-05,1.3732410669326782,0.010279029607772827,1.6147807836532593,0.0,0.024845782667398453,0.0,0.030988221988081932,0.0040013426914811134,1.6164112091064453,0.009660763666033745,0.037882477045059204,976.7578125
1416192,0.10884319245815277,-98.22201538085938,0.0015672734007239342,0.42032989859580994,0.20409783720970154,0.0012679887004196644,0.010805071331560612,1.3686888217926025,0.007511613424867392,0.8756133913993835,98.20013427734375,98.23506164550781,137.94174,148.76494,62.266094,68.76534,60.923397,0.0013520338106900454,1.209166169166565,0.009757960215210915,1.3334853649139404,0.0,0.01318075880408287,0.0,0.024372193962335587,0.0013429231476038694,1.3353630304336548,0.00848984345793724,0.02875189110636711,970.6328125
1544192,0.12950079143047333,-98.36747741699219,0.0008993173250928521,0.6639902591705322,0.22499820590019226,0.0019885008223354816,0.04752961918711662,1.4467213153839111,0.007585400715470314,0.8931657075881958,98.38040161132812,98.39517211914062,142.77873,152.82361,64.91275,72.70335,63.647224,0.002685150131583214,1.2779829502105713,0.0014951216289773583,1.4333560466766357,0.0,0.01736193336546421,0.0,0.028674863278865814,0.00807425007224083,1.4646300077438354,0.007748710922896862,0.05749004706740379,980.734375
1672192,0.09134538471698761,-98.67953491210938,0.0010308214696124196,0.5362938642501831,0.20043626427650452,0.00191124074626714,0.017514752224087715,1.2100729942321777,0.007440874353051186,0.8739672899246216,98.65419006347656,98.69795227050781,147.2242,156.76122,67.4126,76.78529,66.37338,0.0013514565071091056,1.2375200986862183,0.009835472330451012,1.4026952981948853,0.0,0.016001909971237183,0.0,0.023562053218483925,0.0009003860177472234,1.4025957584381104,0.009530531242489815,0.023238083347678185,969.6875
1800192,0.11047673225402832,-98.50360870361328,-6.251291779335588e-05,0.8968216180801392,0.23959115147590637,0.0030505689792335033,0.004588224925100803,1.4705578088760376,0.006178086623549461,0.9804626703262329,98.43560028076172,98.56983947753906,151.42989,160.70747,69.7227,80.39701,68.97991,0.0003935396089218557,1.275118350982666,0.00989277008920908,1.5149190425872803,0.0,0.014124471694231033,0.0,0.031187094748020172,8.712965791346505e-05,1.4806904792785645,0.009815898723900318,0.05031971260905266,970.78125
1928192,0.1218753308057785,-98.37421417236328,-0.0010969765717163682,0.7392554879188538,0.20793341100215912,0.0020826924592256546,0.0023897027131170034,1.3725643157958984,0.006627680268138647,1.2099014520645142,98.34684753417969,98.39599609375,155.5779,164.65489,71.81843,84.07709,71.40863,0.0015002349391579628,1.2548165321350098,0.002662206068634987,1.4500658512115479,0.0,0.016008524224162102,0.0,0.029741503298282623,0.001624180469661951,1.431567907333374,0.0026909969747066498,0.037448398768901825,978.6328125
2056192,0.11387325823307037,-98.12367248535156,-0.0005939410766586661,0.7925980687141418,0.26058948040008545,0.001856500282883644,0.02800537645816803,1.8604294061660767,0.006290770601481199,1.1847935914993286,98.22456359863281,98.0902099609375,159.40659,168.34918,74.11762,87.75112,73.877426,1.3328703062143177e-05,1.2902103662490845,0.010393624193966389,1.4770234823226929,0.0,0.016963616013526917,0.0,0.02379310503602028,0.0006003387970849872,1.4834778308868408,0.009910410270094872,0.034483037889003754,978.453125
2184192,0.0886475145816803,-98.95765686035156,0.00021247130644042045,0.9966712594032288,0.15216298401355743,0.0033613864798098803,0.01504671759903431,0.9732123613357544,0.004924888256937265,1.0787854194641113,99.00352478027344,98.92430114746094,163.2383,172.00748,75.88699,91.08267,76.27972,0.0006661527440883219,1.2144666910171509,0.002733522094786167,1.368808388710022,0.0,0.015045812353491783,0.0,0.024281304329633713,0.003381287446245551,1.3488478660583496,0.00293830712325871,0.03618140518665314,980.2578125
2312192,0.10089265555143356,-98.75186157226562,-5.403174873208627e-05,0.8122603893280029,0.1916845589876175,0.0037976177409291267,0.007634545210748911,1.0431997776031494,0.004757740534842014,1.0783077478408813,98.71218872070312,98.82266235351562,166.9805,175.62843,77.888794,94.508446,78.655495,0.0026025266852229834,1.2045305967330933,0.006500782910734415,1.397827386856079,0.0,0.013637062162160873,0.0,0.03136240690946579,0.001095365732908249,1.3617788553237915,0.00601982232183218,0.04714509844779968,978.484375
