Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,1.1926872730255127,-37.69518280029297,-0.0025442123878747225,3.280968189239502,1.2548887729644775,0.008722398430109024,0.015040149912238121,28.376907348632812,0.06161906570196152,1.1709339618682861,37.47322463989258,37.25959014892578,53.28928,93.83736,30.807571,30.85923,30.524973,0.01392950490117073,2.4713540077209473,0.040796857327222824,3.7323801517486572,0.0,0.043680548667907715,0.0,0.07972288876771927,0.008962190710008144,3.717607021331787,0.0327548049390316,0.08637423813343048,855.0546875
264192,1.0384535789489746,-69.72529602050781,0.001445145346224308,3.136808395385742,1.1119145154953003,0.0038961113896220922,0.01480146124958992,22.202388763427734,0.05467187613248825,0.9966615438461304,69.43605041503906,69.31061553955078,67.657036,114.99756,34.017975,34.12402,33.990005,0.00885794684290886,2.2974905967712402,0.022832294926047325,3.308128595352173,0.0,0.03786376863718033,0.0,0.08856621384620667,0.009366558864712715,3.2513914108276367,0.01562775857746601,0.09069494903087616,972.1328125
392192,0.5270226001739502,-85.34603881835938,-0.0018447621259838343,1.8929814100265503,0.7129872441291809,0.0036857598461210728,0.0168765801936388,12.968680381774902,0.03643312677741051,1.042420744895935,85.08879089355469,85.1131591796875,77.7877,125.74107,37.41858,37.621822,37.317955,0.004517504945397377,1.8890303373336792,0.009831411764025688,2.49365234375,0.0,0.028253961354494095,0.0,0.06696717441082001,0.0026385742239654064,2.5159873962402344,0.007805217988789082,0.06523877382278442,973.0234375
520192,0.5512241721153259,-91.55587768554688,0.002950953785330057,1.8656173944473267,0.7188161015510559,0.003194623626768589,0.008796975947916508,9.118200302124023,0.026060350239276886,0.9507290124893188,91.47986602783203,91.30531311035156,86.405365,132.22821,40.930973,40.96534,40.635174,0.005323551129549742,1.767081379890442,0.014862019568681717,2.362006187438965,0.0,0.034278444945812225,0.0,0.043891116976737976,0.0030098333954811096,2.333919048309326,0.011995391920208931,0.05336851626634598,967.2109375
648192,0.39046505093574524,-93.4513168334961,0.0011341966455802321,2.218522310256958,0.6460359692573547,0.004637458361685276,0.004864158574491739,7.902462482452393,0.020232414826750755,0.9207684993743896,93.43341827392578,93.25757598876953,93.55022,137.81807,44.41212,44.146633,44.152073,0.003436675760895014,1.7371762990951538,0.01144069992005825,2.2894909381866455,0.0,0.02572113461792469,0.0,0.05231161415576935,0.0019495910964906216,2.2533626556396484,0.010874137282371521,0.0627053827047348,966.9453125
776192,0.2681998014450073,-93.33670043945312,-0.00139032828155905,2.4690189361572266,0.6930949091911316,0.004864006768912077,0.007777737453579903,8.030128479003906,0.01705446094274521,1.0798274278640747,93.32540893554688,93.25165557861328,99.97246,142.84401,47.438164,47.099457,47.404778,0.0013673100620508194,1.7722399234771729,0.01120646484196186,2.3459842205047607,0.0,0.02859678491950035,0.0,0.04942493140697479,0.005191495642066002,2.305626392364502,0.008092365227639675,0.05963500216603279,952.0078125
904192,0.2957358956336975,-95.440673828125,-0.00046976935118436813,1.699480414390564,0.48697909712791443,0.003351617604494095,0.023537520319223404,5.448943138122559,0.01340534444898367,1.021288514137268,95.32202911376953,95.50973510742188,106.0126,147.47282,50.74729,50.25732,50.714546,0.0019860018510371447,1.5452344417572021,0.01676330156624317,1.9568281173706055,0.0,0.019291188567876816,0.0,0.04789731651544571,0.007249950431287289,1.9623161554336548,0.014052040874958038,0.04909500479698181,969.953125
1032192,0.2224615216255188,-95.82918548583984,-0.0016541582299396396,1.3412662744522095,0.5645430684089661,0.00352438073605299,0.008351225405931473,4.540475368499756,0.011510702781379223,1.1697310209274292,95.74824523925781,95.85432434082031,111.41186,151.85077,53.82911,53.461746,53.696617,0.005873707123100758,1.5856003761291504,0.025372570380568504,1.9687402248382568,0.0,0.018274664878845215,0.0,0.03602660447359085,0.0017711203545331955,1.9540408849716187,0.023671109229326248,0.035300955176353455,960.53125
1160192,0.22483256459236145,-96.74424743652344,-0.0008133245864883065,1.1511178016662598,0.4904553294181824,0.003204000648111105,0.0017964796861633658,3.470273494720459,0.010010208934545517,1.1447725296020508,96.6226806640625,96.76179504394531,116.41526,156.27959,56.453224,56.98414,56.656208,0.0061520361341536045,1.5656179189682007,0.024936098605394363,1.9470953941345215,0.0,0.019724667072296143,0.0,0.03576762229204178,0.0017881841631606221,1.9074885845184326,0.023516181856393814,0.05701156705617905,965.375
1288192,0.16291376948356628,-96.56593322753906,-0.0021025240421295166,1.1432292461395264,0.4537014663219452,0.0041662766598165035,0.0017211773665621877,3.770016670227051,0.009293229319155216,1.1976797580718994,96.6396484375,96.50753784179688,121.10156,160.52484,59.42393,60.43846,59.68739,0.0029451255686581135,1.5201995372772217,0.004960887134075165,1.884217381477356,0.0,0.01764582470059395,0.0,0.03455771133303642,0.006987161934375763,1.8537421226501465,0.006633893586695194,0.060028549283742905,973.71875
