Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.005376915447413921,-3.9969301223754883,0.0004781410680152476,0.02218269370496273,0.012512259185314178,0.00039028379251249135,0.002923357067629695,0.0029814806766808033,2.931241035461426,3.950192451477051,3.9523236751556396,35.449303,36.459312,31.299438,31.300749,31.254366,0.00353501969948411,1.1639753580093384,0.0018673165468499064,1.2088642120361328,0.0,0.007161828223615885,0.0,0.010862277820706367,0.0017150621861219406,1.210290551185608,0.002022271975874901,0.016064032912254333,151.59100341796875
264192,0.022363625466823578,-10.9541654586792,0.0027233297005295753,0.17344743013381958,0.11722436547279358,0.0012705778935924172,0.0005043725250288844,0.0066786231473088264,2.4413304328918457,10.91341781616211,10.929876327514648,52.169716,52.67267,33.31738,33.852745,33.02309,0.0007935960311442614,1.5247776508331299,0.005538377445191145,1.6697413921356201,0.0,0.012887033633887768,0.0,0.01556658186018467,0.0016417962033301592,1.6608943939208984,0.004760082811117172,0.021517984569072723,593.3444213867188
392192,0.052884697914123535,-20.245792388916016,0.002558931475505233,0.2386176735162735,0.16588549315929413,0.00034367587068118155,0.00018849885964300483,0.012205163016915321,2.556579351425171,20.218914031982422,20.220294952392578,61.873234,66.79833,35.96618,36.86666,35.098885,0.003477558260783553,1.657781958580017,0.004191437270492315,1.817705512046814,0.0,0.011401575058698654,0.0,0.013459483161568642,0.0025368775241076946,1.8083463907241821,0.0036790622398257256,0.01807575672864914,655.6161499023438
520192,0.0572284534573555,-29.700946807861328,0.0003402181901037693,0.2735828757286072,0.19495557248592377,0.000255957042099908,8.127443834382575e-06,0.016296373680233955,2.9231629371643066,29.67230796813965,29.715280532836914,68.73701,77.694626,38.832794,40.13859,37.50513,0.0017374318558722734,1.6762921810150146,0.002105877734720707,1.8649640083312988,0.0,0.01089971698820591,0.0,0.013884634710848331,0.0014901399845257401,1.8629587888717651,0.002011135220527649,0.015930980443954468,687.7908325195312
648192,0.07598254084587097,-36.874664306640625,-0.0025693289935588837,0.2885703444480896,0.2032679170370102,0.00022601209639105946,0.0,0.01821487955749035,3.1507997512817383,36.87367248535156,36.85078811645508,74.31011,86.21282,41.795383,43.275723,39.97534,0.002203273121267557,1.6970040798187256,0.003542450489476323,1.8866862058639526,0.0,0.009151080623269081,0.0,0.012919852510094643,0.0026112471241503954,1.8789581060409546,0.00381237780675292,0.016693513840436935,669.3941040039062
776192,0.1119370311498642,-41.8973503112793,1.19705218821764e-05,0.29951241612434387,0.19844645261764526,0.0002146068145520985,7.670903869438916e-05,0.01824123226106167,3.116893768310547,41.88386154174805,41.97734069824219,79.19864,93.074554,44.692192,46.252686,42.537094,0.0026319632306694984,1.672619104385376,0.0037666414864361286,1.8327627182006836,0.0,0.0095254797488451,0.0,0.0115131177008152,0.0008261328330263495,1.8464033603668213,0.0038163848221302032,0.02189100906252861,679.2694091796875
904192,0.07064060866832733,-46.95920181274414,0.0017757690511643887,0.25778067111968994,0.18203096091747284,0.00019321597937960178,0.00013877483434043825,0.018194183707237244,2.8189148902893066,46.94904327392578,47.00921630859375,83.7065,99.057236,47.490376,49.45454,45.0781,0.00013857215526513755,1.6125836372375488,0.010947447270154953,1.7782971858978271,0.0,0.010381225496530533,0.0,0.010964049957692623,0.0003090124228037894,1.77414870262146,0.010682363063097,0.013138670474290848,697.6558227539062
1032192,0.09846776723861694,-49.614967346191406,0.0012630150886252522,0.2569150924682617,0.1793450117111206,0.00021146803919691592,0.0,0.018371496349573135,2.918867826461792,49.648582458496094,49.64259719848633,87.824814,104.39729,50.253963,52.465866,47.556408,0.0009446461917832494,1.577873706817627,0.003718506544828415,1.7489162683486938,0.0,0.0069895340129733086,0.0,0.010751632042229176,0.0013356972485780716,1.746665358543396,0.0035795620642602444,0.01311531662940979,702.4688720703125
1160192,0.16993744671344757,-53.34454345703125,0.0023804567754268646,0.2383217066526413,0.16624878346920013,0.0002067251189146191,4.1705197872943245e-06,0.01793007366359234,2.6880545616149902,53.38680648803711,53.385581970214844,91.66099,109.33402,52.932087,55.502773,50.018234,0.0006586625822819769,1.5480268001556396,0.012024957686662674,1.6937475204467773,0.0,0.007369165774434805,0.0,0.01013963669538498,0.00017283804481849074,1.6905585527420044,0.011905034072697163,0.013160575181245804,714.6605834960938
1288192,0.08233620226383209,-54.97028732299805,-0.003238931531086564,0.20891907811164856,0.1474238634109497,0.00016357764252461493,0.0,0.017631161957979202,3.125382423400879,55.05206298828125,54.99771499633789,95.21436,113.866394,55.512817,58.03643,52.500748,0.0007031350396573544,1.4992423057556152,0.001169096678495407,1.6338162422180176,0.0,0.0068493797443807125,0.0,0.00972240325063467,0.0020481576211750507,1.6327438354492188,0.001969801727682352,0.011269023641943932,713.5621337890625
