Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0012357408413663507,-3.6385395526885986,0.004199196584522724,0.01234604511409998,0.008112959563732147,0.00023910631716717035,0.0029397353064268827,0.032820526510477066,0.0022589946165680885,1.2890973091125488,3.626142740249634,3.6244168281555176,32.598995,32.62717,31.05899,31.130701,31.572647,0.002273827325552702,1.1183419227600098,0.0012014528037980199,1.1337308883666992,0.0,0.005038697272539139,0.0,0.007383490912616253,0.006003393791615963,1.1408190727233887,0.005762847140431404,0.012149716727435589,94.56983947753906
264192,0.012231230735778809,-8.410562515258789,-0.003802869003266096,0.1726488620042801,0.1128789559006691,0.0004165900172665715,0.0006863683229312301,2.216247081756592,0.004049563314765692,3.571152687072754,8.401336669921875,8.402395248413086,51.276844,48.697327,33.275787,33.552773,33.9493,0.002148748841136694,1.5185444355010986,0.004075692966580391,1.6594994068145752,0.0,0.010846341028809547,0.0,0.015355551615357399,0.0007634933572262526,1.6511013507843018,0.003523607738316059,0.02152683213353157,529.7198486328125
392192,0.03861027583479881,-15.822938919067383,0.00120317074470222,0.2568625211715698,0.17665016651153564,0.00039311431464739144,0.0002996949478983879,5.219034194946289,0.010049186646938324,3.0058484077453613,15.835628509521484,15.822602272033691,61.39929,64.82071,36.473755,37.258415,36.298347,0.0014852061867713928,1.6526881456375122,0.00659570936113596,1.8472167253494263,0.0,0.01959477923810482,0.0,0.016773294657468796,0.0016674782382324338,1.8436107635498047,0.005294883158057928,0.020054519176483154,617.04833984375
520192,0.04766231030225754,-24.508182525634766,-0.0029970877803862095,0.3102785050868988,0.21299810707569122,0.0002860580862034112,5.001213867217302e-05,7.029041290283203,0.013315428048372269,3.2944588661193848,24.519611358642578,24.480545043945312,69.08089,76.85367,39.899345,41.21094,38.750515,0.001066689845174551,1.7308554649353027,0.002194995991885662,1.9284629821777344,0.0,0.011175740510225296,0.0,0.013793626800179482,0.0008501176489517093,1.9245367050170898,0.0021005196031183004,0.017343390733003616,667.562255859375
648192,0.060263048857450485,-31.661039352416992,0.005524232052266598,0.3174602687358856,0.22499538958072662,0.00023842928931117058,0.00014757426106370986,7.208916664123535,0.014314484782516956,2.5327305793762207,31.672611236572266,31.693897247314453,75.391884,85.77403,43.32581,45.070915,41.240524,0.0008913594065234065,1.7187023162841797,0.0032483513932675123,1.916072964668274,0.0,0.009669600985944271,0.0,0.01326112262904644,0.00046188622945919633,1.9040968418121338,0.0030016377568244934,0.018733441829681396,659.8416748046875
776192,0.06641925871372223,-37.385196685791016,-0.0016212095506489277,0.26193854212760925,0.18509836494922638,0.00029545146389864385,5.9463936850079335e-06,6.675515651702881,0.014542706310749054,3.1632041931152344,37.401084899902344,37.42646408081055,80.78022,93.08444,46.571106,48.80593,43.67263,0.0009477463318035007,1.6487767696380615,0.0013280673883855343,1.831674575805664,0.0,0.009141536429524422,0.0,0.014604899100959301,0.001005253056064248,1.8248727321624756,0.0010940709616988897,0.017633432522416115,680.300537109375
904192,0.07531357556581497,-41.84419250488281,-0.005940709263086319,0.29971182346343994,0.20411424338817596,0.00021431167260743678,1.7460347123687825e-07,7.081604957580566,0.014308820478618145,3.2957894802093506,41.91077423095703,41.84728240966797,85.5566,99.7269,49.792366,52.298794,46.17868,0.0008092306670732796,1.652976155281067,0.0029311468824744225,1.8402810096740723,0.0,0.008191282860934734,0.0,0.011695582419633865,0.0012010151986032724,1.849653720855713,0.0024568759836256504,0.01744053326547146,695.9236450195312
1032192,0.06859508156776428,-44.97269821166992,0.006989358924329281,0.2909291386604309,0.2060457319021225,0.00021184596698731184,1.740093830449041e-05,6.7206292152404785,0.014363981783390045,2.3764560222625732,45.04422378540039,45.004417419433594,89.90868,105.585686,52.945515,55.610348,48.676735,0.0006062905304133892,1.6339081525802612,0.0004505474353209138,1.8168774843215942,0.0,0.007300087250769138,0.0,0.010851087048649788,0.0006043760804459453,1.8099372386932373,0.0005498224636539817,0.015932250767946243,696.0174560546875
1160192,0.05993059277534485,-48.31745529174805,-0.0036759069189429283,0.2535827159881592,0.17974016070365906,0.00019726721802726388,0.0,5.9984540939331055,0.014190558344125748,3.393462896347046,48.30382537841797,48.3812370300293,93.7435,110.92213,55.978558,58.901913,51.17063,0.002235527615994215,1.5839710235595703,0.003134553786367178,1.7423712015151978,0.0,0.007075683679431677,0.0,0.010902110487222672,0.0004246950556989759,1.7393841743469238,0.002897942904382944,0.013129419647157192,686.216552734375
1288192,0.05645421892404556,-50.473968505859375,0.0006451114895753562,0.2524142563343048,0.1769595891237259,0.00026856010663323104,0.00010587108408799395,6.121552467346191,0.013862785883247852,3.1037449836730957,50.57130432128906,50.4680290222168,97.34153,115.86657,58.88029,62.262802,53.60707,0.001137415412813425,1.5826256275177002,0.000684866332449019,1.7438311576843262,0.0,0.008016345091164112,0.0,0.010590345598757267,0.0009534663986414671,1.7489783763885498,0.0008891053730621934,0.015651283785700798,693.0632934570312
