Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0031223364640027285,-4.000945091247559,0.0007801657193340361,0.059233758598566055,0.02176203578710556,0.0003945777134504169,0.00777257839217782,0.002925076987594366,2.5934524536132812,3.971872568130493,3.9634180068969727,35.582325,35.68658,31.051811,31.36275,31.544289,0.0020365165546536446,1.1969774961471558,0.005816725082695484,1.2465929985046387,0.0,0.007829282432794571,0.0,0.01026502251625061,0.0021726086270064116,1.2286362648010254,0.005475706420838833,0.019965756684541702,257.7639465332031
264192,0.017846673727035522,-11.454780578613281,-0.005603233352303505,0.7525246739387512,0.28605517745018005,0.0015092482790350914,0.00033969117794185877,0.007415464147925377,3.3594982624053955,11.431652069091797,11.415369033813477,52.575794,52.55774,33.666054,34.475822,33.970352,0.0039640734903514385,1.9258666038513184,0.0043398356065154076,2.075468063354492,0.0,0.024618584662675858,0.0,0.020712420344352722,0.00556869525462389,2.05122709274292,0.00598880834877491,0.03526636213064194,578.46875
392192,0.07432097941637039,-21.52882957458496,-0.001406250987201929,1.1790046691894531,0.4580989181995392,0.0009740139357745647,0.00027849740581586957,0.013969256542623043,3.144937038421631,21.547025680541992,21.482154846191406,62.30715,67.54259,37.326736,37.76112,36.623173,0.0027240850031375885,2.131927251815796,0.005731835961341858,2.2857508659362793,0.0,0.021506134420633316,0.0,0.020656351000070572,0.0021127164363861084,2.2816953659057617,0.005227530375123024,0.023504283279180527,677.0245971679688
520192,0.10479457676410675,-31.044971466064453,-0.0022138310596346855,1.31704580783844,0.5112017393112183,0.0033719264902174473,0.0001590934843989089,0.01695222407579422,3.2717180252075195,31.023292541503906,31.040199279785156,69.53835,78.08374,40.91789,41.687195,39.50783,0.0017010541632771492,2.180908441543579,0.0024417464155703783,2.33111572265625,0.0,0.015321140177547932,0.0,0.017844587564468384,0.0013056814204901457,2.325249671936035,0.00168580561876297,0.02498966082930565,704.0740966796875
648192,0.08339395374059677,-38.47277069091797,-0.004335739649832249,1.3325207233428955,0.5319271087646484,0.005035086534917355,0.0002693098795134574,0.019042685627937317,3.162121534347534,38.49787139892578,38.48389434814453,75.26726,86.39535,44.416428,45.241905,42.32172,0.002037435071542859,2.1751279830932617,0.001706023933365941,2.3236584663391113,0.0,0.01350625790655613,0.0,0.01814717799425125,0.0006662371451966465,2.3185033798217773,0.0017126500606536865,0.02312878705561161,724.7828369140625
776192,0.2288208305835724,-44.17987823486328,0.0027011027559638023,1.1294186115264893,0.44685104489326477,0.0008215915877372026,7.343201286857948e-05,0.020589472725987434,3.1012794971466064,44.180606842041016,44.246002197265625,79.994865,93.18816,47.757286,48.765728,45.22317,0.0026616828981786966,2.0392985343933105,0.000703663332387805,2.2090044021606445,0.0,0.011875007301568985,0.0,0.01769949495792389,0.0009831922361627221,2.206592559814453,0.001114413607865572,0.022815009579062462,728.37646484375
904192,0.07091407477855682,-49.14622497558594,0.002572191646322608,1.2226362228393555,0.43384063243865967,0.0009536851430311799,9.240565304935444e-06,0.02126641944050789,2.776693344116211,49.157936096191406,49.19387435913086,84.359085,99.17364,50.94722,52.18338,47.958984,0.0022441348992288113,2.009511947631836,0.0017657605931162834,2.1590394973754883,0.0,0.014736653305590153,0.0,0.014559974893927574,0.0009615315357223153,2.1578192710876465,0.0016198219964280725,0.019815951585769653,732.068359375
1032192,0.07370812445878983,-51.62685012817383,0.002464320044964552,1.1949610710144043,0.4771745800971985,0.0021988677326589823,2.0135090380790643e-05,0.020502425730228424,2.8678138256073,51.64742660522461,51.688255310058594,88.30076,104.52384,53.987156,55.20779,50.650387,0.009762763977050781,2.0175528526306152,0.00247879046946764,2.1592228412628174,0.0,0.012251174077391624,0.0,0.014905841089785099,3.879019641317427e-05,2.1498303413391113,0.002473412547260523,0.02174631878733635,730.0604248046875
1160192,0.13394713401794434,-54.44817352294922,-0.0011621834710240364,1.066422462463379,0.42684751749038696,0.0006608932744711637,0.0,0.019957605749368668,3.1020641326904297,54.51036071777344,54.46986389160156,92.1178,109.554085,57.00211,58.427216,53.21477,0.0008246827637776732,1.9449998140335083,0.0033355483319610357,2.0681891441345215,0.0,0.012487560510635376,0.0,0.014780018478631973,0.0005717854364775121,2.0680978298187256,0.0029244492761790752,0.017559267580509186,735.094970703125
1288192,0.06359975039958954,-57.348533630371094,-0.0065768081694841385,0.9354419112205505,0.37194254994392395,0.0011104097357019782,0.0003401637077331543,0.019329136237502098,3.4503860473632812,57.44844055175781,57.3587646484375,95.49733,114.19524,59.935074,61.392845,55.812725,0.001816615229472518,1.864919662475586,0.001954653998836875,1.9726629257202148,0.0,0.009973984211683273,0.0,0.015839137136936188,0.0017319865291938186,1.98052978515625,0.0014391604345291853,0.017981795594096184,753.6029663085938
