Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.002493602689355612,0.009847957640886307,1.7680165767669678,1.5701062679290771,0.0003406088217161596,0.7069992423057556,0.9110361933708191,-1.6525142192840576,2.5448217391967773,34.85096,24.461441,19.604425,55.973255,39.293827,39.7077522277832
264192,0.014110157266259193,0.006470798049122095,1.5736215114593506,1.5502594709396362,0.000617365469224751,-2.80191707611084,2.2869420051574707,0.4864498972892761,1.7873642444610596,46.768364,37.35206,26.5686,75.132324,47.902843,41.894256591796875
392192,0.029827585443854332,0.020002957433462143,1.3312196731567383,1.4921510219573975,0.001158092636615038,-7.851123809814453,5.479669570922852,2.2458648681640625,3.225127935409546,56.165977,47.64434,35.814133,90.00508,55.448353,334.89178466796875
520192,0.04716677591204643,0.0774012953042984,1.5260272026062012,1.670427680015564,0.0023301364853978157,-14.7005033493042,9.447757720947266,4.720097064971924,4.7886247634887695,62.555065,54.25644,43.93653,101.95739,62.377983,419.31170654296875
648192,0.10544281452894211,0.3574700355529785,1.8649102449417114,1.7537508010864258,0.0033298260532319546,-22.258363723754883,14.279863357543945,8.801002502441406,5.481908321380615,68.61599,61.736336,50.44645,111.32543,67.933586,521.5716552734375
776192,0.17366532981395721,0.2562193274497986,1.7461140155792236,1.6707539558410645,0.0026147281751036644,-32.62467575073242,18.32758331298828,12.782896041870117,5.49898099899292,73.62408,68.453316,55.594246,119.48596,73.02818,629.4259033203125
904192,0.2498348355293274,0.3908400535583496,1.4872645139694214,1.709928035736084,0.0038365977816283703,-41.95988464355469,24.01697540283203,16.549470901489258,7.488890647888184,77.68109,74.3106,58.29741,126.6038,77.60514,622.558837890625
1032192,0.20768970251083374,0.5435032248497009,4.538078308105469,1.7991619110107422,0.003659577574580908,-52.13471221923828,29.757238388061523,22.258150100708008,7.754326820373535,81.48733,79.49255,60.957264,132.04822,82.022446,511.511474609375
1160192,0.21011066436767578,0.26080626249313354,1.7401244640350342,1.6536147594451904,0.003021442797034979,-61.07193374633789,34.86830520629883,25.59136199951172,9.246990203857422,84.86049,83.86598,63.064297,137.31888,86.023994,710.7935180664062
1288192,0.22005027532577515,0.5488994717597961,2.917219400405884,1.7939594984054565,0.0038724583573639393,-71.38748931884766,39.39932632446289,29.88637351989746,9.58694076538086,88.04118,88.03743,64.59434,143.02397,89.833725,690.6651611328125
