Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.11705917119979858,-11.917341232299805,-0.008023004978895187,0.5359665155410767,0.20670272409915924,0.003485729917883873,0.0032053980976343155,0.01235597301274538,3.6482014656066895,11.606161117553711,11.68692684173584,41.537144,47.841015,32.031136,31.923168,31.7105,0.006094447802752256,1.6277532577514648,0.019564300775527954,1.6511787176132202,0.0,0.024634525179862976,0.0,0.03253018483519554,0.0018330297898501158,1.6596150398254395,0.018151475116610527,0.04087850823998451,722.9921264648438
264192,0.08922222256660461,-32.921321868896484,0.0068351877853274345,2.320924758911133,0.9043812155723572,0.0036291414871811867,0.0026817340403795242,0.01269776001572609,2.6989221572875977,32.725746154785156,32.764373779296875,56.630283,62.789787,36.548557,35.814663,35.940002,0.004367132671177387,2.5357413291931152,0.006227423902601004,2.714231252670288,0.0,0.022767798975110054,0.0,0.026923270896077156,0.006665315944701433,2.7279062271118164,0.004024917259812355,0.03941106051206589,959.089599609375
392192,0.10119277238845825,-49.24046325683594,-0.0030550239607691765,2.2306532859802246,0.865933895111084,0.0025341000873595476,0.0032456074841320515,0.009188656695187092,3.1207432746887207,49.096900939941406,49.076515197753906,66.206116,70.81859,41.753773,40.097157,40.89238,0.0030180043540894985,2.39107084274292,0.00452012661844492,2.62898325920105,0.0,0.019440094009041786,0.0,0.03066783770918846,0.0031189629808068275,2.6144118309020996,0.0030123069882392883,0.035081878304481506,970.66064453125
520192,0.0648207813501358,-61.54765319824219,0.002691700356081128,1.9595913887023926,0.7410550117492676,0.0028601735830307007,0.009231213480234146,0.0070441425777971745,2.4863176345825195,61.484466552734375,61.437400817871094,73.68461,77.531166,46.867897,44.87928,45.904613,0.002929532900452614,2.2176055908203125,0.004626475274562836,2.426584243774414,0.0,0.023661190643906593,0.0,0.02503076195716858,0.0017592188669368625,2.4273877143859863,0.003984333947300911,0.029745984822511673,971.6813354492188
648192,0.0885736495256424,-70.4531478881836,-0.0014170962385833263,1.8551304340362549,0.7033016681671143,0.0032955356873571873,0.004670230206102133,0.005571709014475346,3.2547149658203125,70.41064453125,70.37246704101562,79.4361,83.37213,51.875523,49.873993,50.852932,0.001276366994716227,2.1684603691101074,0.0019462850177660584,2.3513896465301514,0.0,0.023310445249080658,0.0,0.027941346168518066,0.0014663473702967167,2.339273452758789,0.0015226765535771847,0.03364492952823639,978.7550659179688
776192,0.07173731923103333,-77.32872009277344,-0.0003939160087611526,1.5568997859954834,0.6007905602455139,0.0027991500683128834,0.008474469184875488,0.004956783726811409,3.140411853790283,77.23040771484375,77.3710708618164,84.50458,88.92221,56.569904,55.23501,55.781857,0.0006210991996340454,1.976468801498413,0.005608716513961554,2.1219422817230225,0.0,0.01885237731039524,0.0,0.02814454585313797,0.0012123283231630921,2.1145448684692383,0.004588965326547623,0.03229857608675957,977.0052490234375
904192,0.07331614196300507,-82.77146911621094,-0.0006824469892308116,1.2709999084472656,0.46086105704307556,0.004225587472319603,0.016945164650678635,0.004547735210508108,3.040712833404541,82.7551498413086,82.7001953125,88.9882,94.271935,61.057053,60.320118,60.490128,0.0005411913734860718,1.7907572984695435,0.0030825864523649216,1.9187359809875488,0.0,0.02163475938141346,0.0,0.023065559566020966,0.0019176856148988008,1.9256154298782349,0.003454310353845358,0.03442461043596268,984.6631469726562
1032192,0.07073774933815002,-85.77510070800781,-0.0006444913451559842,1.294959306716919,0.4921901822090149,0.003796982578933239,0.012512192130088806,0.0038664517924189568,3.234097480773926,85.79281616210938,85.73745727539062,93.27189,98.929214,65.25143,65.4183,64.92359,0.007522035855799913,1.842885136604309,0.0025424393825232983,1.956446886062622,0.0,0.01628398522734642,0.0,0.021423518657684326,0.0018335648346692324,1.9705877304077148,0.0025717047974467278,0.03252734616398811,980.3599243164062
1160192,0.05426592007279396,-89.34407043457031,-8.478024392388761e-05,1.0859146118164062,0.42331627011299133,0.003280815202742815,0.01575077697634697,0.003581459866836667,3.0174758434295654,89.27787780761719,89.337890625,96.996544,103.59732,69.319275,69.97513,69.2597,0.0026483454275876284,1.6877052783966064,0.0033918621484190226,1.776235818862915,0.0,0.01774357259273529,0.0,0.022934671491384506,0.007584452163428068,1.7837295532226562,0.00841236300766468,0.025023162364959717,982.274169921875
1288192,0.062361784279346466,-91.1173095703125,-0.000529759912751615,1.0195045471191406,0.39658695459365845,0.002219002228230238,0.01928693614900112,0.0029165102168917656,3.115154266357422,91.11654663085938,91.07711791992188,100.8173,107.98763,73.11628,74.06934,73.33477,0.0006111962720751762,1.6486246585845947,0.002163111697882414,1.7380156517028809,0.0,0.012974321842193604,0.0,0.019082702696323395,0.0011162320151925087,1.7409093379974365,0.0018613494466990232,0.021119093522429466,983.9273681640625
