Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.1029428243637085,0.41273629665374756,1.382453441619873,1.557992696762085,0.010488534346222878,-13.886194229125977,6.420161724090576,7.215404510498047,2.6847147941589355,41.63461,32.60828,25.781298,57.600716,37.89951,183.67430114746094
264192,0.3049352169036865,1.1735743284225464,2.2562994956970215,1.6845226287841797,0.008772317320108414,-31.436006546020508,12.266039848327637,19.570613861083984,7.618708610534668,52.03969,44.151142,39.47934,79.15214,46.002556,917.3729248046875
392192,0.4569018483161926,1.9209709167480469,2.3475942611694336,1.686034917831421,0.007085166871547699,-58.37010192871094,24.447406768798828,35.94966506958008,11.834837913513184,60.11859,52.95461,50.132133,94.88163,52.735783,759.0054321289062
520192,0.5241938233375549,3.980503797531128,2.0116405487060547,1.6842105388641357,0.005806901026517153,-99.1511459350586,35.2615852355957,63.626197814941406,28.361980438232422,66.02235,58.66411,57.689037,106.07891,58.98582,571.841552734375
648192,0.7281127572059631,8.143854141235352,1.5527446269989014,1.693395972251892,0.008969651535153389,-137.93408203125,41.927764892578125,92.92119598388672,50.995948791503906,71.037735,63.981792,66.22549,116.695,64.692894,888.6821899414062
776192,0.5842574238777161,14.396357536315918,2.6887080669403076,1.8480242490768433,0.006304759532213211,-178.7767791748047,49.56803894042969,131.02261352539062,81.48526000976562,74.60139,68.05081,71.1063,126.00567,69.92437,634.0202026367188
904192,0.44061028957366943,6.826502799987793,2.211453914642334,1.735634207725525,0.0054296511225402355,-207.52845764160156,56.80194854736328,152.08352661132812,95.2294692993164,78.522285,71.47502,74.69244,133.66612,74.640045,973.3148803710938
1032192,0.5778696537017822,13.724752426147461,2.0779523849487305,1.690084457397461,0.006018493324518204,-244.6055908203125,59.79616165161133,176.5701904296875,116.91140747070312,81.632774,74.18082,77.72904,140.62242,79.01323,834.0909423828125
1160192,0.22162657976150513,7.409885406494141,2.235865592956543,1.7341746091842651,0.006361919920891523,-259.74609375,63.081153869628906,197.17051696777344,134.15576171875,84.39341,76.61998,80.29853,147.07735,83.12332,866.6514892578125
1288192,0.2553195059299469,5.779440879821777,2.724720001220703,1.9456355571746826,0.00563382264226675,-275.9806213378906,66.12760162353516,206.91976928710938,140.84767150878906,86.86567,79.903725,81.98472,153.04692,86.80295,905.9151611328125
1416192,0.24953530728816986,3.9251413345336914,1.7894294261932373,1.7383134365081787,0.00524723157286644,-273.2961730957031,71.05264282226562,204.0345458984375,133.05252075195312,89.345024,83.08163,82.781845,157.65369,90.03517,934.43798828125
1544192,0.37335604429244995,2.9215898513793945,1.7778306007385254,1.7590279579162598,0.006195704452693462,-276.30584716796875,74.60250854492188,200.4578399658203,125.81845092773438,92.14137,86.54143,83.46219,162.18593,93.30073,874.7922973632812
1672192,0.28480976819992065,5.2854509353637695,1.2472164630889893,1.6868131160736084,0.005991767626255751,-289.78515625,75.7413330078125,210.82960510253906,134.99766540527344,94.44688,89.552284,86.02587,166.74168,96.382515,947.989501953125
1800192,0.24034124612808228,6.149623870849609,2.3807106018066406,1.768965244293213,0.006581067107617855,-308.65655517578125,77.09359741210938,227.09559631347656,149.95578002929688,96.96565,92.196785,87.50819,171.86908,99.60382,950.9663696289062
1928192,0.2649723291397095,4.385628700256348,1.715327262878418,1.7137482166290283,0.003993597347289324,-311.39910888671875,77.95408630371094,231.75357055664062,153.75125122070312,99.19591,95.042145,88.39353,177.08714,102.933365,930.8886108398438
2056192,0.26699379086494446,4.981830596923828,1.95565664768219,1.8379402160644531,0.0034001728054136038,-316.17169189453125,80.06513214111328,234.095458984375,153.96688842773438,101.31485,97.72591,89.59292,181.95898,106.02974,970.533935546875
2184192,0.16219007968902588,4.06723165512085,2.278545379638672,1.7663698196411133,0.007384168449789286,-318.80169677734375,82.73869323730469,234.931396484375,152.02658081054688,103.500916,100.33243,91.09365,186.19809,109.08971,898.3660888671875
