Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.08941883593797684,-7.495054244995117,-0.0016379549633711576,0.5769501328468323,0.2102254033088684,0.00385589012876153,0.0007851868285797536,0.007619909010827541,3.3878462314605713,7.378677845001221,7.403074741363525,39.88258,46.92336,32.022217,31.926046,31.553223,0.00669462326914072,1.584747552871704,0.017369791865348816,1.6808531284332275,0.0,0.025169432163238525,0.0,0.02880024164915085,0.0026784101501107216,1.654213786125183,0.015552278608083725,0.04703139886260033,366.25750732421875
264192,0.12816613912582397,-22.105552673339844,-0.0031829075887799263,2.589857578277588,1.0063713788986206,0.003764802124351263,0.00024118255532812327,0.011643200181424618,3.3057973384857178,22.042753219604492,22.01041030883789,53.67249,65.28193,36.95191,35.811943,35.981506,0.004471397493034601,2.6047420501708984,0.0063382647931575775,2.8055458068847656,0.0,0.029597805812954903,0.0,0.03186171501874924,0.0036866357550024986,2.8025755882263184,0.006398582831025124,0.04031519591808319,790.725830078125
392192,0.12992306053638458,-32.565773010253906,-0.007140331901609898,2.81364107131958,1.104513168334961,0.00281020300462842,0.001120912842452526,0.011002328246831894,3.5171608924865723,32.52705383300781,32.50084686279297,62.3552,76.393364,41.96766,39.985546,40.380848,0.0023026205599308014,2.6809380054473877,0.007475126534700394,2.8934755325317383,0.0,0.02440321445465088,0.0,0.027934957295656204,0.0015036772238090634,2.9112114906311035,0.006487672217190266,0.04280487447977066,833.2850952148438
520192,0.10063095390796661,-47.39862060546875,0.0008742668433114886,3.148326873779297,1.2385751008987427,0.0022410214878618717,0.002423596102744341,0.013258679769933224,3.1347951889038086,47.37289047241211,47.30957794189453,67.84498,83.891815,46.80501,44.33412,44.789593,0.002309064846485853,2.7939960956573486,0.007522496860474348,3.0525569915771484,0.0,0.021564308553934097,0.0,0.02643182873725891,0.002042132895439863,3.0444490909576416,0.007598654832690954,0.031165145337581635,956.0762939453125
648192,0.10067145526409149,-59.018104553222656,0.001017155358567834,2.924020767211914,1.1354342699050903,0.0034187203273177147,0.002308906288817525,0.01135115884244442,2.8071017265319824,58.86219024658203,58.932884216308594,73.03642,89.19635,51.16273,48.61104,49.085476,0.0021611740812659264,2.6670804023742676,0.0022518853656947613,2.8996686935424805,0.0,0.019534995779395103,0.0,0.02676384337246418,0.0010778334690257907,2.9094479084014893,0.0020581730641424656,0.03517716005444527,830.27490234375
776192,0.12653961777687073,-66.06767272949219,-0.0006533714476972818,2.730489730834961,1.0014939308166504,0.002520219422876835,0.0005934929940849543,0.009048482403159142,2.9257266521453857,66.03651428222656,66.01426696777344,78.164085,94.54418,55.248505,52.98315,53.258747,0.0031023260671645403,2.4815139770507812,0.008471415378153324,2.6690616607666016,0.0,0.016887426376342773,0.0,0.024686139076948166,0.0039315419271588326,2.653505325317383,0.009115928784012794,0.03199976682662964,964.3587036132812
904192,0.07870522141456604,-73.072998046875,-0.0023315069265663624,2.169167995452881,0.8527266383171082,0.002365141175687313,0.0042915502563118935,0.008265241980552673,3.243295431137085,73.05621337890625,73.01151275634766,82.976456,99.52765,59.099197,57.178455,57.247734,0.0011411355808377266,2.2534844875335693,0.004621282685548067,2.4298486709594727,0.0,0.01937215030193329,0.0,0.022479483857750893,0.0004837200976908207,2.4301934242248535,0.004172670654952526,0.026345646008849144,969.315185546875
1032192,0.11001065373420715,-76.96674346923828,0.0004615728394128382,2.132091522216797,0.7924537658691406,0.0018474394455552101,0.0023178961127996445,0.007145951502025127,2.930858612060547,76.88915252685547,76.99092102050781,87.318504,104.24106,62.626328,61.238834,61.09256,0.0037209501024335623,2.1689109802246094,0.0033702836371958256,2.356339931488037,0.0,0.01673182100057602,0.0,0.02023031935095787,0.0010482037905603647,2.348357915878296,0.0026665227487683296,0.026140354573726654,967.9876708984375
1160192,0.083184152841568,-82.68502044677734,0.0014427902642637491,1.6980390548706055,0.6519280076026917,0.0025417152792215347,0.0019812858663499355,0.00695130554959178,2.6696269512176514,82.68768310546875,82.65577697753906,91.33098,108.79304,65.97898,65.26425,64.73978,0.0026681937742978334,1.9717546701431274,0.013723064213991165,2.114682197570801,0.0,0.01434046309441328,0.0,0.02369542419910431,0.0024512987583875656,2.094883918762207,0.01211477443575859,0.030337592586874962,970.24853515625
1288192,0.0817861557006836,-84.12342071533203,-0.0015721411909908056,1.8186339139938354,0.7044628262519836,0.0026356326416134834,0.006504109129309654,0.006480432115495205,3.1169774532318115,84.16127014160156,84.09017944335938,94.99887,113.169586,69.182465,69.12554,68.25565,0.0018481947481632233,2.0242738723754883,0.001971888355910778,2.1867544651031494,0.0,0.014065762981772423,0.0,0.019039765000343323,0.00026823306689038873,2.177663803100586,0.0017127946484833956,0.027889162302017212,969.6453247070312
1416192,0.10498856008052826,-85.53671264648438,-0.001823436701670289,1.9709420204162598,0.7565613985061646,0.0016605131095275283,0.007936298847198486,0.006185411475598812,3.329127311706543,85.51051330566406,85.50491333007812,98.384224,117.24005,72.31319,72.99402,71.67484,0.000690739369019866,2.0563042163848877,0.0008291726117022336,2.2003278732299805,0.0,0.014504707418382168,0.0,0.020624982193112373,0.00015184760559350252,2.186629295349121,0.0007664003642275929,0.02655993588268757,969.55029296875
