Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.0376415029168129,0.025224581360816956,1.392541527748108,1.5864167213439941,0.0026813375297933817,-3.06440806388855,1.9352108240127563,1.1842902898788452,2.1897130012512207,37.541817,31.481283,20.222557,56.530186,39.446033,114.66600799560547
264192,0.3002778887748718,0.3473109304904938,1.6703884601593018,1.6737794876098633,0.008761683478951454,-12.635706901550293,6.9049601554870605,5.913458824157715,3.1813883781433105,51.584904,46.946445,34.457794,75.88902,47.077576,243.77243041992188
392192,0.491594135761261,1.6092705726623535,3.558861494064331,1.836684226989746,0.010428056120872498,-37.24579620361328,17.05865478515625,20.036457061767578,3.713346004486084,61.595436,57.39455,47.80119,91.028114,53.792458,938.4326171875
520192,0.7152057886123657,2.3501439094543457,3.4835193157196045,1.820892572402954,0.007151665166020393,-62.02440643310547,26.400676727294922,32.5225715637207,6.140556812286377,69.05372,63.853455,54.572735,101.86462,59.384113,933.310546875
648192,0.4814792275428772,2.6592869758605957,2.52908992767334,1.7647037506103516,0.0054147131741046906,-86.76710510253906,37.6082649230957,50.256591796875,12.51437759399414,74.60339,69.44587,60.880165,111.21745,64.62425,919.527587890625
776192,0.7642360925674438,2.5642435550689697,2.987743616104126,1.758520483970642,0.005054304376244545,-114.3205337524414,45.802101135253906,63.21181869506836,17.452430725097656,78.97502,74.34068,64.40285,118.51102,69.574356,961.9749755859375
904192,0.5072555541992188,1.5560529232025146,2.506096124649048,1.7663347721099854,0.006303874775767326,-133.06655883789062,55.50841522216797,75.33711242675781,19.953922271728516,82.133446,78.50696,67.128456,125.51055,74.16319,957.6153564453125
1032192,0.5203298926353455,1.2251962423324585,3.1404831409454346,1.83853280544281,0.004478598944842815,-144.31922912597656,62.0907096862793,81.2269287109375,19.051748275756836,85.1473,81.99424,69.6101,131.18265,78.47667,860.1847534179688
1160192,0.6914640069007874,1.5848015546798706,2.4539847373962402,1.773099660873413,0.005933120846748352,-154.81593322753906,67.84466552734375,83.41706848144531,15.431833267211914,88.522835,85.31389,71.67273,136.09195,82.613525,953.3087158203125
1288192,0.3284946084022522,0.718827486038208,2.8198509216308594,1.8016383647918701,0.004404561128467321,-164.45388793945312,73.89186096191406,88.49785614013672,14.698180198669434,91.48621,88.4148,73.48717,140.71844,86.62389,948.740234375
1416192,0.4176085889339447,1.2077579498291016,1.6687711477279663,1.6822885274887085,0.004233922343701124,-168.70346069335938,79.00251770019531,90.87321472167969,11.74421501159668,94.14033,91.29248,75.205696,144.85245,90.478195,969.5184326171875
1544192,0.4031964838504791,0.45976874232292175,1.9153001308441162,1.6977609395980835,0.004978464916348457,-175.12411499023438,82.30899047851562,90.89166259765625,8.601696014404297,96.513985,94.05638,76.318054,148.88646,94.2261,961.021728515625
1672192,0.30665621161460876,0.600570797920227,1.897613525390625,1.7548940181732178,0.007478725165128708,-179.7172088623047,86.03172302246094,92.4139404296875,6.491961479187012,98.84562,96.86084,77.43941,152.29219,97.93762,963.46337890625
1800192,0.37231266498565674,0.6187881827354431,2.6628432273864746,1.7590017318725586,0.004699367098510265,-182.07681274414062,88.08810424804688,93.01651000976562,4.841338157653809,101.29224,99.63683,78.602554,155.5775,101.540855,964.0342407226562
1928192,0.3363931179046631,0.4212563633918762,1.8324573040008545,1.7230231761932373,0.004344379995018244,-184.1923065185547,90.66680145263672,92.83636474609375,2.38049578666687,103.31857,102.239784,79.79461,158.5244,104.949165,968.2030029296875
2056192,0.2599623203277588,0.5273997783660889,1.720271110534668,1.6920751333236694,0.004335419274866581,-185.63360595703125,91.61763000488281,93.63961791992188,2.0034193992614746,105.70035,104.84483,80.840836,161.14058,108.08752,958.977783203125
2184192,0.18297052383422852,0.3578343391418457,1.9142327308654785,1.7132604122161865,0.004100958816707134,-188.54754638671875,92.93518829345703,93.97480010986328,1.263405203819275,107.8532,107.260605,81.874435,163.8082,110.95582,965.85888671875
2312192,0.34450894594192505,0.4117531180381775,1.7097185850143433,1.6346067190170288,0.0044255307875573635,-189.86581420898438,94.46886444091797,94.5977783203125,0.9744479656219482,109.77586,109.70946,82.986565,166.30556,113.79065,963.8670654296875
2440192,0.27693361043930054,0.3978039622306824,1.9174853563308716,1.6708040237426758,0.0028388143982738256,-189.97207641601562,95.08004760742188,96.11495971679688,1.2554566860198975,112.088196,112.24124,83.973564,168.34436,116.62728,962.0794067382812
2568192,0.1452840268611908,0.3547816574573517,1.3582736253738403,1.6442337036132812,0.004014596343040466,-191.73431396484375,96.059326171875,96.6593017578125,0.9203068017959595,114.31562,114.64532,84.90503,170.82207,119.254234,969.6239624023438
2696192,0.23873457312583923,0.469789981842041,2.637265205383301,1.6764802932739258,0.005181190092116594,-194.31207275390625,96.95115661621094,97.08094024658203,1.0027374029159546,116.12099,117.05115,86.008736,173.0844,121.86956,964.43505859375
2824192,0.22203361988067627,0.4111211895942688,1.4376765489578247,1.607633352279663,0.005973265040665865,-192.95701599121094,96.40758514404297,96.0783462524414,1.186373233795166,118.0155,119.28299,87.008736,175.12416,124.35457,969.9033203125
2952192,0.2614407539367676,0.34360015392303467,2.1157445907592773,1.6122921705245972,0.005682883784174919,-195.6372528076172,96.95824432373047,96.62063598632812,1.7541004419326782,119.84357,121.54901,87.81687,177.0219,126.98637,965.4544067382812
3080192,0.2091827541589737,0.3296261429786682,2.297147035598755,1.649559497833252,0.003431284800171852,-193.8134765625,97.44699096679688,96.96488952636719,1.7393834590911865,121.563225,123.81823,88.67174,179.3455,129.55489,973.0445556640625
3208192,0.16629639267921448,0.3518030047416687,1.8635740280151367,1.6402162313461304,0.0030409926548600197,-195.30328369140625,97.09672546386719,96.55239868164062,2.184826612472534,123.42271,125.99388,89.50281,181.15585,131.86227,967.22021484375
3336192,0.1644938439130783,0.3919481635093689,1.7409424781799316,1.612196683883667,0.00440212432295084,-195.08163452148438,97.97734832763672,96.97211456298828,1.9086443185806274,125.18328,128.08473,90.02869,183.09283,134.07506,971.50244140625
3464192,0.11220023036003113,0.29005327820777893,1.8996533155441284,1.5856702327728271,0.0041772592812776566,-195.28700256347656,97.6357421875,96.89720153808594,1.56689453125,126.933975,130.26903,90.80164,185.02646,136.29796,948.277587890625
3592192,0.1182289645075798,0.4086187481880188,1.5447418689727783,1.5670642852783203,0.003212900832295418,-194.20486450195312,98.48809051513672,96.92180633544922,2.06466007232666,128.57065,132.30336,91.64797,186.4879,138.5375,957.34033203125
3720192,0.15399986505508423,0.22427521646022797,2.2090039253234863,1.6302556991577148,0.0032498063519597054,-195.62945556640625,98.27738189697266,97.04945373535156,1.792811632156372,130.21788,134.4594,92.57196,188.20107,140.77548,970.7098999023438
3848192,0.2660740315914154,0.46491044759750366,2.0597987174987793,1.5772489309310913,0.0038694669492542744,-195.51876831054688,97.75994110107422,97.0693359375,1.360616683959961,131.6684,136.4705,93.47666,189.95255,142.95688,969.87939453125
3976192,0.1160249263048172,0.19368459284305573,1.65262770652771,1.5874403715133667,0.005089298356324434,-194.8524169921875,98.84080505371094,97.7307357788086,1.6679798364639282,133.116,138.5592,94.26622,191.62198,145.08499,958.4205322265625
4104192,0.12684768438339233,0.2771254777908325,1.838724970817566,1.5931676626205444,0.004212189465761185,-195.89524841308594,99.04334259033203,97.39370727539062,2.1263504028320312,134.73163,140.5817,95.02084,192.86485,146.96997,795.92529296875
4232192,0.10228463262319565,0.233911395072937,1.4551962614059448,1.596360206604004,0.005875542759895325,-196.95823669433594,99.49771118164062,97.18843078613281,2.552924871444702,135.91615,142.42625,95.63356,193.64854,148.26979,929.212646484375
4360192,0.1527535319328308,0.10103044658899307,0.817171573638916,1.3435500860214233,0.004978666082024574,-196.872802734375,99.92744445800781,96.8935546875,3.2234203815460205,137.152,144.14543,96.50762,193.50168,148.71793,945.559326171875
4488192,0.055361323058605194,0.09143979847431183,0.8441959023475647,1.3783948421478271,0.0036012977361679077,-196.208984375,99.74835205078125,96.17845916748047,3.8678271770477295,139.01611,145.85455,97.22805,193.4041,147.4413,944.1896362304688
4616192,0.07815838605165482,0.04376606643199921,2.569287061691284,1.4600805044174194,0.002430722815915942,-196.17666625976562,99.97734832763672,96.40536499023438,3.6936612129211426,140.63014,147.5428,97.728226,193.4058,146.29507,939.0927124023438
4744192,0.2530601918697357,0.06975787878036499,0.8853967785835266,1.365234375,0.006494601257145405,-196.13458251953125,99.66431427001953,96.40046691894531,4.064504623413086,141.95706,149.26337,98.185,193.2731,145.25719,959.0126953125
4872192,0.11462946236133575,0.07860775291919708,1.2000927925109863,1.4181246757507324,0.004461231641471386,-196.25152587890625,100.115234375,96.45423889160156,3.6495096683502197,143.36765,150.98311,98.54859,193.50607,144.05914,963.490234375
5000192,0.0993552953004837,0.142372727394104,0.40124744176864624,1.3068126440048218,0.002807732205837965,-195.91455078125,99.65445709228516,96.05218505859375,4.021485328674316,144.83307,152.68633,98.90771,193.63399,143.02147,912.6094360351562
