Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.006705817766487598,-4.999982833862305,0.0026342165656387806,0.08258768171072006,0.04894788935780525,0.0002325083187315613,-1.390846610069275,0.004273299593478441,2.3466291427612305,4.9308552742004395,4.949572563171387,35.2079,34.690044,33.36878,32.857334,32.99465,0.0027122534811496735,1.3407483100891113,0.00676258560270071,1.4215011596679688,0.0,0.010069837793707848,0.0,0.01094595342874527,0.003931454382836819,1.433573603630066,0.0062887477688491344,0.017825257033109665,4.34467077255249
264192,0.02681742236018181,-9.90516185760498,0.0013025696389377117,0.16477063298225403,0.11118672043085098,0.0004108191642444581,-1.6329737901687622,0.005696048494428396,2.7239770889282227,9.89497184753418,9.879302978515625,54.71087,51.112663,35.33952,33.912308,34.329456,0.002045559696853161,1.4999417066574097,0.0019759507849812508,1.6336677074432373,0.0,0.009139344096183777,0.0,0.014254110865294933,0.0013504448579624295,1.6355094909667969,0.0017033556941896677,0.01662427932024002,87.61772918701172
392192,0.03836381062865257,-16.0444393157959,0.0007408012170344591,0.22112931311130524,0.15216226875782013,0.00014724773063790053,-1.7471466064453125,0.007724810391664505,2.848889112472534,16.01618003845215,16.0169620513916,66.794174,63.745552,37.52977,35.650955,35.94389,0.0014526735758408904,1.5932732820510864,0.002610231749713421,1.7696805000305176,0.0,0.007113906089216471,0.0,0.011856643483042717,0.0008034517522901297,1.7686848640441895,0.0020553336944431067,0.012933460995554924,367.01702880859375
520192,0.05511597543954849,-24.09302520751953,-0.002389064058661461,0.31771233677864075,0.22004392743110657,0.00015150304534472525,-1.9785542488098145,0.01020480040460825,3.3934850692749023,24.06426429748535,24.093544006347656,74.86763,73.37706,39.779133,37.48862,37.455708,0.0011108967009931803,1.739348292350769,0.00303846993483603,1.9607963562011719,0.0,0.007692997809499502,0.0,0.011918255127966404,0.0008882623515091836,1.954770565032959,0.0023743589408695698,0.017375696450471878,506.0245361328125
648192,0.056131135672330856,-29.847793579101562,-0.004397028125822544,0.4414106011390686,0.2703779339790344,0.00013292317453306168,-2.0522830486297607,0.012258397415280342,3.25433087348938,29.822784423828125,29.881351470947266,81.90727,81.52079,41.907417,39.450153,39.04371,0.0004050584975630045,1.814426302909851,0.0025542941875755787,2.0495147705078125,0.0,0.007012155372649431,0.0,0.009733971208333969,0.0009923722827807069,2.0522146224975586,0.0020403582602739334,0.015080133453011513,582.8790283203125
776192,0.06693245470523834,-37.27484130859375,0.00016120856162160635,0.4048503339290619,0.278878778219223,0.00015602863277308643,-1.9681400060653687,0.012911701574921608,2.9110107421875,37.34773635864258,37.25968933105469,87.93271,88.46011,44.04133,41.540382,40.67866,0.0005550783826038241,1.824706792831421,0.0024058795534074306,2.0661745071411133,0.0,0.006233865395188332,0.0,0.009232040494680405,0.0005076945526525378,2.0731887817382812,0.002127759624272585,0.013612371869385242,734.7332763671875
904192,0.07178333401679993,-42.347564697265625,0.0021709923166781664,0.38819393515586853,0.2592066526412964,0.00010945572284981608,-2.105027198791504,0.01434766873717308,2.6750240325927734,42.347530364990234,42.35504913330078,93.26947,94.519196,46.124805,43.904747,42.29106,0.0015380099648609757,1.7824984788894653,0.0027547264471650124,2.0239059925079346,0.0,0.005978717934340239,0.0,0.008179066702723503,0.0002052691561402753,2.0201518535614014,0.002572881756350398,0.012243296019732952,603.5309448242188
1032192,0.07264389097690582,-46.368675231933594,0.001099742017686367,0.3860584497451782,0.26488474011421204,8.659341983729973e-05,-2.0330698490142822,0.014873065985739231,2.6952133178710938,46.38178253173828,46.41619110107422,97.92681,99.88748,48.140705,46.08463,43.87264,0.0017308351816609502,1.76374089717865,0.002052586991339922,1.989858865737915,0.0,0.00567235890775919,0.0,0.006889211945235729,0.0008032823679968715,1.9921925067901611,0.0014708656817674637,0.011340230703353882,749.72412109375
1160192,0.057264767587184906,-50.230003356933594,0.0050169192254543304,0.43994688987731934,0.2752639353275299,0.00011362862278474495,-2.05666446685791,0.015641937032341957,2.8736603260040283,50.25084686279297,50.29914093017578,102.32599,104.97447,50.02875,48.20338,45.38102,0.0008388932328671217,1.8084521293640137,0.004478635732084513,2.061448335647583,0.0,0.005319658201187849,0.0,0.007350713014602661,0.0006700537633150816,2.058993101119995,0.003991203382611275,0.009462356567382812,741.2193603515625
1288192,0.08390704542398453,-54.46471405029297,-0.0005060915718786418,0.4044671356678009,0.27633345127105713,0.0001919138740049675,-2.0258522033691406,0.016077740117907524,2.9556164741516113,54.533409118652344,54.445655822753906,106.569145,109.84785,51.859066,50.200058,46.948456,0.0010853125713765621,1.7959229946136475,0.002622546860948205,2.043386459350586,0.0,0.005909947212785482,0.0,0.007449265103787184,0.001132023986428976,2.038041114807129,0.002776828594505787,0.014935290440917015,804.276611328125
1416192,0.07691168785095215,-58.31304168701172,-0.007035629823803902,0.41285935044288635,0.2833673655986786,6.776076043024659e-05,-2.086744546890259,0.015961304306983948,3.2404117584228516,58.318206787109375,58.39155197143555,110.29393,114.25811,53.670868,52.34741,48.38918,0.0009844994638115168,1.793874979019165,0.0004412803682498634,2.0251119136810303,0.0,0.004623075481504202,0.0,0.006794070824980736,0.0002015481295529753,2.036179304122925,0.0002929821202997118,0.014522500336170197,856.6646728515625
1544192,0.07059863954782486,-59.871253967285156,-0.0003981760237365961,0.3979600667953491,0.2736436426639557,8.490501932101324e-05,-1.93394935131073,0.0158370453864336,2.9218544960021973,59.91665267944336,59.937896728515625,113.77939,118.46903,55.479763,54.23348,49.878876,0.0017713002162054181,1.7740623950958252,0.000861576059833169,2.0042920112609863,0.0,0.006031732074916363,0.0,0.00626895809546113,0.00027140334714204073,2.0086889266967773,0.0007256667595356703,0.011128897778689861,829.116455078125
1672192,0.06678743660449982,-64.55730438232422,-0.0022235047072172165,0.37187573313713074,0.2543027997016907,5.990239151287824e-05,-2.013760566711426,0.015828672796487808,3.2199831008911133,64.64722442626953,64.56425476074219,117.20002,122.23228,57.216896,56.440514,51.313587,0.0011747847311198711,1.7369626760482788,0.0025367154739797115,1.9681100845336914,0.0,0.004716719035059214,0.0,0.00602724589407444,0.0006633612210862339,1.9643199443817139,0.0020414371974766254,0.010069787502288818,755.32373046875
1800192,0.08057644218206406,-64.03773498535156,-9.403307922184467e-05,0.43788376450538635,0.27995938062667847,0.000981593388132751,-2.0051333904266357,0.01496380940079689,2.917660713195801,64.1258544921875,64.02163696289062,120.38919,125.89718,59.01405,58.105618,52.807575,0.0005229939706623554,1.7743768692016602,0.0031962248031049967,2.02626371383667,0.0,0.004685299005359411,0.0,0.00786328874528408,0.00037916304427199066,2.0265960693359375,0.002976789139211178,0.012426221743226051,871.228271484375
1928192,0.08922310173511505,-68.01712036132812,0.004221060778945684,0.38059288263320923,0.24793517589569092,7.650595944141969e-05,-1.9808976650238037,0.015221815556287766,2.7922186851501465,68.04428100585938,68.09588623046875,123.38582,129.5148,60.83853,60.100517,54.431206,0.0025919065810739994,1.7323479652404785,0.00038189764018170536,1.9486339092254639,0.0,0.005373767577111721,0.0,0.007075775880366564,0.0006711307214573026,1.9454057216644287,0.0007551684975624084,0.010112820193171501,878.0007934570312
2056192,0.06358405947685242,-68.73812866210938,0.0010474668815732002,0.3280346393585205,0.2224045693874359,7.354321860475466e-05,-1.933725118637085,0.015138328075408936,2.833174467086792,68.7824935913086,68.7603759765625,126.06444,132.92612,62.626575,61.82407,55.665516,0.0007453677244484425,1.6786216497421265,0.0016237370437011123,1.8949518203735352,0.0,0.00433040875941515,0.0,0.006733870133757591,5.2980685723014176e-05,1.9020750522613525,0.0016321080038323998,0.012742001563310623,887.6903686523438
2184192,0.3605802655220032,-70.15351867675781,-0.0001419753534719348,0.3635692596435547,0.24676017463207245,7.041032949928194e-05,-1.8616540431976318,0.014827074483036995,2.9507367610931396,70.26918029785156,70.17091369628906,128.83328,136.25034,64.365685,63.74051,57.275375,0.0017634290270507336,1.7083451747894287,0.0011549920309334993,1.9080021381378174,0.0,0.004289763979613781,0.0,0.007259408012032509,0.00045735048479400575,1.9164495468139648,0.0010002092458307743,0.012060889042913914,900.9598388671875
2312192,0.04209678992629051,-71.87633514404297,0.004339782055467367,0.3523268401622772,0.24229158461093903,7.389290840364993e-05,-2.0604424476623535,0.014497965574264526,2.817180633544922,71.94973754882812,71.89793395996094,131.50494,139.44283,66.07324,65.21789,58.693108,0.0003426579060032964,1.6826367378234863,0.00026703980984166265,1.9075711965560913,0.0,0.005750531330704689,0.0,0.006829036399722099,0.00010769498476292938,1.9069068431854248,0.00033751316368579865,0.012166676111519337,899.333984375
2440192,0.05322035402059555,-72.47210693359375,-0.001307592261582613,0.3994613289833069,0.27053025364875793,4.975062620360404e-05,-1.9684504270553589,0.014291058294475079,3.0137336254119873,72.50455474853516,72.51709747314453,134.00214,142.68787,67.76889,66.834946,59.942806,0.0006668211426585913,1.740720272064209,0.0015385018195956945,1.9729536771774292,0.0,0.003996188752353191,0.0,0.0056276265531778336,0.00014622509479522705,1.9840186834335327,0.0014051938196644187,0.013018086552619934,880.9205932617188
2568192,0.04687115550041199,-73.44232940673828,0.0011960275005549192,0.3735879957675934,0.23443329334259033,6.27624976914376e-05,-1.8764896392822266,0.01440925057977438,2.868488311767578,73.52581787109375,73.46529388427734,136.43817,145.75288,69.462585,68.33601,61.37615,0.0008465307764708996,1.6800050735473633,0.0010516814654693007,1.8838791847229004,0.0,0.004223820753395557,0.0,0.006308595649898052,0.0012219063937664032,1.9030413627624512,0.0012470197398215532,0.02031700685620308,902.2333984375
2696192,0.07673414796590805,-75.3113784790039,-0.004676477517932653,0.3254815340042114,0.2207830399274826,6.391949864337221e-05,-1.8692411184310913,0.014096464961767197,3.3439528942108154,75.33256530761719,75.38712310791016,138.74689,148.84866,71.071724,69.98838,62.69868,0.001308685983531177,1.6477198600769043,0.001222873106598854,1.8676759004592896,0.0,0.0038779699243605137,0.0,0.005998103879392147,3.403520895517431e-05,1.8628610372543335,0.001189453061670065,0.010900002904236317,880.5878295898438
2824192,0.05965234339237213,-74.08869171142578,-0.0014496163930743933,0.3583221137523651,0.24520552158355713,6.264065450523049e-05,-1.8643486499786377,0.014850630424916744,3.203113079071045,74.10564422607422,74.11616516113281,140.94095,151.82358,72.63628,71.51586,63.948483,0.0005149467615410686,1.6778442859649658,0.0007466598181053996,1.8864202499389648,0.0,0.003985035233199596,0.0,0.005436094477772713,0.00032717379508540034,1.8900299072265625,0.0007744506001472473,0.010079181753098965,861.9466552734375
2952192,0.060854144394397736,-77.3994140625,-0.003294625086709857,0.33676257729530334,0.22775281965732574,0.0002112161018885672,-1.857142448425293,0.014438378624618053,3.171933650970459,77.41780090332031,77.54168701171875,142.99881,154.79242,74.21164,72.92086,65.41776,0.0008832073071971536,1.6405242681503296,0.0012779004173353314,1.8525851964950562,0.0,0.0037308139726519585,0.0,0.0059387702494859695,5.421729656518437e-05,1.846390724182129,0.0012492678361013532,0.012836026027798653,900.9876708984375
3080192,0.03501199930906296,-78.08824157714844,-0.0035857614129781723,0.3197419345378876,0.2152673751115799,7.620546239195392e-05,-1.8406786918640137,0.014120461419224739,3.2194032669067383,78.13092041015625,78.2010726928711,145.05238,157.60765,75.777115,74.636055,66.70107,0.0006570889381691813,1.6071414947509766,0.0011985839810222387,1.8324151039123535,0.0,0.005663884803652763,0.0,0.005292289890348911,0.00010059773194370791,1.8273639678955078,0.0010983487591147423,0.009730067104101181,871.1646118164062
3208192,0.1519279032945633,-76.53450775146484,-0.003671826096251607,0.35488206148147583,0.2424200028181076,4.402203921927139e-05,-1.8020787239074707,0.014001919887959957,3.246410846710205,76.54176330566406,76.57894897460938,147.09961,160.15286,77.34496,76.05197,67.98783,0.00041627101018093526,1.684145450592041,0.0006164457881823182,1.899249792098999,0.0,0.004557110369205475,0.0,0.0051523903384804726,0.00022325865575112402,1.901024341583252,0.0005452802870422602,0.0077231875620782375,899.8729858398438
3336192,0.07095855474472046,-79.40859985351562,0.00034882116597145796,0.3005874752998352,0.20512020587921143,3.968026430811733e-05,-1.8965615034103394,0.013434607535600662,3.0692479610443115,79.47362518310547,79.42644500732422,149.12196,162.74721,78.92643,77.22028,69.32374,0.0004379653837531805,1.5959324836730957,0.0013064483646303415,1.7862091064453125,0.0,0.003237868193536997,0.0,0.005512833129614592,0.0003704923146869987,1.7882519960403442,0.0012841031420975924,0.007740487344563007,864.1637573242188
3464192,0.028799256309866905,-79.4298324584961,-0.0037329751066863537,0.3136867880821228,0.21406762301921844,4.392706250655465e-05,-1.7828881740570068,0.013858066871762276,3.1910152435302734,79.46256256103516,79.48767852783203,151.07895,165.28688,80.42645,78.614746,70.691895,0.0011266333749517798,1.6230179071426392,0.0012025098549202085,1.8274972438812256,0.0,0.0034685092978179455,0.0,0.004839480854570866,0.00036673914291895926,1.8221327066421509,0.001045389100909233,0.009436612017452717,908.405029296875
3592192,0.05766134336590767,-79.76811981201172,-0.0007214483339339495,0.32720300555229187,0.21101981401443481,4.2593543184921145e-05,-1.8361899852752686,0.013739324174821377,3.224466562271118,79.80551147460938,79.81558990478516,152.95021,167.74722,81.9219,80.13333,72.05085,0.0011728079989552498,1.5984231233596802,0.0025149767752736807,1.7883498668670654,0.0,0.003281528130173683,0.0,0.005344920791685581,0.0016355609986931086,1.79190194606781,0.0025806024204939604,0.009058826602995396,895.48681640625
3720192,0.03605101257562637,-79.2276382446289,0.0004689338384196162,0.32300373911857605,0.22237761318683624,0.0003746963629964739,-1.7967288494110107,0.013375768437981606,2.837963581085205,79.29708099365234,79.26219177246094,154.8119,170.35788,83.33351,81.294106,73.1326,0.0007499419152736664,1.6578924655914307,0.0012570039834827185,1.854951024055481,0.0,0.004022125154733658,0.0,0.004988211207091808,0.0003484956978354603,1.8640656471252441,0.0010197707451879978,0.010587075725197792,893.777099609375
3848192,0.06846413016319275,-80.27740478515625,-0.0037039979360997677,0.34425124526023865,0.21548031270503998,4.4054118916392326e-05,-1.7782809734344482,0.013384458608925343,3.2410638332366943,80.28369903564453,80.3350830078125,156.57811,172.64005,84.75225,82.72311,74.417816,0.00010773715621326119,1.602656602859497,0.000546211376786232,1.7995446920394897,0.0,0.0034651695750653744,0.0,0.005294794216752052,6.458214193116874e-05,1.7948968410491943,0.00048475232324562967,0.00888308510184288,907.7725219726562
3976192,0.03860168159008026,-80.62742614746094,-0.0006734285270795226,0.3301115036010742,0.22430630028247833,5.310564301908016e-05,-1.7442469596862793,0.01333520095795393,2.727670907974243,80.66427612304688,80.67086791992188,158.31615,175.34694,86.187035,84.13003,75.71635,0.0004845446674153209,1.628232479095459,0.0009428467019461095,1.829190731048584,0.0,0.003386161755770445,0.0,0.005104313604533672,0.00013672761269845068,1.8336682319641113,0.0008300077170133591,0.008436468429863453,898.2166137695312
4104192,0.0384061336517334,-79.92701721191406,-0.0017973895883187652,0.341421514749527,0.19161522388458252,4.865156006417237e-05,-1.7560045719146729,0.01273386087268591,3.2368428707122803,79.99617004394531,79.96781921386719,160.1987,177.82085,87.68086,85.52096,76.8724,0.0009678720962256193,1.5796048641204834,0.002416043309494853,1.7712655067443848,0.0,0.003162386594340205,0.0,0.004852947313338518,0.0001055203756550327,1.767500400543213,0.0023145803716033697,0.008945174515247345,890.2078857421875
