Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0390065535902977,-10.405559539794922,0.026237409561872482,0.2826579213142395,0.15082839131355286,0.0009610608103685081,0.0014619581634178758,0.019682230427861214,1.581910490989685,10.215258598327637,10.199149131774902,38.13888,48.368847,30.733877,30.233736,31.037207,0.005170004442334175,1.6281754970550537,0.012835897505283356,1.8137829303741455,0.0,0.014775704592466354,0.0,0.018000932410359383,0.00304458849132061,1.8223559856414795,0.012414097785949707,0.03314422816038132,122.16934204101562
264192,0.0855172872543335,-28.07898712158203,0.0012886071344837546,1.1262866258621216,0.5513474941253662,0.0009780555265024304,0.002221612259745598,0.0178681593388319,2.757256507873535,27.887287139892578,27.8839111328125,58.784252,60.235058,32.648453,31.704432,32.658344,0.0027772916946560144,2.1160383224487305,0.00547528313472867,2.6638081073760986,0.0,0.026559952646493912,0.0,0.023742007091641426,0.004977922886610031,2.6522650718688965,0.006504812277853489,0.038672544062137604,589.40771484375
392192,0.10330703854560852,-41.0776252746582,-0.0076419999822974205,0.985405683517456,0.5791568160057068,0.0006964257918298244,0.0005722092464566231,0.020100528374314308,3.1342453956604004,40.813114166259766,40.830345153808594,70.32031,69.70559,35.289726,35.457176,34.729294,0.0009151663398370147,2.125493049621582,0.005005541257560253,2.5819430351257324,0.0,0.02619354799389839,0.0,0.020748833194375038,0.0038307886570692062,2.569281578063965,0.004152811132371426,0.03755512088537216,645.1666259765625
520192,0.12034867703914642,-49.308876037597656,-0.003655989421531558,1.0528697967529297,0.5445050597190857,0.0007435205043293536,0.0,0.020481977611780167,3.0541269779205322,49.059696197509766,49.11762237548828,78.41909,77.7073,38.10265,39.3208,37.13383,0.002957619959488511,2.031277894973755,0.0029606036841869354,2.558746337890625,0.0,0.016951575875282288,0.0,0.018531307578086853,5.498732934938744e-05,2.550661087036133,0.0029240883886814117,0.03236035257577896,660.9398193359375
648192,0.11982578039169312,-54.68150329589844,0.001779344049282372,1.0851483345031738,0.5678994059562683,0.000492856081109494,4.287636693334207e-05,0.02000955305993557,2.94315767288208,54.48778533935547,54.50584411621094,84.724174,84.9133,41.026867,43.18579,39.64522,0.0003606051905080676,2.027365207672119,0.0027931570075452328,2.543041229248047,0.0,0.018629614263772964,0.0,0.020666617900133133,0.00015451241051778197,2.553215980529785,0.0026568821631371975,0.027246646583080292,695.8060302734375
776192,0.07902508974075317,-58.59961700439453,0.005840857047587633,0.8365854024887085,0.39974522590637207,0.0008220369345508516,8.930885542213218e-07,0.019618580117821693,3.0263595581054688,58.407859802246094,58.442413330078125,89.95763,91.45269,43.494602,47.10331,41.87234,0.0011660305317491293,1.8611321449279785,0.0011802373919636011,2.342055320739746,0.0,0.01557089202105999,0.0,0.015987439081072807,0.0007462275680154562,2.3465147018432617,0.0010377238504588604,0.02459661476314068,717.4056396484375
904192,0.2807312607765198,-61.07440948486328,0.0002002413384616375,1.0504586696624756,0.5263984799385071,0.0006043709581717849,1.6843556295498274e-05,0.019875332713127136,2.927311658859253,60.898956298828125,60.88740539550781,94.753555,97.43332,45.753414,51.28961,44.013084,0.0013876380398869514,1.9398105144500732,0.004149649292230606,2.4166529178619385,0.0,0.01271139644086361,0.0,0.015253953635692596,0.0007053465815261006,2.434628486633301,0.0035867514088749886,0.029427215456962585,739.1693725585938
1032192,0.07433432340621948,-62.17887878417969,-0.007763360161334276,1.0768852233886719,0.5013227462768555,0.0003604452940635383,2.0199061054881895e-06,0.01993785798549652,3.2835240364074707,62.029685974121094,62.022621154785156,98.9892,103.43608,48.05014,54.783062,46.107216,0.0002718366449698806,1.8743231296539307,0.0009938443545252085,2.4544787406921387,0.0,0.01146983727812767,0.0,0.014879018068313599,0.004718090407550335,2.449267864227295,0.0048970808275043964,0.023857932537794113,768.2900390625
1160192,0.10300539433956146,-64.74895477294922,0.003218549769371748,0.7886236906051636,0.4056945741176605,0.0002598517166916281,4.327711576479487e-05,0.020293977111577988,2.763702154159546,64.61029052734375,64.64252471923828,102.87208,109.00021,50.03677,58.516094,48.081818,0.0005284282378852367,1.7871874570846558,0.0037855315022170544,2.2388153076171875,0.0,0.01479281671345234,0.0,0.01554192416369915,0.0010232613421976566,2.2461113929748535,0.0032886508852243423,0.021472638472914696,762.5089721679688
1288192,0.07237967103719711,-65.9648208618164,0.0022267871536314487,0.7092939615249634,0.3736521005630493,0.00034715631045401096,1.1972149877692573e-05,0.02045128121972084,2.8402059078216553,65.83143615722656,65.88085174560547,106.485115,114.37003,52.09955,61.94374,50.00998,0.0005042041884735227,1.7268649339675903,0.0006837758701294661,2.267914295196533,0.0,0.017738033086061478,0.0,0.01582658290863037,0.0002708121028263122,2.262305736541748,0.0007509482093155384,0.02313387021422386,778.586181640625
1416192,0.12140167504549026,-68.2525634765625,-0.004402950871735811,0.7075221538543701,0.37870118021965027,0.000450037739938125,0.0,0.021354738622903824,3.0131845474243164,68.11589050292969,68.15414428710938,109.91433,119.50346,53.87722,65.42492,52.018066,0.0009191956487484276,1.7443605661392212,0.001954598119482398,2.256183385848999,0.0,0.01352001540362835,0.0,0.014258134178817272,0.00013642046542372555,2.2215282917022705,0.0018823359860107303,0.03721052408218384,776.6272583007812
1544192,0.08243435621261597,-68.1004638671875,-0.0005493932403624058,1.0065257549285889,0.42740100622177124,0.00028876177384518087,0.0,0.021091030910611153,3.141387462615967,67.97801208496094,68.00985717773438,113.495766,124.64083,55.703156,68.53864,53.95777,8.233690459746867e-05,1.8157111406326294,0.004735413007438183,2.3129091262817383,0.0,0.017964739352464676,0.0,0.014041819609701633,0.00015623631770722568,2.3183774948120117,0.004583139903843403,0.02154536172747612,790.5499877929688
1672192,0.08778233826160431,-69.66940307617188,0.0053742872551083565,0.8513621091842651,0.38617682456970215,0.0011112092761322856,2.9501584322133567e-06,0.020664416253566742,2.862987995147705,69.54586029052734,69.54170227050781,116.6708,129.67253,57.5568,71.639854,55.842686,0.0003772305208258331,1.7490129470825195,0.0004030159907415509,2.2336997985839844,0.0,0.014855463989078999,0.0,0.013312045484781265,5.368956408347003e-05,2.226788282394409,0.0003820747078862041,0.01947840116918087,804.0003662109375
1800192,0.0695001482963562,-70.60558319091797,-0.0016590454615652561,0.7413443326950073,0.35939034819602966,0.0006119436002336442,0.0,0.021083462983369827,2.835178852081299,70.48475646972656,70.51210021972656,119.69714,134.3535,59.32475,74.65922,57.82016,0.0006189304403960705,1.7001605033874512,0.002007670933380723,2.2149100303649902,0.0,0.013256659731268883,0.0,0.013659898191690445,0.000593026983551681,2.207324743270874,0.0022359746508300304,0.019162913784384727,794.9342041015625
1928192,0.29491013288497925,-71.56244659423828,0.004737040027976036,0.882514238357544,0.42777717113494873,0.0003239707730244845,2.583584013393647e-09,0.02118087373673916,2.678621768951416,71.47244262695312,71.47051239013672,122.65422,139.17805,61.103146,77.74742,59.571194,0.0006104778731241822,1.7414822578430176,0.0021565561182796955,2.239767551422119,0.0,0.01086055301129818,0.0,0.013548408634960651,0.00015373733185697347,2.248739719390869,0.002033472992479801,0.02388310804963112,805.38427734375
2056192,0.17020313441753387,-72.16936492919922,0.003260707715526223,0.917826771736145,0.34986066818237305,0.0003082426846958697,5.362676165532321e-05,0.021404316648840904,2.726388931274414,72.06856536865234,72.06378173828125,125.4655,143.7551,62.75672,80.53575,61.296844,0.00038243987364694476,1.6434669494628906,0.000982533092610538,2.2247443199157715,0.0,0.014858044683933258,0.0,0.014866095036268234,8.265607175417244e-05,2.2416160106658936,0.0009298391523770988,0.023707382380962372,812.1197509765625
2184192,0.07465648651123047,-73.05880737304688,-0.004606905858963728,0.7046756744384766,0.3122139573097229,0.0004283478483557701,3.1677789138484513e-06,0.021678127348423004,3.0000269412994385,72.95040130615234,72.94022369384766,128.31807,148.20534,64.39347,83.35772,63.143883,0.00026718698791228235,1.6345131397247314,0.0007607217994518578,2.0856614112854004,0.0,0.01246250793337822,0.0,0.01172153651714325,0.0002679139724932611,2.0825932025909424,0.0006907909410074353,0.01586627960205078,822.2239990234375
2312192,0.09686227887868881,-74.16402435302734,0.001562387216836214,0.6082101464271545,0.2966817021369934,0.0002846436982508749,2.5630117306718603e-05,0.020922986790537834,2.91420841217041,74.05149841308594,74.06965637207031,131.04738,152.61743,66.10355,86.034996,64.87763,0.001614876789972186,1.5823297500610352,0.0013645892031490803,2.071159601211548,0.0,0.014919544570147991,0.0,0.014515714719891548,3.213760646758601e-05,2.0665786266326904,0.0013413941487669945,0.022465450689196587,834.6309814453125
