Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,0.03257796913385391,-9.122966766357422,0.025242187082767487,0.3368895649909973,0.01931292563676834,1.7153294086456299,8.890239715576172,8.89468765258789,20.259765625,20.0166015625,20.139280319213867,0.12048517167568207,20.139278411865234,33.248886,49.965828,13.109731,15.918587,185.26528930664062
264192,0.04768802970647812,-22.140413284301758,0.002609471557661891,0.3532915413379669,0.015150083228945732,2.661983013153076,21.92599105834961,21.918344497680664,19.876157760620117,19.823394775390625,19.753677368164062,0.12247932702302933,19.753677368164062,48.5783,61.440704,16.815653,21.073225,418.8568115234375
392192,0.06553670763969421,-31.394819259643555,-0.0002447405131533742,0.3851086497306824,0.018042277544736862,2.910341501235962,31.161836624145508,31.15116310119629,20.070032119750977,20.05928611755371,19.953433990478516,0.11659987270832062,19.953432083129883,57.995407,71.060814,19.726812,24.591215,514.130615234375
520192,0.11570048332214355,-39.51116943359375,-0.0026595578528940678,0.3739398717880249,0.022738231346011162,3.257049560546875,39.23881912231445,39.24121856689453,20.078289031982422,20.118656158447266,19.96451759338379,0.11377034336328506,19.964515686035156,64.90348,79.296616,22.375782,27.716806,595.2600708007812
648192,0.11824003607034683,-45.98485565185547,-1.5352852642536163e-06,0.42985230684280396,0.021104516461491585,2.9953019618988037,45.75569152832031,45.75800323486328,20.346813201904297,20.46255874633789,20.23681640625,0.10999711602926254,20.23681640625,71.29262,86.88509,24.702272,30.607119,591.099365234375
776192,0.0721110999584198,-49.53077697753906,0.005561845377087593,0.44362393021583557,0.01956009678542614,2.894871234893799,49.30726623535156,49.30949401855469,20.52989959716797,20.64227294921875,20.42242431640625,0.10747552663087845,20.42242431640625,76.80717,93.90395,26.866287,33.10725,609.7515258789062
904192,0.06529010832309723,-52.15827941894531,0.001714141108095646,0.4425855875015259,0.018949808552861214,3.0031678676605225,51.94231414794922,51.948448181152344,20.51595687866211,20.561492919921875,20.408798217773438,0.10715638101100922,20.408798217773438,81.95952,100.38672,28.719986,35.381096,641.1555786132812
1032192,0.19236071407794952,-53.80401611328125,-0.004720534663647413,0.47328558564186096,0.020063648000359535,2.924229621887207,53.60749816894531,53.634429931640625,20.520584106445312,20.583553314208984,20.41370391845703,0.10688197612762451,20.41370391845703,86.4782,106.67632,30.585745,37.544815,691.35693359375
1160192,0.12467929720878601,-56.25447463989258,0.005776457488536835,0.5176695585250854,0.0225528534501791,2.8284859657287598,56.04053497314453,56.045249938964844,20.48281478881836,20.555776596069336,20.37712287902832,0.1056923046708107,20.37712287902832,90.72184,112.68341,32.29153,39.592083,692.7953491210938
1288192,0.08496782928705215,-58.240047454833984,-0.006106494460254908,0.4725542366504669,0.024273965507745743,3.2182679176330566,58.043312072753906,58.01138687133789,20.48310089111328,20.52474021911621,20.378238677978516,0.1048612967133522,20.378238677978516,94.64754,118.473206,33.92084,41.644047,725.646240234375
