Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Eval/Return
768000,0.0027606114745140076,-3.866241931915283,0.008431189693510532,0.0029180082492530346,3.110635280609131,3.773832321166992,3.777827739715576,31.056824,54.50706,177.13367
896000,0.015643427148461342,-7.664423942565918,0.0007679054397158325,0.002733760280534625,5.71910285949707,7.525595664978027,7.516800880432129,39.04859,63.972733,290.74274
1024000,1.367012858390808,-12.277252197265625,-0.002751125954091549,0.003728630021214485,6.737838268280029,12.118029594421387,12.106842041015625,46.568695,71.748024,367.5078
1152000,0.025287004187703133,-17.977001190185547,-0.0006128600798547268,0.0045389109291136265,6.135023593902588,17.74710464477539,17.748254776000977,53.16703,78.53945,352.53467
1280000,1.2471399307250977,-21.867036819458008,0.0011054573114961386,0.004180437885224819,5.735564231872559,21.68878746032715,21.718936920166016,58.868286,84.985916,359.15997
1408000,1.5152232646942139,-24.8538818359375,-0.002051440067589283,0.00416346313431859,6.492724418640137,24.625263214111328,24.673641204833984,64.255714,91.44789,353.72556
1536000,0.06255744397640228,-26.56243324279785,0.0021832059137523174,0.004381970036774874,5.50177526473999,26.404251098632812,26.393274307250977,69.465645,97.87235,358.2334
1664000,8.01607894897461,-28.07999610900879,0.001230844878591597,0.003985210787504911,5.6911468505859375,27.978425979614258,27.99188995361328,74.42491,103.82116,352.31125
1792000,0.8973015546798706,-29.07252311706543,0.0008614881080575287,0.0035368481185287237,5.756424903869629,28.9444637298584,28.96541976928711,78.703354,109.30332,353.22406
1920000,4.265288352966309,-29.346466064453125,0.001353266998194158,0.003728724317625165,5.6370697021484375,29.244625091552734,29.224143981933594,82.59001,114.611084,354.3917
2048000,8.69521427154541,-29.75153923034668,0.00034318710095249116,0.0035549229942262173,5.903461456298828,29.663875579833984,29.66079330444336,86.18713,119.574455,356.41055
2176000,0.06141430884599686,-30.364133834838867,5.895315553061664e-06,0.0036784803960472345,5.998397350311279,30.186756134033203,30.2166748046875,89.359184,124.627464,361.33273
2304000,12.930152893066406,-30.530132293701172,0.0021502480376511812,0.003627328434959054,5.4072089195251465,30.459667205810547,30.45119857788086,92.41763,129.22784,338.53833
2432000,0.027770593762397766,-30.663631439208984,-0.0011523087741807103,0.003109636018052697,6.370560646057129,30.614822387695312,30.552104949951172,95.34364,133.73935,359.07788
2560000,4.352618217468262,-30.565996170043945,-0.0015679558273404837,0.002777296816930175,6.56456184387207,30.48289680480957,30.469985961914062,98.40956,138.14801,360.96335
2688000,0.02752627618610859,-30.693775177001953,-0.0007799193845130503,0.0032538240775465965,6.2396931648254395,30.600204467773438,30.60152244567871,101.13535,142.38467,354.35007
2816000,2.2587265968322754,-30.83086395263672,-0.0009488355717621744,0.003257748670876026,6.291254997253418,30.745738983154297,30.747047424316406,103.80212,146.69339,348.96982
2944000,0.020267747342586517,-30.7596435546875,-0.0011926069855690002,0.0029928586445748806,6.398484230041504,30.71485137939453,30.705150604248047,106.198425,150.75766,348.9103
3072000,3.754701614379883,-31.43509292602539,0.000232793390750885,0.003098305780440569,5.924864292144775,31.346038818359375,31.337648391723633,108.358925,155.08524,350.47266
3200000,4.30239725112915,-31.071388244628906,0.0006643604137934744,0.003091047052294016,5.785069465637207,31.00212860107422,31.00145721435547,110.917366,158.78627,357.37042
3328000,0.022427089512348175,-31.512248992919922,4.39792092947755e-05,0.00329773616977036,5.986663818359375,31.434284210205078,31.41413116455078,113.2222,162.64664,363.37823
3456000,0.01960161328315735,-31.188037872314453,-0.0005332652945071459,0.0035285046324133873,6.151130676269531,31.081104278564453,31.124465942382812,115.49151,166.55373,358.2518
3584000,0.02410745620727539,-31.432880401611328,-0.0004459784540813416,0.0034757573157548904,6.1283111572265625,31.398868560791016,31.396028518676758,117.51947,170.44444,362.8523
3712000,0.028941649943590164,-31.571115493774414,0.00042485713493078947,0.003189374227076769,5.866789817810059,31.491161346435547,31.500858306884766,119.55917,173.91362,365.6345
