Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,DDPG/Q_mean,DDPG/Explore_stddev,DDPG/Grad_steps,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.6300519704818726,-4.522985935211182,6.527090072631836,0.6833323240280151,0.22693298757076263,-0.08580577373504639,4.148064613342285,0.769599974155426,8000,37.519398,47.78967,31.998451,32.13432,32.029583,1.2878351211547852,1.736570119857788,0.6700969934463501,0.9821463227272034,0.0,0.8686800003051758,0.0,0.4199744462966919,0.8962810039520264,1.0093594789505005,0.40068233013153076,0.46215784549713135,209.1328125
264192,0.8742471933364868,-15.904393196105957,9.671719551086426,0.6920235753059387,0.24492579698562622,-0.09262461215257645,15.334976196289062,0.539199948310852,16000,49.21152,61.97132,31.998451,32.13432,32.029583,1.3015155792236328,1.7524433135986328,0.6443771123886108,0.9263161420822144,0.0,0.9003888368606567,0.0,0.3896045684814453,0.9191848039627075,1.0093426704406738,0.4274284243583679,0.4546288549900055,351.1484375
392192,0.876174807548523,-25.578975677490234,10.681058883666992,0.6329713463783264,0.208698570728302,-0.09346149116754532,25.494585037231445,0.3088000416755676,24000,57.067715,71.63007,31.998451,32.13432,32.029583,1.2509641647338867,1.737231969833374,0.6893797516822815,0.9856958985328674,0.0,0.8998210430145264,0.0,0.42936211824417114,0.8930562734603882,0.9967828392982483,0.3994048535823822,0.4707275629043579,390.78125
520192,0.874882698059082,-35.09154510498047,12.824589729309082,0.6644961833953857,0.2310485988855362,-0.09044207632541656,34.80896759033203,0.10000002384185791,32000,63.91012,79.75311,31.998451,32.13432,32.029583,1.2600775957107544,1.754835844039917,0.6728425025939941,0.9402889013290405,0.0,0.908355712890625,0.0,0.40301036834716797,0.8831984400749207,1.0056028366088867,0.3822590112686157,0.4756471514701843,456.2421875
648192,0.8908922672271729,-41.978546142578125,13.400651931762695,0.7763801217079163,0.22134971618652344,-0.09100928157567978,41.463401794433594,0.10000002384185791,40000,70.29835,86.95869,31.998451,32.13432,32.029583,1.3084304332733154,1.8389480113983154,0.6841219663619995,0.9630945920944214,0.0,0.9692145586013794,0.0,0.41525983810424805,0.8735992312431335,1.0015679597854614,0.38270241022109985,0.47307315468788147,482.3046875
776192,0.9510648250579834,-47.38886642456055,13.400574684143066,0.6336681246757507,0.2025105357170105,-0.09041787683963776,47.180564880371094,0.10000002384185791,48000,75.74812,93.57955,31.998451,32.13432,32.029583,1.287445306777954,1.8111848831176758,0.6719186305999756,0.9682365655899048,0.0,0.9192696213722229,0.0,0.4229803681373596,0.8827084302902222,1.0142486095428467,0.3947943449020386,0.4689561724662781,459.0078125
904192,0.8960038423538208,-51.13117980957031,13.08570671081543,0.7418518662452698,0.2052164524793625,-0.09226001054048538,50.81855773925781,0.10000002384185791,56000,81.08041,99.62223,31.998451,32.13432,32.029583,1.3454716205596924,1.8658127784729004,0.6615322828292847,0.9380178451538086,0.0,0.9488210082054138,0.0,0.390586256980896,0.8790414333343506,1.0146408081054688,0.41610008478164673,0.4732420742511749,434.3359375
1032192,1.1459239721298218,-54.70148468017578,13.64443302154541,0.6912567019462585,0.21756479144096375,-0.08997273445129395,53.922603607177734,0.10000002384185791,64000,86.22225,105.41297,31.998451,32.13432,32.029583,1.2611125707626343,1.794012427330017,0.6747212409973145,0.9584311246871948,0.0,0.9123760461807251,0.0,0.3918581008911133,0.8762243986129761,1.0023735761642456,0.3933456838130951,0.47502174973487854,451.3828125
1160192,1.2282428741455078,-56.831180572509766,12.793069839477539,0.7896108031272888,0.21979393064975739,-0.08691682666540146,56.34428024291992,0.10000002384185791,72000,90.90106,110.988434,31.998451,32.13432,32.029583,1.343637228012085,1.8209941387176514,0.6649089455604553,0.9088695645332336,0.0,0.9426363110542297,0.0,0.36514732241630554,0.862473726272583,1.0402050018310547,0.3932763934135437,0.46940484642982483,509.0703125
1288192,1.188602328300476,-58.53141784667969,12.994696617126465,0.5995818376541138,0.1919865906238556,-0.09199260920286179,57.951202392578125,0.10000002384185791,80000,95.20688,116.142685,31.998451,32.13432,32.029583,1.215022087097168,1.774609088897705,0.6727603673934937,0.9493271112442017,0.0,0.9029074907302856,0.0,0.3795284628868103,0.8493160009384155,1.002902865409851,0.3812546133995056,0.45780545473098755,547.4921875
