Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.6129984259605408,0.6111186146736145,1.3090176582336426,1.3993457555770874,0.15556904673576355,0.0,2.9621431827545166,3.0067975521087646,0.5882856249809265,39.1791,45.238674,25.092741,51.20683,41.079197,403.4140625
264192,1.0815925598144531,1.2583870887756348,4.812751770019531,1.9415422677993774,0.17133364081382751,0.0,13.973969459533691,12.002052307128906,2.00412917137146,51.323116,59.716087,32.943737,79.14835,53.4464,560.734375
392192,0.9719778299331665,1.3249415159225464,9.303778648376465,2.121690034866333,0.15517304837703705,0.0,24.967594146728516,24.293201446533203,0.9161311388015747,59.38035,69.63742,38.82313,101.548996,63.3253,581.3984375
520192,1.0324064493179321,1.370875597000122,9.27182674407959,2.1692168712615967,0.14080587029457092,0.0,35.184669494628906,34.58697509765625,0.7095457315444946,65.92253,77.75235,43.338406,120.41278,71.15585,640.0390625
648192,1.5702836513519287,1.4585603475570679,8.157195091247559,2.1699862480163574,0.17101040482521057,0.0,43.45014953613281,43.82666778564453,0.7548918724060059,72.08045,85.40055,47.27411,136.24242,78.238304,697.6796875
776192,1.443355679512024,1.7300574779510498,9.406956672668457,2.2427308559417725,0.20938412845134735,0.0,50.793514251708984,50.774658203125,0.6942601203918457,77.91012,92.67624,50.990555,149.12312,84.98472,734.890625
904192,2.4873087406158447,2.5476267337799072,9.134076118469238,2.2997500896453857,0.20491603016853333,0.0,56.429405212402344,56.03168487548828,0.7021840214729309,83.271736,99.46767,54.447636,159.84927,91.197556,761.0546875
1032192,2.1285691261291504,2.281996726989746,7.0038981437683105,2.2086377143859863,0.14734843373298645,0.0,60.883445739746094,60.90736770629883,0.6831417083740234,88.07092,105.577774,57.9663,169.22806,96.879295,807.4609375
1160192,2.3423655033111572,2.4763150215148926,7.802525520324707,2.309006690979004,0.1829405277967453,0.0,64.43115997314453,64.46019744873047,0.7612743377685547,92.6272,111.42792,61.38056,177.51172,102.31422,825.7109375
1288192,2.269299030303955,2.7508697509765625,7.333444118499756,2.244981050491333,0.1607326865196228,0.0,67.7882308959961,67.74404907226562,0.6379334330558777,96.96814,117.018684,64.64776,185.0746,107.501884,850.859375
1416192,2.502450466156006,2.904308557510376,6.268983364105225,2.190101146697998,0.13401609659194946,0.0,70.18599700927734,70.56546020507812,0.7218525409698486,101.14572,122.190285,67.89145,191.82994,112.49286,854.109375
1544192,2.492269992828369,2.741499900817871,5.969694137573242,2.180652141571045,0.16119185090065002,0.0,72.54859924316406,72.65800476074219,0.7262327075004578,105.06065,127.215256,70.918526,198.10997,117.18044,896.0546875
1672192,2.866548538208008,3.336261510848999,8.044370651245117,2.2473580837249756,0.12489408254623413,0.0,74.87757873535156,74.85139465332031,0.7674382925033569,108.711105,132.09854,73.82347,203.99933,121.665436,895.375
1800192,2.74769926071167,3.385650157928467,6.724396705627441,2.2181499004364014,0.144206702709198,0.0,76.17881774902344,76.4876708984375,0.882623553276062,112.23247,136.69492,76.44893,209.3769,125.93992,899.0703125
1928192,2.3211753368377686,2.495767593383789,5.330765724182129,2.125157356262207,0.1361587643623352,0.0,78.42521667480469,78.31455993652344,0.720032811164856,115.62253,141.29593,79.02592,214.61627,130.1746,914.53125
2056192,2.2379186153411865,3.037734031677246,6.461701393127441,2.140601634979248,0.11494006216526031,0.0,79.97137451171875,80.45440673828125,0.8267459869384766,118.6647,145.711,81.43087,219.61557,134.24391,930.0625
2184192,2.444279432296753,2.9200150966644287,6.472747802734375,2.1752686500549316,0.12806978821754456,0.0,81.6988754272461,81.557861328125,0.7895298004150391,121.7913,149.92676,83.655556,224.59966,138.16194,930.546875
2312192,2.4811177253723145,2.8660459518432617,5.60435676574707,2.1529574394226074,0.12437593936920166,0.0,83.41754150390625,83.3626937866211,0.7530316710472107,124.74988,153.97853,85.81785,229.38644,142.08757,936.09375
2440192,2.3234431743621826,2.375849962234497,6.5372748374938965,2.1955811977386475,0.09906550496816635,0.0,84.8407211303711,84.56515502929688,0.7805167436599731,127.51178,157.9546,88.02429,234.02382,145.86665,941.65625
2568192,2.029168128967285,2.4081838130950928,6.148143291473389,2.088381052017212,0.10547474026679993,0.0,86.71450805664062,85.83055114746094,1.062948226928711,130.3262,161.5839,90.10158,238.57104,149.4454,944.9453125
2696192,2.1471574306488037,3.0329596996307373,6.058010578155518,2.1991493701934814,0.14463138580322266,0.0,87.2581558227539,86.54827880859375,1.0072534084320068,133.15276,165.23024,92.03674,243.09248,153.00835,952.7734375
2824192,3.077280044555664,2.8914294242858887,5.257681846618652,2.194066047668457,0.11874351650476456,0.0,87.41716003417969,86.50312805175781,1.1801053285598755,135.84415,168.7156,93.9931,247.5068,156.51872,944.9765625
2952192,2.787853479385376,2.657898187637329,5.884369850158691,2.182401180267334,0.11603748798370361,0.0,88.48121643066406,87.70256042480469,1.0240793228149414,138.47852,172.21855,95.856224,251.81894,159.85507,950.875
3080192,2.006863594055176,2.206240177154541,5.673897743225098,2.066241502761841,0.10902449488639832,0.0,89.57831573486328,88.5977783203125,1.1449611186981201,141.25873,175.42093,97.77907,255.97244,163.10396,959.203125
3208192,2.5395259857177734,2.331512212753296,5.624568462371826,2.109267234802246,0.09886226058006287,0.0,89.72398376464844,88.61412048339844,1.0539169311523438,143.84175,178.55841,99.60598,260.18588,166.39113,963.265625
3336192,1.977782964706421,2.2975869178771973,5.607458114624023,2.1023952960968018,0.08552394807338715,0.0,90.33592224121094,89.38450622558594,1.170711874961853,146.44437,181.6417,101.26472,264.11557,169.49756,968.890625
3464192,2.8509254455566406,2.4647057056427,5.376189708709717,2.031942129135132,0.09733164310455322,0.0,91.08317565917969,90.15438842773438,1.025374174118042,148.93568,184.62517,102.92736,268.0291,172.6523,970.6328125
3592192,2.1639413833618164,2.644017219543457,4.784442901611328,2.0385162830352783,0.1098792627453804,0.0,91.68230438232422,90.69905853271484,1.0746484994888306,151.43819,187.5852,104.56309,271.75607,175.57817,965.9921875
3720192,1.7231340408325195,1.9981478452682495,5.248384475708008,2.103625535964966,0.09356817603111267,0.0,91.83473205566406,90.56288146972656,1.3589712381362915,153.89859,190.41234,106.11891,275.36246,178.58713,970.296875
3848192,2.038804054260254,2.3835129737854004,6.322544097900391,2.1111268997192383,0.09333954006433487,0.0,92.11921691894531,91.0519027709961,1.0260307788848877,156.4025,193.21173,107.59084,279.0011,181.36084,963.96875
3976192,1.6486588716506958,1.8174574375152588,4.29304313659668,1.9241167306900024,0.05943337827920914,0.0,92.75843811035156,91.72760009765625,1.14576256275177,158.75691,195.92659,108.97439,282.52762,184.23041,967.1640625
4104192,2.129906177520752,2.1269795894622803,5.562939167022705,2.1093826293945312,0.09796050935983658,0.0,93.39067077636719,92.33253479003906,0.8964484333992004,161.1886,198.43195,110.32578,285.6235,187.01538,970.5546875
4232192,1.722546100616455,1.7450324296951294,3.2763051986694336,1.9193382263183594,0.08064694702625275,0.0,93.84422302246094,93.02379608154297,0.9311692118644714,163.63783,200.56432,111.51603,288.30576,189.56834,973.28125
4360192,1.25751531124115,1.3456223011016846,3.5510997772216797,1.9710652828216553,0.07438314706087112,0.0,94.22077941894531,93.40872955322266,0.89959317445755,166.07047,202.57265,112.73515,291.0342,192.05472,977.546875
4488192,1.4467252492904663,1.556264877319336,4.201669216156006,1.880066156387329,0.0786517783999443,0.0,94.84976959228516,93.74647521972656,1.1215500831604004,168.53429,204.56168,113.85768,293.86584,194.59149,974.8671875
4616192,0.9734145402908325,0.9465205669403076,3.107738494873047,1.8221503496170044,0.06913129985332489,0.0,95.26180267333984,94.14204406738281,1.113104224205017,171.01054,206.45404,114.89394,296.80078,197.0445,973.796875
4744192,0.883449912071228,0.8682389259338379,2.617302656173706,1.804476022720337,0.06258414685726166,0.0,95.82839965820312,94.78936004638672,1.0963118076324463,173.44414,208.444,115.86767,299.88498,199.54672,980.984375
4872192,0.5761898159980774,0.6615402698516846,2.7259318828582764,1.7814804315567017,0.0621417835354805,0.0,96.22300720214844,95.18971252441406,1.0736362934112549,175.86043,210.41772,116.651474,303.09973,202.0078,978.515625
5000192,1.2167224884033203,1.4255213737487793,2.753936290740967,1.7771488428115845,0.055161893367767334,0.0,96.27561950683594,95.31008911132812,0.8447585701942444,178.3259,212.42502,117.399796,306.30515,204.49565,980.6015625
