Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.48408418893814087,0.5977433919906616,4.023431301116943,1.9632660150527954,0.07925888150930405,-4.563973426818848,1.875488042831421,2.079308032989502,0.4997061789035797,37.322495,43.219517,19.52277,51.621864,40.87171,459.3125
264192,0.877522885799408,1.2395682334899902,3.9438705444335938,1.8917211294174194,0.16271814703941345,-23.964797973632812,12.603513717651367,10.60914421081543,2.12723445892334,48.778255,59.02343,24.348396,72.326614,56.007298,576.5
392192,1.0910890102386475,1.4351989030838013,7.737162113189697,2.1478030681610107,0.15798082947731018,-47.672088623046875,24.037206649780273,22.6728515625,1.375943660736084,57.381184,68.87878,27.907923,92.43501,66.865204,618.765625
520192,1.4682369232177734,1.4585072994232178,8.514781951904297,2.2418582439422607,0.18683405220508575,-70.9642333984375,35.23469543457031,34.129722595214844,1.2134597301483154,64.30357,76.975365,30.424253,110.55984,75.882164,626.9375
648192,1.7299118041992188,2.104374647140503,6.887946128845215,2.395049571990967,0.1577901989221573,-88.80476379394531,44.10454559326172,43.77858352661133,0.6569886207580566,70.266785,84.26076,32.75724,125.909386,83.57051,749.421875
776192,1.5828499794006348,1.694716453552246,7.966156959533691,2.21282696723938,0.13809993863105774,-103.27462005615234,51.19511413574219,51.55450439453125,0.6983716487884521,75.796616,91.1265,34.994278,138.75493,90.780014,778.375
904192,1.9709751605987549,2.449519634246826,6.500607490539551,2.241246461868286,0.14023634791374207,-115.82560729980469,57.081214904785156,57.406394958496094,0.7365217804908752,80.98353,97.671524,36.914173,149.69846,97.54998,831.734375
1032192,2.5534496307373047,2.6906657218933105,5.630010604858398,2.247178554534912,0.18192508816719055,-126.7699966430664,62.51280212402344,63.4919319152832,1.1186625957489014,85.811966,104.052155,38.847374,159.12993,103.93036,862.09375
1160192,2.321488380432129,2.2103216648101807,6.894636631011963,2.2578723430633545,0.11974616348743439,-137.49169921875,67.56398010253906,67.68809509277344,0.7790442705154419,90.45461,110.11311,40.61004,167.33775,109.89791,914.890625
1288192,2.6913094520568848,2.613323926925659,7.771842956542969,2.236772298812866,0.16096486151218414,-146.68753051757812,72.34400939941406,72.96512603759766,0.8335262537002563,94.75805,115.635124,42.224564,174.80142,115.72688,920.796875
1416192,3.098371982574463,3.017256736755371,7.391348838806152,2.2584569454193115,0.12873169779777527,-154.31866455078125,76.44391632080078,77.12014770507812,0.9896532893180847,98.8265,120.66669,43.87908,181.68375,121.199715,931.8828125
1544192,3.274303436279297,2.983397960662842,5.931514263153076,2.164809465408325,0.13305678963661194,-161.15316772460938,80.1119155883789,79.86997985839844,0.7394411563873291,102.66796,125.260025,46.118824,187.4764,126.468445,940.8515625
1672192,2.814587116241455,2.8075475692749023,6.906536102294922,2.1602346897125244,0.09600317478179932,-165.58279418945312,82.42643737792969,82.69564819335938,0.7404561042785645,106.187256,129.60915,48.73488,192.74255,131.50777,910.59375
1800192,2.226719856262207,2.4153242111206055,6.6291375160217285,2.136319398880005,0.156181201338768,-170.45497131347656,84.45268249511719,83.99501037597656,0.8268619775772095,109.63424,133.83229,51.308598,197.71017,136.48642,942.703125
1928192,2.6123571395874023,2.749420166015625,6.474353790283203,2.1514623165130615,0.11857371032238007,-173.2500457763672,86.04519653320312,85.50325012207031,0.8857978582382202,112.92412,137.84796,53.94041,202.51186,141.22688,953.625
2056192,2.559572696685791,2.53548002243042,6.472995758056641,2.1241302490234375,0.11741770803928375,-175.7900390625,87.56697082519531,86.98754119873047,1.0031627416610718,115.88019,141.66005,56.449844,207.01295,145.79465,948.4921875
2184192,3.0006394386291504,3.2500689029693604,7.340435981750488,2.2030749320983887,0.11184901744127274,-177.93313598632812,88.13151550292969,87.52012634277344,0.7667263746261597,118.76825,145.31815,58.02853,211.58856,150.17949,961.7734375
2312192,2.4601104259490967,3.1464309692382812,5.855506420135498,2.1538615226745605,0.10481233894824982,-179.75765991210938,89.8675765991211,89.08465576171875,0.8506026864051819,121.57696,148.88023,59.91925,215.90569,154.41272,963.0234375
2440192,2.107383966445923,2.406442642211914,6.3482160568237305,2.1386592388153076,0.09727339446544647,-179.65257263183594,90.51651763916016,90.00825500488281,0.7535533308982849,124.32755,152.38957,61.24011,220.1984,158.55705,964.203125
2568192,2.2269949913024902,2.7455055713653564,6.223897933959961,2.1821224689483643,0.08853663504123688,-181.48226928710938,91.20347595214844,90.3123779296875,0.9105881452560425,127.02879,155.7895,62.760345,224.34935,162.63475,973.75
