Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return,Eval/Return_deterministic
768000,0.07600630819797516,0.14509916305541992,0.27829885482788086,0.9683861136436462,0.011851314455270767,0.0,0.2845384180545807,0.4814232587814331,0.34230107069015503,32.864944,27.393774,21.260813,41.938583,29.45692,64.5,114.671875
896000,0.2707493007183075,0.42850181460380554,0.5022119283676147,1.094726800918579,0.057830680161714554,0.0,2.4182212352752686,3.4413204193115234,1.0345710515975952,44.9331,40.091072,27.191292,58.253426,39.710155,178.5,289.96875
1024000,0.7027648687362671,0.8699302673339844,1.8675949573516846,1.5325731039047241,0.10677377879619598,0.0,7.206020355224609,8.01785659790039,1.0870394706726074,53.812557,48.22923,32.040718,73.7545,48.607414,323.5,463.234375
1152000,1.223494052886963,1.386427402496338,2.676738739013672,1.736998438835144,0.09416660666465759,0.0,14.722620010375977,15.134322166442871,0.8269749283790588,60.848072,55.817543,36.59684,88.180695,56.398117,588.4,612.53125
1280000,2.1924686431884766,2.9869933128356934,3.9613358974456787,1.9358822107315063,0.085008405148983,0.0,24.634315490722656,23.968191146850586,0.968529224395752,66.81368,63.03902,40.861588,100.06778,63.00813,685.7,812.8515625
1408000,2.253880739212036,3.12876033782959,5.08814001083374,2.04345440864563,0.13572314381599426,0.0,35.762184143066406,35.598907470703125,1.0027015209197998,72.3649,69.182785,44.47054,112.014534,69.49571,778.9,789.3125
1536000,2.842195987701416,2.900749444961548,4.671795845031738,1.947847604751587,0.12499374151229858,0.0,44.801597595214844,44.17838668823242,1.3041592836380005,77.66632,74.804756,47.461506,122.29263,75.559235,825.10004,846.0390625
1664000,5.091192722320557,4.453371047973633,5.87590217590332,2.298194408416748,0.12367597222328186,0.0,53.35348129272461,52.44507598876953,1.3793525695800781,82.13027,79.62262,50.119415,131.12405,81.13706,852.10004,883.0625
1792000,3.767040252685547,4.57810640335083,7.147308349609375,2.088210105895996,0.16840320825576782,0.0,59.87699890136719,59.95811080932617,0.9852971434593201,86.28101,84.17356,52.656563,138.84282,86.33101,884.9,916.671875
1920000,4.720955848693848,5.103656768798828,7.754119873046875,2.1878468990325928,0.12156038731336594,0.0,63.80009460449219,64.64106750488281,1.243831992149353,90.06077,88.27049,55.17775,145.88977,91.19931,885.4,907.859375
