Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0014552100328728557,-0.65079665184021,0.006411890033632517,0.003993584308773279,0.0027037207037210464,8.228846854763106e-05,-0.5566775798797607,0.0016094284364953637,-2.047961711883545,0.6528427600860596,0.6483675241470337,27.413456,35.57395,30.900826,31.191458,30.99912,0.0015367406886070967,0.9359270930290222,0.0025965997483581305,0.9098068475723267,0.0,0.003709155134856701,0.0,0.005311950575560331,0.0016374746337532997,0.9048088788986206,0.002615183126181364,0.006814612541347742,0.6237771511077881
264192,0.0008858817163854837,-0.22402678430080414,0.00014758393808733672,0.005791819654405117,0.004030575510114431,0.0004152344772592187,0.8333637118339539,0.00010416258010081947,0.39748895168304443,0.22219997644424438,0.22131222486495972,38.04565,49.221092,33.118595,32.48266,32.21323,0.003417626488953829,0.942205011844635,0.008494165726006031,0.9287900924682617,0.0,0.0033891573548316956,0.0,0.005744892172515392,0.0005319572519510984,0.9260408282279968,0.008135062642395496,0.007289090659469366,2.7531039714813232
392192,0.009817508980631828,-0.6674421429634094,-0.00022485878434963524,0.04862230643630028,0.020692989230155945,0.0010519733186811209,0.5152419209480286,0.0013023230712860823,2.0231378078460693,0.6524337530136108,0.6578629016876221,48.479755,61.725178,37.384926,36.241512,36.99201,0.0012796486262232065,1.0228826999664307,0.0017768281977623701,1.0210286378860474,0.0,0.009212355129420757,0.0,0.009497077204287052,0.000735729350708425,1.0218920707702637,0.0015468938509002328,0.013958119787275791,19.761695861816406
520192,0.006978316698223352,-1.253946304321289,-0.00011004629777744412,0.0543360598385334,0.028418447822332382,0.0007399912574328482,0.735496997833252,0.0012478084536269307,2.133908748626709,1.2333436012268066,1.2465065717697144,56.87068,69.9387,42.141403,39.80842,41.37956,0.0030182627961039543,1.0410494804382324,0.008854450657963753,1.0559800863265991,0.0,0.008629096671938896,0.0,0.010688826441764832,0.000976633746176958,1.054775595664978,0.008762171491980553,0.015337694436311722,32.75253677368164
648192,0.007168768905103207,-1.4956207275390625,0.00016275877715088427,0.0766228511929512,0.05053604766726494,0.0009260778315365314,0.43642449378967285,0.00136834685690701,1.6995973587036133,1.4811761379241943,1.4772791862487793,63.64454,77.114784,46.144672,43.37518,44.91494,0.0013943563681095839,1.1051042079925537,0.006596562452614307,1.1364716291427612,0.0,0.007753569632768631,0.0,0.012421930208802223,0.001901969313621521,1.1298129558563232,0.005687891039997339,0.015452086925506592,38.017112731933594
776192,0.004813973791897297,-2.1189160346984863,-5.808509013149887e-05,0.12681816518306732,0.0813954621553421,0.001476061879657209,0.5724688768386841,0.0014146332396194339,2.210987091064453,2.0945358276367188,2.105797290802002,69.56796,83.278694,50.06301,47.336475,48.338215,0.0021584928035736084,1.1679526567459106,0.005775511730462313,1.234039545059204,0.0,0.008385411463677883,0.0,0.01643325760960579,0.00018107611685991287,1.220224380493164,0.005721609573811293,0.024310864508152008,50.06429672241211
904192,0.05712773650884628,-2.490849494934082,-6.335879152175039e-05,0.11643560230731964,0.07363558560609818,0.0007923311786726117,0.6949571967124939,0.0016107728006318212,2.0829355716705322,2.4670443534851074,2.4685111045837402,75.04928,89.05005,53.74298,50.982227,51.73918,0.0034162336960434914,1.160853385925293,0.0026385565288364887,1.2076330184936523,0.0,0.008734249509871006,0.0,0.014378846623003483,0.001280339201912284,1.2167543172836304,0.001976769184693694,0.01656084507703781,41.60713195800781
1032192,0.007511296309530735,-2.5959062576293945,0.0002811953891068697,0.12628361582756042,0.07596554607152939,0.0007389975944533944,0.3521043062210083,0.0016905870288610458,1.8194812536239624,2.590430736541748,2.5771474838256836,80.152824,94.02835,57.218517,54.675026,54.84996,0.0024954592809081078,1.1545045375823975,0.005094676744192839,1.2237207889556885,0.0,0.008024336770176888,0.0,0.012571016326546669,0.0018660130444914103,1.2174652814865112,0.0043573928996920586,0.015177708119153976,50.45344924926758
1160192,0.007441495545208454,-2.8245859146118164,0.0004522270755842328,0.15089023113250732,0.08676794171333313,0.0008483636192977428,0.8019893169403076,0.0018368473974987864,1.7799351215362549,2.804328680038452,2.801764726638794,84.78332,98.71474,60.624187,58.031956,57.847145,0.00397581048309803,1.2136085033416748,0.0031880212482064962,1.2872841358184814,0.0,0.010058199986815453,0.0,0.012416806071996689,0.0026676119305193424,1.2911779880523682,0.003923514857888222,0.01544109731912613,63.034629821777344
1288192,0.01318599097430706,-3.3393497467041016,-8.757933392189443e-05,0.19665181636810303,0.11323633044958115,0.001057060551829636,0.4474390149116516,0.0019015285652130842,2.026073455810547,3.3266565799713135,3.3264567852020264,88.97287,103.32112,63.847195,61.46913,61.049595,0.0026384354569017887,1.2455933094024658,0.007566587533801794,1.358246922492981,0.0,0.009353114292025566,0.0,0.013178858906030655,0.001374044455587864,1.3521943092346191,0.007140364497900009,0.01760859042406082,56.55498123168945
