Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,Loss/Critic_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0008891564793884754,-0.6662192344665527,0.006853875238448381,0.007316967472434044,0.002251874189823866,0.0006422682199627161,0.1310102343559265,0.0018770070746541023,0.0015963814221322536,-2.3256707191467285,0.6615580916404724,0.6646748781204224,26.522682,34.2064,30.760942,30.71537,30.359499,0.0021903514862060547,0.910228431224823,0.007464800029993057,0.9226517677307129,0.0,0.0036152955144643784,0.0,0.00717041315510869,0.004065636545419693,0.9024090766906738,0.008290608413517475,0.02110244333744049,0.15599176287651062
264192,0.00019398961740080267,-0.19179818034172058,0.00017334325821138918,0.0037496143486350775,0.001878330484032631,0.0005690478137694299,0.13461551070213318,0.0,9.012826922116801e-05,0.11594484746456146,0.19278483092784882,0.1922723948955536,35.79949,45.025726,32.822296,31.750238,31.605997,0.002286318689584732,0.9334052801132202,0.0024733603931963444,0.9187729358673096,0.0,0.004424417857080698,0.0,0.0064715491607785225,0.001204018946737051,0.9101149439811707,0.0022938321344554424,0.010119922459125519,1.1809685230255127
392192,3.057592039112933e-05,-0.061104197055101395,0.00010093091987073421,0.0034380038268864155,0.002526519587263465,0.00035530392779037356,0.12983426451683044,0.0,8.294900180771947e-05,0.6019153594970703,0.060989171266555786,0.062224190682172775,40.82451,51.94343,35.54763,34.331028,34.145668,0.002462988253682852,0.9371026754379272,0.0028568434063345194,0.9229404330253601,0.0,0.00408453494310379,0.0,0.004863349720835686,0.001754134544171393,0.9144260883331299,0.0029955683276057243,0.009330404922366142,1.2390644550323486
520192,0.00012247965787537396,-0.020161427557468414,-5.0851391279138625e-05,0.0020335870794951916,0.0014041215181350708,0.00012166716624051332,0.12316295504570007,0.0,6.885291077196598e-05,2.6493091583251953,0.020851068198680878,0.0206960067152977,45.19281,58.35877,40.08053,37.64269,37.576176,0.002132336376234889,0.9429556131362915,0.007322696503251791,0.9232127070426941,0.0,0.003132765181362629,0.0,0.006065116263926029,0.002686187857761979,0.9148964285850525,0.00693708099424839,0.009784828871488571,0.7173664569854736
648192,0.0019847662188112736,-0.027724817395210266,4.328324939706363e-05,0.008790497668087482,0.0029607596807181835,0.0017786264652386308,0.11746394634246826,0.004674638621509075,6.931792449904606e-05,1.494657039642334,0.025416895747184753,0.026578284800052643,49.031372,62.899815,43.5841,40.908127,41.161087,0.0012192022986710072,0.9485583305358887,0.0020382930524647236,0.9325107336044312,0.0,0.0041739437729120255,0.0,0.0071483091451227665,0.0010713445954024792,0.9272441864013672,0.0017913191113620996,0.008561537601053715,0.9317300319671631
776192,0.0002919655235018581,-0.04926333576440811,3.944239142583683e-05,0.011470953933894634,0.007766748778522015,0.0003197895421180874,0.12878699600696564,0.025647830218076706,4.930715658701956e-05,1.324878454208374,0.04867769032716751,0.04906007647514343,52.72071,66.84815,46.735516,44.17188,44.71986,0.00185139081440866,0.9425249099731445,0.0020677591674029827,0.9299423694610596,0.0,0.0033071001525968313,0.0,0.005889595486223698,0.0015505114570260048,0.9273630380630493,0.0016993264434859157,0.006463252007961273,0.7524013519287109
904192,0.0012547197984531522,-0.044271260499954224,7.190910764620639e-07,0.0037568400148302317,0.001731122494675219,0.00014626316260546446,0.11861582100391388,0.028583988547325134,4.1993236663984135e-05,1.987026572227478,0.04481365159153938,0.045660700649023056,55.8367,70.21884,49.682606,46.683346,47.574326,0.0027945726178586483,0.9438943862915039,0.0008307435782626271,0.9257594347000122,0.0,0.003618893912062049,0.0,0.005108930170536041,0.0005157795385457575,0.9201216697692871,0.0007225349545478821,0.0071997614577412605,1.0362179279327393
1032192,7.405212090816349e-05,-0.027528317645192146,1.6877911548363045e-05,0.0016401353059336543,0.0013245648005977273,0.00017004138499032706,0.12334487587213516,0.005208575166761875,4.621485641109757e-05,1.5344842672348022,0.028291916474699974,0.02857993170619011,58.934628,73.40139,52.731895,50.53475,50.521126,0.00234872754663229,0.9461251497268677,0.00123077433090657,0.9255368709564209,0.0,0.0029323012568056583,0.0,0.004228364210575819,0.001045471173711121,0.9233097434043884,0.0015258402563631535,0.0034497587475925684,1.171405553817749
1160192,0.00019382697064429522,-0.050526995211839676,2.5107272449531592e-05,0.01166792493313551,0.007060296833515167,0.00025928320246748626,0.12294235825538635,0.031861964613199234,5.271147165331058e-05,1.4498677253723145,0.04486364498734474,0.04620765149593353,61.53338,76.3542,55.594807,52.99602,53.3024,0.00040553187136538327,0.9532245397567749,0.0014407585840672255,0.9390294551849365,0.0,0.004540947265923023,0.0,0.006040920503437519,0.0004905303358100355,0.9347712993621826,0.0012055016122758389,0.006523877382278442,1.141413688659668
1288192,0.002406603656709194,-0.3874244689941406,9.748121374286711e-05,0.008574958890676498,0.0035872049629688263,0.0003977283777203411,0.10766276717185974,0.0730745941400528,0.0012011099606752396,1.8511313199996948,0.35892289876937866,0.35808250308036804,64.906815,79.53801,58.984077,56.379314,56.3183,0.0008034862112253904,0.952609121799469,0.0009956128196790814,0.9365814924240112,0.0,0.004062415100634098,0.0,0.007215221878141165,0.00029435422038659453,0.93732750415802,0.000928409572225064,0.006885071285068989,22.78936004638672
1416192,0.0038331577088683844,-0.8930069208145142,-0.00016429844254162163,0.01761559769511223,0.010425186716020107,0.000536398496478796,0.09666279703378677,0.21456480026245117,0.0008343419758602977,2.2397243976593018,0.8657076954841614,0.8629846572875977,69.84163,82.569595,62.87926,60.404774,59.881023,0.0006440455326810479,0.9888591170310974,0.0021686446852982044,0.9851294755935669,0.0,0.006226902827620506,0.0,0.009426815435290337,0.00028457879670895636,0.9754074811935425,0.0020713151898235083,0.01123112067580223,26.851848602294922
1544192,0.004909742623567581,-1.1754422187805176,0.0002518656547181308,0.014311893843114376,0.01066504791378975,0.0007958472706377506,0.1009039655327797,0.29955458641052246,0.0008220880990847945,1.7346594333648682,1.1383581161499023,1.1387434005737305,74.22639,85.52761,66.61442,63.58637,63.831467,0.0016183395637199283,0.9803982973098755,0.004770277068018913,0.9743813276290894,0.0,0.004596027545630932,0.0,0.007618972100317478,0.0003016603586729616,0.9728196263313293,0.0046106986701488495,0.012997578829526901,51.52048110961914
1672192,0.006393612362444401,-1.8104218244552612,0.000591480580624193,0.045993346720933914,0.0221845805644989,0.0003317582013551146,0.08567911386489868,0.6743526458740234,0.0012780219549313188,1.5082679986953735,1.7586064338684082,1.7577109336853027,78.64179,88.31982,70.22256,67.08201,67.66536,0.0009055067203007638,1.0260103940963745,0.0047554983757436275,1.032898187637329,0.0,0.004890913143754005,0.0,0.008366651833057404,0.00032084036502055824,1.0253047943115234,0.004513527732342482,0.010591992177069187,45.50486373901367
1800192,0.009422965347766876,-2.5915393829345703,-0.0004016869352199137,0.07695625722408295,0.043975621461868286,0.0007582608959637582,0.07886583358049393,1.3278241157531738,0.001545284758321941,2.200577735900879,2.5349740982055664,2.5386037826538086,83.270676,91.072044,73.37253,70.68227,71.20234,0.0011726764496415854,1.0776257514953613,0.00292397104203701,1.1076548099517822,0.0,0.005747315939515829,0.0,0.00971949752420187,0.0006798377144150436,1.1006804704666138,0.002615931211039424,0.016216827556490898,57.57390213012695
1928192,0.008330668322741985,-2.971940040588379,0.0008098387625068426,0.10570327192544937,0.06754136085510254,0.0003829794004559517,0.0752876028418541,1.8928877115249634,0.0018211057176813483,1.4960050582885742,2.9221105575561523,2.9173760414123535,87.49599,93.83871,76.3245,73.77348,74.295135,0.0008393247844651341,1.121695637702942,0.004013333935290575,1.166641354560852,0.0,0.007972152903676033,0.0,0.010971112176775932,0.0002494563232176006,1.1630873680114746,0.003812044393271208,0.011564330197870731,66.09540557861328
2056192,0.017889073118567467,-3.4411611557006836,-0.0001279823190998286,0.09178660809993744,0.059009987860918045,0.00029930585878901184,0.07290969789028168,2.2518744468688965,0.0018550279783084989,2.014024257659912,3.3862853050231934,3.383178234100342,91.773315,96.448944,79.20237,76.55413,77.16152,0.0013258541002869606,1.1081408262252808,0.003290366381406784,1.1335723400115967,0.0,0.006037756334990263,0.0,0.010270885191857815,0.0012000822462141514,1.1364079713821411,0.0028750328347086906,0.011753382161259651,80.20147705078125
2184192,0.011779965832829475,-3.794064521789551,-0.00031702243722975254,0.14311085641384125,0.08677000552415848,0.0004118745564483106,0.07608772814273834,2.7362685203552246,0.002085828222334385,2.0569329261779785,3.727163314819336,3.7444443702697754,95.887375,99.00225,81.856926,79.44057,80.07217,0.0006348775932565331,1.1618537902832031,0.0022348128259181976,1.2175557613372803,0.0,0.006976418662816286,0.0,0.01072733849287033,0.0010557884816080332,1.2202198505401611,0.00216596364043653,0.010152721777558327,67.87960815429688
2312192,0.013537589460611343,-4.044467926025391,0.0001160705869551748,0.14621169865131378,0.07977867126464844,0.00039138647844083607,0.06982786953449249,3.1154589653015137,0.0022701395209878683,2.016232490539551,3.96894907951355,3.966996192932129,99.63014,101.64617,84.40847,82.5823,82.77711,0.0010510741267353296,1.1568938493728638,0.003558371216058731,1.2072057723999023,0.0,0.006985045969486237,0.0,0.01314898207783699,0.0004419772303663194,1.2066943645477295,0.0034109228290617466,0.011540539562702179,56.10581588745117
2440192,0.015719160437583923,-4.195147514343262,0.0013667978346347809,0.14687587320804596,0.09326942265033722,0.0002822046517394483,0.06839310377836227,3.6949448585510254,0.0024426092859357595,1.4756934642791748,4.140205383300781,4.141294956207275,103.24072,104.269615,87.11987,85.67059,85.44378,0.0008478329982608557,1.172173261642456,0.008637753315269947,1.2493343353271484,0.0,0.005510030314326286,0.0,0.012435585260391235,0.0007235540542751551,1.2473299503326416,0.008061110973358154,0.011656761169433594,85.8397216796875
2568192,0.014958621934056282,-5.052224159240723,-0.0009071471868082881,0.2921163737773895,0.16680754721164703,0.0005227495566941798,0.05537824332714081,3.8712213039398193,0.002475116867572069,2.1559250354766846,4.994804382324219,4.997267723083496,106.71712,106.93445,89.667366,88.67481,88.308624,0.0014733565039932728,1.3180665969848633,0.006672944873571396,1.4081881046295166,0.0,0.0075257401913404465,0.0,0.011198441497981548,0.0013055210001766682,1.4289413690567017,0.0064851208589971066,0.02515089511871338,79.23385620117188
2696192,0.010174164548516273,-5.054482936859131,0.00026417028857395053,0.256610631942749,0.16309231519699097,0.00038957339711487293,0.05811962112784386,4.121110439300537,0.0026685157790780067,1.909813642501831,5.001265525817871,5.009131908416748,110.053,109.43539,92.20844,91.74293,90.55636,0.000902349129319191,1.3218717575073242,0.0029876939952373505,1.4317948818206787,0.0,0.008307256735861301,0.0,0.013681210577487946,0.0003772617201320827,1.4345943927764893,0.0027290787547826767,0.016407500952482224,78.99674987792969
2824192,0.01370176114141941,-5.153186798095703,0.0004859168839175254,0.25370675325393677,0.15838924050331116,0.001606315840035677,0.05920124426484108,4.079743385314941,0.0027060124557465315,1.8416790962219238,5.097847938537598,5.104820251464844,113.21137,111.868,94.73758,94.67059,93.00981,0.0005407414282672107,1.293710708618164,0.0027765100821852684,1.4140419960021973,0.0,0.009062900207936764,0.0,0.015134045854210854,0.00016888818936422467,1.403473138809204,0.00262113893404603,0.018328987061977386,95.48274230957031
2952192,0.011125696823000908,-4.9187164306640625,0.0017882303800433874,0.32876262068748474,0.19078272581100464,0.0006147056119516492,0.05197805166244507,4.391017913818359,0.0028540550265461206,1.3206276893615723,4.879673480987549,4.8766021728515625,116.41473,114.2772,97.24442,97.59118,95.50168,0.0006366431480273604,1.3607507944107056,0.001894802669994533,1.4750967025756836,0.0,0.008064398542046547,0.0,0.012581296265125275,0.0003969117533415556,1.4791276454925537,0.0017619694117456675,0.014252067543566227,92.24736022949219
3080192,0.01698654145002365,-5.232688903808594,0.0010654013603925705,0.2564161717891693,0.15579791367053986,0.00037736218655481935,0.058525245636701584,4.23907995223999,0.0028817043639719486,1.536623477935791,5.197577476501465,5.188828945159912,119.44731,116.50306,99.58632,100.33901,97.6428,0.0008105996530503035,1.293697476387024,0.0019411374814808369,1.3902524709701538,0.0,0.006829430349171162,0.0,0.012675395235419273,0.0013595136115327477,1.3868927955627441,0.002030640374869108,0.013648591004312038,80.74375915527344
3208192,0.013722033239901066,-5.462625503540039,0.0010883682407438755,0.2823560833930969,0.1822117120027542,0.0007088819984346628,0.05705377832055092,4.740292549133301,0.0029921093955636024,1.5802154541015625,5.397199630737305,5.391765117645264,122.43513,118.67313,102.0381,103.254814,100.1154,0.0008638107101432979,1.3506131172180176,0.0026209440547972918,1.4530298709869385,0.0,0.006755884736776352,0.0,0.012224296107888222,0.0007743065943941474,1.4564485549926758,0.0020494977943599224,0.015028148889541626,76.33779907226562
3336192,0.029779482632875443,-5.7374372482299805,0.00021473522065207362,0.281734824180603,0.1753912717103958,0.0004883474903181195,0.054452598094940186,4.912528038024902,0.00314991339109838,2.1032443046569824,5.681299209594727,5.674413204193115,125.417915,120.84787,104.42153,105.86454,102.51151,0.0003306647122371942,1.3348069190979004,0.0026629013009369373,1.448824167251587,0.0,0.006677243858575821,0.0,0.013340238481760025,0.000389988737879321,1.4492673873901367,0.0027005162555724382,0.014007356017827988,93.6329345703125
3464192,0.015569940209388733,-5.763771057128906,1.3610755559056997e-05,0.2943265736103058,0.18959003686904907,0.0014222885947674513,0.05165001004934311,4.698189735412598,0.003187187947332859,1.9756466150283813,5.6979475021362305,5.693270683288574,128.11794,122.87816,106.725266,108.93187,104.78966,0.0009319803211838007,1.34367835521698,0.001249426044523716,1.4556390047073364,0.0,0.009257047437131405,0.0,0.01326338853687048,0.0001904935052152723,1.4573121070861816,0.0011396280024200678,0.015255741775035858,79.21672058105469
3592192,0.015181969851255417,-6.641117095947266,-0.0012390421470627189,0.44220972061157227,0.25987136363983154,0.0010026481468230486,0.04733898490667343,5.652603626251221,0.0032705755438655615,2.346609592437744,6.59085750579834,6.591681480407715,130.8052,124.97445,108.97781,111.6724,106.93119,0.0011192932724952698,1.5104281902313232,0.00471498304978013,1.6982543468475342,0.0,0.009743154048919678,0.0,0.015818338841199875,0.00093426852254197,1.6966087818145752,0.004271160811185837,0.021866995841264725,103.04413604736328
3720192,0.012806297279894352,-6.4575629234313965,-0.0003172425786033273,0.3355630934238434,0.19589097797870636,0.0005717887543141842,0.048721734434366226,5.50789737701416,0.0031944820657372475,2.1537413597106934,6.408303260803223,6.406854152679443,133.56712,127.05025,111.281906,114.46495,109.060196,0.001503337174654007,1.4007991552352905,0.0008489458705298603,1.545823574066162,0.0,0.008102741092443466,0.0,0.015180413611233234,0.0012565033975988626,1.5439711809158325,0.001396212144754827,0.017020881175994873,101.56663513183594
3848192,0.009829521179199219,-6.434544563293457,0.0002191145613323897,0.35529348254203796,0.21391278505325317,0.0006129633402451873,0.04655279964208603,5.22804594039917,0.0033846746664494276,2.0626940727233887,6.405944347381592,6.406955242156982,136.1188,129.08226,113.504906,117.18991,111.217545,0.0009723393013700843,1.407792329788208,0.004361201077699661,1.5720107555389404,0.0,0.00771881639957428,0.0,0.013444805517792702,0.0001234389201272279,1.567140817642212,0.0042383624240756035,0.016580693423748016,88.14793395996094
