Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Eval/Return
136192,0.0013556205667555332,-69.00990295410156,0.3715299963951111,0.01550267357379198,-13.452655792236328,68.82145690917969,68.79135131835938,22.807196,49.778835,3.7608416080474854
264192,0.0017358020413666964,-47.91434097290039,0.009946713224053383,0.0006631779833696783,-4.661045074462891,47.897857666015625,47.893348693847656,29.450804,52.715725,2.562950611114502
392192,0.005890750326216221,-33.4778938293457,-5.284283543005586e-05,0.0008576924446970224,11.117130279541016,33.39872360229492,33.392974853515625,40.0349,62.148727,4.072307109832764
520192,0.010281262919306755,-24.566883087158203,-0.0018505213083699346,0.0013831157702952623,11.851417541503906,24.468475341796875,24.45538902282715,45.170036,70.56071,5.280154228210449
648192,0.015534564852714539,-18.198680877685547,-9.227199188899249e-05,0.0005649689701385796,10.653056144714355,18.1615047454834,18.154695510864258,50.646317,77.9433,4.104477882385254
776192,0.01639294996857643,-14.209085464477539,-0.0007253281073644757,0.0012793164933100343,11.181452751159668,14.133624076843262,14.123083114624023,53.398445,86.52829,5.957586765289307
904192,0.010274680331349373,-11.901399612426758,0.0010034580482169986,0.001109842211008072,9.321462631225586,11.846304893493652,11.844198226928711,57.4623,94.13277,11.243762969970703
1032192,0.016817674040794373,-10.525094985961914,-0.000676251482218504,0.0015996290603652596,11.207918167114258,10.441229820251465,10.41417121887207,60.51725,101.82243,5.055741786956787
1160192,0.006690365727990866,-9.599037170410156,-0.0009175105951726437,0.0009139910689555109,11.37883186340332,9.547964096069336,9.542438507080078,62.946674,107.19766,13.901115417480469
1288192,0.004765392281115055,-7.934490203857422,0.0011663222685456276,0.0009154597064480186,9.790519714355469,7.893367767333984,7.899908065795898,65.38034,112.61764,31.83275032043457
1416192,0.006824817042797804,-7.107610702514648,-0.0009205800015479326,0.0010115414625033736,11.174520492553711,7.062863349914551,7.068906784057617,68.30593,118.75257,75.25679779052734
1544192,0.007170655764639378,-6.583642959594727,-0.00024174043210223317,0.0009762589470483363,10.864078521728516,6.5412702560424805,6.5478973388671875,70.5532,123.958244,75.87467193603516
1672192,0.008268197998404503,-6.228361129760742,0.0002748487167991698,0.0010520891519263387,10.184194564819336,6.201828479766846,6.188419818878174,73.067566,129.40236,89.88480377197266
1800192,0.007572873495519161,-6.201902866363525,0.0006409221095964313,0.0011236864374950528,9.947640419006348,6.178079605102539,6.164175987243652,75.28802,134.73177,105.6581039428711
1928192,0.008286510594189167,-6.419329643249512,0.0008172764210030437,0.001196000026538968,10.160393714904785,6.390938758850098,6.384577751159668,77.17459,139.90169,103.83370208740234
2056192,0.009982816874980927,-6.618282318115234,0.0005695473519153893,0.0012836188543587923,9.982460021972656,6.589158535003662,6.582958221435547,78.93554,144.99673,105.7060775756836
2184192,0.010309504345059395,-6.853993892669678,0.000545564922504127,0.0013704304583370686,10.26979923248291,6.813394546508789,6.817291259765625,80.78052,149.94199,135.0950927734375
2312192,0.014040498062968254,-7.546723365783691,0.0004126726998947561,0.0014650658704340458,10.036197662353516,7.509881973266602,7.508693218231201,82.18559,154.64073,144.74957275390625
2440192,0.016344092786312103,-8.121795654296875,-0.0009974397253245115,0.001635623862966895,11.146903991699219,8.099053382873535,8.07354736328125,83.67849,159.36226,187.18862915039062
2568192,0.023531386628746986,-8.488251686096191,-0.0013176521752029657,0.0017122990684583783,10.947010040283203,8.454580307006836,8.44709300994873,85.197784,163.93082,177.79470825195312
2696192,0.02205708622932434,-9.210155487060547,0.0005665388889610767,0.0018091873498633504,10.664478302001953,9.172773361206055,9.174689292907715,86.580986,168.53279,197.5292510986328
2824192,0.0218046847730875,-9.99107551574707,-0.000371369271306321,0.0018480110447853804,10.59646224975586,9.936833381652832,9.947785377502441,88.03489,172.97739,195.6876983642578
2952192,0.020637964829802513,-10.933409690856934,2.3184169549494982e-05,0.0018953196704387665,10.006254196166992,10.88353157043457,10.881088256835938,89.573654,177.41432,216.66879272460938
3080192,0.025729402899742126,-11.694833755493164,0.000601415173150599,0.001852889428846538,10.035431861877441,11.649506568908691,11.645950317382812,90.98423,181.77443,204.80923461914062
3208192,0.019652919843792915,-12.430954933166504,0.0012157367309555411,0.0018530379747971892,9.897767066955566,12.388040542602539,12.372573852539062,92.448326,185.96704,247.50347900390625
3336192,0.027685582637786865,-13.215375900268555,-0.001326147117651999,0.0018858558032661676,11.073490142822266,13.161136627197266,13.166590690612793,93.788605,190.12758,225.04652404785156
3464192,0.0327114462852478,-13.689291000366211,-0.0008321574423462152,0.0019897455349564552,11.319154739379883,13.625480651855469,13.625422477722168,95.178894,194.39685,249.32594299316406
3592192,0.028321685269474983,-14.285245895385742,6.082921754568815e-05,0.0020720025058835745,10.632863998413086,14.241567611694336,14.226478576660156,96.44415,198.5445,255.59376525878906
3720192,0.03400404006242752,-15.329977035522461,-0.0007943919044919312,0.0020672092214226723,11.119932174682617,15.269912719726562,15.28293228149414,97.767555,202.70909,259.4537658691406
3848192,0.041727565228939056,-15.584632873535156,-0.0007002968341112137,0.002224233001470566,10.970346450805664,15.526933670043945,15.522564888000488,99.05863,206.7725,268.31732177734375
3976192,0.03763701021671295,-16.58211326599121,-0.0013440810143947601,0.002198067493736744,11.13410758972168,16.53301429748535,16.533218383789062,100.33023,210.71191,254.95494079589844
4104192,0.0435638427734375,-16.967422485351562,0.0016353133833035827,0.0022484618239104748,10.245028495788574,16.934030532836914,16.907085418701172,101.53137,214.61258,292.44879150390625
4232192,0.03387407213449478,-17.991668701171875,4.7425710363313556e-05,0.00229322980158031,10.555253982543945,17.939376831054688,17.93736457824707,102.66689,218.54639,267.89996337890625
4360192,0.040695976465940475,-18.62761878967285,0.0011923681013286114,0.0023748953826725483,10.213839530944824,18.588760375976562,18.584230422973633,103.835464,222.34013,299.9072265625
4488192,0.0445406511425972,-19.239694595336914,-0.001784170395694673,0.0023406394757330418,11.078424453735352,19.181310653686523,19.198455810546875,105.06326,226.18747,288.31854248046875
4616192,0.05641818791627884,-19.833189010620117,-0.0013122910168021917,0.0024358152877539396,11.153776168823242,19.774036407470703,19.80590057373047,106.29848,229.96591,276.7154235839844
4744192,0.04384922608733177,-20.71457290649414,0.003090027952566743,0.0023261394817382097,9.257516860961914,20.67574119567871,20.693439483642578,107.37304,233.73575,294.77374267578125
4872192,0.04301978275179863,-21.49920082092285,0.0015614461153745651,0.0023699519224464893,10.179031372070312,21.42876434326172,21.477886199951172,108.34726,237.28653,313.09326171875
5000192,0.041978392750024796,-22.09389877319336,0.0005392644670791924,0.002266884548589587,10.011268615722656,22.0667667388916,22.04438018798828,109.37759,240.94046,301.2736511230469
