Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,MICo/Grad_ratio,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,0.016011159867048264,-8.489169120788574,0.06405504792928696,0.0362413227558136,0.015813961625099182,-0.9555002450942993,8.369872093200684,8.3705415725708,14.531381607055664,14.541597366333008,14.431320190429688,0.10006133466959,14.431320190429688,0.00707972189411521,31.761997,49.084522,13.381818,14.535871,183.29763793945312
264192,0.12728646397590637,-20.984455108642578,-0.004007166717201471,0.1496349573135376,0.01085914671421051,3.0993592739105225,20.788789749145508,20.790569305419922,17.050640106201172,17.090049743652344,16.924976348876953,0.12566493451595306,16.924976348876953,0.0033682845532894135,50.244537,63.735683,19.92684,20.945328,831.370361328125
392192,0.13757316768169403,-44.35857391357422,-0.007261231541633606,0.20705454051494598,0.015065545216202736,3.6122965812683105,44.118736267089844,44.11168670654297,24.761028289794922,24.86737060546875,24.628633499145508,0.13239619135856628,24.628631591796875,0.0019121309742331505,59.59722,74.78955,23.88972,24.441454,898.3275146484375
520192,0.09541241079568863,-63.2982177734375,0.0013966179685667157,0.2163049578666687,0.014355888590216637,2.909618854522705,62.98600387573242,63.02555465698242,30.312320709228516,30.395767211914062,30.18993377685547,0.12238585948944092,30.18993377685547,0.003515633288770914,66.44494,83.27759,26.868574,27.099874,967.2496948242188
648192,0.10325539857149124,-74.6884765625,0.006069301161915064,0.2323531210422516,0.010038716718554497,2.3912744522094727,74.48865509033203,74.50569152832031,32.944122314453125,32.99995040893555,32.82939147949219,0.11473116278648376,32.82939147949219,0.004836398642510176,72.44808,90.80262,29.754997,29.441513,967.2611083984375
776192,0.07037824392318726,-81.75286102294922,8.688244270160794e-05,0.20065131783485413,0.007053271867334843,3.047450542449951,81.58155822753906,81.59278869628906,33.26760482788086,33.344810485839844,33.15763854980469,0.10996634513139725,33.15763854980469,0.005992724094539881,78.061104,97.62822,32.41322,31.619907,967.5496826171875
904192,0.048731543123722076,-87.45335388183594,0.0004140713717788458,0.20771273970603943,0.006308611016720533,2.779165744781494,87.3126220703125,87.29879760742188,32.00334548950195,32.105308532714844,31.899152755737305,0.1041945144534111,31.899154663085938,0.00713700894266367,82.920334,104.15077,34.883224,33.602917,970.220458984375
1032192,0.0888989269733429,-89.91990661621094,-0.0018487237393856049,0.22107523679733276,0.005266685504466295,3.101283311843872,89.78055572509766,89.81201171875,30.573490142822266,30.623607635498047,30.469512939453125,0.10397879779338837,30.469512939453125,0.004661151673644781,87.355354,110.38237,37.20998,35.43733,971.4139404296875
1160192,0.06128690019249916,-91.92929077148438,-0.0014075192157179117,0.1735600233078003,0.004920240957289934,3.3996548652648926,91.76380920410156,91.79997253417969,28.713184356689453,28.734512329101562,28.610891342163086,0.1022927463054657,28.61089324951172,0.0045481049455702305,91.49727,116.31057,39.48859,37.175293,973.4713745117188
1288192,0.04843970760703087,-93.69498443603516,-0.000815787585452199,0.152435302734375,0.004160353448241949,3.3314476013183594,93.6077651977539,93.56561279296875,26.455814361572266,26.507801055908203,26.359203338623047,0.0966116338968277,26.359201431274414,0.004054273944348097,95.332436,122.07945,41.706177,38.799755,972.2266845703125
1416192,0.03811861574649811,-95.59797668457031,-0.00021461211144924164,0.1557488888502121,0.004036931321024895,2.850311040878296,95.4864501953125,95.48031616210938,23.579326629638672,23.731489181518555,23.48960304260254,0.08972428739070892,23.489601135253906,0.006577412597835064,98.87471,127.57677,43.840366,40.321346,970.5391235351562
