Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,4.276514118828345e-06,-0.13849779963493347,0.0015618267934769392,0.00420363387092948,0.0021886166650801897,0.0006301800021901727,0.11506079137325287,0.0016121859662234783,-0.5158832669258118,0.13822369277477264,0.13909105956554413,22.846352,42.91654,31.118277,31.933817,31.764837,0.006256080232560635,0.9542478322982788,0.006890885066241026,0.9185084104537964,0.0,0.009259840473532677,0.0,0.013013253919780254,0.00722571462392807,0.9205812215805054,0.010033339262008667,0.018747610971331596,0.4296875
264192,0.004800453782081604,-0.12467391043901443,2.0877550923614763e-05,0.02084226906299591,0.005505211651325226,0.004209794569760561,0.13272736966609955,0.00010089883289765567,0.2912735641002655,0.12608173489570618,0.13234248757362366,32.167862,53.29339,32.88117,33.77384,33.11696,0.0026677080895751715,0.9468539953231812,0.010979393497109413,0.936490535736084,0.0,0.006179910618811846,0.0,0.013235839083790779,0.0015156909357756376,0.9260951280593872,0.009725403971970081,0.016162538900971413,0.0859375
392192,1.713150595605839e-06,-0.013894183561205864,-2.5889625248964876e-05,0.0030485570896416903,0.002192211803048849,7.442829519277439e-05,0.1437898874282837,0.00014883310359437019,0.6549011468887329,0.014122117310762405,0.013991721905767918,37.07781,58.024967,35.420853,35.870605,34.842415,0.0016457238234579563,0.9284056425094604,0.005574508104473352,0.9129108786582947,0.0,0.004392318893224001,0.0,0.008607316762208939,0.002549432683736086,0.9138466715812683,0.006326165981590748,0.00908961147069931,2.7109375
520192,0.004476189613342285,-0.05275470018386841,-3.0307044653454795e-05,0.033062465488910675,0.010389191098511219,0.000772778526879847,0.1261928528547287,9.62034537224099e-05,0.8060446977615356,0.054052624851465225,0.052838943898677826,40.76861,64.206245,37.67984,38.185013,36.382214,0.0013961008517071605,0.9555952548980713,0.004203130956739187,0.9448093771934509,0.0,0.006336758844554424,0.0,0.010655209422111511,0.0006541010225191712,0.9326664209365845,0.0039009624160826206,0.013686509802937508,0.7109375
648192,3.040917817997979e-06,0.004029715433716774,-5.290778062772006e-05,0.005457546096295118,0.0026132320053875446,0.0013214772334322333,0.12460757791996002,0.00014831295993644744,0.9247094392776489,-0.0038583313580602407,-0.003213130636140704,45.04941,67.345726,39.854485,40.511723,37.924057,0.0007232659263536334,0.9372330904006958,0.00676011573523283,0.9221543073654175,0.0,0.006248013116419315,0.0,0.007960447110235691,0.0010768375359475613,0.9129152894020081,0.006338126957416534,0.013453153893351555,0.8515625
776192,7.572814411105355e-07,0.003464099019765854,1.271939072466921e-05,0.0030552467796951532,0.002318277023732662,4.4243242882657796e-05,0.11844762414693832,9.587335807736963e-05,0.3269134759902954,-0.002017244230955839,-0.0034479075111448765,48.380783,69.836494,41.843956,42.706314,39.373466,0.001375783234834671,0.9337244629859924,0.004562594927847385,0.9224942922592163,0.0,0.0026442273519933224,0.0,0.008898708038032055,0.0011556162498891354,0.9168624877929688,0.003907996229827404,0.0086672930046916,0.5703125
904192,7.087869136057634e-08,0.001962300855666399,2.111184767272789e-05,0.002135650487616658,0.0016294236993417144,0.00010696034587454051,0.12138290703296661,0.00010964766261167824,0.18478557467460632,-0.0015811691991984844,-0.0019420277094468474,50.65336,72.32481,44.331238,45.008327,41.0025,0.0007866726373322308,0.9423253536224365,0.0017727331724017859,0.9224223494529724,0.0,0.0032913945615291595,0.0,0.006934211589396,0.003652336075901985,0.9251113533973694,0.002773586893454194,0.0077203731052577496,0.890625
1032192,0.00014591791841667145,-0.034011516720056534,1.8433154764352366e-05,0.030320346355438232,0.012505619786679745,0.0007224418804980814,0.11898058652877808,9.393869549967349e-05,0.3157014548778534,0.01905818097293377,0.01762729324400425,53.339546,74.71806,45.960304,47.50569,42.527218,0.002083655446767807,0.9604356288909912,0.014780260622501373,0.9481877088546753,0.0,0.004104250576347113,0.0,0.0068820444867014885,0.0027387093286961317,0.9420875310897827,0.014685829170048237,0.011639244854450226,0.171875
1160192,0.01080497819930315,-0.012189587578177452,-8.779881682130508e-06,0.04511763155460358,0.019175585359334946,0.0013566800625994802,0.12522700428962708,0.00012771994806826115,0.5594760179519653,0.015420380979776382,0.0038589860778301954,55.91456,77.141556,48.033657,49.849743,43.99211,0.0018863927107304335,0.9668433666229248,0.006102608982473612,0.956578254699707,0.0,0.009212696924805641,0.0,0.006043890491127968,0.0014940733090043068,0.9573324918746948,0.0047909896820783615,0.008138565346598625,1.34375
1288192,2.403909820714034e-05,-0.0019774825777858496,-5.7157092669513077e-05,0.0031549783889204264,0.002585700247436762,9.253427560906857e-05,0.12343037128448486,0.00013687070168089122,0.9453275203704834,0.0019216119544580579,0.001844103797338903,59.168232,80.76337,49.771187,51.938553,45.758682,0.0021551246754825115,0.9324456453323364,0.0051398202776908875,0.9223335385322571,0.0,0.002702554455026984,0.0,0.006277423817664385,0.001918533118441701,0.9199881553649902,0.005821624770760536,0.006227442529052496,2.390625
1416192,0.006335345562547445,-0.050559964030981064,5.3045558161102235e-05,0.0360543429851532,0.012408889830112457,0.0005179514992050827,0.11530948430299759,0.00014395301695913076,0.14762113988399506,0.05298314243555069,0.04729776829481125,62.33973,84.19795,52.18627,53.97419,47.46884,0.0009750388562679291,0.9601283073425293,0.010465921834111214,0.9406814575195312,0.0,0.004596698097884655,0.0,0.006899429485201836,0.0008094139629974961,0.9350497722625732,0.009781118482351303,0.010609763674438,0.5078125
1544192,0.011417084373533726,-0.02052820660173893,3.735981590580195e-05,0.02928723581135273,0.016390876844525337,0.0005064214929006994,0.12292806804180145,0.00011892688780790195,0.2719956040382385,0.022941671311855316,0.022063717246055603,65.34545,87.28126,53.524456,56.40249,48.912014,0.0017105152364820242,0.9624236226081848,0.007867266424000263,0.9419844746589661,0.0,0.006834822706878185,0.0,0.008837706409394741,0.0024915311951190233,0.9470462799072266,0.006941335741430521,0.008934807032346725,1.390625
1672192,0.00017522198322694749,-0.012244964949786663,2.073763607768342e-05,0.023362191393971443,0.008116906508803368,0.0028407801873981953,0.117791086435318,8.176297706086189e-05,0.2598208785057068,0.012379889376461506,0.014773670583963394,67.68769,90.42086,55.48252,58.508156,50.63732,0.0013365538325160742,0.9536772966384888,0.002698102965950966,0.946195125579834,0.0,0.0037235398776829243,0.0,0.005052327178418636,0.0011441530659794807,0.9442956447601318,0.002380143851041794,0.006497693248093128,0.4140625
1800192,0.00010049587581306696,-0.03736649826169014,1.4428620488615707e-05,0.02669316716492176,0.012108219787478447,0.00048465875443071127,0.11813497543334961,0.0001082171656889841,0.2999840974807739,0.03913065791130066,0.03686009719967842,70.09072,93.02946,57.497707,60.649574,52.280064,0.00048711238196119666,0.9601616859436035,0.004375149495899677,0.9461370706558228,0.0,0.004625286906957626,0.0,0.006441985256969929,0.0020212645176798105,0.9463440179824829,0.0041723353788256645,0.006440764758735895,0.0
1928192,0.0020357889588922262,-0.021652601659297943,-2.749985287664458e-05,0.027695434167981148,0.011140824295580387,0.0010236208327114582,0.1235344409942627,8.778239862294868e-05,0.8287460803985596,0.021105993539094925,0.022310655564069748,72.235115,94.99399,58.960625,62.92685,53.94844,0.000756968860514462,0.9542072415351868,0.0015499660512432456,0.934087872505188,0.0,0.0038019351195544004,0.0,0.006295491941273212,0.0022037180606275797,0.9394116401672363,0.0024666120298206806,0.00940036028623581,1.71875
