Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,1.2340154647827148,6.5556535720825195,3.4483542442321777,1.5161199569702148,0.08078943192958832,-10.635571479797363,3.303433895111084,8.183507919311523,5.013927459716797,41.635815,47.959545,27.702501,57.778484,30.905916,903.0
264192,4.9102582931518555,3.6263368129730225,9.344347953796387,2.0216598510742188,0.042729053646326065,-64.51571655273438,30.573333740234375,32.30631637573242,8.3512544631958,51.389374,70.74659,35.49082,89.81808,44.114372,966.0
392192,4.90053653717041,2.5692615509033203,10.507465362548828,2.1449742317199707,0.016090773046016693,-96.39691925048828,60.415931701660156,38.155330657958984,22.17430877685547,58.78037,82.548874,38.46661,108.70598,52.84969,967.0
520192,3.424152374267578,1.8983523845672607,5.519913673400879,2.1618714332580566,0.018399272114038467,-125.77424621582031,77.56278991699219,48.007354736328125,29.671674728393555,64.26513,88.46631,41.04601,121.952324,60.26735,966.0
648192,2.340756416320801,2.980438709259033,9.570547103881836,2.2273640632629395,0.039943017065525055,-143.98883056640625,85.39164733886719,56.52747344970703,28.747323989868164,68.49553,91.82384,43.497185,130.92723,66.386665,969.0
776192,1.2441619634628296,1.4181517362594604,4.487020492553711,2.2074575424194336,0.02164282277226448,-147.3620147705078,90.19219970703125,57.54505157470703,32.685142517089844,72.82985,95.76109,45.60838,137.59692,71.72914,967.0
904192,1.9340438842773438,2.99678635597229,4.060659408569336,2.291240930557251,0.02160288579761982,-156.11659240722656,92.79023742675781,60.960357666015625,31.677391052246094,76.776596,99.33052,47.475105,144.25388,76.76216,970.0
1032192,1.1828362941741943,1.4117865562438965,3.3865020275115967,1.6388881206512451,0.03149266168475151,-161.38816833496094,93.50210571289062,65.55348205566406,28.017925262451172,80.52359,103.465485,49.20733,149.71289,81.74254,969.0
1160192,1.780350685119629,1.746126413345337,3.1055636405944824,1.8723649978637695,0.00365211209282279,-171.19325256347656,95.100341796875,76.4601821899414,18.74148941040039,83.05831,107.07809,50.69513,156.29913,86.20509,970.0
1288192,0.8093540072441101,1.6779866218566895,4.341533660888672,2.5777010917663574,0.00959719717502594,-179.50729370117188,94.66874694824219,82.23307800292969,12.376113891601562,85.42223,110.29161,51.66316,161.76569,90.44303,970.0
1416192,0.7001965641975403,1.2808022499084473,4.640161514282227,1.894576072692871,0.02139040268957615,-183.55625915527344,95.27162170410156,86.97470092773438,8.219306945800781,87.840225,113.60166,52.80476,168.14458,94.89135,969.0
1544192,1.0599303245544434,3.931258201599121,2.09250545501709,1.719451904296875,0.020138638094067574,-195.0341339111328,95.42671203613281,96.13919830322266,3.241870403289795,90.0171,116.68927,54.007473,174.3028,99.5802,970.0
1672192,0.7981957197189331,1.4340147972106934,2.052438974380493,1.6462361812591553,0.02938973344862461,-193.5333251953125,95.93052673339844,97.05230712890625,2.2749452590942383,91.82834,119.57633,55.0489,180.7987,104.06677,970.0
1800192,0.4611016809940338,1.955939769744873,1.5096206665039062,1.129927635192871,0.012936891987919807,-195.82318115234375,96.23632049560547,97.7259750366211,2.604241371154785,93.64987,122.08175,55.765873,186.45564,109.00628,970.0
1928192,0.901360034942627,1.983777642250061,2.185758113861084,1.279738187789917,0.01918927952647209,-194.47723388671875,96.48464965820312,96.22102355957031,1.326022982597351,95.59949,124.41119,56.557663,191.56258,113.719894,970.0
2056192,0.6002422571182251,1.2977876663208008,1.3462482690811157,1.0238385200500488,0.0017156266840174794,-194.65390014648438,97.45037841796875,98.01548767089844,1.2736854553222656,97.630905,126.65295,57.287807,196.75357,118.360306,968.0
2184192,0.46770012378692627,1.8473179340362549,1.0997776985168457,1.626584529876709,0.006470003630965948,-191.98109436035156,97.14064025878906,95.86922454833984,1.559987187385559,99.450035,128.64183,57.924885,201.03822,122.57901,971.0
2312192,0.7239096760749817,0.7319459915161133,1.5866808891296387,0.9372835159301758,0.015227903611958027,-195.55282592773438,98.20751953125,98.5986557006836,1.2169795036315918,101.14797,130.86191,58.70445,205.22118,127.02346,969.0
2440192,0.39985206723213196,0.43750905990600586,1.1250154972076416,0.9272581338882446,0.012401529587805271,-195.7532958984375,97.42765045166016,95.82969665527344,1.5791581869125366,102.71471,133.1031,59.54079,209.14722,131.32375,965.0
2568192,0.6595237255096436,1.1089625358581543,1.4122675657272339,1.0809149742126465,0.006360325962305069,-194.6047821044922,98.27935028076172,97.18146514892578,1.3093128204345703,104.31682,134.87773,60.391037,213.1206,135.36685,970.0
2696192,0.223020538687706,0.5425082445144653,1.3705872297286987,1.2641267776489258,0.016158731654286385,-193.16883850097656,97.48758697509766,95.55439758300781,1.9133844375610352,105.67884,136.55493,61.353058,216.4605,139.25775,969.0
2824192,0.2808096408843994,0.6969349980354309,1.1421263217926025,1.0206000804901123,0.007607190404087305,-194.07846069335938,97.64370727539062,96.52679443359375,1.0861213207244873,107.10636,138.15324,61.982937,219.92223,143.09976,970.0
2952192,0.20276466012001038,0.7449885606765747,2.724555015563965,1.0848294496536255,0.00043944589560851455,-196.81912231445312,98.31790161132812,99.70487976074219,1.9473861455917358,108.57261,139.75568,62.81481,222.94588,146.67545,970.0
3080192,0.13521689176559448,0.2927156686782837,0.7686153054237366,1.0177018642425537,0.018023576587438583,-196.91812133789062,98.33113098144531,99.77769470214844,1.955662727355957,109.91173,141.66464,63.587975,226.44397,150.2459,970.0
3208192,0.6011574268341064,0.8879345655441284,1.997072696685791,1.1474676132202148,0.017603304237127304,-197.5765838623047,97.65548706054688,100.43186950683594,3.652434825897217,111.209404,143.33667,64.288506,229.9993,153.8864,970.0
3336192,1.8652037382125854,1.4837770462036133,3.7816059589385986,0.9800237417221069,0.013059329241514206,-198.46539306640625,98.22998046875,99.00971984863281,1.384942650794983,112.50734,144.93816,65.13785,232.97588,157.46242,971.0
3464192,0.3709903955459595,0.7133514881134033,1.5772615671157837,1.026863694190979,0.012574344873428345,-198.17218017578125,97.81703186035156,99.79367065429688,2.783700942993164,113.654045,146.34836,65.75571,236.07047,160.89555,969.0
3592192,0.18576371669769287,0.9762251973152161,1.0417855978012085,1.0004040002822876,0.003955250605940819,-198.9066619873047,98.24508666992188,100.81564331054688,3.191652774810791,114.949135,147.70819,66.53814,239.0125,164.45549,969.0
3720192,0.3046519160270691,0.4767861068248749,0.8768622875213623,1.2555568218231201,0.010301127098500729,-195.83668518066406,98.16129302978516,98.48028564453125,1.3160045146942139,116.2101,149.04971,67.29776,242.16171,167.88861,968.0
3848192,0.19470039010047913,0.83761066198349,3.242250919342041,1.1119836568832397,0.0032237402629107237,-197.52960205078125,98.42860412597656,99.04671478271484,1.264484167098999,117.21272,150.41978,68.01146,245.2045,171.44426,970.0
3976192,0.994645893573761,1.5713294744491577,3.791172742843628,1.020351767539978,0.0026555312797427177,-198.14593505859375,98.09440612792969,99.87931823730469,2.481297731399536,118.46332,151.94727,68.80759,247.7092,174.97646,971.0
4104192,0.037836164236068726,0.27861741185188293,0.7676308155059814,0.9929624199867249,0.002698941621929407,-198.18637084960938,99.52120971679688,100.1387939453125,1.022412896156311,119.28197,153.10352,69.43655,249.94333,178.14973,971.0
