Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.9121323823928833,7.746784210205078,0.9124574661254883,1.6550962924957275,0.04033835977315903,-15.813868522644043,5.120584964752197,12.086345672607422,8.421122550964355,30.614199,61.35201,28.523638,92.66627,37.860218,116.5234375
264192,0.34007835388183594,6.317142486572266,0.48572584986686707,1.061295986175537,0.053921062499284744,-30.413728713989258,8.426673889160156,20.231517791748047,12.932273864746094,43.047596,77.15656,34.44541,122.3216,47.71044,113.5390625
392192,0.5905352830886841,0.7896787524223328,1.6458823680877686,1.236336350440979,0.1489265412092209,-18.74884033203125,10.329852104187012,9.80179214477539,8.240791320800781,53.0204,89.92148,38.87866,143.05038,54.142498,1000.0
520192,0.7841506600379944,1.983789324760437,2.077653169631958,1.5065189599990845,0.06567502021789551,-55.897579193115234,27.42529296875,25.348880767822266,7.683376789093018,62.230564,103.44795,42.985516,162.14868,60.77175,1000.0
648192,0.6287031173706055,0.9684456586837769,0.8414193391799927,1.9109972715377808,0.05268910899758339,-70.749755859375,44.129512786865234,29.822900772094727,20.564634323120117,67.820854,114.09625,46.774124,172.9443,65.34514,1000.0
776192,0.8309664726257324,1.1663661003112793,0.6353123188018799,2.0044572353363037,0.07195964455604553,-93.0335464477539,50.75307846069336,38.16857147216797,13.53390884399414,72.95083,124.03547,50.26376,190.78656,69.26559,1000.0
904192,0.3589060306549072,2.3952131271362305,0.9618750214576721,1.9972431659698486,0.052868347615003586,-109.90471649169922,57.23512268066406,54.33412170410156,5.654857635498047,77.70486,131.58528,52.60322,195.98997,73.14996,1000.0
1032192,0.229733407497406,1.804898977279663,0.816037654876709,2.3746864795684814,0.06843911111354828,-91.17091369628906,64.29647827148438,29.804351806640625,38.842803955078125,82.23555,137.58496,55.66023,203.73848,75.9987,1000.0
1160192,0.451560378074646,1.3093321323394775,0.7068443298339844,2.139836549758911,0.03811807930469513,-106.34013366699219,65.00747680664062,40.98875427246094,24.530197143554688,85.372406,142.90099,56.99671,207.34314,78.5584,1000.0
1288192,1.3975450992584229,3.143136501312256,0.4508940577507019,2.2291572093963623,0.0230571199208498,-131.3427734375,69.14583587646484,54.098941802978516,16.732608795166016,87.75524,147.45175,60.26889,211.22983,80.01667,1000.0
1416192,0.4897831678390503,0.8629962205886841,1.2589911222457886,2.369140625,0.024183612316846848,-110.83378601074219,75.29270935058594,33.62214660644531,41.87980651855469,90.643036,153.86943,62.19583,217.24652,81.74545,1000.0
1544192,0.41315048933029175,2.2365427017211914,1.2389105558395386,2.2952964305877686,0.006048901937901974,-153.63002014160156,75.88024139404297,71.9966812133789,7.327637195587158,92.95627,159.42903,65.546776,217.76854,83.15953,995.65625
1672192,0.48717305064201355,10.956542015075684,1.8621810674667358,2.3331809043884277,0.016414925456047058,-191.1514129638672,78.87439727783203,112.45103454589844,37.4915771484375,95.967354,163.80229,68.33647,219.82169,84.233765,1000.0
1800192,0.19610267877578735,6.748292446136475,1.6366536617279053,2.3360989093780518,0.0225287564098835,-205.88612365722656,78.47428131103516,121.18084716796875,44.44645690917969,98.56009,168.70265,70.12524,224.01949,86.151566,1000.0
1928192,1.6875574588775635,5.065971374511719,0.7339456081390381,2.341423988342285,0.0009461091831326485,-170.3125,82.14398193359375,89.5362548828125,8.66062068939209,100.44824,172.89096,70.93546,227.84755,87.651855,1000.0
2056192,0.3156064748764038,4.4345526695251465,0.9468318223953247,2.3313310146331787,0.015825234353542328,-193.56027221679688,81.06842041015625,111.00016784667969,30.4617919921875,102.7767,176.98277,72.01365,231.65317,89.25157,1000.0
2184192,1.5397014617919922,6.468935489654541,1.7334578037261963,2.325319528579712,0.009470142424106598,-196.8992919921875,82.69501495361328,108.10585021972656,26.82444190979004,104.791756,181.18643,72.99946,235.55493,90.53471,1000.0
2312192,0.212575301527977,3.865943193435669,1.3246469497680664,2.328728199005127,0.004190923646092415,-202.22723388671875,86.49070739746094,120.51724243164062,34.804344177246094,106.965996,184.78763,74.41683,239.9023,91.65594,1000.0
2440192,0.14720419049263,3.4392948150634766,0.7712605595588684,2.3102200031280518,0.019472705200314522,-200.60006713867188,85.17987060546875,120.74732208251953,36.08864212036133,108.80891,188.40671,76.05811,242.89464,92.96703,988.171875
2568192,0.11381055414676666,2.351616382598877,0.829369843006134,2.3353116512298584,0.0036384204868227243,-203.4753875732422,86.97296905517578,123.87866973876953,37.916908264160156,110.55263,191.63832,77.27775,246.33163,93.987495,1000.0
2696192,0.3201386630535126,2.4655892848968506,0.35685354471206665,2.319507598876953,0.0006974540301598608,-213.92904663085938,88.07624053955078,118.18179321289062,31.255367279052734,112.527245,194.98215,78.66804,249.20259,94.93287,996.703125
2824192,2.376336097717285,11.73221206665039,0.8025516271591187,2.358738422393799,0.0022970412392169237,-212.24644470214844,88.64695739746094,124.7421875,37.4924430847168,114.16978,197.79277,79.95208,251.76637,95.920616,362.4375
2952192,0.22019293904304504,2.2459781169891357,0.484175443649292,2.3223888874053955,0.0030918139964342117,-207.31976318359375,89.76664733886719,114.51968383789062,25.48754119873047,115.8704,200.79852,81.02513,254.83127,96.9022,1000.0
