Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.01600971445441246,-8.84739875793457,-0.0013237404637038708,0.6423140168190002,0.305433988571167,0.0025165516417473555,0.0065262955613434315,0.019114524126052856,0.5325390100479126,8.818913459777832,8.868460655212402,36.309437,63.259453,31.202353,32.346344,30.707869,0.016363635659217834,1.6124972105026245,0.05696403980255127,2.080735445022583,0.0,0.028345052152872086,0.0,0.045235008001327515,0.017889058217406273,2.042145013809204,0.03922969847917557,0.06907114386558533,207.4420928955078
264192,0.14561423659324646,-27.655550003051758,-0.0037550213746726513,1.1324492692947388,0.5261129140853882,0.002158760791644454,0.004526074044406414,0.06989222019910812,0.4826301038265228,27.539243698120117,27.609703063964844,58.47267,118.26082,34.39526,36.361797,32.988388,0.021765731275081635,1.9232761859893799,0.06220788136124611,2.7028725147247314,0.0,0.024014689028263092,0.0,0.04775521904230118,0.019265979528427124,2.7192816734313965,0.0431632325053215,0.04904041439294815,782.8154296875
392192,0.15300177037715912,-45.39701843261719,-0.002737431088462472,1.6811686754226685,0.8723266124725342,0.0025043319910764694,0.007137747947126627,0.0668082907795906,0.60077965259552,45.26911926269531,45.206382751464844,70.02352,138.35599,37.88567,46.27046,35.60884,0.013040002435445786,2.2774105072021484,0.04585302621126175,3.0959949493408203,0.0,0.03444528579711914,0.0,0.05214402824640274,0.01473124511539936,3.093538284301758,0.03175577521324158,0.04970134049654007,860.7720336914062
520192,0.12506437301635742,-57.56859588623047,0.0029717108700424433,2.1183977127075195,1.0353256464004517,0.002003364497795701,0.006384243257343769,0.05306226387619972,0.5323011875152588,57.47269058227539,57.40388488769531,78.65683,149.46826,41.218132,57.004944,38.23667,0.007555447518825531,2.3595447540283203,0.03219611197710037,3.306427240371704,0.0,0.021556664258241653,0.0,0.06760148704051971,0.009988538920879364,3.2201123237609863,0.022677913308143616,0.09842224419116974,858.1199951171875
648192,0.11306826770305634,-65.33638000488281,-0.00023255881387740374,2.663355588912964,1.0513190031051636,0.0015803283313289285,0.009830066002905369,0.043373771011829376,0.5080807209014893,65.2435302734375,65.16744995117188,85.86383,157.6378,44.55023,65.712425,40.790127,0.006905504502356052,2.3225293159484863,0.04484476149082184,3.2900350093841553,0.0,0.022375158965587616,0.0,0.04848340153694153,0.011161448433995247,3.2453691959381104,0.03440064191818237,0.05694727227091789,851.2096557617188
776192,0.11943307518959045,-70.33292388916016,-0.0012090696254745126,3.158674478530884,1.2486430406570435,0.0012558214366436005,0.004027637653052807,0.03865709900856018,0.5552341938018799,70.20901489257812,70.2784423828125,92.26017,164.32385,47.77032,71.12552,43.775707,0.004639008082449436,2.464817762374878,0.024050099775195122,3.3952808380126953,0.0,0.014654017984867096,0.0,0.036305103451013565,0.008995313197374344,3.4096007347106934,0.015745216980576515,0.036488376557826996,834.2137451171875
904192,0.111323282122612,-73.99777221679688,0.0001740930019877851,2.9157047271728516,1.2033400535583496,0.0015463632298633456,0.004696991294622421,0.03451170399785042,0.4849837124347687,73.9710693359375,73.96366882324219,97.98532,170.13458,50.866272,75.489525,46.478405,0.005223378539085388,2.4180307388305664,0.04083084315061569,3.317601203918457,0.0,0.013359811156988144,0.0,0.0247992891818285,0.00770406611263752,3.3026583194732666,0.03330408036708832,0.0348697155714035,859.8154296875
1032192,0.14156003296375275,-76.27906799316406,0.0005560729769058526,2.5251457691192627,1.2560514211654663,0.003015163354575634,0.015115972608327866,0.03168177232146263,0.5510208606719971,76.34331512451172,76.22455596923828,103.052895,175.49266,53.642506,79.561485,49.04656,0.00521830702200532,2.388066053390503,0.024703221395611763,3.313547134399414,0.0,0.01180247962474823,0.0,0.02904520183801651,0.02977440506219864,3.291808605194092,0.0113150579854846,0.051424797624349594,841.5723266601562
1160192,0.052087657153606415,-78.49475860595703,0.002945741405710578,2.316783905029297,1.188133955001831,0.0009541987674310803,0.007611083798110485,0.027700696140527725,0.4410874545574188,78.47196197509766,78.46854400634766,107.4959,180.10771,56.41226,83.43091,51.609543,0.0056474050506949425,2.3547141551971436,0.020360160619020462,3.2325310707092285,0.0,0.011226647533476353,0.0,0.028709812089800835,0.010829029604792595,3.2217302322387695,0.011902199126780033,0.034366361796855927,862.3126220703125
1288192,0.05555437132716179,-77.96441650390625,0.000996461370959878,2.437560796737671,1.1819055080413818,0.0012232846347615123,0.01608680747449398,0.02753141149878502,0.48851773142814636,77.99407958984375,78.0231704711914,111.82267,183.87071,59.00126,87.098145,54.074383,0.007383103482425213,2.3245296478271484,0.04907616600394249,3.1718711853027344,0.0,0.016952451318502426,0.0,0.034541402012109756,0.008411974646151066,3.121335506439209,0.04073352739214897,0.05614073947072029,864.0923461914062
