Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,8.568609700887464e-06,0.062292542308568954,0.3643413782119751,2.2691409587860107,2.7500633223098703e-05,2.2089176177978516,0.041179358959198,-2.204850673675537,2.6242122650146484,26.723484,17.83666,19.650661,47.6607,17.660133,6.7265625
264192,0.00043824451859109104,0.01147089246660471,0.40913575887680054,1.4985541105270386,0.00379578466527164,-0.9562126994132996,0.059418097138404846,0.952685534954071,0.8959648013114929,33.863224,27.86662,23.716406,62.305546,17.894464,0.0
392192,0.0002769606653600931,0.013836720958352089,0.21552951633930206,2.3205909729003906,1.1855045158881694e-05,-0.2657797038555145,0.04473632574081421,0.20826324820518494,0.4175689220428467,33.863224,39.067303,26.728182,79.484795,17.895567,0.0
520192,0.0025331357028335333,0.0036028646863996983,0.9492796659469604,2.3078665733337402,1.626859557291027e-05,0.7987712621688843,0.05290757864713669,-0.8475832939147949,0.9002680778503418,33.863224,45.84185,27.827103,88.87186,17.898382,0.0
648192,0.002424389123916626,0.004340901505202055,0.9814378023147583,2.282335042953491,2.382486854912713e-06,-0.6864030361175537,0.056789249181747437,0.6761756539344788,0.6841488480567932,33.863224,50.061058,29.03391,94.409546,17.898386,0.0
776192,0.00136146682780236,0.0004483384545892477,0.8150740265846252,2.3255984783172607,3.3669542176539835e-07,-0.14645901322364807,0.11130379885435104,0.07256840169429779,0.16104084253311157,33.863224,52.978165,29.670368,100.963554,17.898386,0.0
904192,0.0006405056337825954,1.4841411939414684e-05,0.3866980969905853,2.29734206199646,6.764097548739301e-08,-0.052096106112003326,0.07714913785457611,-0.01847226545214653,0.09526889026165009,33.863224,56.00481,30.0003,107.73586,17.898386,0.0
1032192,0.0017262679757550359,0.00019509621779434383,0.6573647856712341,2.2988274097442627,7.423303941322956e-06,-0.11375734210014343,0.06335332989692688,0.04767986387014389,0.07742857187986374,33.863224,58.7446,30.455484,115.49573,17.898386,0.0
1160192,0.0001988832518691197,0.0019249937031418085,0.2906344532966614,2.3053479194641113,0.001950922654941678,-0.09298668801784515,0.059282802045345306,0.028427213430404663,0.05765985697507858,33.863224,60.899593,31.012762,123.3665,17.898386,0.0
1288192,0.0002803682582452893,1.3133754691807553e-05,0.6925925016403198,2.3091118335723877,3.5454764124587257e-10,-0.06874258816242218,0.048142656683921814,0.027195345610380173,0.05292627215385437,33.863224,62.980965,31.836142,130.87779,17.898386,0.0
1416192,0.000300076964776963,3.9289916458074003e-05,0.6416386365890503,2.3072948455810547,5.446899194794241e-06,-0.0700310468673706,0.03778667002916336,0.03727881610393524,0.06037105619907379,33.863224,64.840576,32.537117,137.15746,17.898386,0.0
1544192,0.000928484252654016,1.1655753041850403e-05,0.9502959847450256,2.295736312866211,5.611311166831001e-07,-0.11632132530212402,0.029998453333973885,0.044939883053302765,0.058927133679389954,33.863224,66.53091,32.969475,142.94205,17.898386,0.0
1672192,0.0002634735428728163,3.115908157269587e-06,0.6866450309753418,2.299351453781128,1.9460381395219883e-07,-0.07409349083900452,0.03275112807750702,0.03815817832946777,0.05733533948659897,33.863224,68.34966,33.50049,148.51042,17.898386,0.0
1800192,0.00030069510103203356,8.721428457647562e-06,0.6424578428268433,2.3063900470733643,2.0565157683449797e-06,-0.06468717753887177,0.038830481469631195,0.03525986522436142,0.06225794553756714,33.863224,69.895996,34.10502,153.6845,17.898386,0.0
1928192,0.0020774679724127054,2.7746391424443573e-06,0.653409481048584,2.3012845516204834,5.294510856401757e-07,-0.08191462606191635,0.037374287843704224,0.046979378908872604,0.07039240747690201,33.863224,71.47392,34.536034,158.02191,17.898386,0.0
2056192,0.008254271000623703,8.527159479854163e-06,2.181074619293213,2.3019680976867676,2.0297247829148546e-06,-0.09994617849588394,0.02921414189040661,0.04999107867479324,0.07902050763368607,33.863224,73.44919,34.98845,163.47095,17.898386,0.0
2184192,0.08607359975576401,1.3125137229508255e-05,0.5325793027877808,2.303971529006958,1.8999202211489319e-06,-0.06546877324581146,0.05519434064626694,0.04250960424542427,0.09835118055343628,33.863224,75.0274,35.460613,168.0052,17.898386,0.0
2312192,8.252244151663035e-05,6.3979050537454896e-06,0.43451088666915894,2.3045639991760254,3.7909117622803024e-08,-0.05940718203783035,0.01970481313765049,0.04520978033542633,0.058366283774375916,33.863224,76.51908,35.904064,172.29486,17.898386,0.0
2440192,8.400435035582632e-05,2.9357981929933885e-06,1.6039819717407227,2.297253131866455,5.859394605067791e-07,-0.07349874079227448,0.019725998863577843,0.03395163267850876,0.04384612292051315,33.863224,77.980095,36.28669,177.12138,17.898386,0.0
2568192,0.00019874368445016444,8.241486852966773e-07,0.16975155472755432,2.3081371784210205,2.7850217065861216e-06,-0.05181444436311722,0.017957858741283417,0.033083945512771606,0.04563787207007408,33.863224,79.11688,36.7529,180.35915,17.898386,0.0
2696192,0.00017148879123851657,6.464883313128666e-07,0.512698769569397,2.305569887161255,3.881444143871704e-08,-0.040979184210300446,0.011536507867276669,0.029240306466817856,0.036617837846279144,33.863224,80.14076,37.01311,184.03351,17.898386,0.0
2824192,8.02322756499052e-05,2.2648871436103946e-06,0.26393312215805054,2.3063907623291016,6.10479958140786e-07,-0.04084889218211174,0.00459857564419508,0.03519231081008911,0.034932103008031845,33.863224,81.165276,37.282856,187.1561,17.898386,0.0
2952192,0.00048753380542621017,7.35146159058786e-07,0.7115194201469421,2.3114452362060547,1.6459328122664374e-08,-0.03532866761088371,0.01901327446103096,0.027670271694660187,0.04239179939031601,33.863224,81.845085,37.558468,189.91388,17.898386,0.0
3080192,0.00031352866790257394,2.240822595922509e-06,0.5861833691596985,2.2902889251708984,3.972608908497932e-08,-0.05724257975816727,0.008915416896343231,0.02898428589105606,0.028695624321699142,33.863224,82.53804,37.96265,193.62663,17.898386,0.0
3208192,0.05474928021430969,1.2776776202372275e-05,0.6090766787528992,2.30745005607605,3.466042453048601e-10,-0.04675566777586937,0.03106256201863289,0.0395919531583786,0.06294669955968857,33.863224,83.34601,38.220333,197.35428,17.898386,0.0
3336192,2.9487209758372046e-06,1.2731344440908288e-06,0.7865737676620483,2.305361747741699,2.192960302238589e-08,-0.0397590771317482,0.005401951260864735,0.03348306939005852,0.03371487557888031,33.863224,83.98198,38.47179,200.1845,17.898386,0.0
