Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.1308642327785492,-12.735616683959961,-0.003064057556912303,0.8328646421432495,0.49382609128952026,0.00136406475212425,0.002065805485472083,0.014469531364738941,3.176729679107666,12.606660842895508,12.552812576293945,43.568314,51.787872,31.014605,30.119652,30.943516,0.004914518911391497,2.006542682647705,0.025583764538168907,2.4564311504364014,0.0,0.033983368426561356,0.0,0.02843351848423481,0.0045761652290821075,2.441086769104004,0.021481551229953766,0.04367896914482117,548.8206176757812
264192,0.1549122929573059,-31.53666877746582,0.005463223904371262,1.5639653205871582,0.7759156823158264,0.0009483318426646292,0.0008874927880242467,0.02214948460459709,2.641845226287842,31.47905731201172,31.466632843017578,58.584858,69.538506,33.16656,33.51259,32.69408,0.007165487855672836,2.2671656608581543,0.010846246033906937,3.0345356464385986,0.0,0.026144694536924362,0.0,0.03742510825395584,0.0030821962282061577,2.9654738903045654,0.009321579709649086,0.07834672182798386,711.8793334960938
392192,0.1385800838470459,-47.95393371582031,-0.009505055844783783,1.2857409715652466,0.6964671015739441,0.0012057352578267455,0.0001348792138742283,0.022339046001434326,3.3520970344543457,47.843841552734375,47.8672981262207,67.55803,80.78195,35.628002,38.917583,34.74398,0.007488412782549858,2.1383166313171387,0.005661006085574627,2.7885358333587646,0.0,0.03189582750201225,0.0,0.023762624710798264,0.0005746058886870742,2.80153226852417,0.005185069050639868,0.03824656456708908,800.3372802734375
520192,0.1919979304075241,-58.17674255371094,-0.00011275161523371935,1.3587995767593384,0.5755559802055359,0.0007966934354044497,0.0,0.02246507816016674,2.859267234802246,58.138877868652344,58.071006774902344,74.27665,88.91019,38.293625,44.50144,37.13866,0.0038040736690163612,1.9551191329956055,0.005307003855705261,2.708869457244873,0.0,0.0294855497777462,0.0,0.021236445754766464,0.0003424557507969439,2.7184648513793945,0.005003047175705433,0.03945155441761017,834.3590087890625
648192,0.41210418939590454,-64.80561065673828,-0.003808061359450221,1.3725768327713013,0.6291019916534424,0.0008291411213576794,9.048933861777186e-06,0.02115797996520996,3.0784430503845215,64.87629699707031,64.73192596435547,79.85908,95.164154,41.124214,49.550957,39.747246,0.004260058514773846,2.0275402069091797,0.002231265651062131,2.703794479370117,0.0,0.03355608135461807,0.0,0.025899820029735565,0.000948719447478652,2.708958148956299,0.002378329634666443,0.029362518340349197,846.3506469726562
776192,0.11464446038007736,-69.23404693603516,0.00029861018992960453,1.2329435348510742,0.5314884781837463,0.0006372370989993215,1.0003443094319664e-05,0.021565178409218788,3.239595651626587,69.20142364501953,69.24945068359375,84.67764,100.66611,43.820744,54.132343,42.17569,0.0011553240474313498,1.881049394607544,0.005468567833304405,2.5572290420532227,0.0,0.016140781342983246,0.0,0.021665867418050766,0.0019100469071418047,2.5490338802337646,0.004950627218931913,0.03544679284095764,872.0693359375
904192,0.10819485783576965,-72.71630096435547,-0.00401703268289566,1.0915743112564087,0.4615062475204468,0.0004583480185829103,2.3080337996361777e-06,0.021330270916223526,3.023167848587036,72.64830017089844,72.88439178466797,89.02517,105.485535,46.49302,58.38871,44.515076,0.0012552785919979215,1.7601337432861328,0.0025940171908587217,2.4523215293884277,0.0,0.017549170181155205,0.0,0.02231859788298607,0.0008880444802343845,2.479020118713379,0.002177021000534296,0.03553193062543869,883.2693481445312
1032192,0.10894259810447693,-73.32691955566406,0.0046889749355614185,1.3528010845184326,0.5274822115898132,0.0008880762616172433,9.39585959258693e-07,0.021256301552057266,2.6632442474365234,73.30900573730469,73.37812805175781,92.89969,110.18234,49.04693,62.591534,46.68711,0.00027986426721327007,1.8671350479125977,0.0025149197317659855,2.5027666091918945,0.0,0.020985323935747147,0.0,0.019689396023750305,0.00398276187479496,2.5007565021514893,0.0045114364475011826,0.028744328767061234,892.927978515625
1160192,0.12764474749565125,-75.91423034667969,-0.005944444797933102,0.9702122807502747,0.4353163540363312,0.001088628894649446,7.230972551042214e-05,0.02099202573299408,3.4047398567199707,75.89266967773438,75.96666717529297,96.67437,114.92083,51.55677,66.155174,48.802834,0.0008937277598306537,1.7324291467666626,0.0014016421046108007,2.365149974822998,0.0,0.01954047381877899,0.0,0.02047298476099968,0.0016296206740662456,2.3920493125915527,0.002252785488963127,0.040693238377571106,890.0042724609375
1288192,0.18048495054244995,-77.59036254882812,-0.0030844463035464287,0.8616394996643066,0.3889634609222412,0.0004603953566402197,8.40348093333887e-06,0.020500637590885162,3.288142204284668,77.62379455566406,77.59886169433594,100.31543,119.269554,53.832916,69.58142,50.872704,0.001096708350814879,1.677437663078308,0.0018834100337699056,2.345536231994629,0.0,0.014272615313529968,0.0,0.021820349618792534,0.0022912872955203056,2.3239879608154297,0.003448151983320713,0.03064495138823986,895.008056640625
