Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,1.3435070514678955,7.028670787811279,0.8757243156433105,1.5696967840194702,0.015022232197225094,-18.430864334106445,5.802227973937988,9.425013542175293,3.9043383598327637,39.914085,56.829044,23.249071,80.59972,33.39379,197.8203125
264192,4.473419189453125,5.874206066131592,1.4075863361358643,1.8029526472091675,0.011330409906804562,-38.95811080932617,16.951696395874023,22.185489654541016,6.623757362365723,50.749573,75.5699,28.78844,130.31122,40.969692,443.6171875
392192,1.2591516971588135,2.3725852966308594,0.9825246334075928,1.7217659950256348,0.004209491889923811,-64.47308349609375,31.59903335571289,33.28124237060547,5.412724494934082,58.75304,88.31101,34.772636,154.71461,48.08285,498.453125
520192,5.339907646179199,13.98282241821289,1.7948988676071167,2.4259822368621826,0.04959753155708313,-74.58985900878906,39.70109558105469,30.089309692382812,11.562332153320312,65.42715,97.47181,39.321545,176.5925,53.851738,455.890625
648192,1.7937302589416504,3.877768039703369,2.735044002532959,2.1436610221862793,0.002777394838631153,-103.41645812988281,50.519439697265625,50.96894836425781,9.53150749206543,70.93318,105.92133,42.59704,195.68327,59.42055,602.171875
776192,7.794045925140381,7.263883590698242,2.6965372562408447,2.195253610610962,0.02943359687924385,-110.95233154296875,56.314815521240234,53.677974700927734,8.587211608886719,75.817894,113.53072,45.91637,206.8983,65.82496,535.953125
904192,1.8359849452972412,4.982671737670898,1.305743932723999,2.1205551624298096,0.0041750757955014706,-114.60452270507812,59.57259750366211,57.426212310791016,9.422203063964844,81.10353,120.38293,48.886997,216.14514,71.34363,644.21875
1032192,2.078599214553833,5.175720691680908,1.7191321849822998,2.1454429626464844,0.013154124841094017,-117.36390686035156,60.83894348144531,55.85367202758789,11.356182098388672,85.72405,127.02076,51.909367,228.48831,76.208145,686.3203125
1160192,2.2652666568756104,2.875770092010498,1.7287384271621704,2.1485657691955566,0.02294262684881687,-125.29486846923828,65.47905731201172,59.1978645324707,10.570001602172852,89.865425,133.79166,54.519375,240.30768,80.80461,611.4921875
1288192,3.1479620933532715,3.861084461212158,2.111635684967041,2.1516900062561035,0.00943284947425127,-135.40512084960938,66.67162322998047,61.55080032348633,11.167207717895508,93.5085,139.08406,56.586823,249.86214,85.0924,682.265625
1416192,2.4684953689575195,5.082069396972656,1.7264301776885986,2.17425537109375,0.020003534853458405,-138.28887939453125,71.81964874267578,65.77399444580078,10.83597183227539,96.89525,144.2615,58.155846,259.26816,89.02596,737.796875
1544192,2.891754627227783,3.4049315452575684,3.6635091304779053,2.2763736248016357,0.01870518922805786,-140.25408935546875,75.18771362304688,68.14295196533203,12.814659118652344,100.15175,148.94647,59.761005,270.57214,92.52571,628.1015625
1672192,2.589986562728882,2.2722156047821045,2.7434608936309814,2.298588991165161,0.03209357336163521,-144.21615600585938,79.08174133300781,72.29325866699219,11.530623435974121,103.12207,153.14558,60.959064,276.8628,96.02639,676.890625
1800192,1.8884299993515015,3.638455390930176,2.172865867614746,2.2111363410949707,0.01790192723274231,-152.80374145507812,75.45144653320312,66.61228942871094,11.082002639770508,106.287704,157.36357,62.264977,284.4236,99.52327,694.2578125
1928192,2.1383256912231445,3.6907565593719482,1.7103346586227417,2.2279903888702393,0.01117953471839428,-153.35882568359375,83.34759521484375,77.05748748779297,11.642600059509277,109.20944,161.81352,63.441612,291.8852,102.87182,711.3359375
2056192,2.4650793075561523,1.9078397750854492,1.7310328483581543,2.216362714767456,0.01564357429742813,-147.6697540283203,79.20797729492188,66.47817993164062,17.392906188964844,112.130516,166.09048,64.50421,296.76392,105.958,741.9921875
2184192,1.852207064628601,2.543093681335449,2.330458641052246,2.235063076019287,0.014274518936872482,-152.04843139648438,84.35530090332031,71.56197357177734,14.658626556396484,115.40341,170.31094,65.55706,302.97086,109.06964,693.953125
