Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,5.329229354858398,-9.464125633239746,-0.0007673471118323505,1.306104302406311,0.505280077457428,0.004702448844909668,0.028691817075014114,0.009437150321900845,0.9906719923019409,9.484806060791016,9.495495796203613,50.687965,82.92806,29.730478,29.8874,29.474796,0.015642333775758743,1.6098068952560425,0.05582813173532486,2.096376419067383,0.0,0.03411151468753815,0.0,0.06159060820937157,0.017516549676656723,2.06294584274292,0.04042195528745651,0.07850257307291031,94.65625
264192,3.038860321044922,-15.097082138061523,0.002811684273183346,1.6716763973236084,0.6443951725959778,0.004846195690333843,0.018719926476478577,0.01834619790315628,0.8429031372070312,14.964825630187988,15.000061988830566,66.251625,106.88947,31.5594,34.864704,30.906065,0.014106073416769505,1.8286967277526855,0.04667207598686218,2.424025535583496,0.0,0.060937635600566864,0.0,0.052877653390169144,0.0054067885503172874,2.3749582767486572,0.0420537143945694,0.06991209089756012,175.0078125
392192,1.100354552268982,-20.48040008544922,0.003590174950659275,1.6588330268859863,0.688707709312439,0.004718130920082331,0.03382740914821625,0.02419067732989788,0.9339803457260132,20.30314064025879,20.35699462890625,76.61327,121.746925,34.51047,42.268238,33.250923,0.010379488579928875,1.8474676609039307,0.02841176651418209,2.442023277282715,0.0,0.10752588510513306,0.0,0.04707871377468109,0.0157745573669672,2.403132438659668,0.030978700146079063,0.08112342655658722,250.6171875
520192,1.1335400342941284,-26.429950714111328,-0.0014094429789111018,2.0186362266540527,0.7430013418197632,0.005977942608296871,0.043259844183921814,0.023910988122224808,1.0736241340637207,26.29212188720703,26.35882568359375,85.454544,134.84552,37.62322,53.921894,35.688004,0.013356044888496399,1.9753824472427368,0.042771756649017334,2.695307731628418,0.0,0.040595754981040955,0.0,0.056341566145420074,0.013867203146219254,2.720345973968506,0.03375454246997833,0.06254367530345917,227.3203125
648192,0.6197376251220703,-30.89853286743164,0.00899437814950943,2.4724490642547607,0.8899555802345276,0.004567749332636595,0.03276301547884941,0.026615940034389496,0.7126895189285278,30.82836151123047,30.97170066833496,93.73822,147.82024,40.83466,63.854523,38.333263,0.009678589180111885,2.092574119567871,0.11379383504390717,3.1316299438476562,0.0,0.03872637823224068,0.0,0.052946075797080994,0.004213900305330753,3.105412006378174,0.10989528894424438,0.06133490428328514,325.859375
776192,3.034743070602417,-33.98464584350586,0.0008427517022937536,2.3635976314544678,0.8671042323112488,0.0023177871480584145,0.04042183235287666,0.026051919907331467,0.982614278793335,33.81147766113281,33.94660186767578,101.0663,159.96877,43.85226,70.673874,40.8403,0.013680817559361458,2.199000358581543,0.03442267328500748,3.0607688426971436,0.0,0.049468107521533966,0.0,0.034145377576351166,0.009391214698553085,3.0761899948120117,0.02724965289235115,0.06011112779378891,368.875
904192,0.48812904953956604,-32.69768524169922,-0.004806318785995245,2.406625986099243,0.8775057792663574,0.00518080173060298,0.026709996163845062,0.023249398916959763,1.1354410648345947,32.613868713378906,32.75837707519531,107.50659,171.63261,47.025085,77.50497,43.595634,0.005960338748991489,2.181363105773926,0.021342016756534576,3.0696375370025635,0.0,0.038676194846630096,0.0,0.05516672879457474,0.011383185163140297,3.062183141708374,0.013904033228754997,0.06176843121647835,333.1640625
1032192,0.5046582221984863,-34.83244323730469,0.0017303084023296833,2.6670448780059814,0.8566750288009644,0.0068152425810694695,0.06406642496585846,0.022571567445993423,0.9488788843154907,34.825252532958984,34.86587142944336,113.90616,181.39275,50.02908,84.48715,46.53896,0.006015505641698837,2.1288890838623047,0.029229186475276947,3.3272063732147217,0.0,0.050673991441726685,0.0,0.051113128662109375,0.010920816101133823,3.284060478210449,0.0192585289478302,0.07306206226348877,453.40625
1160192,0.3573712408542633,-41.462852478027344,0.00032568967435508966,2.391408920288086,0.8513035178184509,0.0030340317171067,0.04423121362924576,0.024162335321307182,0.9404014348983765,41.48121643066406,41.43551254272461,119.97575,189.54482,53.07199,91.60511,49.482883,0.007436099462211132,2.1608810424804688,0.01332678459584713,3.181960105895996,0.0,0.04122229665517807,0.0,0.058260396122932434,0.005877864547073841,3.134854793548584,0.00989452563226223,0.07811656594276428,417.5703125
1288192,1.3728358745574951,-39.87933349609375,0.0008818741189315915,2.518874168395996,1.2493382692337036,0.0032279284205287695,0.038773056119680405,0.02615979127585888,0.9825916290283203,39.717018127441406,39.93869400024414,125.521576,197.65186,55.708046,97.837364,51.9933,0.005995921790599823,2.5018224716186523,0.02090667560696602,3.2778961658477783,0.0,0.03981415927410126,0.0,0.05588522553443909,0.0039795879274606705,3.313173770904541,0.017632458359003067,0.05788355693221092,484.75
