Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.04895348101854324,-6.727554798126221,0.004394071642309427,0.112177774310112,0.04146846756339073,0.0018028051126748323,0.001599348965100944,0.002770762424916029,1.011577844619751,6.700155258178711,6.770063877105713,43.3388,56.74832,31.745718,30.91306,31.111456,0.003085161093622446,1.138875126838684,0.002176957670599222,1.2647281885147095,0.0,0.01818348653614521,0.0,0.024441862478852272,0.0041014342568814754,1.2228317260742188,0.003458168590441346,0.0548321008682251,70.3064193725586
264192,0.07651018351316452,-8.247293472290039,-0.0037798015400767326,0.11956871300935745,0.045118000358343124,0.0017820947105064988,0.0014619228895753622,0.002401291159912944,3.928474187850952,8.237482070922852,8.292152404785156,57.894596,76.28678,34.32078,33.734848,33.542713,0.0017548635369166732,1.1054085493087769,0.004721550270915031,1.2393224239349365,0.0,0.012268384918570518,0.0,0.01457853615283966,0.0011246914509683847,1.248706340789795,0.003932960797101259,0.022068507969379425,87.72053527832031
392192,0.08760406821966171,-10.983234405517578,0.00059267389588058,0.1956462413072586,0.08348631858825684,0.0017902841791510582,0.001151105621829629,0.0027340261731296778,2.056405544281006,10.95368766784668,10.997028350830078,68.06688,90.55924,37.049633,37.310627,36.21159,0.001980009488761425,1.1738598346710205,0.004064640495926142,1.3553274869918823,0.0,0.013795656152069569,0.0,0.020376555621623993,0.0008575356332585216,1.3517733812332153,0.0033502562437206507,0.02541901171207428,102.45771789550781
520192,0.08351301401853561,-12.431848526000977,-0.00022453395649790764,0.3062382936477661,0.1381947100162506,0.002241101348772645,0.0010681567946448922,0.002613062970340252,2.6532888412475586,12.531976699829102,12.387443542480469,75.57052,100.89454,39.233757,41.007973,38.437847,0.0017721927724778652,1.2320339679718018,0.006055673584342003,1.4381868839263916,0.0,0.01497834362089634,0.0,0.018469875678420067,0.0022847100626677275,1.429980993270874,0.0045764148235321045,0.028744114562869072,154.52574157714844
648192,0.07168348133563995,-13.77458667755127,-0.0029368458781391382,0.4962262809276581,0.2387196123600006,0.001479444676078856,0.0010549859143793583,0.002691719913855195,3.5606818199157715,13.79308032989502,13.778764724731445,82.583,109.670204,41.691914,43.834106,40.711845,0.0016186584252864122,1.348569631576538,0.005784960463643074,1.6174530982971191,0.0,0.014182097278535366,0.0,0.018900565803050995,0.0007167511503212154,1.6154567003250122,0.005089608021080494,0.026966365054249763,165.03317260742188
776192,0.09218193590641022,-16.404129028320312,-0.0017204382456839085,0.839928150177002,0.361316442489624,0.0014827704289928079,0.002144225873053074,0.0025248732417821884,3.1018381118774414,16.385540008544922,16.498516082763672,88.65935,116.99267,44.663284,46.21786,42.848946,0.00046674092300236225,1.4869894981384277,0.006047752220183611,1.804555892944336,0.0,0.01531422883272171,0.0,0.021248307079076767,0.0015490034129470587,1.8144645690917969,0.004871075041592121,0.02942804992198944,149.31536865234375
904192,0.08955271542072296,-17.61065673828125,-0.0017845167312771082,0.9397785663604736,0.44787219166755676,0.001194860553368926,0.003337626811116934,0.0024669866543263197,3.1880087852478027,17.7200984954834,17.60956382751465,94.05034,123.65807,47.66868,48.631405,45.28396,0.0013185200514271855,1.5589549541473389,0.008145876228809357,1.9695382118225098,0.0,0.011336972005665302,0.0,0.019650746136903763,0.002576724626123905,1.970025658607483,0.005705885123461485,0.022689437493681908,193.08917236328125
1032192,0.07015755772590637,-17.853134155273438,0.00036186171928420663,0.9679607152938843,0.474909245967865,0.001422664150595665,0.0025450559332966805,0.0025967031251639128,2.303772449493408,17.921546936035156,17.838394165039062,99.30453,129.60657,50.230114,51.8617,47.658104,0.0016273343935608864,1.6126489639282227,0.004855357576161623,1.9061850309371948,0.0,0.011716391891241074,0.0,0.017782242968678474,0.0014383802190423012,1.9200598001480103,0.0037782618310302496,0.026890890672802925,166.88809204101562
1160192,0.09413892030715942,-19.45289421081543,-0.0017241858877241611,0.9215924739837646,0.4529217481613159,0.001030518556945026,0.002613925840705633,0.002629688708111644,3.0466866493225098,19.46115493774414,19.518795013427734,103.787155,134.81088,53.237877,55.413036,50.330605,0.003526839194819331,1.5781967639923096,0.005185903050005436,1.98903226852417,0.0,0.01278968807309866,0.0,0.021166127175092697,0.0011519035324454308,1.9849828481674194,0.0041474332101643085,0.022414106875658035,214.14418029785156
1288192,0.04122320935130119,-20.462968826293945,0.0007074531749822199,1.0372318029403687,0.43520596623420715,0.0009711964521557093,0.005824927240610123,0.002730748150497675,2.2670297622680664,20.493419647216797,20.4859561920166,108.24946,139.76811,56.016113,60.39322,52.68946,0.0033034449443221092,1.5655943155288696,0.003419541986659169,2.0331320762634277,0.0,0.011655093170702457,0.0,0.01619001477956772,0.0007101373048499227,2.029155969619751,0.002835893537849188,0.023157577961683273,236.5441436767578
