Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Act_rep_loss,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Metric/self_state_distance,Metric/cross_state_distance,Metric/self_state_action_distance,Metric/cross_state_action_distance,Metric/avg_self_state_asymmetry,Metric/avg_cross_state_asymmetry,Metric/avg_self_sa_asymmetry,Metric/avg_cross_sa_asymmetry,Metric/self_state_action_to_state_distance,Metric/cross_state_action_to_state_distance,Metric/h_lambda_diff_self,Metric/h_lambda_diff_cross,Eval/Return
136192,0.0011594847310334444,-0.6576434373855591,0.006108749657869339,0.005452628713101149,0.0028303409926593304,0.00016501365462318063,0.13369104266166687,0.001619978342205286,-1.7452266216278076,0.6528277397155762,0.6643915772438049,27.216532,35.65162,30.970972,31.189308,30.967958,0.0017246284987777472,0.9451467990875244,0.0025678263045847416,0.904144823551178,0.0,0.006653008051216602,0.0,0.005314563401043415,0.001828972715884447,0.9056184887886047,0.002981619443744421,0.005920311901718378,0.42316409945487976
264192,0.000605118228122592,-0.19257330894470215,7.424989598803222e-05,0.004246473778039217,0.0022753439843654633,0.00010046110401162878,0.13579323887825012,0.00011302407801849768,1.3049185276031494,0.1899053454399109,0.18928185105323792,36.97737,46.868103,33.500767,32.441338,32.2285,0.0020264163613319397,0.9297521114349365,0.0058185504749417305,0.9228047728538513,0.0,0.0032020246144384146,0.0,0.007156439125537872,0.0016727193724364042,0.916222095489502,0.006480722688138485,0.007928291335701942,0.5258417725563049
392192,0.0010849982500076294,-0.08587577939033508,1.0691683201002888e-06,0.020695697516202927,0.008875713683664799,0.0012884936295449734,0.11290029436349869,8.751583663979545e-05,1.8962492942810059,0.08128494024276733,0.0797651931643486,42.768936,56.220608,37.32773,35.588966,35.46411,0.0022990985307842493,0.9709863662719727,0.003239244222640991,0.9642165899276733,0.0,0.006001252681016922,0.0,0.011417444795370102,0.002868202980607748,0.9589589238166809,0.0034046312794089317,0.013821441680192947,0.8504063487052917
520192,0.0031565981917083263,-0.1488337367773056,-0.00016232702182605863,0.006646568421274424,0.00267817173153162,0.001806081272661686,0.12549804151058197,0.0004965708940289915,2.1875271797180176,0.14467644691467285,0.1412470042705536,47.902046,62.88059,41.267384,38.497902,38.86825,0.0010548257268965244,0.9461160898208618,0.0021843635477125645,0.9367519617080688,0.0,0.005992827005684376,0.0,0.006824156269431114,0.0006459247088059783,0.9374939203262329,0.0019859815947711468,0.009221016429364681,7.060064315795898
648192,0.0033583752810955048,-0.5355843901634216,-2.215709537267685e-05,0.009311244823038578,0.005040311720222235,0.0002259592292830348,0.10380378365516663,0.001203216495923698,2.1179399490356445,0.5261882543563843,0.5216261744499207,55.116043,69.66297,45.292595,41.39603,42.60538,0.0011904886923730373,0.9641883373260498,0.0030937304254621267,0.9576050043106079,0.0,0.0038079600781202316,0.0,0.006962887942790985,0.0012116216821596026,0.9534051418304443,0.00244792178273201,0.007975712418556213,23.232011795043945
776192,0.00627573998644948,-0.890324592590332,0.00022318529954645783,0.044689688831567764,0.025865737348794937,0.0014679483138024807,0.09354633092880249,0.0008620781009085476,1.8799364566802979,0.8756202459335327,0.8742766976356506,61.85618,75.287155,50.067734,45.18178,46.490437,0.0008791070431470871,1.0395225286483765,0.004434524103999138,1.038265347480774,0.0,0.007141353562474251,0.0,0.008399357087910175,0.0009396026143804193,1.0343855619430542,0.004277155734598637,0.01625295728445053,31.448978424072266
904192,0.007415818981826305,-1.5092885494232178,-0.0010084143141284585,0.06012712046504021,0.03677329048514366,0.0002862243272829801,0.08445379137992859,0.0013391607208177447,2.549957513809204,1.4937771558761597,1.485298752784729,67.78878,80.74716,54.24687,48.915054,50.39101,0.0020399591885507107,1.0804535150527954,0.0034637765493243933,1.0969886779785156,0.0,0.006871039979159832,0.0,0.012311942875385284,0.002414482180029154,1.0898185968399048,0.0029726410284638405,0.011196347884833813,29.887022018432617
1032192,0.038345836102962494,-2.714001417160034,0.00024331753957085311,0.08949603885412216,0.055520616471767426,0.00045702277566306293,0.0707089975476265,0.008944923989474773,1.8124278783798218,2.6899328231811523,2.673551082611084,72.669174,86.77138,58.316868,52.643703,54.159058,0.0014396950136870146,1.1222130060195923,0.003695770865306258,1.1779885292053223,0.0,0.007780929561704397,0.0,0.013892479240894318,0.0009739717934280634,1.1757090091705322,0.003499713260680437,0.01629474200308323,88.58621215820312
1160192,0.032178688794374466,-5.689682960510254,-0.0012887014308944345,0.1414981186389923,0.07971036434173584,0.0021702402736991644,0.05807282030582428,0.013677891343832016,2.103541135787964,5.562673568725586,5.569817066192627,77.17134,91.547295,62.221916,56.850502,57.809097,0.0018840995617210865,1.189316987991333,0.009410368278622627,1.254597544670105,0.0,0.007192657329142094,0.0,0.016001615673303604,0.01804952695965767,1.258808970451355,0.027112480252981186,0.017615968361496925,87.70530700683594
1288192,0.02730332314968109,-6.317173004150391,0.0036350865848362446,0.17614039778709412,0.08586923778057098,0.0020977016538381577,0.051340214908123016,0.012072901241481304,1.8777427673339844,6.217493057250977,6.2032575607299805,82.38665,95.5069,66.07962,61.376404,61.86052,0.003568725660443306,1.206546664237976,0.0027824286371469498,1.3387563228607178,0.0,0.013011843897402287,0.0,0.017886316403746605,0.002231818623840809,1.3375287055969238,0.003345114877447486,0.021657412871718407,113.57719421386719
