Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,3.226407766342163,4.5357136726379395,1.0075618028640747,2.0153303146362305,0.11971870064735413,-27.129215240478516,11.538721084594727,13.229682922363281,3.7734086513519287,43.488518,67.732414,26.436714,75.496185,38.213455,591.1328125
264192,9.71560287475586,13.861570358276367,0.7190068960189819,1.7996289730072021,0.10169951617717743,-65.38764953613281,34.276893615722656,28.917583465576172,10.344461441040039,58.756725,90.54549,31.979319,97.821335,46.138935,723.265625
392192,7.000636100769043,11.880692481994629,0.4764000177383423,1.6589200496673584,0.11183157563209534,-96.3279037475586,55.203006744384766,42.429786682128906,16.03754425048828,68.331085,108.55524,35.977776,113.12915,50.333195,768.328125
520192,7.428494453430176,12.9917631149292,1.0675779581069946,1.511608600616455,0.09076108038425446,-127.47648620605469,72.37815856933594,53.1441764831543,19.796070098876953,75.40113,119.84263,39.35485,127.72841,55.72878,886.6328125
648192,4.768802165985107,8.964563369750977,0.7522363662719727,1.308030366897583,0.051118891686201096,-144.97348022460938,82.48951721191406,58.00819396972656,24.17060089111328,81.03092,128.58736,42.69418,141.63785,61.64492,937.8203125
776192,5.120434761047363,10.785744667053223,0.6768002510070801,1.3856303691864014,0.042391449213027954,-154.02450561523438,86.63156127929688,67.18377685546875,19.746435165405273,86.23513,135.17249,45.49835,153.04208,65.77151,934.671875
904192,4.633771896362305,9.31127643585205,0.8231762647628784,1.2079110145568848,0.047923050820827484,-170.9534454345703,91.82270050048828,80.23998260498047,13.494277954101562,91.059,140.41838,48.08332,162.40343,70.32379,915.328125
1032192,3.995778799057007,11.13621711730957,0.5483894348144531,1.2198612689971924,0.07020870596170425,-176.1688232421875,93.196533203125,79.4395751953125,14.122703552246094,95.42366,145.02437,50.50136,169.73906,74.981964,941.4296875
1160192,2.3441929817199707,7.914162635803223,0.7605953216552734,1.1516821384429932,0.02016054280102253,-178.4980926513672,96.34565734863281,83.05084228515625,13.466129302978516,99.40838,149.12349,52.80822,176.62183,79.71736,899.4453125
1288192,2.2601683139801025,9.366151809692383,0.7396498918533325,1.1471140384674072,0.012995608150959015,-178.44943237304688,97.07267761230469,80.805419921875,16.46541976928711,102.76907,152.88885,55.306297,183.55695,84.0041,912.828125
1416192,4.368636131286621,12.472639083862305,0.5341387987136841,1.1072533130645752,0.032601408660411835,-183.23468017578125,96.65351104736328,82.26496887207031,14.5220365524292,106.24809,156.56967,57.381157,189.53377,88.39761,940.8671875
1544192,2.058359146118164,7.312533855438232,0.8194721937179565,1.075545310974121,0.03095060959458351,-185.7095184326172,98.383544921875,84.95634460449219,13.663705825805664,109.73999,160.27034,59.47378,195.07172,92.51982,949.84375
1672192,1.6976267099380493,3.66558575630188,0.5792656540870667,1.0678337812423706,0.026138978078961372,-183.24081420898438,97.73260498046875,84.0376968383789,13.596334457397461,112.93174,163.5756,61.23104,199.97577,96.44097,954.5078125
1800192,3.0872066020965576,13.47154426574707,0.5897102952003479,1.0445358753204346,0.03594021499156952,-192.73001098632812,98.4715347290039,94.18658447265625,6.245682716369629,115.66553,166.91791,62.89791,204.56203,100.342476,963.296875
1928192,2.1609387397766113,8.238592147827148,0.9580742716789246,1.080693006515503,0.05211060866713524,-192.847412109375,97.66680145263672,90.86689758300781,7.153000831604004,118.57277,170.14996,64.48733,208.42712,104.14398,952.859375
2056192,1.8693475723266602,3.6047022342681885,0.7697876691818237,0.8829443454742432,0.0672755092382431,-194.51171875,99.1912612915039,94.54623413085938,5.728363990783691,121.46836,173.48021,66.21196,211.78918,107.91724,965.375
2184192,1.9361352920532227,5.4803314208984375,1.1056976318359375,0.9710995554924011,0.05458976328372955,-188.41677856445312,98.58969116210938,92.5609130859375,6.177934169769287,124.416306,176.62318,67.646194,214.74268,111.52825,965.1484375
2312192,1.4737679958343506,3.0930848121643066,0.6382638216018677,0.7975612878799438,0.0069660283625125885,-195.68975830078125,100.22496032714844,95.94627380371094,5.044234752655029,127.23627,179.66151,69.139404,217.61649,115.22377,966.8828125
2440192,1.6671483516693115,2.42917537689209,1.0559418201446533,0.942013144493103,0.0340157076716423,-198.004150390625,99.72930145263672,94.85287475585938,5.298520565032959,129.82149,182.63547,70.38081,220.44882,118.80759,956.734375
2568192,2.4915122985839844,4.794918060302734,0.8339678645133972,0.953152060508728,0.05148105323314667,-194.53634643554688,99.5792236328125,93.30908203125,6.663928508758545,132.36432,185.50346,71.54714,223.2681,122.39562,946.703125
2696192,1.30338716506958,4.81441068649292,1.082213282585144,0.777199387550354,0.025033526122570038,-192.6342010498047,99.80484008789062,93.02628326416016,6.41608190536499,134.78555,188.46815,72.64327,226.05959,125.95863,961.2265625
2824192,1.1662012338638306,2.797544002532959,0.6745468974113464,0.8455995321273804,0.02987559698522091,-193.04197692871094,99.98796081542969,92.36087036132812,7.440160274505615,137.13614,191.20262,73.72252,228.90675,129.40567,963.03125
2952192,1.019911527633667,3.365929126739502,1.201245903968811,0.7155949473381042,0.024007201194763184,-195.0743408203125,100.67130279541016,94.93525695800781,5.824885845184326,139.36465,193.84464,74.71374,231.67056,132.89954,958.421875
3080192,1.0122826099395752,2.907644748687744,0.8942736387252808,0.637879490852356,0.005942626856267452,-195.19366455078125,100.54415893554688,95.82250213623047,5.132597923278809,141.4532,196.54755,75.7461,234.23314,136.30927,950.640625
3208192,0.8897433280944824,3.1023664474487305,1.359147548675537,0.6226493716239929,0.01785903424024582,-193.47607421875,99.18815612792969,92.4906005859375,6.64995002746582,143.62704,199.23442,76.61639,236.39752,139.59381,971.265625
3336192,1.9266477823257446,2.2207937240600586,0.5511568784713745,0.765761137008667,0.027044245973229408,-198.8665771484375,100.92800903320312,95.66280364990234,5.447574615478516,145.79907,201.88843,77.60444,238.74791,143.05527,964.765625
3464192,1.2245057821273804,3.843168020248413,1.4095650911331177,0.7631696462631226,0.03998839855194092,-195.69244384765625,99.5669937133789,94.72990417480469,4.483871936798096,147.89796,204.39546,78.42659,241.40598,146.54594,968.2265625
3592192,1.2101330757141113,2.88309383392334,0.9436544179916382,0.7657678127288818,0.029052093625068665,-196.7910919189453,100.55435180664062,96.13133239746094,4.426506996154785,149.87497,206.96346,79.44408,243.86887,149.87857,964.53125
3720192,0.7299747467041016,1.5435712337493896,0.8535300493240356,0.6572586297988892,0.01547187939286232,-194.50250244140625,100.06572723388672,95.79850006103516,4.386967658996582,151.8812,209.41245,80.476204,246.3491,153.22531,941.8046875
3848192,0.7523185014724731,5.657337188720703,1.1692824363708496,0.7010468244552612,0.042159948498010635,-195.81884765625,100.99222564697266,95.05623626708984,5.949393272399902,153.76811,211.79028,81.49774,248.60481,156.56596,929.4140625
3976192,1.5190086364746094,8.875845909118652,1.3620094060897827,0.6888524889945984,0.04403318837285042,-197.58636474609375,100.53475952148438,95.75004577636719,4.861185073852539,155.62859,214.07706,82.37895,250.9347,159.77945,943.765625
4104192,0.6963865160942078,1.3651376962661743,0.4213046431541443,0.4325057864189148,0.003284202655777335,-198.8919677734375,101.56289672851562,97.11073303222656,4.606776714324951,157.28595,216.17819,83.35222,252.8174,162.8367,959.6328125
4232192,0.5181359052658081,3.05059814453125,1.1946349143981934,0.3772145211696625,0.007447009906172752,-198.4919891357422,101.80107116699219,96.74565887451172,5.2042460441589355,158.5958,217.8627,84.23001,254.34612,165.76083,961.3671875
4360192,0.4708777070045471,1.719287395477295,0.6134180426597595,0.21136991679668427,0.019881851971149445,-199.5592041015625,102.23391723632812,97.87783813476562,4.3369293212890625,159.90799,219.38402,85.27657,255.57901,168.60004,948.4140625
4488192,0.1264592707157135,0.3022722899913788,0.2304069697856903,0.010417415760457516,0.008615107275545597,-200.254638671875,102.16104125976562,98.55809020996094,3.3514719009399414,161.18361,220.60442,86.52573,257.04437,171.24124,884.6640625
4616192,0.217856302857399,0.5715056657791138,0.4939228594303131,0.02104255184531212,0.0058733318001031876,-200.61643981933594,101.61827087402344,98.52239990234375,3.084665060043335,162.1637,222.01036,87.95516,258.75513,173.9895,934.96875
4744192,0.43162691593170166,0.29509538412094116,0.7056080102920532,-0.04272729158401489,0.005202790256589651,-201.1609649658203,101.58936309814453,98.57872772216797,3.0859270095825195,163.53246,223.39293,89.05601,260.60776,176.78027,936.2421875
4872192,0.09572762995958328,0.3331552743911743,0.2370457649230957,-0.051310449838638306,0.0034943087957799435,-201.54183959960938,101.90097045898438,99.56820678710938,2.597597122192383,164.71184,224.65607,90.00318,262.35452,179.56017,935.6796875
5000192,0.11824453622102737,0.2625710964202881,0.20631641149520874,-0.0694231241941452,0.0014188506174832582,-201.47787475585938,101.92472839355469,99.5571517944336,2.331921100616455,165.78606,225.94952,91.12973,264.00754,182.43787,907.5546875
