Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,MICo/Grad_ratio,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,1.756232500076294,-49.56913375854492,-0.007529725786298513,0.9906167984008789,0.07637862116098404,1.1593767404556274,48.993812561035156,48.890472412109375,26.97626495361328,27.43115234375,26.83805274963379,0.13821162283420563,26.83805274963379,0.00020026916172355413,44.94005,68.36373,17.80986,20.510656,925.8828125
264192,0.7516576051712036,-82.2554702758789,0.0028174533508718014,0.8518193364143372,0.03330809995532036,0.8352773785591125,81.93545532226562,81.93836975097656,29.600418090820312,29.64944076538086,29.485774993896484,0.11464520543813705,29.48577308654785,0.0016117438208311796,58.192127,81.1617,21.104387,25.033993,963.109375
392192,0.2957443594932556,-91.83297729492188,0.0008225506171584129,0.7453262805938721,0.01901407353579998,0.983214259147644,91.54167175292969,91.61460876464844,28.422046661376953,28.26944923400879,28.31112289428711,0.11092336475849152,28.31112289428711,0.0025602204259485006,67.77989,89.22841,23.352219,28.619217,949.328125
520192,0.30916932225227356,-95.97811889648438,0.002591455355286598,0.5772824883460999,0.012387965805828571,0.820582926273346,95.88803100585938,95.82652282714844,25.91280746459961,25.753284454345703,25.81344985961914,0.0993569940328598,25.81344985961914,0.0035115175414830446,75.790596,96.56283,25.519407,31.92204,965.921875
648192,0.20103812217712402,-97.00725555419922,0.0015604285290464759,0.5246192216873169,0.009960077702999115,0.9176369309425354,96.92464447021484,96.90985107421875,24.161460876464844,23.94658088684082,24.06151008605957,0.0999504029750824,24.061511993408203,0.003898920025676489,82.80473,103.388565,27.564981,34.66431,935.59375
776192,0.1277599334716797,-97.71412658691406,0.0006813433137722313,0.45006754994392395,0.007546542212367058,0.9646532535552979,97.66233825683594,97.67029571533203,22.514814376831055,22.27910804748535,22.41823387145996,0.09658162295818329,22.41823387145996,0.006166067440062761,89.051094,109.41504,29.404072,37.31267,972.6953125
904192,0.12792110443115234,-97.4460678100586,-0.0013779965229332447,0.4250067472457886,0.006491662003099918,1.2317098379135132,97.32559204101562,97.41935729980469,20.8956298828125,20.7923583984375,20.801631927490234,0.09399796277284622,20.801631927490234,0.003173977369442582,94.654724,115.310646,31.246923,39.742466,958.6875
1032192,0.16130706667900085,-98.1839599609375,-0.0022077090106904507,0.40386879444122314,0.006136348471045494,1.22711980342865,98.07852935791016,98.07131958007812,20.167360305786133,19.93842124938965,20.07630157470703,0.09105764329433441,20.07630157470703,0.00307724392041564,99.731316,120.80268,32.986282,42.00085,936.6171875
1160192,0.07427091151475906,-98.43771362304688,0.00035180908162146807,0.34007781744003296,0.005660673137754202,0.8584290742874146,98.40213012695312,98.39863586425781,19.036109924316406,18.82229995727539,18.946556091308594,0.08955205231904984,18.94655990600586,0.005012933164834976,104.54203,125.89873,34.648983,44.20691,965.046875
1288192,0.06834042817354202,-98.73529052734375,0.0014860101509839296,0.3209010362625122,0.004671080037951469,0.6656548976898193,98.69403839111328,98.68655395507812,18.14249038696289,17.847684860229492,18.055675506591797,0.08681264519691467,18.055675506591797,0.006756952032446861,109.010704,130.97955,36.346333,46.132313,927.828125
