Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,2.354438304901123,6.037001609802246,0.46395760774612427,1.6636276245117188,0.1436043083667755,-21.073612213134766,9.514183044433594,9.966522216796875,2.1960713863372803,47.244366,63.315273,22.80261,64.049126,40.061104,329.0390625
264192,5.870576858520508,7.136857032775879,0.738106369972229,1.708587646484375,0.12597450613975525,-49.713706970214844,28.209245681762695,18.568103790283203,10.193050384521484,61.892525,93.133675,28.11406,85.60687,53.619453,572.4921875
392192,7.166015625,13.154799461364746,4.944969654083252,1.7346242666244507,0.06410878896713257,-91.66877746582031,47.075286865234375,38.9918098449707,10.853796005249023,71.65467,113.32945,34.55695,99.99934,65.04907,735.875
520192,6.8205413818359375,16.510860443115234,2.853649616241455,1.742250919342041,0.07692933827638626,-131.9890594482422,68.07914733886719,66.70231628417969,10.112356185913086,78.68055,126.261925,39.082962,108.397026,74.05191,803.390625
648192,6.56651496887207,8.819650650024414,3.4182612895965576,1.3812016248703003,0.06304699182510376,-156.46148681640625,77.41838073730469,79.38855743408203,8.061098098754883,84.55832,136.17938,41.96489,115.3837,81.55464,856.5859375
776192,6.355698585510254,7.827048301696777,4.563753128051758,1.2104108333587646,0.03945975750684738,-171.9731903076172,84.34420013427734,88.4630355834961,7.370973587036133,89.880684,143.62349,44.467903,120.973404,87.92314,855.3671875
904192,4.805746078491211,7.041193008422852,2.804769515991211,1.198034644126892,0.04196406900882721,-173.67758178710938,88.77091217041016,88.51221466064453,5.667618751525879,94.697205,149.66284,46.607372,125.93192,93.727036,857.609375
1032192,4.372378826141357,3.7462358474731445,3.847071647644043,1.1498370170593262,0.049757327884435654,-177.51852416992188,88.49983215332031,88.39363861083984,5.762343883514404,98.733574,154.49837,48.63952,130.43106,98.849236,862.5546875
1160192,2.530215263366699,3.7029833793640137,2.021073818206787,1.1149232387542725,0.02854537032544613,-180.384765625,91.77841186523438,92.21015930175781,4.721173286437988,102.62073,158.86325,50.43852,134.57053,103.65382,892.703125
1288192,6.029216766357422,4.701942443847656,3.9149580001831055,1.1568281650543213,0.026837460696697235,-182.55575561523438,91.96392822265625,92.09049987792969,4.21729040145874,106.19228,162.59552,52.171074,138.4669,108.200264,912.125
1416192,2.673753261566162,5.45658016204834,2.3777034282684326,1.1681524515151978,0.0319758802652359,-184.80032348632812,92.97930908203125,91.36042785644531,4.965426445007324,109.517624,166.37769,53.700077,142.11942,112.464386,915.265625
1544192,3.189877986907959,3.938368797302246,1.8519394397735596,0.9958312511444092,0.026891063898801804,-189.5022735595703,94.29924774169922,93.12181091308594,3.83154296875,113.02947,170.1614,54.969032,145.50427,116.60189,854.546875
1672192,2.2741141319274902,3.3155932426452637,1.9844411611557007,0.9396011233329773,0.030059631913900375,-188.93785095214844,94.1193618774414,94.27840423583984,3.890425682067871,116.29588,173.87283,56.1297,148.87288,120.39676,806.65625
1800192,2.3204994201660156,3.3235321044921875,1.9277937412261963,0.9636998176574707,0.028013430535793304,-189.83001708984375,96.50702667236328,94.63240051269531,3.9912102222442627,119.27509,177.44147,57.22935,152.25343,124.112785,909.9765625
1928192,1.9899181127548218,2.9251556396484375,3.035170078277588,0.8902623653411865,0.02329934388399124,-191.46714782714844,95.01280212402344,94.07691955566406,3.683176040649414,122.02929,181.07576,58.47389,155.33609,127.729004,924.4140625
2056192,2.714933156967163,2.8317208290100098,3.1640431880950928,0.9533130526542664,0.023983139544725418,-192.87310791015625,96.0223388671875,94.25048065185547,3.83184552192688,124.70269,184.5174,59.589344,158.24718,131.25543,911.1953125
2184192,1.7757987976074219,3.7401962280273438,2.483981132507324,0.890272319316864,0.019096560776233673,-192.81834411621094,96.56404113769531,94.69352722167969,4.062564849853516,127.21081,187.65475,60.773323,161.1672,134.64587,927.8984375
2312192,2.6903207302093506,2.379103183746338,1.7335790395736694,0.8587860465049744,0.036314912140369415,-190.94915771484375,96.57239532470703,94.70333862304688,3.7683463096618652,129.7631,190.9736,61.84535,163.8553,137.90694,938.7265625
2440192,1.835305094718933,1.7752289772033691,3.938554286956787,0.8123738169670105,0.007379216141998768,-192.64193725585938,97.96900939941406,95.64443969726562,3.7931132316589355,132.36618,194.09117,62.974518,166.543,141.15744,890.703125
2568192,1.747826099395752,2.082306385040283,2.1660449504852295,0.7375931739807129,0.017489880323410034,-193.14024353027344,98.62513732910156,95.6189193725586,3.780414581298828,134.97266,197.07867,63.941833,169.13982,144.38947,926.6953125
2696192,1.481350302696228,1.9366008043289185,2.057612180709839,0.7364213466644287,0.027137599885463715,-195.15170288085938,98.98725891113281,96.88875579833984,3.185159921646118,137.17131,199.97612,64.88913,171.58386,147.6991,886.359375
2824192,1.3498098850250244,2.1567230224609375,2.015561580657959,0.7561206221580505,0.016822053119540215,-196.16549682617188,98.35859680175781,96.10504150390625,3.662013292312622,139.51674,202.92543,66.10967,174.24104,150.96855,905.0
2952192,1.9711039066314697,2.756566286087036,1.5890588760375977,0.7479891180992126,0.012086624279618263,-193.8312530517578,97.55070495605469,95.54609680175781,3.5092320442199707,141.65404,205.5963,67.150665,176.66852,153.96515,936.1015625
3080192,2.6380467414855957,2.645085573196411,2.7134363651275635,0.8154081702232361,0.04073309898376465,-191.98670959472656,98.63875579833984,95.91709899902344,3.3735647201538086,143.93115,208.05756,68.24123,179.2361,156.9483,878.7734375
3208192,0.9047051668167114,1.370141863822937,2.2917728424072266,0.8412493467330933,0.022160202264785767,-193.5470733642578,98.49226379394531,94.9774169921875,3.8301639556884766,145.88976,210.79611,69.13072,181.5784,159.87672,909.4921875
3336192,2.5957930088043213,3.2892444133758545,2.613878011703491,0.6980087161064148,0.023792997002601624,-195.3114013671875,99.93075561523438,96.83706665039062,3.3317670822143555,148.03207,213.45604,70.238914,184.0849,162.77116,920.578125
3464192,2.0133228302001953,3.6709561347961426,1.4738521575927734,0.777897834777832,0.05174583941698074,-196.55673217773438,99.05965423583984,96.54425048828125,3.6581413745880127,150.13208,215.9844,71.17178,186.50299,165.67374,949.4296875
3592192,1.444788932800293,1.6418826580047607,3.532543182373047,0.7372719645500183,0.011154123581945896,-194.27505493164062,98.23667907714844,95.8518295288086,3.512446641921997,152.24738,218.46863,72.27872,188.61649,168.6809,887.40625
