Train/Steps,Loss/Loss_critic,Loss/Loss_abstract_critic,Loss/Loss_lax_bisimulation,Loss/Loss_transition,Loss/Loss_reward,Loss/Loss_actor,DHPG/Q_actual_mean,DHPG/Q_abstract_mean,DHPG/Value_equivalence,Norm/actor_model,Norm/critic_model,Norm/abstract_critic_model,Norm/state_encoder_model,Norm/action_encoder_model,Eval/Return
136192,0.0017012767493724823,0.030378447845578194,8.80012035369873,2.4291512966156006,0.12471041083335876,0.7151206731796265,0.6694221496582031,-1.5642046928405762,2.2330358028411865,27.643387,25.291616,20.514648,61.167847,38.188824,23.935665130615234
264192,0.015153346583247185,0.0005679889000020921,3.235074520111084,1.6822433471679688,0.0001957532367669046,-1.4542454481124878,1.1685670614242554,0.12269226461648941,1.0507419109344482,34.869003,37.007725,23.461575,75.53863,46.55416,64.77960205078125
392192,0.024034414440393448,0.010854320600628853,1.5355253219604492,1.5787854194641113,0.00022052413260098547,-5.3411664962768555,3.733541965484619,1.5850944519042969,2.1481566429138184,45.80475,47.37349,29.46907,92.74985,55.99156,74.40033721923828
520192,0.023692576214671135,0.10238678008317947,1.0012245178222656,2.0776596069335938,0.0018179353792220354,-11.614608764648438,6.291825294494629,4.99376916885376,2.2192862033843994,53.454983,53.364044,34.549423,107.784515,63.807686,161.67324829101562
648192,0.05169815197587013,0.30626171827316284,1.3583362102508545,1.8938090801239014,0.0031226109713315964,-17.990692138671875,8.873601913452148,8.620787620544434,1.1694689989089966,60.460358,59.858994,39.01582,117.26659,68.511665,155.39984130859375
776192,0.11440161615610123,0.20881590247154236,1.0222560167312622,1.8244121074676514,0.002517696935683489,-25.9403133392334,12.45383071899414,12.899595260620117,1.7200623750686646,65.77866,66.854965,41.77502,125.971535,74.58801,423.59259033203125
904192,0.16429993510246277,0.1897774040699005,1.1418390274047852,1.7548062801361084,0.002684971084818244,-33.65582275390625,17.486854553222656,16.116378784179688,2.2049899101257324,70.55767,72.94725,44.231544,133.2742,80.368835,502.05694580078125
1032192,0.20324388146400452,0.7702693343162537,1.088413119316101,1.9313485622406006,0.004260499961674213,-42.26264953613281,22.116313934326172,19.09996223449707,3.27089786529541,74.65068,78.37002,46.5359,138.83627,85.19849,550.5833129882812
1160192,0.2833511233329773,0.5632178783416748,1.2064952850341797,1.8853931427001953,0.004007677081972361,-50.362586975097656,27.577983856201172,22.83293342590332,4.699852466583252,78.20651,82.992065,48.58131,144.45381,89.84233,575.76416015625
1288192,0.29466450214385986,0.5070270299911499,1.1749324798583984,1.872580885887146,0.00374561152420938,-59.33856964111328,31.647058486938477,26.3109073638916,5.362478256225586,81.42159,87.26116,50.46558,148.98743,93.93129,605.3018188476562
1416192,0.342006117105484,0.2370525300502777,2.0102145671844482,1.8442047834396362,0.004782141651958227,-68.79885864257812,35.8933219909668,31.935222625732422,5.113609313964844,84.04397,91.376076,51.92651,153.30785,97.62051,679.841796875
1544192,0.2714083790779114,0.35041123628616333,1.3912848234176636,1.9183191061019897,0.004569730721414089,-77.8364028930664,39.84888458251953,35.68655014038086,5.055769920349121,86.579506,95.06503,53.034317,157.3178,101.107315,657.2249755859375
1672192,0.2973078191280365,0.7109474539756775,2.5096898078918457,1.9531359672546387,0.0033909755293279886,-83.29149627685547,43.390647888183594,38.700767517089844,4.830201625823975,88.9138,98.406456,54.093132,161.28493,104.08719,692.5145263671875
1800192,0.24826990067958832,0.42719754576683044,1.4527467489242554,1.8336341381072998,0.002789431484416127,-88.9572525024414,47.050533294677734,42.887535095214844,4.921085834503174,91.15444,101.75867,55.42914,164.07816,106.6168,709.1727294921875
1928192,0.2515258193016052,0.8062387704849243,2.955228328704834,1.9632415771484375,0.0032931240275502205,-96.96549224853516,49.10079574584961,46.354244232177734,5.449095726013184,93.17552,105.100136,57.14612,167.3295,109.31637,717.753173828125
2056192,0.3276388645172119,0.44817662239074707,1.6071758270263672,1.76719069480896,0.0024816449731588364,-100.24832153320312,52.55499267578125,46.37699890136719,6.659865856170654,95.16654,108.21034,58.394066,170.22597,111.788864,681.7147216796875
2184192,0.21371467411518097,0.23980382084846497,1.3712979555130005,1.7525670528411865,0.0028012257535010576,-102.60855102539062,54.53608322143555,48.619041442871094,6.94157600402832,97.24965,110.98314,59.340477,173.25769,114.54521,704.275634765625
2312192,0.23195955157279968,0.44313085079193115,2.9983150959014893,1.8302429914474487,0.00324957724660635,-108.04656219482422,57.70677947998047,50.073238372802734,7.944573402404785,99.1438,113.75662,60.542805,175.88292,117.09232,721.2383422851562
2440192,0.2577601373195648,0.2475252002477646,1.284909963607788,1.660295844078064,0.0029049613513052464,-113.97123718261719,58.54893493652344,53.68963623046875,6.156083106994629,101.01505,116.443146,61.7762,178.66823,119.767296,751.357421875
2568192,0.2444000095129013,0.34262290596961975,1.5392491817474365,1.6807315349578857,0.0030995674896985292,-115.82424926757812,60.27851104736328,55.95009231567383,5.354619979858398,102.7832,119.05652,62.764862,181.65164,122.24673,728.3154296875
2696192,0.21758471429347992,0.6402573585510254,3.297954559326172,1.7422250509262085,0.0022129591088742018,-119.42475891113281,61.136436462402344,57.159942626953125,4.982223987579346,104.45527,121.54328,63.677544,184.65805,124.7137,683.7015991210938
