Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_mico,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,MICo/Online_dist,MICo/Target_dist,MICo/Norm_term,MICo/Angle_term,MICo/Rep_sq_norm,MICo/Grad_ratio,Norm/actor_model,Norm/critic_model,Norm/state_encoder_model,Norm/actor_head_model,Eval/Return
136192,0.0014384975656867027,-3.551466703414917,0.006829075515270233,0.008453726768493652,0.0021862490102648735,-0.07101453840732574,3.523435115814209,3.5206832885742188,12.771207809448242,12.747657775878906,12.680750846862793,0.0904569923877716,12.680750846862793,0.04262068495154381,30.755865,33.576847,14.164134,16.477722,40.47514343261719
264192,0.018112072721123695,-7.27023983001709,0.0010026495438069105,0.024266010150313377,0.005725127644836903,2.628206253051758,7.148603916168213,7.140661716461182,11.07571792602539,11.092552185058594,10.964803695678711,0.11091351509094238,10.964803695678711,0.007674488238990307,50.101273,45.053932,19.100649,24.677322,209.64340209960938
392192,0.024894826114177704,-12.445547103881836,0.0010173824848607183,0.030803143978118896,0.006734012626111507,2.776162624359131,12.359931945800781,12.354640007019043,12.666861534118652,12.694242477416992,12.556037902832031,0.11082334071397781,12.556037902832031,0.0032742763869464397,62.201267,54.13339,22.286278,29.5932,402.14654541015625
520192,0.057696904987096786,-18.507389068603516,0.0010576985077932477,0.04950693994760513,0.010078824125230312,2.8760733604431152,18.42416763305664,18.419597625732422,14.760506629943848,14.76844596862793,14.647499084472656,0.11300842463970184,14.647499084472656,0.001824452425353229,70.6014,62.557976,25.305128,33.615417,564.56884765625
648192,0.09153302758932114,-25.715862274169922,-0.0014173046220093966,0.0582229420542717,0.013433268293738365,3.224972724914551,25.632503509521484,25.640453338623047,17.42873764038086,17.440841674804688,17.319366455078125,0.10937181115150452,17.319366455078125,0.0011136136017739773,77.21427,69.93572,27.991209,36.941784,569.7377319335938
776192,0.10155914723873138,-31.731822967529297,-0.0057983193546533585,0.06532910466194153,0.015077834948897362,3.5984256267547607,31.66531753540039,31.639022827148438,19.20964241027832,19.31071662902832,19.103612899780273,0.10602784156799316,19.103614807128906,0.002325577661395073,82.91718,76.19676,30.460587,39.843445,576.3980712890625
904192,0.1134602352976799,-37.69752883911133,-0.0028197583742439747,0.05998912826180458,0.01537944097071886,3.1000475883483887,37.631431579589844,37.58837127685547,20.634279251098633,20.669437408447266,20.53453826904297,0.09973978251218796,20.5345401763916,0.0014716759324073792,88.115326,81.70222,32.69858,42.52324,624.7457275390625
1032192,0.15910284221172333,-41.46693420410156,-0.0032553577329963446,0.07383657991886139,0.015366393141448498,3.080425262451172,41.375301361083984,41.384185791015625,21.671022415161133,21.756229400634766,21.572328567504883,0.098691925406456,21.572330474853516,0.0012575634755194187,92.75888,86.50616,34.807957,45.143826,631.3568725585938
1160192,0.17955483496189117,-44.78668975830078,0.00015409395564347506,0.06879815459251404,0.01559820119291544,3.224708080291748,44.702980041503906,44.71720504760742,22.297216415405273,22.309608459472656,22.202411651611328,0.09480515867471695,22.202411651611328,0.0011288250098004937,96.88064,90.8963,36.70733,47.541218,608.4151000976562
1288192,0.12372824549674988,-47.63425064086914,-0.002853801241144538,0.059285007417201996,0.014327896758913994,3.4567086696624756,47.56318664550781,47.59296798706055,22.80614471435547,22.80298614501953,22.716815948486328,0.08932868391275406,22.716815948486328,0.001160311046987772,100.927605,94.99586,38.56244,49.967445,634.3436279296875
1416192,0.06970244646072388,-50.560691833496094,-0.004678034223616123,0.06478199362754822,0.015062500722706318,3.228330612182617,50.50110626220703,50.48326873779297,22.971078872680664,23.026552200317383,22.886680603027344,0.0843982920050621,22.886680603027344,0.002546838251873851,104.6861,98.93484,40.36158,52.27172,647.1424560546875
1544192,0.0751575455069542,-51.51675796508789,0.0008907915325835347,0.07171542942523956,0.014533680863678455,2.938579797744751,51.45484924316406,51.47079086303711,23.158531188964844,23.15461540222168,23.073312759399414,0.08521649241447449,23.073312759399414,0.0019091006834059954,108.22942,102.56158,42.056496,54.56216,638.7529296875
1672192,0.09463201463222504,-53.3382568359375,-0.00800449587404728,0.07081432640552521,0.014621445909142494,3.417715549468994,53.27130126953125,53.276573181152344,23.20117950439453,23.139877319335938,23.118698120117188,0.08248399198055267,23.118698120117188,0.0024310473818331957,111.49938,106.03977,43.72612,56.62083,619.060546875
1800192,0.07978412508964539,-54.180519104003906,-0.0033429416362196207,0.06375739723443985,0.014259746298193932,3.341614246368408,54.14765930175781,54.15479278564453,23.030672073364258,23.009841918945312,22.94982147216797,0.08085012435913086,22.94982147216797,0.001798591809347272,114.60885,109.287674,45.32874,58.6575,666.93798828125
1928192,0.12861905992031097,-55.326255798339844,0.0005757382605224848,0.06233212351799011,0.014087715186178684,2.8594815731048584,55.28875732421875,55.31199264526367,22.81842041015625,22.852760314941406,22.739131927490234,0.07928899675607681,22.739131927490234,0.0009277110220864415,117.474815,112.661446,46.85465,60.613083,632.5116577148438
